index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,UNSET,Field,,,,,36,1,26,,private static final int UNSET = -1;,True
2,SIZE_MULTIPLIER,Field,,,,,50,1,26,,private static final int SIZE_MULTIPLIER = 1 << 1;,True
3,DISK_CACHE_STRATEGY,Field,,,,,54,1,26,,private static final int DISK_CACHE_STRATEGY = 1 << 2;,True
4,PRIORITY,Field,,,,,43,1,26,,private static final int PRIORITY = 1 << 3;,True
5,ERROR_PLACEHOLDER,Field,,,,,52,1,26,,private static final int ERROR_PLACEHOLDER = 1 << 4;,True
6,ERROR_ID,Field,,,,,43,1,26,,private static final int ERROR_ID = 1 << 5;,True
7,PLACEHOLDER,Field,,,,,46,1,26,,private static final int PLACEHOLDER = 1 << 6;,True
8,PLACEHOLDER_ID,Field,,,,,49,1,26,,private static final int PLACEHOLDER_ID = 1 << 7;,True
9,IS_CACHEABLE,Field,,,,,47,1,26,,private static final int IS_CACHEABLE = 1 << 8;,True
10,OVERRIDE,Field,,,,,43,1,26,,private static final int OVERRIDE = 1 << 9;,True
11,SIGNATURE,Field,,,,,45,1,26,,private static final int SIGNATURE = 1 << 10;,True
12,TRANSFORMATION,Field,,,,,50,1,26,,private static final int TRANSFORMATION = 1 << 11;,True
13,RESOURCE_CLASS,Field,,,,,50,1,26,,private static final int RESOURCE_CLASS = 1 << 12;,True
14,FALLBACK,Field,,,,,44,1,26,,private static final int FALLBACK = 1 << 13;,True
15,FALLBACK_ID,Field,,,,,47,1,26,,private static final int FALLBACK_ID = 1 << 14;,True
16,THEME,Field,,,,,41,1,26,,private static final int THEME = 1 << 15;,True
17,TRANSFORMATION_ALLOWED,Field,,,,,58,1,26,,private static final int TRANSFORMATION_ALLOWED = 1 << 16;,True
18,TRANSFORMATION_REQUIRED,Field,,,,,59,1,26,,private static final int TRANSFORMATION_REQUIRED = 1 << 17;,True
19,USE_UNLIMITED_SOURCE_GENERATORS_POOL,Field,,,,,72,1,26,,private static final int USE_UNLIMITED_SOURCE_GENERATORS_POOL = 1 << 18;,True
20,ONLY_RETRIEVE_FROM_CACHE,Field,,,,,60,1,26,,private static final int ONLY_RETRIEVE_FROM_CACHE = 1 << 19;,True
21,USE_ANIMATION_POOL,Field,,,,,54,1,26,,private static final int USE_ANIMATION_POOL = 1 << 20;,True
22,skipMemoryCacheTrueOptions,Field,,,,,69,2,10,,"@Nullable
  private static RequestOptions skipMemoryCacheTrueOptions;",False
23,skipMemoryCacheFalseOptions,Field,,,,,70,2,10,,"@Nullable
  private static RequestOptions skipMemoryCacheFalseOptions;",False
24,fitCenterOptions,Field,,,,,59,2,10,,"@Nullable
  private static RequestOptions fitCenterOptions;",False
25,centerInsideOptions,Field,,,,,62,2,10,,"@Nullable
  private static RequestOptions centerInsideOptions;",False
26,centerCropOptions,Field,,,,,60,2,10,,"@Nullable
  private static RequestOptions centerCropOptions;",False
27,circleCropOptions,Field,,,,,60,2,10,,"@Nullable
  private static RequestOptions circleCropOptions;",False
28,noTransformOptions,Field,,,,,61,2,10,,"@Nullable
  private static RequestOptions noTransformOptions;",False
29,noAnimationOptions,Field,,,,,61,2,10,,"@Nullable
  private static RequestOptions noAnimationOptions;",False
30,fields,Field,,,,,19,1,2,,private int fields;,True
31,sizeMultiplier,Field,sizeMultiplier(float),,,,34,1,2,,private float sizeMultiplier = 1f;,True
32,diskCacheStrategy,Field,diskCacheStrategy(DiskCacheStrategy),,,,85,2,2,,"@NonNull
  private DiskCacheStrategy diskCacheStrategy = DiskCacheStrategy.AUTOMATIC;",True
33,priority,Field,priority(Priority),,,,55,2,2,,"@NonNull
  private Priority priority = Priority.NORMAL;",True
34,errorPlaceholder,Field,error(Drawable) error(int),,,,46,2,2,,"@Nullable
  private Drawable errorPlaceholder;",True
35,errorId,Field,error(Drawable) error(int),,,,20,1,2,,private int errorId;,True
36,placeholderDrawable,Field,placeholder(Drawable),,,,49,2,2,,"@Nullable
  private Drawable placeholderDrawable;",True
37,placeholderId,Field,placeholder(int),,,,26,1,2,,private int placeholderId;,True
38,isCacheable,Field,skipMemoryCache(boolean),,,,35,1,2,,private boolean isCacheable = true;,True
39,overrideHeight,Field,"override(int,int)",,,,50,1,2,,private int overrideHeight = RequestOptions.UNSET;,True
40,overrideWidth,Field,"override(int,int)",,,,49,1,2,,private int overrideWidth = RequestOptions.UNSET;,True
41,signature,Field,signature(Key),,,,59,2,2,,"@NonNull
  private Key signature = EmptySignature.obtain();",True
42,isTransformationRequired,Field,,,,,41,1,2,,private boolean isTransformationRequired;,True
43,isTransformationAllowed,Field,,,,,47,1,2,,private boolean isTransformationAllowed = true;,True
44,fallbackDrawable,Field,fallback(Drawable),,,,46,2,2,,"@Nullable
  private Drawable fallbackDrawable;",True
45,fallbackId,Field,fallback(int),,,,23,1,2,,private int fallbackId;,True
46,options,Field,,,,,51,2,2,,"@NonNull
  private Options options = new Options();",True
47,transformations,Field,,,,,101,2,2,,"@NonNull
  private Map<Class<?>, Transformation<?>> transformations = new CachedHashCodeArrayMap<>();",True
48,resourceClass,Field,decode(Class<?>),,,,57,2,2,,"@NonNull
  private Class<?> resourceClass = Object.class;",True
49,isLocked,Field,,,,,25,1,2,,private boolean isLocked;,True
50,theme,Field,theme(Resources.Theme),,,,42,2,2,,"@Nullable
  private Resources.Theme theme;",True
51,isAutoCloneEnabled,Field,,,,,35,1,2,,private boolean isAutoCloneEnabled;,True
52,useUnlimitedSourceGeneratorsPool,Field,useUnlimitedSourceGeneratorsPool(boolean),,,,49,1,2,,private boolean useUnlimitedSourceGeneratorsPool;,True
53,onlyRetrieveFromCache,Field,onlyRetrieveFromCache(boolean),,,,38,1,2,,private boolean onlyRetrieveFromCache;,True
54,isScaleOnlyOrNoTransform,Field,,,,,48,1,2,,private boolean isScaleOnlyOrNoTransform = true;,True
