index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,serialVersionUID,Field,,,,,48,1,26,,private static final long serialVersionUID = 1L;,False
2,id,Field,setId(String),,,,20,1,4,,protected String id;,True
3,revision,Field,setRevision(int),,,,23,1,4,,protected int revision;,True
4,type,Field,setType(String),,,,22,1,4,,protected String type;,False
5,userId,Field,setUserId(String),,,,24,1,4,,protected String userId;,False
6,key,Field,setKey(String),,,,21,1,4,,protected String key;,False
7,value,Field,setValue(String),,,,23,1,4,,protected String value;,False
8,password,Field,setPassword(String),,,,26,1,4,,protected String password;,False
9,passwordBytes,Field,setPasswordBytes(byte[]),,,,31,1,4,,protected byte[] passwordBytes;,False
10,parentId,Field,setParentId(String),,,,26,1,4,,protected String parentId;,False
11,details,Field,"setDetails(Map<String,String>)",,,,38,1,4,,"protected Map<String, String> details;",False
12,IdentityInfoEntityImpl(),Method,,,,,42,3,1,,"public IdentityInfoEntityImpl() {
    
  }",False
13,getPersistentState(),Method,,,"java.util.HashMap+HashMap() java.util.Map+put(K,V) java.util.Map+put(K,V) java.util.Map+put(K,V) java.util.Map+put(K,V)",org.activiti.engine.impl.persistence.entity.IdentityInfoEntityImpl+value org.activiti.engine.impl.persistence.entity.IdentityInfoEntityImpl+passwordBytes,234,6,1,,"public Object getPersistentState() {
    Map<String, Object> persistentState = new HashMap<String, Object>();
    persistentState.put(""value"", value);
    persistentState.put(""password"", passwordBytes);
    return persistentState;
  }",False
14,getRevisionNext(),Method,,,,org.activiti.engine.impl.persistence.entity.IdentityInfoEntityImpl+revision,59,3,1,,"public int getRevisionNext() {
    return revision + 1;
  }",True
15,getId(),Method,,,,org.activiti.engine.impl.persistence.entity.IdentityInfoEntityImpl+id,42,3,1,,"public String getId() {
    return id;
  }",True
16,setId(String),Method,,,,org.activiti.engine.impl.persistence.entity.IdentityInfoEntityImpl+id org.activiti.engine.impl.persistence.entity.IdentityInfoEntityImpl+id,52,3,1,,"public void setId(String id) {
    this.id = id;
  }",True
17,getRevision(),Method,,,,org.activiti.engine.impl.persistence.entity.IdentityInfoEntityImpl+revision,51,3,1,,"public int getRevision() {
    return revision;
  }",True
18,setRevision(int),Method,,,,org.activiti.engine.impl.persistence.entity.IdentityInfoEntityImpl+revision org.activiti.engine.impl.persistence.entity.IdentityInfoEntityImpl+revision,73,3,1,,"public void setRevision(int revision) {
    this.revision = revision;
  }",True
19,getType(),Method,,,,org.activiti.engine.impl.persistence.entity.IdentityInfoEntityImpl+type,46,3,1,,"public String getType() {
    return type;
  }",False
20,setType(String),Method,,,,org.activiti.engine.impl.persistence.entity.IdentityInfoEntityImpl+type org.activiti.engine.impl.persistence.entity.IdentityInfoEntityImpl+type,60,3,1,,"public void setType(String type) {
    this.type = type;
  }",False
21,getUserId(),Method,,,,org.activiti.engine.impl.persistence.entity.IdentityInfoEntityImpl+userId,50,3,1,,"public String getUserId() {
    return userId;
  }",False
22,setUserId(String),Method,,,,org.activiti.engine.impl.persistence.entity.IdentityInfoEntityImpl+userId org.activiti.engine.impl.persistence.entity.IdentityInfoEntityImpl+userId,68,3,1,,"public void setUserId(String userId) {
    this.userId = userId;
  }",False
23,getKey(),Method,,,,org.activiti.engine.impl.persistence.entity.IdentityInfoEntityImpl+key,44,3,1,,"public String getKey() {
    return key;
  }",False
24,setKey(String),Method,,,,org.activiti.engine.impl.persistence.entity.IdentityInfoEntityImpl+key org.activiti.engine.impl.persistence.entity.IdentityInfoEntityImpl+key,56,3,1,,"public void setKey(String key) {
    this.key = key;
  }",False
25,getValue(),Method,,,,org.activiti.engine.impl.persistence.entity.IdentityInfoEntityImpl+value,48,3,1,,"public String getValue() {
    return value;
  }",False
26,setValue(String),Method,,,,org.activiti.engine.impl.persistence.entity.IdentityInfoEntityImpl+value org.activiti.engine.impl.persistence.entity.IdentityInfoEntityImpl+value,64,3,1,,"public void setValue(String value) {
    this.value = value;
  }",False
27,getPasswordBytes(),Method,,,,org.activiti.engine.impl.persistence.entity.IdentityInfoEntityImpl+passwordBytes,64,3,1,,"public byte[] getPasswordBytes() {
    return passwordBytes;
  }",False
28,setPasswordBytes(byte[]),Method,,,,org.activiti.engine.impl.persistence.entity.IdentityInfoEntityImpl+passwordBytes org.activiti.engine.impl.persistence.entity.IdentityInfoEntityImpl+passwordBytes,96,3,1,,"public void setPasswordBytes(byte[] passwordBytes) {
    this.passwordBytes = passwordBytes;
  }",False
29,getPassword(),Method,,,,org.activiti.engine.impl.persistence.entity.IdentityInfoEntityImpl+password,54,3,1,,"public String getPassword() {
    return password;
  }",False
30,setPassword(String),Method,,,,org.activiti.engine.impl.persistence.entity.IdentityInfoEntityImpl+password org.activiti.engine.impl.persistence.entity.IdentityInfoEntityImpl+password,76,3,1,,"public void setPassword(String password) {
    this.password = password;
  }",False
31,getName(),Method,,,,org.activiti.engine.impl.persistence.entity.IdentityInfoEntityImpl+key,45,3,1,,"public String getName() {
    return key;
  }",False
32,getUsername(),Method,,,,org.activiti.engine.impl.persistence.entity.IdentityInfoEntityImpl+value,51,3,1,,"public String getUsername() {
    return value;
  }",False
33,getParentId(),Method,,,,org.activiti.engine.impl.persistence.entity.IdentityInfoEntityImpl+parentId,54,3,1,,"public String getParentId() {
    return parentId;
  }",False
34,setParentId(String),Method,,,,org.activiti.engine.impl.persistence.entity.IdentityInfoEntityImpl+parentId org.activiti.engine.impl.persistence.entity.IdentityInfoEntityImpl+parentId,76,3,1,,"public void setParentId(String parentId) {
    this.parentId = parentId;
  }",False
35,getDetails(),Method,,,,org.activiti.engine.impl.persistence.entity.IdentityInfoEntityImpl+details,65,3,1,,"public Map<String, String> getDetails() {
    return details;
  }",False
36,"setDetails(Map<String,String>)",Method,,,,org.activiti.engine.impl.persistence.entity.IdentityInfoEntityImpl+details org.activiti.engine.impl.persistence.entity.IdentityInfoEntityImpl+details,85,3,1,,"public void setDetails(Map<String, String> details) {
    this.details = details;
  }",False
