index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,TAG,Field,,,,,67,1,26,,private static final String TAG = GifDecoder.class.getSimpleName();,False
2,STATUS_OK,Field,,,,,90,4,25,"/** 
 * File read status: No errors.
 */
","/**
     * File read status: No errors.
     */
    public static final int STATUS_OK = 0;",False
3,STATUS_FORMAT_ERROR,Field,,,,,136,4,25,"/** 
 * File read status: Error decoding file (may be partially decoded)
 */
","/**
     * File read status: Error decoding file (may be partially decoded)
     */
    public static final int STATUS_FORMAT_ERROR = 1;",False
4,STATUS_OPEN_ERROR,Field,,,,,110,4,25,"/** 
 * File read status: Unable to open source.
 */
","/**
     * File read status: Unable to open source.
     */
    public static final int STATUS_OPEN_ERROR = 2;",False
5,MAX_STACK_SIZE,Field,,,,,101,4,28,"/** 
 * max decoder pixel stack size
 */
","/**
     * max decoder pixel stack size
     */
    protected static final int MAX_STACK_SIZE = 4096;",False
6,DISPOSAL_UNSPECIFIED,Field,,,,,116,4,26,"/** 
 * GIF Disposal Method meaning take no action
 */
","/**
     * GIF Disposal Method meaning take no action
     */
    private static final int DISPOSAL_UNSPECIFIED = 0;",False
7,DISPOSAL_NONE,Field,,,,,127,4,26,"/** 
 * GIF Disposal Method meaning leave canvas from previous frame
 */
","/**
     * GIF Disposal Method meaning leave canvas from previous frame
     */
    private static final int DISPOSAL_NONE = 1;",False
8,DISPOSAL_BACKGROUND,Field,,,,,133,4,26,"/** 
 * GIF Disposal Method meaning clear canvas to background color
 */
","/**
     * GIF Disposal Method meaning clear canvas to background color
     */
    private static final int DISPOSAL_BACKGROUND = 2;",False
9,DISPOSAL_PREVIOUS,Field,,,,,132,4,26,"/** 
 * GIF Disposal Method meaning clear canvas to frame before last
 */
","/**
     * GIF Disposal Method meaning clear canvas to frame before last
     */
    private static final int DISPOSAL_PREVIOUS = 3;",False
10,status,Field,,,,,83,4,4,"/** 
 * Global status code of GIF data parsing
 */
","/**
     * Global status code of GIF data parsing
     */
    protected int status;",True
11,width,Field,,,,,20,1,4,,protected int width;,True
12,height,Field,,,,,21,1,4,,protected int height;,True
13,gctFlag,Field,,,,,26,1,4,,protected boolean gctFlag;,True
14,gctSize,Field,,,,,22,1,4,,protected int gctSize;,True
15,loopCount,Field,,,,,28,1,4,,protected int loopCount = 1;,True
16,gct,Field,,,,,20,1,4,,protected int[] gct;,True
17,act,Field,,,,,20,1,4,,protected int[] act;,False
18,bgIndex,Field,,,,,22,1,4,,protected int bgIndex;,True
19,bgColor,Field,,,,,22,1,4,,protected int bgColor;,True
20,pixelAspect,Field,,,,,26,1,4,,protected int pixelAspect;,True
21,lctFlag,Field,,,,,26,1,4,,protected boolean lctFlag;,True
22,lctSize,Field,,,,,22,1,4,,protected int lctSize;,True
23,isTransparent,Field,,,,,30,1,2,,private boolean isTransparent;,True
24,rawData,Field,,,,,29,1,4,,protected ByteBuffer rawData;,False
25,block,Field,,,,,39,1,4,,protected byte[] block = new byte[256];,False
26,blockSize,Field,,,,,28,1,4,,protected int blockSize = 0;,True
27,prefix,Field,,,,,25,1,4,,protected short[] prefix;,False
28,suffix,Field,,,,,24,1,4,,protected byte[] suffix;,False
29,pixelStack,Field,,,,,28,1,4,,protected byte[] pixelStack;,False
30,mainPixels,Field,,,,,28,1,4,,protected byte[] mainPixels;,False
31,mainScratch,Field,,,,,28,1,4,,protected int[] mainScratch;,False
32,frames,Field,,,,,37,1,4,,protected ArrayList<GifFrame> frames;,False
33,currentFrame,Field,,,,,32,1,4,,protected GifFrame currentFrame;,True
34,framePointer,Field,,,,,27,1,4,,protected int framePointer;,False
35,frameCount,Field,,,,,25,1,4,,protected int frameCount;,True
36,bitmapPool,Field,,,,,30,1,2,,private BitmapPool bitmapPool;,False
37,currentImage,Field,,,,,28,1,2,,private Bitmap currentImage;,False
38,data,Field,,,,,20,1,2,,private byte[] data;,False
