index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,TAG,Field,,,,,42,1,26,,"private static final String TAG = ""Glide"";",False
2,GLIDE,Field,,,,,47,1,26,,private static final Glide GLIDE = new Glide();,False
3,metadataTracker,Field,,,,,90,1,18,,"private final Map<Target, Metadata> metadataTracker = new WeakHashMap<Target, Metadata>();",False
4,loaderFactory,Field,,,,,78,1,18,,private final GenericLoaderFactory loaderFactory = new GenericLoaderFactory();,False
5,imageManager,Field,,,,,41,1,2,,private ImageManager imageManager = null;,False
6,RequestListener,MemberClass,,,"com.bumptech.glide.Glide.RequestListener+onException(Exception,T,Target) com.bumptech.glide.Glide.RequestListener+onImageReady(T,Target)",,1980,45,1,"/** 
 * A class for monitoring the status of a request while images load.
 * @param < T > The type of the model being loaded
 */
","/**
     * A class for monitoring the status of a request while images load.
     *
     * @param <T> The type of the model being loaded
     */
    public interface RequestListener<T> {

        /**
         * Called when an exception occurs during a load. Will only be called if we currently want to display an image
         * for the given model in the given target. It is recommended to create a single instance per activity/fragment
         * rather than instantiate a new object for each call to {@code Glide.load()} to avoid object churn.
         *
         * <p>
         *     It is safe to reload this or a different model or change what is displayed in the target at this point.
         *     For example:
         * <pre>
         * <code>
         *     public void onException(Exception e, ModelType model, Target target) {
         *         target.setPlaceholder(R.drawable.a_specific_error_for_my_exception);
         *         Glide.load(model).into(target);
         *     }
         * </code>
         * </pre>
         * </p>
         *
         * <p>
         *     Note - if you want to reload this or any other model after an exception, you will need to include all
         *     relevant builder calls (like centerCrop, placeholder etc).
         * </p>
         *
         * @param e The exception, or null
         * @param model The model we were trying to load when the exception occurred
         * @param target The {@link Target} we were trying to load the image into
         */
        public abstract void onException(Exception e, T model, Target target);

        /**
         * Called when a load completes successfully, immediately after
         * {@link Target#onImageReady(android.graphics.Bitmap)}.
         *
         * @param model The specific model that was used to load the image.
         * @param target The target the model was loaded into.
         */
        public abstract void onImageReady(T model, Target target);
    }",False
7,get(),Method,,,,com.bumptech.glide.Glide+GLIDE,133,8,9,"/** 
 * Get the singleton.
 * @return the singleton
 */
","/**
     * Get the singleton.
     *
     * @return the singleton
     */
    public static Glide get() {
        return GLIDE;
    }",False
8,Glide(),Method,,,"com.bumptech.glide.Glide+register(Class<T>,Class<Y>,ModelLoaderFactory<T,Y>) com.bumptech.glide.Glide+register(Class<T>,Class<Y>,ModelLoaderFactory<T,Y>) com.bumptech.glide.loader.bitmap.model.file_descriptor.FileDescriptorFileLoader.Factory+Factory() com.bumptech.glide.Glide+register(Class<T>,Class<Y>,ModelLoaderFactory<T,Y>) com.bumptech.glide.Glide+register(Class<T>,Class<Y>,ModelLoaderFactory<T,Y>) com.bumptech.glide.loader.bitmap.model.stream.StreamFileLoader.Factory+Factory() com.bumptech.glide.Glide+register(Class<T>,Class<Y>,ModelLoaderFactory<T,Y>) com.bumptech.glide.Glide+register(Class<T>,Class<Y>,ModelLoaderFactory<T,Y>) com.bumptech.glide.loader.bitmap.model.file_descriptor.FileDescriptorResourceLoader.Factory+Factory() com.bumptech.glide.Glide+register(Class<T>,Class<Y>,ModelLoaderFactory<T,Y>) com.bumptech.glide.Glide+register(Class<T>,Class<Y>,ModelLoaderFactory<T,Y>) com.bumptech.glide.loader.bitmap.model.stream.StreamResourceLoader.Factory+Factory() com.bumptech.glide.Glide+register(Class<T>,Class<Y>,ModelLoaderFactory<T,Y>) com.bumptech.glide.Glide+register(Class<T>,Class<Y>,ModelLoaderFactory<T,Y>) com.bumptech.glide.loader.bitmap.model.file_descriptor.FileDescriptorStringLoader.Factory+Factory() com.bumptech.glide.Glide+register(Class<T>,Class<Y>,ModelLoaderFactory<T,Y>) com.bumptech.glide.Glide+register(Class<T>,Class<Y>,ModelLoaderFactory<T,Y>) com.bumptech.glide.loader.bitmap.model.stream.StreamStringLoader.Factory+Factory() com.bumptech.glide.Glide+register(Class<T>,Class<Y>,ModelLoaderFactory<T,Y>) com.bumptech.glide.Glide+register(Class<T>,Class<Y>,ModelLoaderFactory<T,Y>) com.bumptech.glide.loader.bitmap.model.file_descriptor.FileDescriptorUriLoader.Factory+Factory() com.bumptech.glide.Glide+register(Class<T>,Class<Y>,ModelLoaderFactory<T,Y>) com.bumptech.glide.Glide+register(Class<T>,Class<Y>,ModelLoaderFactory<T,Y>) com.bumptech.glide.loader.bitmap.model.stream.StreamUriLoader.Factory+Factory() java.lang.Class+forName(String) java.lang.Class+forName(String) com.bumptech.glide.Glide+register(Class<T>,Class<Y>,ModelLoaderFactory<T,Y>) com.bumptech.glide.Glide+register(Class<T>,Class<Y>,ModelLoaderFactory<T,Y>) com.bumptech.glide.volley.VolleyUrlLoader.Factory+Factory()",com.bumptech.glide.Glide+TAG com.bumptech.glide.Glide+TAG,1123,18,4,,"protected Glide() {
        register(File.class, ParcelFileDescriptor.class, new FileDescriptorFileLoader.Factory());
        register(File.class, InputStream.class, new StreamFileLoader.Factory());
        register(Integer.class, ParcelFileDescriptor.class, new FileDescriptorResourceLoader.Factory());
        register(Integer.class, InputStream.class, new StreamResourceLoader.Factory());
        register(String.class, ParcelFileDescriptor.class, new FileDescriptorStringLoader.Factory());
        register(String.class, InputStream.class, new StreamStringLoader.Factory());
        register(Uri.class, ParcelFileDescriptor.class, new FileDescriptorUriLoader.Factory());
        register(Uri.class, InputStream.class, new StreamUriLoader.Factory());
        try {
            Class.forName(""com.bumptech.glide.volley.VolleyUrlLoader$Factory"");
            register(URL.class, InputStream.class, new VolleyUrlLoader.Factory());
        } catch (ClassNotFoundException e) {
            if (Log.isLoggable(TAG, Log.DEBUG)) {
                Log.d(TAG, ""Volley not found, missing url loader"");
            }
        }
    }",False
9,getImageManager(Context),Method,,,com.bumptech.glide.Glide+isImageManagerSet() com.bumptech.glide.Glide+isImageManagerSet() com.bumptech.glide.Glide+setImageManager(Builder) com.bumptech.glide.Glide+setImageManager(Builder) com.bumptech.glide.resize.ImageManager.Builder+Builder(Context),com.bumptech.glide.Glide+imageManager,572,15,1,"/** 
 * Return the current  {@link ImageManager} or create and return a new one if one is not currently set.
 * @see #setImageManager(com.bumptech.glide.resize.ImageManager.Builder)
 * @see #isImageManagerSet()
 * @param context Any {@link Context}. This will not be retained passed this call
 * @return The current ImageManager
 */
","/**
     * Return the current {@link ImageManager} or create and return a new one if one is not currently set.
     *
     * @see #setImageManager(com.bumptech.glide.resize.ImageManager.Builder)
     * @see #isImageManagerSet()
     *
     * @param context Any {@link Context}. This will not be retained passed this call
     * @return The current ImageManager
     */
    public ImageManager getImageManager(Context context) {
        if (!isImageManagerSet()) {
            setImageManager(new ImageManager.Builder(context));
        }
        return imageManager;
    }",False
10,isImageManagerSet(),Method,,,,com.bumptech.glide.Glide+imageManager,591,12,1,"/** 
 * Use to check whether or not an  {@link ImageManager} has been set yet. Can be used in{@link android.app.Activity#onCreate(android.os.Bundle) Activity.onCreate} along with{@link #setImageManager(com.bumptech.glide.resize.ImageManager.Builder) setImageManager} to set an{@link ImageManager} with custom options for use with {@link GenericRequest} and/or as aneasily accessible singleton.
 * @return true iff an {@link ImageManager} is currently set
 */
","/**
     * Use to check whether or not an {@link ImageManager} has been set yet. Can be used in
     * {@link android.app.Activity#onCreate(android.os.Bundle) Activity.onCreate} along with
     * {@link #setImageManager(com.bumptech.glide.resize.ImageManager.Builder) setImageManager} to set an
     * {@link ImageManager} with custom options for use with {@link GenericRequest} and/or as an
     * easily accessible singleton.
     *
     * @return true iff an {@link ImageManager} is currently set
     */
    public boolean isImageManagerSet() {
        return imageManager != null;
    }",False
