index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,mEntries,Field,,,,,131,2,18,"/** 
 * Map of the Key, CacheHeader pairs 
 */
","/** Map of the Key, CacheHeader pairs */
    private final Map<String, CacheHeader> mEntries = new LinkedHashMap<>(16, .75f, true);",False
2,mTotalSize,Field,,,,,99,2,2,"/** 
 * Total amount of space currently used by the cache in bytes. 
 */
","/** Total amount of space currently used by the cache in bytes. */
    private long mTotalSize = 0;",False
3,mRootDirectorySupplier,Field,,,,,119,2,18,"/** 
 * The supplier for the root directory to use for the cache. 
 */
","/** The supplier for the root directory to use for the cache. */
    private final FileSupplier mRootDirectorySupplier;",False
4,mMaxCacheSizeInBytes,Field,,,,,90,2,18,"/** 
 * The maximum size of the cache in bytes. 
 */
","/** The maximum size of the cache in bytes. */
    private final int mMaxCacheSizeInBytes;",False
5,DEFAULT_DISK_USAGE_BYTES,Field,,,,,116,2,26,"/** 
 * Default maximum disk usage in bytes. 
 */
","/** Default maximum disk usage in bytes. */
    private static final int DEFAULT_DISK_USAGE_BYTES = 5 * 1024 * 1024;",True
6,HYSTERESIS_FACTOR,Field,,,,,115,2,24,"/** 
 * High water mark percentage for the cache 
 */
","/** High water mark percentage for the cache */
    @VisibleForTesting static final float HYSTERESIS_FACTOR = 0.9f;",True
7,CACHE_MAGIC,Field,,,,,116,2,26,"/** 
 * Magic number for current version of cache file format. 
 */
","/** Magic number for current version of cache file format. */
    private static final int CACHE_MAGIC = 0x20150306;",True
8,"DiskBasedCache(File,int)",Method,,,+() +get(),com.android.volley.toolbox.DiskBasedCache+mRootDirectorySupplier,768,18,1,"/** 
 * Constructs an instance of the DiskBasedCache at the specified directory.
 * @param rootDirectory The root directory of the cache.
 * @param maxCacheSizeInBytes The maximum size of the cache in bytes. Note that the cache maybriefly exceed this size on disk when writing a new entry that pushes it over the limit until the ensuing pruning completes.
 */
","/**
     * Constructs an instance of the DiskBasedCache at the specified directory.
     *
     * @param rootDirectory The root directory of the cache.
     * @param maxCacheSizeInBytes The maximum size of the cache in bytes. Note that the cache may
     *     briefly exceed this size on disk when writing a new entry that pushes it over the limit
     *     until the ensuing pruning completes.
     */
    public DiskBasedCache(final File rootDirectory, int maxCacheSizeInBytes) {
        mRootDirectorySupplier =
                new FileSupplier() {
                    @Override
                    public File get() {
                        return rootDirectory;
                    }
                };
        mMaxCacheSizeInBytes = maxCacheSizeInBytes;
    }",False
9,"DiskBasedCache(FileSupplier,int)",Method,,,,com.android.volley.toolbox.DiskBasedCache+mRootDirectorySupplier com.android.volley.toolbox.DiskBasedCache+mMaxCacheSizeInBytes,632,12,1,"/** 
 * Constructs an instance of the DiskBasedCache at the specified directory.
 * @param rootDirectorySupplier The supplier for the root directory of the cache.
 * @param maxCacheSizeInBytes The maximum size of the cache in bytes. Note that the cache maybriefly exceed this size on disk when writing a new entry that pushes it over the limit until the ensuing pruning completes.
 */
","/**
     * Constructs an instance of the DiskBasedCache at the specified directory.
     *
     * @param rootDirectorySupplier The supplier for the root directory of the cache.
     * @param maxCacheSizeInBytes The maximum size of the cache in bytes. Note that the cache may
     *     briefly exceed this size on disk when writing a new entry that pushes it over the limit
     *     until the ensuing pruning completes.
     */
    public DiskBasedCache(FileSupplier rootDirectorySupplier, int maxCacheSizeInBytes) {
        mRootDirectorySupplier = rootDirectorySupplier;
        mMaxCacheSizeInBytes = maxCacheSizeInBytes;
    }",False
10,DiskBasedCache(File),Method,,,,com.android.volley.toolbox.DiskBasedCache+DEFAULT_DISK_USAGE_BYTES,319,9,1,"/** 
 * Constructs an instance of the DiskBasedCache at the specified directory using the default maximum cache size of 5MB.
 * @param rootDirectory The root directory of the cache.
 */
","/**
     * Constructs an instance of the DiskBasedCache at the specified directory using the default
     * maximum cache size of 5MB.
     *
     * @param rootDirectory The root directory of the cache.
     */
    public DiskBasedCache(File rootDirectory) {
        this(rootDirectory, DEFAULT_DISK_USAGE_BYTES);
    }",False
