index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,Log,Field,"ConnectionConfiguration(ConnectionType,boolean,int,int,Connection.ClientAuth,InetAddress,int,Connection.TLSPolicy,CertificateStoreConfiguration,CertificateStoreConfiguration,boolean,boolean,Set<String>,Set<String>,Set<String>,Set<String>)",,,,25,1,18,,private final Logger Log;,True
2,enabled,Field,"ConnectionConfiguration(ConnectionType,boolean,int,int,Connection.ClientAuth,InetAddress,int,Connection.TLSPolicy,CertificateStoreConfiguration,CertificateStoreConfiguration,boolean,boolean,Set<String>,Set<String>,Set<String>,Set<String>)",,,,30,1,18,,private final boolean enabled;,False
3,type,Field,"ConnectionConfiguration(ConnectionType,boolean,int,int,Connection.ClientAuth,InetAddress,int,Connection.TLSPolicy,CertificateStoreConfiguration,CertificateStoreConfiguration,boolean,boolean,Set<String>,Set<String>,Set<String>,Set<String>)",,,,34,1,18,,private final ConnectionType type;,False
4,maxThreadPoolSize,Field,"ConnectionConfiguration(ConnectionType,boolean,int,int,Connection.ClientAuth,InetAddress,int,Connection.TLSPolicy,CertificateStoreConfiguration,CertificateStoreConfiguration,boolean,boolean,Set<String>,Set<String>,Set<String>,Set<String>)",,,,36,1,18,,private final int maxThreadPoolSize;,False
5,maxBufferSize,Field,"ConnectionConfiguration(ConnectionType,boolean,int,int,Connection.ClientAuth,InetAddress,int,Connection.TLSPolicy,CertificateStoreConfiguration,CertificateStoreConfiguration,boolean,boolean,Set<String>,Set<String>,Set<String>,Set<String>)",,,,32,1,18,,private final int maxBufferSize;,False
6,clientAuth,Field,,,,,47,1,18,,private final Connection.ClientAuth clientAuth;,False
7,bindAddress,Field,"ConnectionConfiguration(ConnectionType,boolean,int,int,Connection.ClientAuth,InetAddress,int,Connection.TLSPolicy,CertificateStoreConfiguration,CertificateStoreConfiguration,boolean,boolean,Set<String>,Set<String>,Set<String>,Set<String>)",,,,38,1,18,,private final InetAddress bindAddress;,False
8,port,Field,"ConnectionConfiguration(ConnectionType,boolean,int,int,Connection.ClientAuth,InetAddress,int,Connection.TLSPolicy,CertificateStoreConfiguration,CertificateStoreConfiguration,boolean,boolean,Set<String>,Set<String>,Set<String>,Set<String>)",,,,23,1,18,,private final int port;,False
9,tlsPolicy,Field,,,,,45,1,18,,private final Connection.TLSPolicy tlsPolicy;,False
10,identityStoreConfiguration,Field,"ConnectionConfiguration(ConnectionType,boolean,int,int,Connection.ClientAuth,InetAddress,int,Connection.TLSPolicy,CertificateStoreConfiguration,CertificateStoreConfiguration,boolean,boolean,Set<String>,Set<String>,Set<String>,Set<String>)",,,,71,1,18,,private final CertificateStoreConfiguration identityStoreConfiguration;,False
