index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,URL_PREFIX,Field,,,,,65,1,28,,"protected static final String URL_PREFIX = ""socialGroupService/"";",False
2,TYPE_ID_OWNER,Field,,,,,48,1,26,,"private static final String TYPE_ID_OWNER = ""0"";",False
3,TYPE_ID_MEMBER,Field,,,,,49,1,26,,"private static final String TYPE_ID_MEMBER = ""1"";",False
4,ClearspaceGroupProvider(),Method,,,,,40,2,1,,"public ClearspaceGroupProvider() {
    }",False
5,createGroup(String),Method,,,java.lang.UnsupportedOperationException+UnsupportedOperationException(String),,188,3,1,,"public Group createGroup(String name) throws UnsupportedOperationException, GroupAlreadyExistsException {
        throw new UnsupportedOperationException(""Could not create groups."");
    }",True
6,deleteGroup(String),Method,,,java.lang.UnsupportedOperationException+UnsupportedOperationException(String),,158,3,1,,"public void deleteGroup(String name) throws UnsupportedOperationException {
        throw new UnsupportedOperationException(""Could not delete groups."");
    }",True
7,getGroup(String),Method,,,org.jivesoftware.openfire.clearspace.ClearspaceGroupProvider+translateGroup(Element) org.jivesoftware.openfire.clearspace.ClearspaceGroupProvider+translateGroup(Element) org.jivesoftware.openfire.clearspace.ClearspaceGroupProvider+getGroupByName(String) org.jivesoftware.openfire.clearspace.ClearspaceGroupProvider+getGroupByName(String),,125,3,1,,"public Group getGroup(String name) throws GroupNotFoundException {
        return translateGroup(getGroupByName(name));
    }",False
8,"setName(String,String)",Method,,,java.lang.UnsupportedOperationException+UnsupportedOperationException(String),,202,3,1,,"public void setName(String oldName, String newName) throws UnsupportedOperationException, GroupAlreadyExistsException {
        throw new UnsupportedOperationException(""Could not modify groups."");
    }",True
9,"setDescription(String,String)",Method,,,java.lang.UnsupportedOperationException+UnsupportedOperationException(String),,174,3,1,,"public void setDescription(String name, String description) throws GroupNotFoundException {
        throw new UnsupportedOperationException(""Could not modify groups."");
    }",True
10,getGroupCount(),Method,,,"org.jivesoftware.openfire.clearspace.ClearspaceManager+executeRequest(HttpType,String) org.jivesoftware.openfire.clearspace.ClearspaceManager+getInstance() org.jivesoftware.openfire.clearspace.ClearspaceManager+getInstance() org.jivesoftware.openfire.clearspace.ClearspaceManager+executeRequest(HttpType,String) java.lang.Integer+valueOf(String) java.lang.Integer+valueOf(String) java.lang.UnsupportedOperationException+UnsupportedOperationException(String,Throwable)",org.jivesoftware.openfire.clearspace.ClearspaceGroupProvider+URL_PREFIX,462,10,1,,"public int getGroupCount() {
        try {
            String path = URL_PREFIX + ""socialGroupCount"";
            Element element = ClearspaceManager.getInstance().executeRequest(GET, path);
            return Integer.valueOf(getReturn(element));
        } catch (Exception e) {
            // It is not supported exception, wrap it into an UnsupportedOperationException
            throw new UnsupportedOperationException(""Unexpected error"", e);
        }
    }",False
11,getSharedGroupsNames(),Method,,,org.jivesoftware.openfire.clearspace.ClearspaceGroupProvider+getGroupNames() org.jivesoftware.openfire.clearspace.ClearspaceGroupProvider+getGroupNames(),,172,4,1,,"public Collection<String> getSharedGroupsNames() {
        // Return all social group names since every social group is a shared group
        return getGroupNames();
    }",False
12,getGroupNames(),Method,,,"org.jivesoftware.openfire.clearspace.ClearspaceManager+executeRequest(HttpType,String) org.jivesoftware.openfire.clearspace.ClearspaceManager+getInstance() org.jivesoftware.openfire.clearspace.ClearspaceManager+getInstance() org.jivesoftware.openfire.clearspace.ClearspaceManager+executeRequest(HttpType,String) java.lang.UnsupportedOperationException+UnsupportedOperationException(String,Throwable)",org.jivesoftware.openfire.clearspace.ClearspaceGroupProvider+URL_PREFIX,468,11,1,,"public Collection<String> getGroupNames() {
        try {
            String path = URL_PREFIX + ""socialGroupNames"";
            Element element = ClearspaceManager.getInstance().executeRequest(GET, path);

            return parseStringArray(element);
        } catch (Exception e) {
            // It is not supported exception, wrap it into an UnsupportedOperationException
            throw new UnsupportedOperationException(""Unexpected error"", e);
        }
    }",False
13,"getGroupNames(int,int)",Method,,,"org.jivesoftware.openfire.clearspace.ClearspaceManager+executeRequest(HttpType,String) org.jivesoftware.openfire.clearspace.ClearspaceManager+getInstance() org.jivesoftware.openfire.clearspace.ClearspaceManager+getInstance() org.jivesoftware.openfire.clearspace.ClearspaceManager+executeRequest(HttpType,String) java.lang.UnsupportedOperationException+UnsupportedOperationException(String,Throwable)",org.jivesoftware.openfire.clearspace.ClearspaceGroupProvider+URL_PREFIX,538,11,1,,"public Collection<String> getGroupNames(int startIndex, int numResults) {
        try {
            String path = URL_PREFIX + ""socialGroupNamesBounded/"" + startIndex + ""/"" + numResults;
            Element element = ClearspaceManager.getInstance().executeRequest(GET, path);

            return parseStringArray(element);
        } catch (Exception e) {
            // It is not supported exception, wrap it into an UnsupportedOperationException
            throw new UnsupportedOperationException(""Unexpected error"", e);
        }
    }",False
14,getGroupNames(JID),Method,,,"org.jivesoftware.openfire.clearspace.ClearspaceManager+getUserID(JID) org.jivesoftware.openfire.clearspace.ClearspaceManager+getInstance() org.jivesoftware.openfire.clearspace.ClearspaceManager+getInstance() org.jivesoftware.openfire.clearspace.ClearspaceManager+getUserID(JID) org.jivesoftware.openfire.clearspace.ClearspaceManager+executeRequest(HttpType,String) org.jivesoftware.openfire.clearspace.ClearspaceManager+getInstance() org.jivesoftware.openfire.clearspace.ClearspaceManager+getInstance() org.jivesoftware.openfire.clearspace.ClearspaceManager+executeRequest(HttpType,String) java.lang.UnsupportedOperationException+UnsupportedOperationException(String,Throwable) java.lang.UnsupportedOperationException+UnsupportedOperationException(String,Throwable)",org.jivesoftware.openfire.clearspace.ClearspaceGroupProvider+URL_PREFIX,683,14,1,,"public Collection<String> getGroupNames(JID user) {
        try {
            long userID = ClearspaceManager.getInstance().getUserID(user);
            String path = URL_PREFIX + ""userSocialGroupNames/"" + userID;
            Element element = ClearspaceManager.getInstance().executeRequest(GET, path);

            return parseStringArray(element);
        } catch (UserNotFoundException e) {
            throw new UnsupportedOperationException(""User not found"", e);
        } catch (Exception e) {
            // It is not supported exception, wrap it into an UnsupportedOperationException
            throw new UnsupportedOperationException(""Unexpected error"", e);
        }
    }",False
15,"addMember(String,JID,boolean)",Method,,,java.lang.UnsupportedOperationException+UnsupportedOperationException(String),,194,3,1,,"public void addMember(String groupName, JID user, boolean administrator) throws UnsupportedOperationException {
        throw new UnsupportedOperationException(""Could not modify groups."");
    }",True
16,"updateMember(String,JID,boolean)",Method,,,java.lang.UnsupportedOperationException+UnsupportedOperationException(String),,197,3,1,,"public void updateMember(String groupName, JID user, boolean administrator) throws UnsupportedOperationException {
        throw new UnsupportedOperationException(""Could not modify groups."");
    }",True
17,"deleteMember(String,JID)",Method,,,java.lang.UnsupportedOperationException+UnsupportedOperationException(String),,174,3,1,,"public void deleteMember(String groupName, JID user) throws UnsupportedOperationException {
        throw new UnsupportedOperationException(""Could not modify groups."");
    }",True
18,isReadOnly(),Method,,,,,56,3,1,,"public boolean isReadOnly() {
        return true;
    }",True
19,search(String),Method,,,java.lang.UnsupportedOperationException+UnsupportedOperationException(String),,136,3,1,,"public Collection<String> search(String query) {
        throw new UnsupportedOperationException(""Group search is not supported"");
    }",False
20,"search(String,int,int)",Method,,,java.lang.UnsupportedOperationException+UnsupportedOperationException(String),,168,3,1,,"public Collection<String> search(String query, int startIndex, int numResults) {
        throw new UnsupportedOperationException(""Group search is not supported"");
    }",False
21,isSearchSupported(),Method,,,,,64,3,1,,"public boolean isSearchSupported() {
        return false;
    }",False
