index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,Log,Field,,,,,83,1,26,,private static final Logger Log = LoggerFactory.getLogger(JDBCGroupProvider.class);,False
2,connectionString,Field,,,,,32,1,2,,private String connectionString;,False
3,groupCountSQL,Field,,,,,29,1,2,,private String groupCountSQL;,False
4,descriptionSQL,Field,,,,,30,1,2,,private String descriptionSQL;,False
5,allGroupsSQL,Field,,,,,28,1,2,,private String allGroupsSQL;,False
6,userGroupsSQL,Field,,,,,29,1,2,,private String userGroupsSQL;,False
7,loadMembersSQL,Field,,,,,30,1,2,,private String loadMembersSQL;,False
8,loadAdminsSQL,Field,,,,,29,1,2,,private String loadAdminsSQL;,False
9,useConnectionProvider,Field,,,,,38,1,2,,private boolean useConnectionProvider;,False
10,server,Field,,,,,53,1,2,,private XMPPServer server = XMPPServer.getInstance();,False
11,JDBCGroupProvider(),Method,,,"org.jivesoftware.util.JiveGlobals+migrateProperty(String) org.jivesoftware.util.JiveGlobals+migrateProperty(String) org.jivesoftware.util.JiveGlobals+migrateProperty(String) org.jivesoftware.util.JiveGlobals+migrateProperty(String) org.jivesoftware.util.JiveGlobals+migrateProperty(String) org.jivesoftware.util.JiveGlobals+migrateProperty(String) org.jivesoftware.util.JiveGlobals+migrateProperty(String) org.jivesoftware.util.JiveGlobals+migrateProperty(String) org.jivesoftware.util.JiveGlobals+migrateProperty(String) org.jivesoftware.util.JiveGlobals+migrateProperty(String) org.jivesoftware.util.JiveGlobals+migrateProperty(String) org.jivesoftware.util.JiveGlobals+migrateProperty(String) org.jivesoftware.util.JiveGlobals+migrateProperty(String) org.jivesoftware.util.JiveGlobals+migrateProperty(String) org.jivesoftware.util.JiveGlobals+migrateProperty(String) org.jivesoftware.util.JiveGlobals+migrateProperty(String) org.jivesoftware.util.JiveGlobals+getBooleanProperty(String) org.jivesoftware.util.JiveGlobals+getBooleanProperty(String) org.jivesoftware.util.JiveGlobals+getProperty(String) org.jivesoftware.util.JiveGlobals+getProperty(String) java.lang.Class+newInstance() java.lang.Class+forName(String) java.lang.Class+forName(String) java.lang.Class+newInstance() org.slf4j.Logger+error(String,Throwable) org.slf4j.Logger+error(String,Throwable) org.jivesoftware.util.JiveGlobals+getProperty(String) org.jivesoftware.util.JiveGlobals+getProperty(String) org.jivesoftware.util.JiveGlobals+getProperty(String) org.jivesoftware.util.JiveGlobals+getProperty(String) org.jivesoftware.util.JiveGlobals+getProperty(String) org.jivesoftware.util.JiveGlobals+getProperty(String) org.jivesoftware.util.JiveGlobals+getProperty(String) org.jivesoftware.util.JiveGlobals+getProperty(String) org.jivesoftware.util.JiveGlobals+getProperty(String) org.jivesoftware.util.JiveGlobals+getProperty(String) org.jivesoftware.util.JiveGlobals+getProperty(String) org.jivesoftware.util.JiveGlobals+getProperty(String) org.jivesoftware.util.JiveGlobals+getProperty(String) org.jivesoftware.util.JiveGlobals+getProperty(String)",org.jivesoftware.openfire.group.JDBCGroupProvider+useConnectionProvider org.jivesoftware.openfire.group.JDBCGroupProvider+useConnectionProvider org.jivesoftware.openfire.group.JDBCGroupProvider+Log org.jivesoftware.openfire.group.JDBCGroupProvider+connectionString org.jivesoftware.openfire.group.JDBCGroupProvider+groupCountSQL org.jivesoftware.openfire.group.JDBCGroupProvider+allGroupsSQL org.jivesoftware.openfire.group.JDBCGroupProvider+userGroupsSQL org.jivesoftware.openfire.group.JDBCGroupProvider+descriptionSQL org.jivesoftware.openfire.group.JDBCGroupProvider+loadMembersSQL org.jivesoftware.openfire.group.JDBCGroupProvider+loadAdminsSQL,1921,37,1,"/** 
 * Constructor of the JDBCGroupProvider class.
 */
","/**
     * Constructor of the JDBCGroupProvider class.
     */
    public JDBCGroupProvider() {
        // Convert XML based provider setup to Database based
        JiveGlobals.migrateProperty(""jdbcProvider.driver"");
        JiveGlobals.migrateProperty(""jdbcProvider.connectionString"");
        JiveGlobals.migrateProperty(""jdbcGroupProvider.groupCountSQL"");
        JiveGlobals.migrateProperty(""jdbcGroupProvider.allGroupsSQL"");
        JiveGlobals.migrateProperty(""jdbcGroupProvider.userGroupsSQL"");
        JiveGlobals.migrateProperty(""jdbcGroupProvider.descriptionSQL"");
        JiveGlobals.migrateProperty(""jdbcGroupProvider.loadMembersSQL"");
        JiveGlobals.migrateProperty(""jdbcGroupProvider.loadAdminsSQL"");

        useConnectionProvider = JiveGlobals.getBooleanProperty(""jdbcGroupProvider.useConnectionProvider"");

        if (!useConnectionProvider) {
            // Load the JDBC driver and connection string.
            String jdbcDriver = JiveGlobals.getProperty(""jdbcProvider.driver"");
            try {
                Class.forName(jdbcDriver).newInstance();
            }
            catch (Exception e) {
                Log.error(""Unable to load JDBC driver: "" + jdbcDriver, e);
                return;
            }
            connectionString = JiveGlobals.getProperty(""jdbcProvider.connectionString"");
        }

        // Load SQL statements
        groupCountSQL = JiveGlobals.getProperty(""jdbcGroupProvider.groupCountSQL"");
        allGroupsSQL = JiveGlobals.getProperty(""jdbcGroupProvider.allGroupsSQL"");
        userGroupsSQL = JiveGlobals.getProperty(""jdbcGroupProvider.userGroupsSQL"");
        descriptionSQL = JiveGlobals.getProperty(""jdbcGroupProvider.descriptionSQL"");
        loadMembersSQL = JiveGlobals.getProperty(""jdbcGroupProvider.loadMembersSQL"");
        loadAdminsSQL = JiveGlobals.getProperty(""jdbcGroupProvider.loadAdminsSQL"");
    }",False
12,createGroup(String),Method,,,java.lang.UnsupportedOperationException+UnsupportedOperationException(),,363,9,1,"/** 
 * Always throws an UnsupportedOperationException because JDBC groups are read-only.
 * @param name the name of the group to create.
 * @throws UnsupportedOperationException when called.
 */
","/**
     * Always throws an UnsupportedOperationException because JDBC groups are read-only.
     *
     * @param name the name of the group to create.
     * @throws UnsupportedOperationException when called.
     */
    public Group createGroup(String name) throws UnsupportedOperationException {
        throw new UnsupportedOperationException();
    }",True
13,deleteGroup(String),Method,,,java.lang.UnsupportedOperationException+UnsupportedOperationException(),,361,9,1,"/** 
 * Always throws an UnsupportedOperationException because JDBC groups are read-only.
 * @param name the name of the group to delete
 * @throws UnsupportedOperationException when called.
 */
","/**
     * Always throws an UnsupportedOperationException because JDBC groups are read-only.
     *
     * @param name the name of the group to delete
     * @throws UnsupportedOperationException when called.
     */
    public void deleteGroup(String name) throws UnsupportedOperationException {
        throw new UnsupportedOperationException();
    }",True
