index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,TAG,Field,,,,,54,1,26,,"private static final String TAG = ""ActionBarSherlock"";",False
2,DEBUG,Field,,,,,42,1,26,,private static final boolean DEBUG = true;,False
3,DEFAULT_FEATURES,Field,,,,,137,2,28,"/** 
 * Window features which are enabled by default. 
 */
","/** Window features which are enabled by default. */
    protected static final int DEFAULT_FEATURES = (1 << Window.FEATURE_ACTION_BAR);",True
4,OnCreatePanelMenuListener,MemberClass,,,"com.actionbarsherlock.ActionBarSherlock.OnCreatePanelMenuListener+onCreatePanelMenu(int,Menu)",,179,4,1,"/** 
 * Activity interface for menu creation callback. 
 */
","/** Activity interface for menu creation callback. */
    public interface OnCreatePanelMenuListener {
        public boolean onCreatePanelMenu(int featureId, Menu menu);
    }",False
5,OnMenuItemSelectedListener,MemberClass,,,"com.actionbarsherlock.ActionBarSherlock.OnMenuItemSelectedListener+onMenuItemSelected(int,MenuItem)",,191,4,1,"/** 
 * Activity interface for menu item selection callback. 
 */
","/** Activity interface for menu item selection callback. */
    public interface OnMenuItemSelectedListener {
        public boolean onMenuItemSelected(int featureId, MenuItem item);
    }",False
6,OnPreparePanelListener,MemberClass,,,"com.actionbarsherlock.ActionBarSherlock.OnPreparePanelListener+onPreparePanel(int,View,Menu)",,187,4,1,"/** 
 * Activity interface for menu preparation callback. 
 */
","/** Activity interface for menu preparation callback. */
    public interface OnPreparePanelListener {
        public boolean onPreparePanel(int featureId, View view, Menu menu);
    }",False
7,OnActionModeFinishedListener,MemberClass,,,com.actionbarsherlock.ActionBarSherlock.OnActionModeFinishedListener+onActionModeFinished(ActionMode),,180,4,1,"/** 
 * Activity interface for action mode finished callback. 
 */
","/** Activity interface for action mode finished callback. */
    public interface OnActionModeFinishedListener {
        public void onActionModeFinished(ActionMode mode);
    }",False
8,OnActionModeStartedListener,MemberClass,,,com.actionbarsherlock.ActionBarSherlock.OnActionModeStartedListener+onActionModeStarted(ActionMode),,177,4,1,"/** 
 * Activity interface for action mode started callback. 
 */
","/** Activity interface for action mode started callback. */
    public interface OnActionModeStartedListener {
        public void onActionModeStarted(ActionMode mode);
    }",False
9,wrap(Activity),Method,,,"com.actionbarsherlock.ActionBarSherlock+ActionBarSherlock(Activity,boolean)",,321,9,9,"/** 
 * Wrap an existing activity with a custom action bar implementation.
 * @param activity Activity to wrap.
 * @return Instance to interact with the action bar.
 */
","/**
     * Wrap an existing activity with a custom action bar implementation.
     *
     * @param activity Activity to wrap.
     * @return Instance to interact with the action bar.
     */
    public static ActionBarSherlock wrap(Activity activity) {
        return new ActionBarSherlock(activity, false);
    }",False
10,asDelegateFor(Activity),Method,,,"com.actionbarsherlock.ActionBarSherlock+ActionBarSherlock(Activity,boolean)",,392,10,9,"/** 
 * Act as a delegate for another class which is providing the services of an action bar along with its normal responsibility.
 * @param activity Owning activity.
 * @return Instance to interact with the action bar.
 */
","/**
     * Act as a delegate for another class which is providing the services
     * of an action bar along with its normal responsibility.
     *
     * @param activity Owning activity.
     * @return Instance to interact with the action bar.
     */
    public static ActionBarSherlock asDelegateFor(Activity activity) {
        return new ActionBarSherlock(activity, true);
    }",False
11,mActivity,Field,,,,,113,2,18,"/** 
 * Activity which is displaying the action bar. Also used for context. 
 */
","/** Activity which is displaying the action bar. Also used for context. */
    private final Activity mActivity;",False
12,mIsDelegate,Field,,,,,113,2,18,"/** 
 * Whether delegating actions for the activity or managing ourselves. 
 */
","/** Whether delegating actions for the activity or managing ourselves. */
    private final boolean mIsDelegate;",True
13,mReserveOverflow,Field,,,,,104,2,2,"/** 
 * Whether or not the device has a dedicated menu key button. 
 */
","/** Whether or not the device has a dedicated menu key button. */
    private boolean mReserveOverflow;",True
14,mReserveOverflowSet,Field,,,,,107,2,2,"/** 
 * Lazy-load indicator for  {@link #mReserveOverflow}. 
 */
","/** Lazy-load indicator for {@link #mReserveOverflow}. */
    private boolean mReserveOverflowSet = false;",True
15,mDecor,Field,,,,,100,2,2,"/** 
 * Parent view of the window decoration (action bar, mode, etc.). 
 */
","/** Parent view of the window decoration (action bar, mode, etc.). */
    private ViewGroup mDecor;",True
16,mContentParent,Field,,,,,82,2,2,"/** 
 * Parent view of the activity content. 
 */
","/** Parent view of the activity content. */
    private ViewGroup mContentParent;",True
17,mActionBar,Field,,,,,102,2,2,"/** 
 * Implementation which backs the action bar interface API. 
 */
","/** Implementation which backs the action bar interface API. */
    private ActionBarImpl mActionBar;",True
18,mActionBarView,Field,,,,,103,2,2,"/** 
 * Main action bar view which displays the core content. 
 */
","/** Main action bar view which displays the core content. */
    private ActionBarView mActionBarView;",True
19,mFeatures,Field,,,,,100,2,2,"/** 
 * Relevant window and action bar features flags. 
 */
","/** Relevant window and action bar features flags. */
    private int mFeatures = DEFAULT_FEATURES;",True
20,mUiOptions,Field,,,,,77,2,2,"/** 
 * Relevant user interface option flags. 
 */
","/** Relevant user interface option flags. */
    private int mUiOptions = 0;",True
21,mCircularProgressBar,Field,,,,,96,2,2,"/** 
 * Decor indeterminate progress indicator. 
 */
","/** Decor indeterminate progress indicator. */
    private IcsProgressBar mCircularProgressBar;",True
22,mHorizontalProgressBar,Field,,,,,84,2,2,"/** 
 * Decor progress indicator. 
 */
","/** Decor progress indicator. */
    private IcsProgressBar mHorizontalProgressBar;",True
23,mActionMode,Field,,,,,89,2,2,"/** 
 * Current displayed context action bar, if any. 
 */
","/** Current displayed context action bar, if any. */
    private ActionMode mActionMode;",True
24,mActionModeView,Field,,,,,115,2,2,"/** 
 * Parent view in which the context action bar is displayed. 
 */
","/** Parent view in which the context action bar is displayed. */
    private ActionBarContextView mActionModeView;",True
25,mIsTitleReady,Field,,,,,107,2,2,"/** 
 * Whether or not the title is stable and can be displayed. 
 */
","/** Whether or not the title is stable and can be displayed. */
    private boolean mIsTitleReady = false;",False
26,mMenuInflater,Field,,,,,114,2,2,"/** 
 * Reference to our custom menu inflater which supports action items. 
 */
","/** Reference to our custom menu inflater which supports action items. */
    private MenuInflater mMenuInflater;",False
27,mMenu,Field,,,,,87,2,2,"/** 
 * Current menu instance for managing action items. 
 */
","/** Current menu instance for managing action items. */
    private MenuBuilder mMenu;",False
28,mNativeItemMap,Field,,,,,148,2,2,"/** 
 * Map between native options items and sherlock items (pre-3.0 only). 
 */
","/** Map between native options items and sherlock items (pre-3.0 only). */
    private HashMap<android.view.MenuItem, MenuItemImpl> mNativeItemMap;",False
29,mLastCreateResult,Field,,,,,92,2,2,"/** 
 * Result of the last dispatch of menu creation. 
 */
","/** Result of the last dispatch of menu creation. */
    private boolean mLastCreateResult;",False
30,mLastPrepareResult,Field,,,,,96,2,2,"/** 
 * Result of the last dispatch of menu preparation. 
 */
","/** Result of the last dispatch of menu preparation. */
    private boolean mLastPrepareResult;",False
31,mMenuPresenterCallback,Field,,,,,474,13,18,"/** 
 * Action bar menu-related callbacks. 
 */
","/** Action bar menu-related callbacks. */
    private final MenuPresenter.Callback mMenuPresenterCallback = new MenuPresenter.Callback() {
        @Override
        public boolean onOpenSubMenu(MenuBuilder subMenu) {
            // TODO Auto-generated method stub
            return false;
        }

        @Override
        public void onCloseMenu(MenuBuilder menu, boolean allMenusAreClosing) {
            // TODO Auto-generated method stub
        }
    };",False
32,mMenuBuilderCallback,Field,,,,,442,12,18,"/** 
 * Menu callbacks triggered with actions on our items. 
 */
","/** Menu callbacks triggered with actions on our items. */
    private final MenuBuilder.Callback mMenuBuilderCallback = new MenuBuilder.Callback() {
        @Override
        public void onMenuModeChange(MenuBuilder menu) {
            reopenMenu(true);
        }

        @Override
        public boolean onMenuItemSelected(MenuBuilder menu, MenuItem item) {
            return dispatchOptionsItemSelected(item);
        }
    };",False
33,mNativeItemListener,Field,,,,,754,16,18,"/** 
 * Native menu item callback which proxies to our callback. 
 */
","/** Native menu item callback which proxies to our callback. */
    private final android.view.MenuItem.OnMenuItemClickListener mNativeItemListener = new android.view.MenuItem.OnMenuItemClickListener() {
        @Override
        public boolean onMenuItemClick(android.view.MenuItem item) {
            if (DEBUG) Log.d(TAG, ""[mNativeItemListener.onMenuItemClick] item: "" + item);

            final MenuItemImpl sherlockItem = mNativeItemMap.get(item);
            if (sherlockItem != null) {
                sherlockItem.invoke();
            } else {
                Log.e(TAG, ""Options item \"""" + item + ""\"" not found in mapping"");
            }

            return true; //Do not allow continuation of native handling
        }
    };",False
34,mWindowCallback,Field,,,,,347,7,18,"/** 
 * Window callback for the home action item. 
 */
","/** Window callback for the home action item. */
    private final com.actionbarsherlock.view.Window.Callback mWindowCallback = new com.actionbarsherlock.view.Window.Callback() {
        @Override
        public boolean onMenuItemSelected(int featureId, MenuItem item) {
            return dispatchOptionsItemSelected(item);
        }
    };",True
35,"ActionBarSherlock(Activity,boolean)",Method,,,,com.actionbarsherlock.ActionBarSherlock+DEBUG com.actionbarsherlock.ActionBarSherlock+TAG com.actionbarsherlock.ActionBarSherlock+mActivity com.actionbarsherlock.ActionBarSherlock+mIsDelegate,255,6,2,,"private ActionBarSherlock(Activity activity, boolean isDelegateOnly) {
        if (DEBUG) Log.d(TAG, ""[<ctor>] activity: "" + activity + "", isDelegateOnly: "" + isDelegateOnly);

        mActivity = activity;
        mIsDelegate = isDelegateOnly;
    }",False
36,isReservingOverflow(),Method,,,com.actionbarsherlock.internal.view.menu.ActionMenuPresenter+reserveOverflow(Context) com.actionbarsherlock.internal.view.menu.ActionMenuPresenter+reserveOverflow(Context),com.actionbarsherlock.ActionBarSherlock+mReserveOverflowSet com.actionbarsherlock.ActionBarSherlock+mReserveOverflow com.actionbarsherlock.ActionBarSherlock+mActivity com.actionbarsherlock.ActionBarSherlock+mReserveOverflowSet com.actionbarsherlock.ActionBarSherlock+mReserveOverflow,405,12,2,"/** 
 * Determine whether or not the device has a dedicated menu key.
 * @return {@code true} if native menu key is present.
 */
","/**
     * Determine whether or not the device has a dedicated menu key.
     *
     * @return {@code true} if native menu key is present.
     */
    private boolean isReservingOverflow() {
        if (!mReserveOverflowSet) {
            mReserveOverflow = ActionMenuPresenter.reserveOverflow(mActivity);
            mReserveOverflowSet = true;
        }
        return mReserveOverflow;
    }",True
37,getActionBar(),Method,,,com.actionbarsherlock.ActionBarSherlock+initActionBar() com.actionbarsherlock.ActionBarSherlock+initActionBar(),com.actionbarsherlock.ActionBarSherlock+DEBUG com.actionbarsherlock.ActionBarSherlock+TAG com.actionbarsherlock.ActionBarSherlock+mActionBar,254,11,1,"/** 
 * Get the current action bar instance.
 * @return Action bar instance.
 */
","/**
     * Get the current action bar instance.
     *
     * @return Action bar instance.
     */
    public ActionBar getActionBar() {
        if (DEBUG) Log.d(TAG, ""[getActionBar]"");

        initActionBar();
        return mActionBar;
    }",False
38,initActionBar(),Method,,,"com.actionbarsherlock.ActionBarSherlock+installDecor() com.actionbarsherlock.ActionBarSherlock+installDecor() com.actionbarsherlock.ActionBarSherlock+hasFeature(int) com.actionbarsherlock.ActionBarSherlock+hasFeature(int) com.actionbarsherlock.internal.app.ActionBarImpl+ActionBarImpl(Activity,int) com.actionbarsherlock.internal.app.ActionBarImpl+setTitle(CharSequence) com.actionbarsherlock.internal.app.ActionBarImpl+setTitle(CharSequence)",com.actionbarsherlock.ActionBarSherlock+DEBUG com.actionbarsherlock.ActionBarSherlock+TAG com.actionbarsherlock.ActionBarSherlock+mDecor com.actionbarsherlock.ActionBarSherlock+mActionBar com.actionbarsherlock.ActionBarSherlock+mActivity com.actionbarsherlock.ActionBarSherlock+mActionBar com.actionbarsherlock.ActionBarSherlock+mActivity com.actionbarsherlock.ActionBarSherlock+mFeatures com.actionbarsherlock.ActionBarSherlock+mIsDelegate com.actionbarsherlock.ActionBarSherlock+mActionBar com.actionbarsherlock.ActionBarSherlock+mActivity,684,20,2,,"private void initActionBar() {
        if (DEBUG) Log.d(TAG, ""[initActionBar]"");

        // Initializing the window decor can change window feature flags.
        // Make sure that we have the correct set before performing the test below.
        if (mDecor == null) {
            installDecor();
        }

        if ((mActionBar != null) || !hasFeature(Window.FEATURE_ACTION_BAR) || mActivity.isChild()) {
            return;
        }

        mActionBar = new ActionBarImpl(mActivity, mFeatures);

        if (!mIsDelegate) {
            //We may never get another chance to set the title
            mActionBar.setTitle(mActivity.getTitle());
        }
    }",True
39,dispatchConfigurationChanged(Configuration),Method,,,com.actionbarsherlock.internal.app.ActionBarImpl+onConfigurationChanged(Configuration) com.actionbarsherlock.internal.app.ActionBarImpl+onConfigurationChanged(Configuration),com.actionbarsherlock.ActionBarSherlock+DEBUG com.actionbarsherlock.ActionBarSherlock+TAG com.actionbarsherlock.ActionBarSherlock+mActionBar com.actionbarsherlock.ActionBarSherlock+mActionBar,765,21,1,"/** 
 * Notify action bar of a configuration change event. Should be dispatched after the call to the superclass implementation. <blockquote><pre>
 * @Override public void onConfigurationChanged(Configuration newConfig) { super.onConfigurationChanged(newConfig); mSherlock.dispatchConfigurationChanged(newConfig); } </pre></blockquote>
 * @param newConfig The new device configuration.
 */
","/**
     * Notify action bar of a configuration change event. Should be dispatched
     * after the call to the superclass implementation.
     *
     * <blockquote><pre>
     * @Override
     * public void onConfigurationChanged(Configuration newConfig) {
     *     super.onConfigurationChanged(newConfig);
     *     mSherlock.dispatchConfigurationChanged(newConfig);
     * }
     * </pre></blockquote>
     *
     * @param newConfig The new device configuration.
     */
    public void dispatchConfigurationChanged(Configuration newConfig) {
        if (DEBUG) Log.d(TAG, ""[dispatchConfigurationChanged] newConfig: "" + newConfig);

        if (mActionBar != null) {
            mActionBar.onConfigurationChanged(newConfig);
        }
    }",True
40,dispatchPostResume(),Method,,,com.actionbarsherlock.internal.app.ActionBarImpl+setShowHideAnimationEnabled(boolean) com.actionbarsherlock.internal.app.ActionBarImpl+setShowHideAnimationEnabled(boolean),com.actionbarsherlock.ActionBarSherlock+DEBUG com.actionbarsherlock.ActionBarSherlock+TAG com.actionbarsherlock.ActionBarSherlock+mActionBar com.actionbarsherlock.ActionBarSherlock+mActionBar,588,19,1,"/** 
 * Notify the action bar that the activity has finished its resuming. This should be dispatched after the call to the superclass implementation. <blockquote><pre>
 * @Override protected void onPostResume() { super.onPostResume(); mSherlock.dispatchPostResume(); } </pre></blockquote>
 */
","/**
     * Notify the action bar that the activity has finished its resuming. This
     * should be dispatched after the call to the superclass implementation.
     *
     * <blockquote><pre>
     * @Override
     * protected void onPostResume() {
     *     super.onPostResume();
     *     mSherlock.dispatchPostResume();
     * }
     * </pre></blockquote>
     */
    public void dispatchPostResume() {
        if (DEBUG) Log.d(TAG, ""[dispatchPostResume]"");

        if (mActionBar != null) {
            mActionBar.setShowHideAnimationEnabled(true);
        }
    }",True
