index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,getFolderPipelineTest(),Method,,,"io.jenkins.blueocean.service.embedded.BaseTest+get(String) io.jenkins.blueocean.service.embedded.BaseTest+get(String) io.jenkins.blueocean.service.embedded.BaseTest+validatePipeline(Job,Map) io.jenkins.blueocean.service.embedded.BaseTest+validatePipeline(Job,Map)",io.jenkins.blueocean.service.embedded.BaseTest+j,320,8,1,,"@Test
    public void getFolderPipelineTest() throws IOException {
        MockFolder folder = j.createFolder(""folder1"");
        Project p = folder.createProject(FreeStyleProject.class, ""test1"");

        Map response = get(""/organizations/jenkins/pipelines/folder1/test1"");
        validatePipeline(p, response);
    }",False
2,getNestedFolderPipelineTest(),Method,,,"io.jenkins.blueocean.service.embedded.BaseTest+get(String,Class<T>) io.jenkins.blueocean.service.embedded.BaseTest+get(String,Class<T>) org.junit.Assert+assertEquals(long,long) org.junit.Assert+assertEquals(long,long) java.util.List+size() java.util.List+size() io.jenkins.blueocean.service.embedded.BaseTest+get(String) io.jenkins.blueocean.service.embedded.BaseTest+get(String) io.jenkins.blueocean.service.embedded.BaseTest+validatePipeline(Job,Map) io.jenkins.blueocean.service.embedded.BaseTest+validatePipeline(Job,Map) io.jenkins.blueocean.service.embedded.BaseTest+get(String,Class<T>) io.jenkins.blueocean.service.embedded.BaseTest+get(String,Class<T>) org.junit.Assert+assertEquals(long,long) org.junit.Assert+assertEquals(long,long) java.util.List+size() java.util.List+size() io.jenkins.blueocean.service.embedded.BaseTest+validatePipeline(Job,Map) io.jenkins.blueocean.service.embedded.BaseTest+validatePipeline(Job,Map) java.util.List+get(int) java.util.List+get(int) io.jenkins.blueocean.service.embedded.BaseTest+get(String,Class<T>) io.jenkins.blueocean.service.embedded.BaseTest+get(String,Class<T>) org.junit.Assert+assertEquals(long,long) org.junit.Assert+assertEquals(long,long) java.util.List+size() java.util.List+size() org.junit.Assert+assertEquals(Object,Object) org.junit.Assert+assertEquals(Object,Object) java.util.Map+get(Object) java.util.List+get(int) java.util.List+get(int) java.util.Map+get(Object) org.junit.Assert+assertEquals(Object,Object) org.junit.Assert+assertEquals(Object,Object) java.util.Map+get(Object) java.util.List+get(int) java.util.List+get(int) java.util.Map+get(Object) io.jenkins.blueocean.service.embedded.BaseTest+get(String) io.jenkins.blueocean.service.embedded.BaseTest+get(String) org.junit.Assert+assertEquals(Object,Object) org.junit.Assert+assertEquals(Object,Object) java.util.Map+get(Object) java.util.Map+get(Object) org.junit.Assert+assertEquals(Object,Object) org.junit.Assert+assertEquals(Object,Object) java.util.Map+get(Object) java.util.Map+get(Object) org.junit.Assert+assertEquals(Object,Object) org.junit.Assert+assertEquals(Object,Object) java.util.Map+get(Object) java.util.Map+get(Object) org.junit.Assert+assertEquals(Object,Object) org.junit.Assert+assertEquals(Object,Object) java.util.Map+get(Object) java.util.Map+get(Object) org.junit.Assert+assertEquals(Object,Object) org.junit.Assert+assertEquals(Object,Object) java.util.Map+get(Object) java.util.Map+get(Object)",io.jenkins.blueocean.service.embedded.BaseTest+j,1638,32,1,,"@Test
    public void getNestedFolderPipelineTest() throws IOException {
        MockFolder folder1 = j.createFolder(""folder1"");
        Project p1 = folder1.createProject(FreeStyleProject.class, ""test1"");
        MockFolder folder2 = folder1.createProject(MockFolder.class, ""folder2"");
        MockFolder folder3 = folder1.createProject(MockFolder.class, ""folder3"");
        Project p2 = folder2.createProject(FreeStyleProject.class, ""test2"");

        List<Map> topFolders = get(""/organizations/jenkins/pipelines/"", List.class);

        Assert.assertEquals(1, topFolders.size());

        Map response = get(""/organizations/jenkins/pipelines/folder1/pipelines/folder2/test2"");
        validatePipeline(p2, response);

        List<Map> pipelines = get(""/organizations/jenkins/pipelines/folder1/pipelines/folder2/pipelines/"", List.class);
        Assert.assertEquals(1, pipelines.size());
        validatePipeline(p2, pipelines.get(0));

        pipelines = get(""/organizations/jenkins/pipelines/folder1/pipelines/"", List.class);
        Assert.assertEquals(3, pipelines.size());
        Assert.assertEquals(""folder2"", pipelines.get(0).get(""name""));
        Assert.assertEquals(""folder1/folder2"", pipelines.get(0).get(""fullName""));

        response = get(""/organizations/jenkins/pipelines/folder1"");
        Assert.assertEquals(""folder1"", response.get(""name""));
        Assert.assertEquals(""folder1"", response.get(""displayName""));
        Assert.assertEquals(2, response.get(""numberOfFolders""));
        Assert.assertEquals(1, response.get(""numberOfPipelines""));
        Assert.assertEquals(""folder1"", response.get(""fullName""));

    }",False
3,getPipelinesTest(),Method,,,"io.jenkins.blueocean.service.embedded.BaseTest+get(String,Class<T>) io.jenkins.blueocean.service.embedded.BaseTest+get(String,Class<T>) org.junit.Assert+assertEquals(long,long) org.junit.Assert+assertEquals(long,long) java.util.List+size() java.util.List+size() io.jenkins.blueocean.service.embedded.BaseTest+validatePipeline(Job,Map) io.jenkins.blueocean.service.embedded.BaseTest+validatePipeline(Job,Map) java.util.List+get(int) java.util.List+get(int) io.jenkins.blueocean.service.embedded.BaseTest+validatePipeline(Job,Map) io.jenkins.blueocean.service.embedded.BaseTest+validatePipeline(Job,Map) java.util.List+get(int) java.util.List+get(int)",io.jenkins.blueocean.service.embedded.BaseTest+j io.jenkins.blueocean.service.embedded.BaseTest+j io.jenkins.blueocean.service.embedded.BaseTest+j,591,17,1,,"@Test
    public void getPipelinesTest() throws Exception {

        Project p2 = j.createFreeStyleProject(""pipeline2"");
        Project p1 = j.createFreeStyleProject(""pipeline1"");

        List<Map> responses = get(""/search/?q=type:pipeline"", List.class);
        Assert.assertEquals(2, responses.size());
        validatePipeline(p1, responses.get(0));
        validatePipeline(p2, responses.get(1));

        p1.getBuildersList().add(new Shell(""echo hello!\nsleep 1""));
        FreeStyleBuild b = (FreeStyleBuild) p1.scheduleBuild2(0).get();
        j.assertBuildStatusSuccess(b);


    }",False
4,getPipelineTest(),Method,,,"io.jenkins.blueocean.service.embedded.BaseTest+get(String) io.jenkins.blueocean.service.embedded.BaseTest+get(String) io.jenkins.blueocean.service.embedded.BaseTest+validatePipeline(Job,Map) io.jenkins.blueocean.service.embedded.BaseTest+validatePipeline(Job,Map)",io.jenkins.blueocean.service.embedded.BaseTest+j,254,7,1,,"@Test
    public void getPipelineTest() throws IOException {
        Project p = j.createFreeStyleProject(""pipeline1"");

        Map<String,Object> response = get(""/organizations/jenkins/pipelines/pipeline1"");
        validatePipeline(p, response);
    }",False
5,deletePipelineTest(),Method,,,io.jenkins.blueocean.service.embedded.BaseTest+delete(String) io.jenkins.blueocean.service.embedded.BaseTest+delete(String) org.junit.Assert+assertNull(Object) org.junit.Assert+assertNull(Object),io.jenkins.blueocean.service.embedded.BaseTest+j io.jenkins.blueocean.service.embedded.BaseTest+j,324,9,1,"/** 
 * TODO: latest stapler change broke delete, disabled for now 
 */
","/** TODO: latest stapler change broke delete, disabled for now */
//    @Test
    public void deletePipelineTest() throws IOException {
        Project p = j.createFreeStyleProject(""pipeline1"");

        delete(""/organizations/jenkins/pipelines/pipeline1/"");

        Assert.assertNull(j.jenkins.getItem(p.getName()));
    }",False
6,getFreeStyleJobTest(),Method,,,"io.jenkins.blueocean.service.embedded.BaseTest+get(String,Class<T>) io.jenkins.blueocean.service.embedded.BaseTest+get(String,Class<T>) org.junit.Assert+assertEquals(Object,Object) org.junit.Assert+assertEquals(Object,Object) java.util.List+size() java.util.List+size() java.util.List+get(int) java.util.List+get(int) io.jenkins.blueocean.service.embedded.BaseTest+validatePipeline(Job,Map) io.jenkins.blueocean.service.embedded.BaseTest+validatePipeline(Job,Map)",io.jenkins.blueocean.service.embedded.BaseTest+j io.jenkins.blueocean.service.embedded.BaseTest+j io.jenkins.blueocean.service.embedded.BaseTest+j,682,18,1,,"@Test
    public void getFreeStyleJobTest() throws Exception {
        Project p1 = j.createFreeStyleProject(""pipeline1"");
        Project p2 = j.createFreeStyleProject(""pipeline2"");
        p1.getBuildersList().add(new Shell(""echo hello!\nsleep 1""));
        FreeStyleBuild b = (FreeStyleBuild) p1.scheduleBuild2(0).get();
        j.assertBuildStatusSuccess(b);

        List<Map> resp = get(""/organizations/jenkins/pipelines/"", List.class);
        Project[] projects = {p1,p2};

        Assert.assertEquals(projects.length, resp.size());

        for(int i=0; i<projects.length; i++){
            Map p = resp.get(i);
            validatePipeline(projects[i], p);
        }
    }",False
7,findPipelinesTest(),Method,,,"io.jenkins.blueocean.service.embedded.BaseTest+get(String,Class<T>) io.jenkins.blueocean.service.embedded.BaseTest+get(String,Class<T>) org.junit.Assert+assertEquals(Object,Object) org.junit.Assert+assertEquals(Object,Object) java.util.List+size() java.util.List+size() java.util.List+get(int) java.util.List+get(int) io.jenkins.blueocean.service.embedded.BaseTest+validatePipeline(Job,Map) io.jenkins.blueocean.service.embedded.BaseTest+validatePipeline(Job,Map)",io.jenkins.blueocean.service.embedded.BaseTest+j io.jenkins.blueocean.service.embedded.BaseTest+j,531,15,1,,"@Test
    public void findPipelinesTest() throws IOException {
        FreeStyleProject p1 = j.createFreeStyleProject(""pipeline2"");
        FreeStyleProject p2 = j.createFreeStyleProject(""pipeline3"");

        List<Map> resp = get(""/search?q=type:pipeline;organization:jenkins"", List.class);
        Project[] projects = {p1,p2};

        Assert.assertEquals(projects.length, resp.size());

        for(int i=0; i<projects.length; i++){
            Map p = resp.get(i);
            validatePipeline(projects[i], p);
        }
    }",False
8,getPipelineWithLastSuccessfulRun(),Method,,,"io.jenkins.blueocean.service.embedded.BaseTest+get(String) io.jenkins.blueocean.service.embedded.BaseTest+get(String) io.jenkins.blueocean.service.embedded.BaseTest+validatePipeline(Job,Map) io.jenkins.blueocean.service.embedded.BaseTest+validatePipeline(Job,Map)",io.jenkins.blueocean.service.embedded.BaseTest+j io.jenkins.blueocean.service.embedded.BaseTest+j,417,10,1,,"@Test
    public void getPipelineWithLastSuccessfulRun() throws Exception {
        FreeStyleProject p = j.createFreeStyleProject(""pipeline4"");
        p.getBuildersList().add(new Shell(""echo hello!\nsleep 1""));
        FreeStyleBuild b = p.scheduleBuild2(0).get();
        j.assertBuildStatusSuccess(b);
        Map resp = get(""/organizations/jenkins/pipelines/pipeline4/"");

        validatePipeline(p, resp);
    }",False
9,getPipelineRunWithTestResult(),Method,,,"org.junit.Assert+assertEquals(Object,Object) org.junit.Assert+assertEquals(Object,Object) io.jenkins.blueocean.service.embedded.BaseTest+get(String) io.jenkins.blueocean.service.embedded.BaseTest+get(String) io.jenkins.blueocean.service.embedded.BaseTest+get(String) io.jenkins.blueocean.service.embedded.BaseTest+get(String) io.jenkins.blueocean.service.embedded.BaseTest+get(String) io.jenkins.blueocean.service.embedded.BaseTest+get(String)",io.jenkins.blueocean.service.embedded.BaseTest+j io.jenkins.blueocean.service.embedded.BaseTest+j,1545,23,1,,"@Test
    public void getPipelineRunWithTestResult() throws Exception {
        FreeStyleProject p = j.createFreeStyleProject(""pipeline4"");
        p.getBuildersList().add(new Shell(""echo '<?xml version=\""1.0\"" encoding=\""UTF-8\""?>\n"" +
            ""<testsuite xmlns:xsi=\""http://www.w3.org/2001/XMLSchema-instance\"" xsi:schemaLocation=\""https://maven.apache.org/surefire/maven-surefire-plugin/xsd/surefire-test-report.xsd\"" name=\""io.jenkins.blueocean.jsextensions.JenkinsJSExtensionsTest\"" time=\""35.7\"" tests=\""1\"" errors=\""0\"" skipped=\""0\"" failures=\""0\"">\n"" +
            ""  <properties>\n"" +
            ""  </properties>\n"" +
            ""  <testcase name=\""test\"" classname=\""io.jenkins.blueocean.jsextensions.JenkinsJSExtensionsTest\"" time=\""34.09\""/>\n"" +
            ""</testsuite>' > test-result.xml""));

        p.getPublishersList().add(new JUnitResultArchiver(""*.xml""));
        FreeStyleBuild b = p.scheduleBuild2(0).get();
        TestResultAction resultAction = b.getAction(TestResultAction.class);
        Assert.assertEquals(""io.jenkins.blueocean.jsextensions.JenkinsJSExtensionsTest"",resultAction.getResult().getSuites().iterator().next().getName());
        j.assertBuildStatusSuccess(b);
        Map resp = get(""/organizations/jenkins/pipelines/pipeline4/runs/""+b.getId());

        //discover TestResultAction super classes
        get(""/classes/hudson.tasks.junit.TestResultAction/"");

        // get junit rest report
        get(""/organizations/jenkins/pipelines/pipeline4/runs/""+b.getId()+""/testReport/result/"");
    }",False
10,getPipelineRunTest(),Method,,,"io.jenkins.blueocean.service.embedded.BaseTest+get(String) io.jenkins.blueocean.service.embedded.BaseTest+get(String) io.jenkins.blueocean.service.embedded.BaseTest+validateRun(Run,Map) io.jenkins.blueocean.service.embedded.BaseTest+validateRun(Run,Map)",io.jenkins.blueocean.service.embedded.BaseTest+j io.jenkins.blueocean.service.embedded.BaseTest+j,411,9,1,,"@Test
    public void getPipelineRunTest() throws Exception {
        FreeStyleProject p = j.createFreeStyleProject(""pipeline4"");
        p.getBuildersList().add(new Shell(""echo hello!\nsleep 1""));
        FreeStyleBuild b = p.scheduleBuild2(0).get();
        j.assertBuildStatusSuccess(b);
        Map resp = get(""/organizations/jenkins/pipelines/pipeline4/runs/""+b.getId());
        validateRun(b,resp);
    }",False
