index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,logger,Field,,,,,82,1,26,,private static final Logger logger = Logger.getLogger(VRAppState.class.getName());,False
2,vrBinding,Field,,,,,184,4,1,"/** 
 * The underlying system VR API. By default set to  {@link VRConstants#SETTING_VRAPI_OPENVR_VALUE}.
 */
","/**
     * The underlying system VR API. By default set to {@link VRConstants#SETTING_VRAPI_OPENVR_VALUE}.
     */
    public int vrBinding = VRConstants.SETTING_VRAPI_OPENVR_VALUE;",True
3,DISABLE_VR,Field,,,,,144,4,1,"/** 
 * Is the application has not to start within VR mode (default is <code>false</code>).
 */
","/**
     * Is the application has not to start within VR mode (default is <code>false</code>).
     */
    public boolean DISABLE_VR = false;",False
4,VRhardware,Field,,,,,43,1,2,,private VRAPI VRhardware            = null;,False
5,guiManager,Field,,,,,43,1,2,,private VRGuiManager guiManager     = null;,True
6,mouseManager,Field,,,,,43,1,2,,private VRMouseManager mouseManager = null;,True
7,viewmanager,Field,,,,,43,1,2,,private VRViewManager viewmanager   = null;,True
8,OS,Field,,,,,18,1,2,,private String OS;,True
9,dummyCam,Field,,,,,24,1,2,,private Camera dummyCam;,True
10,observer,Field,,,,,32,1,2,,private Spatial observer = null;,True
11,VRSupportedOS,Field,,,,,30,1,2,,private boolean VRSupportedOS;,True
12,forceVR,Field,,,,,43,1,2,,private boolean forceVR            = false;,True
13,disableSwapBuffers,Field,,,,,42,1,2,,private boolean disableSwapBuffers = true;,True
14,disableVR,Field,,,,,43,1,2,,private boolean disableVR          = false;,True
15,seated,Field,,,,,23,1,2,,private boolean seated;,True
16,nogui,Field,,,,,22,1,2,,private boolean nogui;,True
17,instanceVR,Field,,,,,43,1,2,,private boolean instanceVR         = false;,True
18,defaultFOV,Field,,,,,42,1,2,,private float defaultFOV           = 108f;,True
19,defaultAspect,Field,,,,,40,1,2,,private float defaultAspect        = 1f;,True
20,fFar,Field,,,,,28,1,2,,private float fFar  = 1000f;,False
21,fNear,Field,,,,,27,1,2,,private float fNear = 0.1f;,False
22,xWin,Field,,,,,27,1,2,,private int xWin    = 1920;,False
23,yWin,Field,,,,,27,1,2,,private int yWin    = 1080;,False
24,resMult,Field,,,,,27,1,2,,private float resMult = 1f;,False
25,useCompositor,Field,,,,,37,1,2,,private boolean useCompositor = true;,True
26,compositorOS,Field,,,,,29,1,2,,private boolean compositorOS;,True
27,tempq,Field,,,,,44,1,2,,private Quaternion tempq = new Quaternion();,False
28,application,Field,,,,,44,1,2,,private Application application      = null;,False
29,stateManager,Field,,,,,44,1,2,,private AppStateManager stateManager = null;,False
30,settings,Field,,,,,44,1,2,,private AppSettings settings         = null;,False
31,VRAppState(),Method,,,com.jme3.renderer.Camera+Camera() jmevr.util.VRGuiManager+VRGuiManager() jmevr.util.VRViewManager+VRViewManager() jmevr.util.VRMouseManager+VRMouseManager(),com.jme3.app.VRAppState+dummyCam com.jme3.app.VRAppState+guiManager com.jme3.app.VRAppState+viewmanager com.jme3.app.VRAppState+mouseManager,421,18,1,"/** 
 * Create a new default VR app state.
 */
","/**
     * Create a new default VR app state.
     */
    public VRAppState() {
        super();

        dummyCam = new Camera();
        
        // Create the GUI manager.
        guiManager = new VRGuiManager();
        
        // Create a new view manager.
        viewmanager = new VRViewManager();

        // Create a new mouse manager.
        mouseManager = new VRMouseManager();
      
     }",False
32,VRAppState(AppSettings),Method,,,com.jme3.app.VRAppState+processSettings(AppSettings) com.jme3.app.VRAppState+processSettings(AppSettings),com.jme3.app.VRAppState+settings com.jme3.app.VRAppState+settings,248,9,1,"/** 
 * Create a new VR app state with given settings. 
 * @param settings the settings to use.
 */
","/**
     * Create a new VR app state with given settings. 
     * @param settings the settings to use.
     */
    public VRAppState(AppSettings settings){
      this();
      this.settings = settings;
      processSettings(settings);
    }",False
33,simpleUpdate(float),Method,,,,,317,8,1,"/** 
 * Simple update of the app state, this method should contains any spatial updates. This method is called by the  {@link #update(float) update()} method and should not be called manually.
 * @param tpf the application time.
 */
","/**
     * Simple update of the app state, this method should contains any spatial updates.
     * This method is called by the {@link #update(float) update()} method and should not be called manually.
     * @param tpf the application time.
     */
    public void simpleUpdate(float tpf) {
    	return;
    }",False
34,simpleRender(RenderManager),Method,,,com.jme3.post.PreNormalCaching+resetCache(boolean) com.jme3.post.PreNormalCaching+resetCache(boolean) com.jme3.app.VRAppState+isInVR() com.jme3.app.VRAppState+isInVR(),,347,7,1,"/** 
 * Rendering callback of the app state. This method is called by the  {@link #update(float) update()} method and should not be called manually.
 * @param renderManager the {@link RenderManager render manager}.
 */
","/**
     * Rendering callback of the app state. This method is called by the {@link #update(float) update()} method and should not be called manually.
     * @param renderManager the {@link RenderManager render manager}.
     */
    public void simpleRender(RenderManager renderManager) {
        PreNormalCaching.resetCache(isInVR());
    }",False
35,"setFrustrumNearFar(float,float)",Method,,,,com.jme3.app.VRAppState+fNear com.jme3.app.VRAppState+fFar,265,9,1,"/** 
 * Set the frustrum values for the application.
 * @param near the frustrum near value.
 * @param far the frustrum far value.
 */
","/**
     * Set the frustrum values for the application.
     * @param near the frustrum near value.
     * @param far the frustrum far value.
     */
    public void setFrustrumNearFar(float near, float far) {
        fNear = near;
        fFar = far;
    }",False
36,"setMirrorWindowSize(int,int)",Method,,,,com.jme3.app.VRAppState+xWin com.jme3.app.VRAppState+yWin,299,9,1,"/** 
 * Set the mirror window size in pixel.
 * @param width the width of the mirror window in pixel.
 * @param height the height of the mirror window in pixel.
 */
","/**
     * Set the mirror window size in pixel.
     * @param width the width of the mirror window in pixel.
     * @param height the height of the mirror window in pixel.
     */
    public void setMirrorWindowSize(int width, int height) {
        xWin = width;
        yWin = height;
    }",False
37,setResolutionMultiplier(float),Method,,,jmevr.util.VRViewManager+setResolutionMultiplier(float) jmevr.util.VRViewManager+setResolutionMultiplier(float),com.jme3.app.VRAppState+resMult com.jme3.app.VRAppState+viewmanager com.jme3.app.VRAppState+viewmanager com.jme3.app.VRAppState+resMult,285,10,1,"/** 
 * Set the resolution multiplier.
 * @param val the resolution multiplier.
 */
","/**
     * Set the resolution multiplier.
     * @param val the resolution multiplier.
     */
    public void setResolutionMultiplier(float val) {
        resMult = val;
        if( viewmanager != null ){
        	viewmanager.setResolutionMultiplier(resMult);
        }
    }",False
38,compositorAllowed(),Method,,,,com.jme3.app.VRAppState+useCompositor com.jme3.app.VRAppState+compositorOS,247,7,1,"/** 
 * Is the VR compositor is active.
 * @return <code>true</code> if the VR compositor is active and <code>false</code> otherwise.
 */
","/**
     * Is the VR compositor is active.
     * @return <code>true</code> if the VR compositor is active and <code>false</code> otherwise.
     */
    public boolean compositorAllowed() {
        return useCompositor && compositorOS;
    }",True
39,isVRSupported(),Method,,,,com.jme3.app.VRAppState+VRSupportedOS,239,7,1,"/** 
 * Get if the system currently support VR.
 * @return <code>true</code> if the system currently support VR and <code>false</Code> otherwise.
 */
","/**
     * Get if the system currently support VR.
     * @return <code>true</code> if the system currently support VR and <code>false</Code> otherwise.
     */
    public boolean isVRSupported() {
        return VRSupportedOS;
    }",True
40,getCamera(),Method,,,com.jme3.app.VRAppState+isInVR() com.jme3.app.VRAppState+isInVR() jmevr.util.VRViewManager+getLeftCamera() jmevr.util.VRViewManager+getLeftCamera() com.jme3.app.Application+getCamera() com.jme3.app.Application+getCamera(),com.jme3.app.VRAppState+viewmanager com.jme3.app.VRAppState+viewmanager com.jme3.app.VRAppState+dummyCam com.jme3.app.VRAppState+application,536,13,1,"/** 
 * Get the  {@link Camera camera} attached to this application state. If the VR mode is  {@link #isInVR() active}, this method return a dummy camera, otherwise,  this method return the camera of the attached application.
 * @return the camera attached to this application state.
 */
","/**
     * Get the {@link Camera camera} attached to this application state. 
     * If the VR mode is {@link #isInVR() active}, this method return a dummy camera, otherwise, 
     * this method return the camera of the attached application.
     * @return the camera attached to this application state.
     */
    public Camera getCamera() {
        if( isInVR() && viewmanager != null && viewmanager.getLeftCamera() != null ) {
            return dummyCam;
        }
        
        return application.getCamera();
    }",True
41,setSeatedExperience(boolean),Method,,,com.jme3.input.vr.VRAPI+getCompositor() com.jme3.input.vr.VRAPI+getCompositor() com.jme3.system.jopenvr.VR_IVRCompositor_FnTable.SetTrackingSpace_callback+apply(int) com.jme3.input.vr.OpenVR+getCompositor() com.jme3.input.vr.OpenVR+getCompositor() com.jme3.system.jopenvr.VR_IVRCompositor_FnTable.SetTrackingSpace_callback+apply(int) com.jme3.system.jopenvr.VR_IVRCompositor_FnTable.SetTrackingSpace_callback+apply(int) com.jme3.input.vr.OpenVR+getCompositor() com.jme3.input.vr.OpenVR+getCompositor() com.jme3.system.jopenvr.VR_IVRCompositor_FnTable.SetTrackingSpace_callback+apply(int),com.jme3.app.VRAppState+seated com.jme3.app.VRAppState+VRhardware com.jme3.app.VRAppState+VRhardware com.jme3.app.VRAppState+seated com.jme3.system.jopenvr.VR_IVRCompositor_FnTable+SetTrackingSpace com.jme3.app.VRAppState+VRhardware com.jme3.system.jopenvr.VR_IVRCompositor_FnTable+SetTrackingSpace com.jme3.system.jopenvr.JOpenVRLibrary.ETrackingUniverseOrigin+ETrackingUniverseOrigin_TrackingUniverseSeated com.jme3.system.jopenvr.VR_IVRCompositor_FnTable+SetTrackingSpace com.jme3.app.VRAppState+VRhardware com.jme3.system.jopenvr.VR_IVRCompositor_FnTable+SetTrackingSpace com.jme3.system.jopenvr.JOpenVRLibrary.ETrackingUniverseOrigin+ETrackingUniverseOrigin_TrackingUniverseStanding,852,16,1,"/** 
 * Can be used to change seated experience during runtime.
 * @param isSeated <code>true</code> if designed for sitting, <code>false</code> for standing/roomscale
 * @see #isSeatedExperience()
 */
","/**
     * Can be used to change seated experience during runtime.
     * @param isSeated <code>true</code> if designed for sitting, <code>false</code> for standing/roomscale
     * @see #isSeatedExperience()
     */
    public void setSeatedExperience(boolean isSeated) {
        seated = isSeated;
        if( VRhardware instanceof OpenVR ) {
            if( VRhardware.getCompositor() == null ) return;
            if( seated ) {
                ((OpenVR)VRhardware).getCompositor().SetTrackingSpace.apply(JOpenVRLibrary.ETrackingUniverseOrigin.ETrackingUniverseOrigin_TrackingUniverseSeated);
            } else {
                ((OpenVR)VRhardware).getCompositor().SetTrackingSpace.apply(JOpenVRLibrary.ETrackingUniverseOrigin.ETrackingUniverseOrigin_TrackingUniverseStanding);                
            }        
        }
    }",True
42,isSeatedExperience(),Method,,,,com.jme3.app.VRAppState+seated,324,8,1,"/** 
 * Check if the application is configured as a seated experience.
 * @return <code>true</code> if the application is configured as a seated experience and <code>false</code> otherwise.
 * @see #setSeatedExperience(boolean)
 */
","/**
     * Check if the application is configured as a seated experience.
     * @return <code>true</code> if the application is configured as a seated experience and <code>false</code> otherwise.
     * @see #setSeatedExperience(boolean)
     */
    public boolean isSeatedExperience() {
        return seated;
    }",True
43,resetSeatedPose(),Method,,,com.jme3.app.VRAppState+isSeatedExperience() com.jme3.app.VRAppState+isSeatedExperience() com.jme3.input.vr.VRAPI+reset() com.jme3.input.vr.VRAPI+reset(),com.jme3.app.VRAppState+VRSupportedOS com.jme3.app.VRAppState+VRhardware,213,7,1,"/** 
 * Reset headset pose if seating experience.
 */
","/**
     * Reset headset pose if seating experience.
     */
    public void resetSeatedPose(){
        if( VRSupportedOS == false || isSeatedExperience() == false ) return;
        VRhardware.reset();
    }",True
44,isInstanceVRRendering(),Method,,,com.jme3.app.VRAppState+isInVR() com.jme3.app.VRAppState+isInVR(),com.jme3.app.VRAppState+instanceVR,338,7,1,"/** 
 * Check if the rendering is instanced (see <a href=""https://en.wikipedia.org/wiki/Geometry_instancing"">Geometry instancing</a>).
 * @return <code>true</code> if the rendering is instanced and <code>false</code> otherwise.
 */
","/**
     * Check if the rendering is instanced (see <a href=""https://en.wikipedia.org/wiki/Geometry_instancing"">Geometry instancing</a>).
     * @return <code>true</code> if the rendering is instanced and <code>false</code> otherwise.
     */
    public boolean isInstanceVRRendering() {
        return instanceVR && isInVR();
    }",True
45,isInVR(),Method,,,com.jme3.input.vr.VRAPI+isInitialized() com.jme3.input.vr.VRAPI+isInitialized(),com.jme3.app.VRAppState+DISABLE_VR com.jme3.app.VRAppState+forceVR com.jme3.app.VRAppState+VRSupportedOS com.jme3.app.VRAppState+VRhardware com.jme3.app.VRAppState+VRhardware,304,7,1,"/** 
 * Check if the VR mode is enabled.
 * @return <code>true</code> if the VR mode is enabled and <code>false</code> otherwise.
 */
","/**
     * Check if the VR mode is enabled.
     * @return <code>true</code> if the VR mode is enabled and <code>false</code> otherwise.
     */
    public boolean isInVR() {
        return DISABLE_VR == false && (forceVR || VRSupportedOS && VRhardware != null && VRhardware.isInitialized());
    }",True
46,getDefaultFOV(),Method,,,,com.jme3.app.VRAppState+defaultFOV,215,8,1,"/** 
 * Get the default Field Of View (FOV) value.
 * @return the default Field Of View (FOV) value.
 * @see #setDefaultFOV(float)
 */
","/**
     * Get the default Field Of View (FOV) value.
     * @return the default Field Of View (FOV) value.
     * @see #setDefaultFOV(float)
     */
    public float getDefaultFOV() {
		return defaultFOV;
	}",True
