index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,TAG,Field,,,,,68,1,25,,public static final String TAG = MainActivity.class.getSimpleName();,False
2,APP_INTRO_REQUEST,Field,,,,,48,1,25,,public static final int APP_INTRO_REQUEST = 100;,False
3,toolbar,Field,,,,,40,2,0,,"@Bind(R.id.toolbar)
    Toolbar toolbar;",True
4,tabs,Field,,,,,36,2,0,,"@Bind(R.id.tabs)
    TabLayout tabs;",True
5,appbar,Field,,,,,43,2,0,,"@Bind(R.id.appbar)
    AppBarLayout appbar;",True
6,pager,Field,,,,,38,2,0,,"@Bind(R.id.pager)
    ViewPager pager;",True
7,navigationView,Field,,,,,62,2,0,,"@Bind(R.id.navigation_view)
    NavigationView navigationView;",False
8,drawerLayout,Field,,,,,56,2,0,,"@Bind(R.id.drawer_layout)
    DrawerLayout drawerLayout;",False
9,navigationDrawerHeader,Field,,,,,50,2,2,,"@Nullable
    private View navigationDrawerHeader;",False
10,pagerAdapter,Field,,,,,46,1,2,,private MusicLibraryPagerAdapter pagerAdapter;,True
11,cab,Field,,,,,24,1,2,,private MaterialCab cab;,True
12,blockRequestPermissions,Field,,,,,40,1,2,,private boolean blockRequestPermissions;,False
13,onCreate(Bundle),Method,,,"com.kabouzeid.gramophone.ui.activities.base.AbsSlidingMusicPanelActivity+onCreate(Bundle) com.kabouzeid.gramophone.util.Util+setStatusBarTranslucent(Window) com.kabouzeid.gramophone.util.Util+setStatusBarTranslucent(Window) com.kabouzeid.gramophone.ui.activities.base.AbsThemeActivity+setStatusbarColorAuto() com.kabouzeid.gramophone.ui.activities.base.AbsThemeActivity+setStatusbarColorAuto() com.kabouzeid.gramophone.ui.activities.base.AbsThemeActivity+setNavigationbarColorAuto() com.kabouzeid.gramophone.ui.activities.base.AbsThemeActivity+setNavigationbarColorAuto() com.kabouzeid.gramophone.ui.activities.base.AbsThemeActivity+setTaskDescriptionColorAuto() com.kabouzeid.gramophone.ui.activities.base.AbsThemeActivity+setTaskDescriptionColorAuto() com.kabouzeid.gramophone.ui.activities.MainActivity+setUpDrawerLayout() com.kabouzeid.gramophone.ui.activities.MainActivity+setUpDrawerLayout() com.kabouzeid.gramophone.ui.activities.MainActivity+setUpToolbar() com.kabouzeid.gramophone.ui.activities.MainActivity+setUpToolbar() com.kabouzeid.gramophone.ui.activities.MainActivity+setUpViewPager() com.kabouzeid.gramophone.ui.activities.MainActivity+setUpViewPager() com.kabouzeid.gramophone.util.PreferenceUtil+getInstance(Context) com.kabouzeid.gramophone.util.PreferenceUtil+getInstance(Context) com.kabouzeid.gramophone.util.PreferenceUtil+getInstance(Context) com.kabouzeid.gramophone.util.PreferenceUtil+getInstance(Context) com.kabouzeid.gramophone.dialogs.ChangelogDialog+setChangelogRead(Context) com.kabouzeid.gramophone.dialogs.ChangelogDialog+setChangelogRead(Context) android.os.Handler+postDelayed(Runnable,long) android.os.Handler+Handler() android.os.Handler+postDelayed(Runnable,long) +() +run()",android.os.Build.VERSION+SDK_INT com.kabouzeid.gramophone.ui.activities.MainActivity+drawerLayout com.kabouzeid.gramophone.ui.activities.MainActivity+navigationView com.kabouzeid.gramophone.ui.activities.MainActivity+blockRequestPermissions,1222,34,4,,"@Override
    protected void onCreate(Bundle savedInstanceState) {
        super.onCreate(savedInstanceState);
        ButterKnife.bind(this);

        if (Build.VERSION.SDK_INT == Build.VERSION_CODES.KITKAT) {
            Util.setStatusBarTranslucent(getWindow());
            drawerLayout.setFitsSystemWindows(false);
            navigationView.setFitsSystemWindows(false);
            findViewById(R.id.drawer_content_container).setFitsSystemWindows(false);
        }

        setStatusbarColorAuto();
        setNavigationbarColorAuto();
        setTaskDescriptionColorAuto();

        setUpDrawerLayout();
        setUpToolbar();
        setUpViewPager();

        if (!PreferenceUtil.getInstance(this).introShown()) {
            PreferenceUtil.getInstance(this).setIntroShown();
            ChangelogDialog.setChangelogRead(this);
            blockRequestPermissions = true;
            new Handler().postDelayed(new Runnable() {
                @Override
                public void run() {
                    startActivityForResult(new Intent(MainActivity.this, AppIntroActivity.class), APP_INTRO_REQUEST);
                }
            }, 200);
        } else {
            checkShowChangelog();
        }
    }",False
