index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,TAG,Field,,,,,70,1,25,,public static final String TAG = PlayerFragment.class.getSimpleName();,False
2,toolbar,Field,,,,,47,2,0,,"@Bind(R.id.player_toolbar)
    Toolbar toolbar;",False
3,slidingUpPanelLayout,Field,,,,,80,2,0,,"@Bind(R.id.player_sliding_layout)
    SlidingUpPanelLayout slidingUpPanelLayout;",False
4,recyclerView,Field,,,,,63,2,0,,"@Bind(R.id.player_recycler_view)
    RecyclerView recyclerView;",False
5,playingQueueCard,Field,,,,,61,2,0,,"@Bind(R.id.playing_queue_card)
    CardView playingQueueCard;",False
6,albumCoverContainer,Field,,,,,71,2,0,,"@Bind(R.id.album_cover_container)
    SquareLayout albumCoverContainer;",False
7,playerContent,Field,,,,,60,2,0,,"@Bind(R.id.player_content)
    RelativeLayout playerContent;",False
8,colorBackground,Field,,,,,54,2,0,,"@Bind(R.id.color_background)
    View colorBackground;",False
9,playerQueueSubheader,Field,,,,,69,2,0,,"@Bind(R.id.player_queue_subheader)
    TextView playerQueueSubheader;",False
10,currentSongViewHolder,Field,,,,,43,1,0,,MediaEntryViewHolder currentSongViewHolder;,False
11,lastColor,Field,,,,,22,1,2,,private int lastColor;,False
12,activity,Field,,,,,41,1,2,,private AbsMusicServiceActivity activity;,True
13,callbacks,Field,,,,,28,1,2,,private Callbacks callbacks;,True
14,playbackControlsFragment,Field,,,,,58,1,2,,private PlaybackControlsFragment playbackControlsFragment;,False
15,playerAlbumCoverFragment,Field,,,,,58,1,2,,private PlayerAlbumCoverFragment playerAlbumCoverFragment;,False
16,layoutManager,Field,,,,,42,1,2,,private LinearLayoutManager layoutManager;,False
17,playingQueueAdapter,Field,,,,,48,1,2,,private PlayingQueueAdapter playingQueueAdapter;,False
18,onAttach(Context),Method,,,android.support.v4.app.Fragment+onAttach(Activity) java.lang.RuntimeException+RuntimeException(String) java.lang.Class+getSimpleName() java.lang.Object+getClass() java.lang.Object+getClass() java.lang.Class+getSimpleName() java.lang.Class+getSimpleName() java.lang.Class+getSimpleName() java.lang.Class+getSimpleName() java.lang.Class+getSimpleName(),com.kabouzeid.gramophone.ui.fragments.player.PlayerFragment+activity com.kabouzeid.gramophone.ui.fragments.player.PlayerFragment+callbacks,467,10,1,,"@Override
    public void onAttach(Context context) {
        super.onAttach(context);
        try {
            activity = (AbsMusicServiceActivity) context;
            callbacks = (Callbacks) context;
        } catch (ClassCastException e) {
            throw new RuntimeException(context.getClass().getSimpleName() + "" must be an instance of "" + AbsMusicServiceActivity.class.getSimpleName() + "" and implement "" + Callbacks.class.getSimpleName());
        }
    }",True
19,onDetach(),Method,,,android.support.v4.app.Fragment+onDetach(),com.kabouzeid.gramophone.ui.fragments.player.PlayerFragment+activity com.kabouzeid.gramophone.ui.fragments.player.PlayerFragment+callbacks,121,6,1,,"@Override
    public void onDetach() {
        super.onDetach();
        activity = null;
        callbacks = null;
    }",True
20,onCreate(Bundle),Method,,,android.support.v4.app.Fragment+onCreate(Bundle),,113,4,1,,"@Override
    public void onCreate(Bundle savedInstanceState) {
        super.onCreate(savedInstanceState);
    }",True
21,"onCreateView(LayoutInflater,ViewGroup,Bundle)",Method,,,"android.view.LayoutInflater+inflate(XmlPullParser,ViewGroup,boolean) android.view.LayoutInflater+inflate(XmlPullParser,ViewGroup,boolean)",,225,5,1,,"@Override
    public View onCreateView(LayoutInflater inflater, ViewGroup container,
                             Bundle savedInstanceState) {
        return inflater.inflate(R.layout.fragment_player, container, false);
    }",False
22,"onViewCreated(View,Bundle)",Method,,,"android.support.v4.app.Fragment+onViewCreated(View,Bundle) com.kabouzeid.gramophone.ui.fragments.player.PlayerFragment+setUpPlayerToolbar() com.kabouzeid.gramophone.ui.fragments.player.PlayerFragment+setUpPlayerToolbar() com.kabouzeid.gramophone.ui.fragments.player.PlayerFragment+setUpSubFragments() com.kabouzeid.gramophone.ui.fragments.player.PlayerFragment+setUpSubFragments() com.kabouzeid.gramophone.adapter.song.PlayingQueueAdapter+PlayingQueueAdapter(AppCompatActivity,ArrayList<Song>,int,boolean,CabHolder) android.support.v4.app.Fragment+getActivity() android.support.v4.app.Fragment+getActivity() com.kabouzeid.gramophone.helper.MusicPlayerRemote+getPlayingQueue() com.kabouzeid.gramophone.helper.MusicPlayerRemote+getPlayingQueue() android.support.v4.app.Fragment+getActivity() android.support.v4.app.Fragment+getActivity() android.content.res.Resources+getDisplayMetrics() android.support.v4.app.Fragment+getResources() android.support.v4.app.Fragment+getResources() android.content.res.Resources+getDisplayMetrics() com.kabouzeid.gramophone.ui.fragments.player.PlayerFragment+setUpDragSort() com.kabouzeid.gramophone.ui.fragments.player.PlayerFragment+setUpDragSort() android.view.View+findViewById(int) android.view.View+findViewById(int) android.view.ViewTreeObserver+addOnGlobalLayoutListener(OnGlobalLayoutListener) android.view.View+getViewTreeObserver() android.view.View+getViewTreeObserver() android.view.ViewTreeObserver+addOnGlobalLayoutListener(OnGlobalLayoutListener) +() +onGlobalLayout()",com.kabouzeid.gramophone.ui.fragments.player.PlayerFragment+playingQueueAdapter com.kabouzeid.gramophone.ui.fragments.player.PlayerFragment+recyclerView com.kabouzeid.gramophone.ui.fragments.player.PlayerFragment+playingQueueAdapter com.kabouzeid.gramophone.ui.fragments.player.PlayerFragment+layoutManager com.kabouzeid.gramophone.ui.fragments.player.PlayerFragment+layoutManager android.util.DisplayMetrics+density android.util.DisplayMetrics+density com.kabouzeid.gramophone.ui.fragments.player.PlayerFragment+recyclerView com.kabouzeid.gramophone.ui.fragments.player.PlayerFragment+layoutManager com.kabouzeid.gramophone.ui.fragments.player.PlayerFragment+slidingUpPanelLayout com.kabouzeid.gramophone.ui.fragments.player.PlayerFragment+slidingUpPanelLayout,1522,38,1,,"@Override
    public void onViewCreated(final View view, Bundle savedInstanceState) {
        super.onViewCreated(view, savedInstanceState);
        ButterKnife.bind(this, view);

        setUpPlayerToolbar();
        setUpSubFragments();

        playingQueueAdapter = new PlayingQueueAdapter(
                ((AppCompatActivity) getActivity()),
                MusicPlayerRemote.getPlayingQueue(),
                R.layout.item_list,
                false,
                null);
        recyclerView.setAdapter(playingQueueAdapter);

        layoutManager = new LinearLayoutManager(getActivity());
        layoutManager.setChildSize((int) (getResources().getDisplayMetrics().density * 72));
        recyclerView.setLayoutManager(layoutManager);

        setUpDragSort();

        //slidingUpPanelLayout.setParallaxOffset(Util.resolveDimensionPixelSize(activity, R.attr.actionBarSize) + getResources().getDimensionPixelSize(R.dimen.status_bar_padding));
        slidingUpPanelLayout.setPanelSlideListener(this);
        slidingUpPanelLayout.setAntiDragView(view.findViewById(R.id.draggable_area));

        view.getViewTreeObserver().addOnGlobalLayoutListener(new ViewTreeObserver.OnGlobalLayoutListener() {
            @Override
            public void onGlobalLayout() {
                view.getViewTreeObserver().removeOnGlobalLayoutListener(this);
                setUpPanelAndAlbumCoverHeight();
            }
        });

        activity.addMusicServiceEventListener(this);

        setUpCurrentSongView();
    }",False
23,onDestroyView(),Method,,,android.support.v4.app.Fragment+onDestroyView() com.kabouzeid.gramophone.ui.activities.base.AbsMusicServiceActivity+removeMusicServiceEventListener(MusicServiceEventListener) com.kabouzeid.gramophone.ui.activities.base.AbsMusicServiceActivity+removeMusicServiceEventListener(MusicServiceEventListener),com.kabouzeid.gramophone.ui.fragments.player.PlayerFragment+activity,170,6,1,,"@Override
    public void onDestroyView() {
        super.onDestroyView();
        activity.removeMusicServiceEventListener(this);
        ButterKnife.unbind(this);
    }",False
24,onPlayingMetaChanged(),Method,,,com.kabouzeid.gramophone.ui.fragments.player.PlayerFragment+updatePlayerMenu() com.kabouzeid.gramophone.ui.fragments.player.PlayerFragment+updatePlayerMenu() com.kabouzeid.gramophone.ui.fragments.player.PlayerFragment+updateCurrentSong() com.kabouzeid.gramophone.ui.fragments.player.PlayerFragment+updateCurrentSong() com.kabouzeid.gramophone.ui.fragments.player.PlayerFragment+updateQueue() com.kabouzeid.gramophone.ui.fragments.player.PlayerFragment+updateQueue(),,136,6,1,,"@Override
    public void onPlayingMetaChanged() {
        updatePlayerMenu();
        updateCurrentSong();
        updateQueue();
    }",False
25,onQueueChanged(),Method,,,com.kabouzeid.gramophone.ui.fragments.player.PlayerFragment+updateQueue() com.kabouzeid.gramophone.ui.fragments.player.PlayerFragment+updateQueue(),,73,4,1,,"@Override
    public void onQueueChanged() {
        updateQueue();
    }",False
