index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,TAG,Field,,,,,70,1,25,,public static final String TAG = PlayerFragment.class.getSimpleName();,False
2,FAB_CIRCULAR_REVEAL_ANIMATION_TIME,Field,,,,,67,1,26,,private static final int FAB_CIRCULAR_REVEAL_ANIMATION_TIME = 1000;,True
3,playPauseFab,Field,,,,,72,2,0,,"@Bind(R.id.player_play_pause_fab)
    FloatingActionButton playPauseFab;",True
4,songTitle,Field,,,,,48,2,0,,"@Bind(R.id.player_title)
    TextView songTitle;",True
5,songText,Field,,,,,46,2,0,,"@Bind(R.id.player_text)
    TextView songText;",True
6,footer,Field,,,,,50,2,0,,"@Bind(R.id.player_footer)
    LinearLayout footer;",True
7,playbackControllerCard,Field,,,,,80,2,0,,"@Bind(R.id.player_playback_controller_card)
    CardView playbackControllerCard;",True
8,prevButton,Field,,,,,58,2,0,,"@Bind(R.id.player_prev_button)
    ImageButton prevButton;",True
9,nextButton,Field,,,,,58,2,0,,"@Bind(R.id.player_next_button)
    ImageButton nextButton;",True
10,repeatButton,Field,,,,,62,2,0,,"@Bind(R.id.player_repeat_button)
    ImageButton repeatButton;",True
11,shuffleButton,Field,,,,,64,2,0,,"@Bind(R.id.player_shuffle_button)
    ImageButton shuffleButton;",True
12,mediaControllerContainer,Field,,,,,90,2,0,,"@Bind(R.id.player_media_controller_container)
    RelativeLayout mediaControllerContainer;",True
13,mediaControllerContainerBackground,Field,,,,,101,2,0,,"@Bind(R.id.player_media_controller_container_background)
    View mediaControllerContainerBackground;",True
14,albumArt,Field,,,,,61,2,0,,"@Bind(R.id.player_image)
    SquareIfPlaceImageView albumArt;",True
15,statusbar,Field,,,,,49,2,0,,"@Bind(R.id.player_status_bar)
    View statusbar;",False
16,toolbar,Field,,,,,47,2,0,,"@Bind(R.id.player_toolbar)
    Toolbar toolbar;",False
17,favoriteIcon,Field,,,,,60,2,0,,"@Bind(R.id.player_favorite_icon)
    ImageView favoriteIcon;",True
18,albumArtFrame,Field,,,,,65,2,0,,"@Bind(R.id.player_album_art_frame)
    FrameLayout albumArtFrame;",True
19,songCurrentProgress,Field,,,,,29,1,0,,TextView songCurrentProgress;,True
20,songTotalTime,Field,,,,,23,1,0,,TextView songTotalTime;,True
21,progressSlider,Field,,,,,23,1,0,,SeekBar progressSlider;,True
22,lastFooterColor,Field,,,,,28,1,2,,private int lastFooterColor;,True
23,lastPlaybackControlsColor,Field,,,,,38,1,2,,private int lastPlaybackControlsColor;,False
24,lastTitleTextColor,Field,,,,,31,1,2,,private int lastTitleTextColor;,True
25,lastCaptionTextColor,Field,,,,,33,1,2,,private int lastCaptionTextColor;,True
26,progressViewUpdateHelper,Field,,,,,63,1,2,,private MusicProgressViewUpdateHelper progressViewUpdateHelper;,True
27,opaqueStatusBar,Field,,,,,32,1,2,,private boolean opaqueStatusBar;,True
28,opaqueToolBar,Field,,,,,30,1,2,,private boolean opaqueToolBar;,True
29,forceSquareAlbumArt,Field,,,,,36,1,2,,private boolean forceSquareAlbumArt;,True
30,largerTitleBox,Field,,,,,31,1,2,,private boolean largerTitleBox;,True
31,alternativeProgressSlider,Field,,,,,42,1,2,,private boolean alternativeProgressSlider;,True
32,showPlaybackControllerCard,Field,,,,,43,1,2,,private boolean showPlaybackControllerCard;,True
33,colorPlaybackControls,Field,,,,,38,1,2,,private boolean colorPlaybackControls;,True
34,song,Field,,,,,18,1,2,,private Song song;,False
35,playerFabPlayPauseDrawable,Field,,,,,53,1,2,,private PlayPauseDrawable playerFabPlayPauseDrawable;,True
36,colorTransitionAnimator,Field,,,,,44,1,2,,private AnimatorSet colorTransitionAnimator;,True
37,activity,Field,,,,,41,1,2,,private AbsMusicServiceActivity activity;,False
38,callbacks,Field,,,,,28,1,2,,private Callbacks callbacks;,False
39,onAttach(Context),Method,,,android.support.v4.app.Fragment+onAttach(Activity) java.lang.RuntimeException+RuntimeException(String) java.lang.Class+getSimpleName() java.lang.Object+getClass() java.lang.Object+getClass() java.lang.Class+getSimpleName() java.lang.Class+getSimpleName() java.lang.Class+getSimpleName() java.lang.Class+getSimpleName() java.lang.Class+getSimpleName(),com.kabouzeid.gramophone.ui.fragments.PlayerFragment+activity com.kabouzeid.gramophone.ui.fragments.PlayerFragment+callbacks,467,10,1,,"@Override
    public void onAttach(Context context) {
        super.onAttach(context);
        try {
            activity = (AbsMusicServiceActivity) context;
            callbacks = (Callbacks) context;
        } catch (ClassCastException e) {
            throw new RuntimeException(context.getClass().getSimpleName() + "" must be an instance of "" + AbsMusicServiceActivity.class.getSimpleName() + "" and implement "" + Callbacks.class.getSimpleName());
        }
    }",False
40,onDetach(),Method,,,android.support.v4.app.Fragment+onDetach(),com.kabouzeid.gramophone.ui.fragments.PlayerFragment+activity com.kabouzeid.gramophone.ui.fragments.PlayerFragment+callbacks,121,6,1,,"@Override
    public void onDetach() {
        super.onDetach();
        activity = null;
        callbacks = null;
    }",False
41,onCreate(Bundle),Method,,,android.support.v4.app.Fragment+onCreate(Bundle) com.kabouzeid.gramophone.ui.fragments.PlayerFragment+initAppearanceVarsFromSharedPrefs() com.kabouzeid.gramophone.ui.fragments.PlayerFragment+initAppearanceVarsFromSharedPrefs() com.kabouzeid.gramophone.helper.MusicProgressViewUpdateHelper+MusicProgressViewUpdateHelper(Callback),com.kabouzeid.gramophone.ui.fragments.PlayerFragment+progressViewUpdateHelper,234,6,1,,"@Override
    public void onCreate(Bundle savedInstanceState) {
        super.onCreate(savedInstanceState);
        initAppearanceVarsFromSharedPrefs();
        progressViewUpdateHelper = new MusicProgressViewUpdateHelper(this);
    }",False
42,"onCreateView(LayoutInflater,ViewGroup,Bundle)",Method,,,"android.view.LayoutInflater+inflate(XmlPullParser,ViewGroup,boolean) android.view.LayoutInflater+inflate(XmlPullParser,ViewGroup,boolean)",,225,5,1,,"@Override
    public View onCreateView(LayoutInflater inflater, ViewGroup container,
                             Bundle savedInstanceState) {
        return inflater.inflate(R.layout.fragment_player, container, false);
    }",False
