index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,mListeners,Field,,,,,77,1,0,,ArrayList<AsyncServerSocket> mListeners = new ArrayList<AsyncServerSocket>();,False
2,stop(),Method,,com.koushikdutta.async.test.HttpServerTests+tearDown() com.koushikdutta.async.test.MultipartTests+tearDown() com.koushikdutta.async.test.TimeoutTests+tearDown() com.koushikdutta.async.test.WebSocketTests+tearDown(),com.koushikdutta.async.AsyncServerSocket+stop() com.koushikdutta.async.AsyncServerSocket+stop(),com.koushikdutta.async.http.server.AsyncHttpServer+mListeners com.koushikdutta.async.http.server.AsyncHttpServer+mListeners,176,7,1,,"public void stop() {
        if (mListeners != null) {
            for (AsyncServerSocket listener: mListeners) {
                listener.stop();
            }
        }
    }",False
3,"onRequest(AsyncHttpServerRequest,AsyncHttpServerResponse)",Method,,,"com.koushikdutta.async.http.Headers+get(String) com.koushikdutta.async.http.server.AsyncHttpServerRequest+getHeaders() com.koushikdutta.async.http.server.AsyncHttpServerRequest+getHeaders() com.koushikdutta.async.http.Headers+get(String) java.lang.String+split(String) java.lang.String+split(String) java.lang.String+equalsIgnoreCase(String) java.lang.String+equalsIgnoreCase(String) java.lang.String+trim() java.lang.String+trim() java.lang.String+equalsIgnoreCase(String) java.lang.String+equalsIgnoreCase(String) com.koushikdutta.async.http.Headers+get(String) com.koushikdutta.async.http.server.AsyncHttpServerRequest+getHeaders() com.koushikdutta.async.http.server.AsyncHttpServerRequest+getHeaders() com.koushikdutta.async.http.Headers+get(String) com.koushikdutta.async.http.server.AsyncHttpServerResponse+code(int) com.koushikdutta.async.http.server.AsyncHttpServerResponse+code(int) com.koushikdutta.async.http.server.AsyncHttpServerResponse+end() com.koushikdutta.async.http.server.AsyncHttpServerResponse+end() com.koushikdutta.async.http.Headers+get(String) com.koushikdutta.async.http.server.AsyncHttpServerRequest+getHeaders() com.koushikdutta.async.http.server.AsyncHttpServerRequest+getHeaders() com.koushikdutta.async.http.Headers+get(String) android.text.TextUtils+equals(CharSequence,CharSequence) android.text.TextUtils+equals(CharSequence,CharSequence) com.koushikdutta.async.http.server.AsyncHttpServerResponse+code(int) com.koushikdutta.async.http.server.AsyncHttpServerResponse+code(int) com.koushikdutta.async.http.server.AsyncHttpServerResponse+end() com.koushikdutta.async.http.server.AsyncHttpServerResponse+end() com.koushikdutta.async.http.server.AsyncHttpServer.WebSocketRequestCallback+onConnected(WebSocket,AsyncHttpServerRequest) com.koushikdutta.async.http.server.AsyncHttpServer.WebSocketRequestCallback+onConnected(WebSocket,AsyncHttpServerRequest) com.koushikdutta.async.http.WebSocketImpl+WebSocketImpl(AsyncHttpServerRequest,AsyncHttpServerResponse) java.util.regex.Matcher+replaceAll(String) com.koushikdutta.async.http.server.AsyncHttpServerRequest+getMatcher() com.koushikdutta.async.http.server.AsyncHttpServerRequest+getMatcher() java.util.regex.Matcher+replaceAll(String) com.koushikdutta.async.http.server.AsyncHttpServer+getAssetStream(Context,String) com.koushikdutta.async.http.server.AsyncHttpServer+getAssetStream(Context,String) com.koushikdutta.async.http.server.AsyncHttpServerResponse+code(int) com.koushikdutta.async.http.server.AsyncHttpServerResponse+code(int) com.koushikdutta.async.http.server.AsyncHttpServerResponse+end() com.koushikdutta.async.http.server.AsyncHttpServerResponse+end() com.koushikdutta.async.http.Headers+set(String,String) com.koushikdutta.async.http.server.AsyncHttpServerResponse+getHeaders() com.koushikdutta.async.http.server.AsyncHttpServerResponse+getHeaders() com.koushikdutta.async.http.Headers+set(String,String) java.lang.String+valueOf(Object) java.lang.String+valueOf(Object) com.koushikdutta.async.http.server.AsyncHttpServerResponse+code(int) com.koushikdutta.async.http.server.AsyncHttpServerResponse+code(int) com.koushikdutta.async.http.Headers+add(String,String) com.koushikdutta.async.http.server.AsyncHttpServerResponse+getHeaders() com.koushikdutta.async.http.server.AsyncHttpServerResponse+getHeaders() com.koushikdutta.async.http.Headers+add(String,String) com.koushikdutta.async.http.server.AsyncHttpServer+getContentType(String) com.koushikdutta.async.http.server.AsyncHttpServer+getContentType(String) com.koushikdutta.async.Util+pump(InputStream,DataSink,CompletedCallback) com.koushikdutta.async.Util+pump(InputStream,DataSink,CompletedCallback) +() +onCompleted(Exception) java.util.regex.Matcher+replaceAll(String) com.koushikdutta.async.http.server.AsyncHttpServerRequest+getMatcher() com.koushikdutta.async.http.server.AsyncHttpServerRequest+getMatcher() java.util.regex.Matcher+replaceAll(String) com.koushikdutta.async.http.server.AsyncHttpServer+getAssetStream(Context,String) com.koushikdutta.async.http.server.AsyncHttpServer+getAssetStream(Context,String) com.koushikdutta.async.http.server.AsyncHttpServerResponse+code(int) com.koushikdutta.async.http.server.AsyncHttpServerResponse+code(int) com.koushikdutta.async.http.server.AsyncHttpServerResponse+end() com.koushikdutta.async.http.server.AsyncHttpServerResponse+end() com.koushikdutta.async.util.StreamUtility+closeQuietly(Closeable[]) com.koushikdutta.async.util.StreamUtility+closeQuietly(Closeable[]) com.koushikdutta.async.http.Headers+set(String,String) com.koushikdutta.async.http.server.AsyncHttpServerResponse+getHeaders() com.koushikdutta.async.http.server.AsyncHttpServerResponse+getHeaders() com.koushikdutta.async.http.Headers+set(String,String) java.lang.String+valueOf(Object) java.lang.String+valueOf(Object) com.koushikdutta.async.http.server.AsyncHttpServerResponse+code(int) com.koushikdutta.async.http.server.AsyncHttpServerResponse+code(int) com.koushikdutta.async.http.Headers+add(String,String) com.koushikdutta.async.http.server.AsyncHttpServerResponse+getHeaders() com.koushikdutta.async.http.server.AsyncHttpServerResponse+getHeaders() com.koushikdutta.async.http.Headers+add(String,String) com.koushikdutta.async.http.server.AsyncHttpServer+getContentType(String) com.koushikdutta.async.http.server.AsyncHttpServer+getContentType(String) com.koushikdutta.async.http.server.AsyncHttpServerResponse+writeHead() com.koushikdutta.async.http.server.AsyncHttpServerResponse+writeHead() com.koushikdutta.async.http.server.AsyncHttpServerResponse+end() com.koushikdutta.async.http.server.AsyncHttpServerResponse+end()",android.util.Pair+second android.util.Pair+second android.util.Pair+first android.util.Pair+second android.util.Pair+second android.util.Pair+first,123,3,4,,"protected boolean onRequest(AsyncHttpServerRequest request, AsyncHttpServerResponse response) {
        return false;
    }",False
4,"onRequest(HttpServerRequestCallback,AsyncHttpServerRequest,AsyncHttpServerResponse)",Method,,,"com.koushikdutta.async.http.server.HttpServerRequestCallback+onRequest(AsyncHttpServerRequest,AsyncHttpServerResponse) com.koushikdutta.async.http.server.HttpServerRequestCallback+onRequest(AsyncHttpServerRequest,AsyncHttpServerResponse)",,215,4,4,,"protected void onRequest(HttpServerRequestCallback callback, AsyncHttpServerRequest request, AsyncHttpServerResponse response) {
        if (callback != null)
            callback.onRequest(request, response);
    }",False
5,onUnknownBody(Headers),Method,,,com.koushikdutta.async.http.server.UnknownRequestBody+UnknownRequestBody(String) com.koushikdutta.async.http.Headers+get(String) com.koushikdutta.async.http.Headers+get(String) com.koushikdutta.async.http.server.AsyncHttpServer+onUnknownBody(Headers) com.koushikdutta.async.http.server.AsyncHttpServer+onUnknownBody(Headers),,137,3,4,,"protected AsyncHttpRequestBody onUnknownBody(Headers headers) {
        return new UnknownRequestBody(headers.get(""Content-Type""));
    }",False
6,mListenCallback,Field,,,,,6471,158,0,,"ListenCallback mListenCallback = new ListenCallback() {
        @Override
        public void onAccepted(final AsyncSocket socket) {
            AsyncHttpServerRequestImpl req = new AsyncHttpServerRequestImpl() {
                HttpServerRequestCallback match;
                String fullPath;
                String path;
                boolean responseComplete;
                boolean requestComplete;
                AsyncHttpServerResponseImpl res;
                boolean hasContinued;

                @Override
                protected AsyncHttpRequestBody onUnknownBody(Headers headers) {
                    return AsyncHttpServer.this.onUnknownBody(headers);
                }

                @Override
                protected void onHeadersReceived() {
                    Headers headers = getHeaders();

                    // should the negotiation of 100 continue be here, or in the request impl?
                    // probably here, so AsyncResponse can negotiate a 100 continue.
                    if (!hasContinued && ""100-continue"".equals(headers.get(""Expect""))) {
                        pause();
//                        System.out.println(""continuing..."");
                        Util.writeAll(mSocket, ""HTTP/1.1 100 Continue\r\n\r\n"".getBytes(), new CompletedCallback() {
                            @Override
                            public void onCompleted(Exception ex) {
                                resume();
                                if (ex != null) {
                                    report(ex);
                                    return;
                                }
                                hasContinued = true;
                                onHeadersReceived();
                            }
                        });
                        return;
                    }
//                    System.out.println(headers.toHeaderString());
                    
                    String statusLine = getStatusLine();
                    String[] parts = statusLine.split("" "");
                    fullPath = parts[1];
                    path = fullPath.split(""\\?"")[0];
                    method = parts[0];
                    synchronized (mActions) {
                        ArrayList<Pair> pairs = mActions.get(method);
                        if (pairs != null) {
                            for (Pair p: pairs) {
                                Matcher m = p.regex.matcher(path);
                                if (m.matches()) {
                                    mMatcher = m;
                                    match = p.callback;
                                    break;
                                }
                            }
                        }
                    }
                    res = new AsyncHttpServerResponseImpl(socket, this) {
                        @Override
                        protected void report(Exception e) {
                            super.report(e);
                            if (e != null) {
                                socket.setDataCallback(new NullDataCallback());
                                socket.setEndCallback(new NullCompletedCallback());
                                socket.close();
                            }
                        }

                        @Override
                        protected void onEnd() {
                            super.onEnd();
                            mSocket.setEndCallback(null);
                            responseComplete = true;
                            // reuse the socket for a subsequent request.
                            handleOnCompleted();
                        }
                    };
                    
                    boolean handled = onRequest(this, res);

                    if (match == null && !handled) {
                        res.code(404);
                        res.end();
                        return;
                    }

                    if (!getBody().readFullyOnRequest()) {
                        onRequest(match, this, res);
                    }
                    else if (requestComplete) {
                        onRequest(match, this, res);
                    }
                }

                @Override
                public void onCompleted(Exception e) {
                    // if the protocol was switched off http, ignore this request/response.
                    if (res.code() == 101)
                        return;
                    requestComplete = true;
                    super.onCompleted(e);
                    // no http pipelining, gc trashing if the socket dies
                    // while the request is being sent and is paused or something
                    mSocket.setDataCallback(new NullDataCallback() {
                        @Override
                        public void onDataAvailable(DataEmitter emitter, ByteBufferList bb) {
                            super.onDataAvailable(emitter, bb);
                            mSocket.close();
                        }
                    });
                    handleOnCompleted();

                    if (getBody().readFullyOnRequest()) {
                        onRequest(match, this, res);
                    }
                }
                
                private void handleOnCompleted() {
                    if (requestComplete && responseComplete) {
                        if (HttpUtil.isKeepAlive(Protocol.HTTP_1_1, getHeaders())) {
                            onAccepted(socket);
                        }
                        else {
                            socket.close();
                        }
                    }
                }

                @Override
                public String getPath() {
                    return path;
                }

                @Override
                public Multimap getQuery() {
                    String[] parts = fullPath.split(""\\?"", 2);
                    if (parts.length < 2)
                        return new Multimap();
                    return Multimap.parseQuery(parts[1]);
                }
            };
            req.setSocket(socket);
            socket.resume();
        }

        @Override
        public void onCompleted(Exception error) {
            report(error);
        }

        @Override
        public void onListening(AsyncServerSocket socket) {
            mListeners.add(socket);
        }
    };",False
7,"listen(AsyncServer,int)",Method,listen(int),com.koushikdutta.async.test.TimeoutTests+setUp(),"com.koushikdutta.async.AsyncServer+listen(InetAddress,int,ListenCallback) com.koushikdutta.async.AsyncServer+listen(InetAddress,int,ListenCallback)",com.koushikdutta.async.http.server.AsyncHttpServer+mListenCallback,128,3,1,,"public AsyncServerSocket listen(AsyncServer server, int port) {
        return server.listen(null, port, mListenCallback);
    }",False
8,report(Exception),Method,,,com.koushikdutta.async.callback.CompletedCallback+onCompleted(Exception) com.koushikdutta.async.callback.CompletedCallback+onCompleted(Exception),com.koushikdutta.async.http.server.AsyncHttpServer+mCompletedCallback com.koushikdutta.async.http.server.AsyncHttpServer+mCompletedCallback,129,4,2,,"private void report(Exception ex) {
        if (mCompletedCallback != null)
            mCompletedCallback.onCompleted(ex);
    }",False
9,listen(int),Method,,com.koushikdutta.async.test.RedirectTests+setUp(),"com.koushikdutta.async.http.server.AsyncHttpServer+listen(AsyncServer,int) com.koushikdutta.async.http.server.AsyncHttpServer+listen(AsyncServer,int) com.koushikdutta.async.AsyncServer+getDefault() com.koushikdutta.async.AsyncServer+getDefault()",,104,3,1,,"public AsyncServerSocket listen(int port) {
        return listen(AsyncServer.getDefault(), port);
    }",False
10,"listenSecure(int,SSLContext)",Method,,com.koushikdutta.async.test.SSLTests+testKeys(),"com.koushikdutta.async.AsyncServer+listen(InetAddress,int,ListenCallback) com.koushikdutta.async.AsyncServer+getDefault() com.koushikdutta.async.AsyncServer+getDefault() com.koushikdutta.async.AsyncServer+listen(InetAddress,int,ListenCallback) +() +onAccepted(AsyncSocket)",,1001,25,1,,"public void listenSecure(final int port, final SSLContext sslContext) {
        AsyncServer.getDefault().listen(null, port, new ListenCallback() {
            @Override
            public void onAccepted(AsyncSocket socket) {
                AsyncSSLSocketWrapper.handshake(socket, null, port, sslContext.createSSLEngine(), null, null, false,
                new AsyncSSLSocketWrapper.HandshakeCallback() {
                    @Override
                    public void onHandshakeCompleted(Exception e, AsyncSSLSocket socket) {
                        if (socket != null)
                            mListenCallback.onAccepted(socket);
                    }
                });
            }

            @Override
            public void onListening(AsyncServerSocket socket) {
                mListenCallback.onListening(socket);
            }

            @Override
            public void onCompleted(Exception ex) {
                mListenCallback.onCompleted(ex);
            }
        });
    }",False
