index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,getRequestLine(),Method,,,+() +getUri(),,1004,31,1,,"public RequestLine getRequestLine() {
        return new RequestLine() {
            
            @Override
            public String getUri() {
                return getUri().toString();
            }
            
            @Override
            public ProtocolVersion getProtocolVersion() {
                return new ProtocolVersion(""HTTP"", 1, 1);
            }
            
            @Override
            public String getMethod() {
                return mMethod;
            }
            
            @Override
            public String toString() {
                String path = AsyncHttpRequest.this.getUri().getPath();
                if (path.length() == 0)
                    path = ""/"";
                String query = AsyncHttpRequest.this.getUri().getRawQuery();
                if (query != null && query.length() != 0) {
                    path += ""?"" + query;
                }
                return String.format(""%s %s HTTP/1.1"", mMethod, path);
            }
        };
    }",False
2,getDefaultUserAgent(),Method,,,java.lang.System+getProperty(String) java.lang.System+getProperty(String) java.lang.System+getProperty(String) java.lang.System+getProperty(String),,195,4,20,,"protected final String getDefaultUserAgent() {
        String agent = System.getProperty(""http.agent"");
        return agent != null ? agent : (""Java"" + System.getProperty(""java.version""));
    }",False
3,mMethod,Field,,,,,23,1,2,,private String mMethod;,False
4,getMethod(),Method,,"com.koushikdutta.async.http.ResponseCacheMiddleware+getSocket(GetSocketData) com.koushikdutta.async.http.ResponseCacheMiddleware+onBodyDecoder(OnBodyData) com.koushikdutta.async.http.ResponseCacheMiddleware+Entry.Entry(URI,RawHeaders,AsyncHttpRequest,ResponseHeaders)",,com.koushikdutta.async.http.AsyncHttpRequest+mMethod,57,3,1,,"public String getMethod() {
       return mMethod; 
    }",False
5,"AsyncHttpRequest(URI,String)",Method,,,,,493,11,1,,"public AsyncHttpRequest(URI uri, String method) {
        assert uri != null;
        mMethod = method;
        mHeaders = new RequestHeaders(uri, mRawHeaders);
        mRawHeaders.setStatusLine(getRequestLine().toString());
        mHeaders.setHost(uri.getHost());
        mHeaders.setUserAgent(getDefaultUserAgent());
        mHeaders.setAcceptEncoding(""gzip, deflate"");
        mHeaders.getHeaders().set(""Connection"", ""keep-alive"");
        mHeaders.getHeaders().set(""Accept"", ""*/*"");
    }",False
6,getUri(),Method,,"com.koushikdutta.async.http.AsyncHttpResponse+onStringAvailable(String) com.koushikdutta.async.http.AsyncSocketMiddleware+getSocket(GetSocketData) com.koushikdutta.async.http.AsyncSocketMiddleware+getSocket(GetSocketData) com.koushikdutta.async.http.AsyncSocketMiddleware+onRequestComplete(OnRequestCompleteData) com.koushikdutta.async.http.AsyncSocketMiddleware+onRequestComplete(OnRequestCompleteData) com.koushikdutta.async.http.ResponseCacheMiddleware+getSocket(GetSocketData) com.koushikdutta.async.http.ResponseCacheMiddleware+getSocket(GetSocketData) com.koushikdutta.async.http.ResponseCacheMiddleware+getSocket(GetSocketData) com.koushikdutta.async.http.ResponseCacheMiddleware+onBodyDecoder(OnBodyData) com.koushikdutta.async.http.ResponseCacheMiddleware+onBodyDecoder(OnBodyData) com.koushikdutta.async.http.SocketIOClient+onCompleted(Exception,AsyncHttpResponse,String)",com.koushikdutta.async.http.libcore.RequestHeaders+getUri() com.koushikdutta.async.http.libcore.RequestHeaders+getUri(),com.koushikdutta.async.http.AsyncHttpRequest+mHeaders,61,3,1,,"public URI getUri() {
        return mHeaders.getUri();
    }",False
7,mRawHeaders,Field,,,,,50,1,2,,private RawHeaders mRawHeaders = new RawHeaders();,False
8,mHeaders,Field,,,,,32,1,2,,private RequestHeaders mHeaders;,False
9,mHandler,Field,,,,,76,1,2,,private Handler mHandler = Looper.myLooper() == null ? null : new Handler();,False
10,getHandler(),Method,,"com.koushikdutta.async.http.AsyncHttpClient+executeFile(AsyncHttpRequest,String,FileCallback) com.koushikdutta.async.http.AsyncHttpClient+execute(AsyncHttpRequest,ResultConvert<T>,RequestCallback<T>)",,com.koushikdutta.async.http.AsyncHttpRequest+mHandler,60,3,1,,"public Handler getHandler() {
        return mHandler;
    }",False
