index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,DEFAULT_LOCK_TIME,Field,,,,,86,1,26,,"private static final Duration DEFAULT_LOCK_TIME = Duration.of(30, ChronoUnit.MINUTES);",True
2,DEFAULT_LOCK_AT_LEAST_FOR,Field,,,,,92,1,26,,"private static final Duration DEFAULT_LOCK_AT_LEAST_FOR = Duration.of(5, ChronoUnit.MILLIS);",True
3,embeddedValueResolver,Field,,,,,90,1,18,,private final StringValueResolver embeddedValueResolver = mock(StringValueResolver.class);,True
4,extractor,Field,,,,,165,1,18,,"private final SpringLockConfigurationExtractor extractor = new SpringLockConfigurationExtractor(DEFAULT_LOCK_TIME, DEFAULT_LOCK_AT_LEAST_FOR, embeddedValueResolver);",True
5,shouldLockForDefaultTimeIfNoAnnotation(),Method,,,net.javacrumbs.shedlock.spring.internal.SpringLockConfigurationExtractorTest+getAnnotation(String) net.javacrumbs.shedlock.spring.internal.SpringLockConfigurationExtractorTest+getAnnotation(String) net.javacrumbs.shedlock.spring.internal.SpringLockConfigurationExtractor+getLockAtMostFor(SchedulerLock) net.javacrumbs.shedlock.spring.internal.SpringLockConfigurationExtractor+getLockAtMostFor(SchedulerLock),net.javacrumbs.shedlock.spring.internal.SpringLockConfigurationExtractorTest+extractor net.javacrumbs.shedlock.spring.internal.SpringLockConfigurationExtractorTest+DEFAULT_LOCK_TIME,331,6,1,,"@Test
    public void shouldLockForDefaultTimeIfNoAnnotation() throws NoSuchMethodException {
        SchedulerLock annotation = getAnnotation(""annotatedMethodWithoutLockAtMostFor"");
        TemporalAmount lockAtMostFor = extractor.getLockAtMostFor(annotation);
        assertThat(lockAtMostFor).isEqualTo(DEFAULT_LOCK_TIME);
    }",True
6,shouldLockTimeFromAnnotation(),Method,,,"net.javacrumbs.shedlock.spring.internal.SpringLockConfigurationExtractorTest+getAnnotation(String) net.javacrumbs.shedlock.spring.internal.SpringLockConfigurationExtractorTest+getAnnotation(String) net.javacrumbs.shedlock.spring.internal.SpringLockConfigurationExtractor+getLockAtMostFor(SchedulerLock) net.javacrumbs.shedlock.spring.internal.SpringLockConfigurationExtractor+getLockAtMostFor(SchedulerLock) java.time.Duration+of(long,TemporalUnit) java.time.Duration+of(long,TemporalUnit)",net.javacrumbs.shedlock.spring.internal.SpringLockConfigurationExtractorTest+extractor,308,6,1,,"@Test
    public void shouldLockTimeFromAnnotation() throws NoSuchMethodException {
        SchedulerLock annotation = getAnnotation(""annotatedMethod"");
        TemporalAmount lockAtMostFor = extractor.getLockAtMostFor(annotation);
        assertThat(lockAtMostFor).isEqualTo(Duration.of(100, MILLIS));
    }",True
7,shouldLockTimeFromAnnotationWithString(),Method,,,"net.javacrumbs.shedlock.spring.internal.SpringLockConfigurationExtractorTest+getAnnotation(String) net.javacrumbs.shedlock.spring.internal.SpringLockConfigurationExtractorTest+getAnnotation(String) net.javacrumbs.shedlock.spring.internal.SpringLockConfigurationExtractor+getLockAtMostFor(SchedulerLock) net.javacrumbs.shedlock.spring.internal.SpringLockConfigurationExtractor+getLockAtMostFor(SchedulerLock) java.time.Duration+of(long,TemporalUnit) java.time.Duration+of(long,TemporalUnit)",net.javacrumbs.shedlock.spring.internal.SpringLockConfigurationExtractorTest+embeddedValueResolver net.javacrumbs.shedlock.spring.internal.SpringLockConfigurationExtractorTest+extractor,416,7,1,,"@Test
    public void shouldLockTimeFromAnnotationWithString() throws NoSuchMethodException {
        when(embeddedValueResolver.resolveStringValue(""${placeholder}"")).thenReturn(""5"");
        SchedulerLock annotation = getAnnotation(""annotatedMethodWithString"");
        TemporalAmount lockAtMostFor = extractor.getLockAtMostFor(annotation);
        assertThat(lockAtMostFor).isEqualTo(Duration.of(5, MILLIS));
    }",True
8,shouldLockTimeFromAnnotationWithDurationString(),Method,,,"net.javacrumbs.shedlock.spring.internal.SpringLockConfigurationExtractorTest+getAnnotation(String) net.javacrumbs.shedlock.spring.internal.SpringLockConfigurationExtractorTest+getAnnotation(String) net.javacrumbs.shedlock.spring.internal.SpringLockConfigurationExtractor+getLockAtMostFor(SchedulerLock) net.javacrumbs.shedlock.spring.internal.SpringLockConfigurationExtractor+getLockAtMostFor(SchedulerLock) java.time.Duration+of(long,TemporalUnit) java.time.Duration+of(long,TemporalUnit)",net.javacrumbs.shedlock.spring.internal.SpringLockConfigurationExtractorTest+embeddedValueResolver net.javacrumbs.shedlock.spring.internal.SpringLockConfigurationExtractorTest+extractor,426,7,1,,"@Test
    public void shouldLockTimeFromAnnotationWithDurationString() throws NoSuchMethodException {
        when(embeddedValueResolver.resolveStringValue(""PT1S"")).thenReturn(""PT1S"");
        SchedulerLock annotation = getAnnotation(""annotatedMethodWithDurationString"");
        TemporalAmount lockAtMostFor = extractor.getLockAtMostFor(annotation);
        assertThat(lockAtMostFor).isEqualTo(Duration.of(1, SECONDS));
    }",True
9,shouldGetZeroGracePeriodFromAnnotation(),Method,,,net.javacrumbs.shedlock.spring.internal.SpringLockConfigurationExtractorTest+getAnnotation(String) net.javacrumbs.shedlock.spring.internal.SpringLockConfigurationExtractorTest+getAnnotation(String) net.javacrumbs.shedlock.spring.internal.SpringLockConfigurationExtractor+getLockAtLeastFor(SchedulerLock) net.javacrumbs.shedlock.spring.internal.SpringLockConfigurationExtractor+getLockAtLeastFor(SchedulerLock),net.javacrumbs.shedlock.spring.internal.SpringLockConfigurationExtractorTest+extractor java.time.Duration+ZERO,323,6,1,,"@Test
    public void shouldGetZeroGracePeriodFromAnnotation() throws NoSuchMethodException {
        SchedulerLock annotation = getAnnotation(""annotatedMethodWithZeroGracePeriod"");
        TemporalAmount gracePeriod = extractor.getLockAtLeastFor(annotation);
        assertThat(gracePeriod).isEqualTo(Duration.ZERO);
    }",True
10,shouldGetPositiveGracePeriodFromAnnotation(),Method,,,"net.javacrumbs.shedlock.spring.internal.SpringLockConfigurationExtractorTest+getAnnotation(String) net.javacrumbs.shedlock.spring.internal.SpringLockConfigurationExtractorTest+getAnnotation(String) net.javacrumbs.shedlock.spring.internal.SpringLockConfigurationExtractor+getLockAtLeastFor(SchedulerLock) net.javacrumbs.shedlock.spring.internal.SpringLockConfigurationExtractor+getLockAtLeastFor(SchedulerLock) java.time.Duration+of(long,TemporalUnit) java.time.Duration+of(long,TemporalUnit)",net.javacrumbs.shedlock.spring.internal.SpringLockConfigurationExtractorTest+extractor,341,6,1,,"@Test
    public void shouldGetPositiveGracePeriodFromAnnotation() throws NoSuchMethodException {
        SchedulerLock annotation = getAnnotation(""annotatedMethodWithPositiveGracePeriod"");
        TemporalAmount gracePeriod = extractor.getLockAtLeastFor(annotation);
        assertThat(gracePeriod).isEqualTo(Duration.of(10, MILLIS));
    }",True
