index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,annotation,full text,removed
1,log,Field,,,,,75,1,3346,78,18,,private final Logger log = LoggerFactory.getLogger(ModelServiceImpl.class);,False
2,NAMESPACE,Field,,,,,69,1,3425,80,25,,"public static final String NAMESPACE = ""http://activiti.com/modeler"";",False
3,THUMBNAIL_WIDTH,Field,,,,,44,1,3498,82,10,,private static float THUMBNAIL_WIDTH = 300f;,True
4,deploymentService,Field,,,,,59,2,3546,85,4,,"@Autowired
  protected DeploymentService deploymentService;",False
5,modelRepository,Field,,,,,55,2,3609,88,4,,"@Autowired
  protected ModelRepository modelRepository;",False
6,modelHistoryRepository,Field,,,,,69,2,3668,91,4,,"@Autowired
  protected ModelHistoryRepository modelHistoryRepository;",False
7,modelRelationRepository,Field,,,,,71,2,3741,94,4,,"@Autowired
  protected ModelRelationRepository modelRelationRepository;",False
8,objectMapper,Field,,,,,49,2,3816,97,4,,"@Autowired
  protected ObjectMapper objectMapper;",False
9,userCache,Field,,,,,43,2,3869,100,4,,"@Autowired
  protected UserCache userCache;",False
10,bpmnJsonConverter,Field,,,,,72,1,3916,102,4,,protected BpmnJsonConverter bpmnJsonConverter = new BpmnJsonConverter();,False
11,bpmnXMLConverter,Field,,,,,69,1,3992,104,4,,protected BpmnXMLConverter bpmnXMLConverter = new BpmnXMLConverter();,False
12,getModel(Long),Method,,,,com.activiti.service.editor.ModelServiceImpl+modelRepository,106,4,4065,107,1,,"@Override
  public AbstractModel getModel(Long modelId) {
    return modelRepository.findOne(modelId);
  }",False
13,"getModelsByModelTypeAndReferenceId(Integer,Long)",Method,,,"java.util.ArrayList+ArrayList(Collection) com.activiti.repository.editor.ModelRepository+findModelsByModelTypeAndReferenceIdOrNullReferenceId(Integer,Long) com.activiti.repository.editor.ModelRepository+findModelsByModelTypeAndReferenceIdOrNullReferenceId(Integer,Long)",com.activiti.service.editor.ModelServiceImpl+modelRepository,251,4,4175,112,1,,"@Override
  public List<AbstractModel> getModelsByModelTypeAndReferenceId(Integer modelType, Long referenceId) {
    return new ArrayList<AbstractModel>(modelRepository.findModelsByModelTypeAndReferenceIdOrNullReferenceId(modelType, referenceId));
  }",False
14,getBpmnXML(AbstractModel),Method,,,"com.activiti.service.editor.ModelServiceImpl+getBpmnModel(AbstractModel,boolean) com.activiti.service.editor.ModelServiceImpl+getBpmnModel(AbstractModel,boolean) com.activiti.service.editor.ModelServiceImpl+getBpmnXML(BpmnModel) com.activiti.service.editor.ModelServiceImpl+getBpmnXML(BpmnModel)",,151,5,4430,117,1,,"@Override
  public byte[] getBpmnXML(AbstractModel model) {
    BpmnModel bpmnModel = getBpmnModel(model, false);
    return getBpmnXML(bpmnModel);
  }",False
15,getBpmnXML(BpmnModel),Method,getBpmnXML(AbstractModel),,org.activiti.bpmn.model.BpmnModel+getProcesses() org.activiti.bpmn.model.BpmnModel+getProcesses() org.activiti.bpmn.model.BaseElement+getId() org.activiti.bpmn.model.BaseElement+getId() java.lang.String+charAt(int) org.activiti.bpmn.model.BaseElement+getId() org.activiti.bpmn.model.BaseElement+getId() java.lang.String+charAt(int) java.lang.Character+isDigit(char) java.lang.Character+isDigit(char) org.activiti.bpmn.model.BaseElement+setId(String) org.activiti.bpmn.model.BaseElement+setId(String) org.activiti.bpmn.model.BaseElement+getId() org.activiti.bpmn.model.BaseElement+getId() org.activiti.bpmn.converter.BpmnXMLConverter+convertToXML(BpmnModel) org.activiti.bpmn.converter.BpmnXMLConverter+convertToXML(BpmnModel),com.activiti.service.editor.ModelServiceImpl+bpmnXMLConverter,484,14,4585,123,1,,"@Override
  public byte[] getBpmnXML(BpmnModel bpmnModel) {
    for (Process process : bpmnModel.getProcesses()) {
      if (StringUtils.isNotEmpty(process.getId())) {
        char firstCharacter = process.getId().charAt(0);
        // no digit is allowed as first character
        if (Character.isDigit(firstCharacter)) {
          process.setId(""a"" + process.getId());
        }
      }
    }
    byte[] xmlBytes = bpmnXMLConverter.convertToXML(bpmnModel);
    return xmlBytes;
  }",False
16,"createModel(ModelRepresentation,String,User)",Method,,,com.activiti.domain.editor.Model+Model() com.activiti.domain.editor.AbstractModel+setVersion(int) com.activiti.domain.editor.AbstractModel+setVersion(int) com.activiti.domain.editor.AbstractModel+setName(String) com.activiti.domain.editor.AbstractModel+setName(String) com.activiti.model.editor.ModelRepresentation+getName() com.activiti.model.editor.ModelRepresentation+getName() com.activiti.domain.editor.AbstractModel+setKey(String) com.activiti.domain.editor.AbstractModel+setKey(String) com.activiti.model.editor.ModelRepresentation+getKey() com.activiti.model.editor.ModelRepresentation+getKey() com.activiti.domain.editor.AbstractModel+setModelType(Integer) com.activiti.domain.editor.AbstractModel+setModelType(Integer) com.activiti.model.editor.ModelRepresentation+getModelType() com.activiti.model.editor.ModelRepresentation+getModelType() com.activiti.domain.editor.AbstractModel+setCreated(Date) com.activiti.domain.editor.AbstractModel+setCreated(Date) java.util.Calendar+getTime() java.util.Calendar+getInstance() java.util.Calendar+getInstance() java.util.Calendar+getTime() com.activiti.domain.editor.AbstractModel+setCreatedBy(String) com.activiti.domain.editor.AbstractModel+setCreatedBy(String) org.activiti.engine.identity.User+getId() org.activiti.engine.identity.User+getId() com.activiti.domain.editor.AbstractModel+setDescription(String) com.activiti.domain.editor.AbstractModel+setDescription(String) com.activiti.model.editor.ModelRepresentation+getDescription() com.activiti.model.editor.ModelRepresentation+getDescription() com.activiti.domain.editor.AbstractModel+setModelEditorJson(String) com.activiti.domain.editor.AbstractModel+setModelEditorJson(String) com.activiti.domain.editor.AbstractModel+setLastUpdated(Date) com.activiti.domain.editor.AbstractModel+setLastUpdated(Date) java.util.Calendar+getTime() java.util.Calendar+getInstance() java.util.Calendar+getInstance() java.util.Calendar+getTime() com.activiti.domain.editor.AbstractModel+setLastUpdatedBy(String) com.activiti.domain.editor.AbstractModel+setLastUpdatedBy(String) org.activiti.engine.identity.User+getId() org.activiti.engine.identity.User+getId() com.activiti.domain.editor.AbstractModel+setReferenceId(Long) com.activiti.domain.editor.AbstractModel+setReferenceId(Long) com.activiti.model.editor.ModelRepresentation+getReferenceId() com.activiti.model.editor.ModelRepresentation+getReferenceId() com.activiti.service.editor.ModelServiceImpl+persistModel(Model) com.activiti.service.editor.ModelServiceImpl+persistModel(Model),,727,19,5073,139,1,,"@Override
  @Transactional
  public Model createModel(ModelRepresentation model, String editorJson, User createdBy) {
    Model newModel = new Model();
    newModel.setVersion(1);
    newModel.setName(model.getName());
    newModel.setKey(model.getKey());
    newModel.setModelType(model.getModelType());
    newModel.setCreated(Calendar.getInstance().getTime());
    newModel.setCreatedBy(createdBy.getId());
    newModel.setDescription(model.getDescription());
    newModel.setModelEditorJson(editorJson);
    newModel.setLastUpdated(Calendar.getInstance().getTime());
    newModel.setLastUpdatedBy(createdBy.getId());
    newModel.setReferenceId(model.getReferenceId());

    persistModel(newModel);
    return newModel;
  }",False
17,"createNewModelVersion(Model,String,User)",Method,,,"com.activiti.service.editor.ModelServiceImpl+internalCreateNewModelVersion(Model,String,User,boolean) com.activiti.service.editor.ModelServiceImpl+internalCreateNewModelVersion(Model,String,User,boolean)",,210,5,5804,159,1,,"@Override
  @Transactional
  public Model createNewModelVersion(Model modelObject, String comment, User updatedBy) {
    return (Model) internalCreateNewModelVersion(modelObject, comment, updatedBy, false);
  }",False
18,"createNewModelVersionAndReturnModelHistory(Model,String,User)",Method,,,"com.activiti.service.editor.ModelServiceImpl+internalCreateNewModelVersion(Model,String,User,boolean) com.activiti.service.editor.ModelServiceImpl+internalCreateNewModelVersion(Model,String,User,boolean)",,244,5,6018,165,1,,"@Override
  @Transactional
  public ModelHistory createNewModelVersionAndReturnModelHistory(Model modelObject, String comment, User updatedBy) {
    return (ModelHistory) internalCreateNewModelVersion(modelObject, comment, updatedBy, true);
  }",False
