index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,annotation,full text,removed
1,area,Field,setArea(String),,,,20,1,266,15,2,,private String area;,True
2,name,Field,setName(String),,,,20,1,291,16,2,,private String name;,True
3,enabled,Field,setEnabled(boolean),,,,24,1,316,17,2,,private boolean enabled;,False
4,timeUnit,Field,setTimeUnit(TimeUnit),,,,26,1,345,18,2,,private TimeUnit timeUnit;,False
5,expire,Field,setExpire(long),,,,20,1,376,19,2,,private long expire;,False
6,cacheType,Field,setCacheType(CacheType),,,,28,1,401,20,2,,private CacheType cacheType;,False
7,localLimit,Field,setLocalLimit(int),,,,23,1,434,21,2,,private int localLimit;,False
8,cacheNullValue,Field,setCacheNullValue(boolean),,,,31,1,462,22,2,,private boolean cacheNullValue;,False
9,condition,Field,setCondition(String),,,,25,1,498,23,2,,private String condition;,True
10,unless,Field,setUnless(String),,,,22,1,528,24,2,,private String unless;,False
11,serialPolicy,Field,setSerialPolicy(String),,,,28,1,555,25,2,,private String serialPolicy;,False
12,keyConvertor,Field,setKeyConvertor(String),,,,28,1,588,26,2,,private String keyConvertor;,False
13,key,Field,setKey(String),,,,19,1,621,27,2,,private String key;,True
14,getArea(),Method,,com.alicp.jetcache.anno.field.CreateCacheAnnotationBeanPostProcessor+init() com.alicp.jetcache.anno.support.CacheContext+createCacheInvokeContext() com.alicp.jetcache.anno.aop.CachePointCutTest+testMatches3(),,com.alicp.jetcache.anno.support.CachedAnnoConfig+area,52,3,646,29,1,,"public String getArea() {
        return area;
    }",True
15,isEnabled(),Method,,com.alicp.jetcache.anno.method.CacheHandler+doInvoke(CacheInvokeContext) com.alicp.jetcache.anno.aop.CachePointCutTest+testMatches3(),,com.alicp.jetcache.anno.support.CachedAnnoConfig+enabled,58,3,704,33,1,,"public boolean isEnabled() {
        return enabled;
    }",False
16,getExpire(),Method,,"com.alicp.jetcache.anno.support.CacheContext+buildRemote(CachedAnnoConfig,String,String) com.alicp.jetcache.anno.support.CacheContext+buildRemote(CachedAnnoConfig,String,String) com.alicp.jetcache.anno.support.CacheContext+buildLocal(CachedAnnoConfig,String) com.alicp.jetcache.anno.support.CacheContext+buildLocal(CachedAnnoConfig,String) com.alicp.jetcache.anno.aop.CachePointCutTest+testMatches3()",,com.alicp.jetcache.anno.support.CachedAnnoConfig+expire,54,3,768,37,1,,"public long getExpire() {
        return expire;
    }",False
17,getCacheType(),Method,,"com.alicp.jetcache.anno.support.CacheContext+buildCache(CachedAnnoConfig,String,String) com.alicp.jetcache.anno.support.CacheContext+buildCache(CachedAnnoConfig,String,String) com.alicp.jetcache.anno.aop.CachePointCutTest+testMatches3()",,com.alicp.jetcache.anno.support.CachedAnnoConfig+cacheType,65,3,828,41,1,,"public CacheType getCacheType() {
        return cacheType;
    }",False
18,getLocalLimit(),Method,,"com.alicp.jetcache.anno.support.CacheContext+buildLocal(CachedAnnoConfig,String) com.alicp.jetcache.anno.support.CacheContext+buildLocal(CachedAnnoConfig,String) com.alicp.jetcache.anno.aop.CachePointCutTest+testMatches3()",,com.alicp.jetcache.anno.support.CachedAnnoConfig+localLimit,61,3,899,45,1,,"public int getLocalLimit() {
        return localLimit;
    }",False
19,setArea(String),Method,,com.alicp.jetcache.anno.field.CreateCacheAnnotationBeanPostProcessor+init() com.alicp.jetcache.anno.method.CacheConfigUtil+parseCacheConfig(Method) com.alicp.jetcache.anno.method.CacheHandlerTest+setup() com.alicp.jetcache.anno.method.ProxyUtilTest+testGetProxy(),,com.alicp.jetcache.anno.support.CachedAnnoConfig+area com.alicp.jetcache.anno.support.CachedAnnoConfig+area,66,3,966,49,1,,"public void setArea(String area) {
        this.area = area;
    }",True
20,setEnabled(boolean),Method,,com.alicp.jetcache.anno.method.CacheConfigUtil+parseCacheConfig(Method) com.alicp.jetcache.anno.method.CacheHandlerTest+setup() com.alicp.jetcache.anno.method.CacheHandlerTest+testStaticInvoke_CacheContext() com.alicp.jetcache.anno.method.CacheHandlerTest+testStaticInvoke_CacheContext() com.alicp.jetcache.anno.method.CacheHandlerTest+testStaticInvoke_CacheContext() com.alicp.jetcache.anno.method.CacheHandlerTest+testStaticInvoke_CacheContext() com.alicp.jetcache.anno.method.ProxyUtilTest+testGetProxy(),,com.alicp.jetcache.anno.support.CachedAnnoConfig+enabled com.alicp.jetcache.anno.support.CachedAnnoConfig+enabled,79,3,1038,53,1,,"public void setEnabled(boolean enabled) {
        this.enabled = enabled;
    }",False
21,setExpire(long),Method,,com.alicp.jetcache.anno.field.CreateCacheAnnotationBeanPostProcessor+init() com.alicp.jetcache.anno.method.CacheConfigUtil+parseCacheConfig(Method) com.alicp.jetcache.anno.method.CacheHandlerTest+setup() com.alicp.jetcache.anno.method.ProxyUtilTest+testGetProxy(),,com.alicp.jetcache.anno.support.CachedAnnoConfig+expire com.alicp.jetcache.anno.support.CachedAnnoConfig+expire,72,3,1123,57,1,,"public void setExpire(long expire) {
        this.expire = expire;
    }",False
22,setCacheType(CacheType),Method,,com.alicp.jetcache.anno.field.CreateCacheAnnotationBeanPostProcessor+init() com.alicp.jetcache.anno.method.CacheConfigUtil+parseCacheConfig(Method) com.alicp.jetcache.anno.method.CacheHandlerTest+setup() com.alicp.jetcache.anno.method.ProxyUtilTest+testGetProxy(),,com.alicp.jetcache.anno.support.CachedAnnoConfig+cacheType com.alicp.jetcache.anno.support.CachedAnnoConfig+cacheType,89,3,1201,61,1,,"public void setCacheType(CacheType cacheType) {
        this.cacheType = cacheType;
    }",False
23,setLocalLimit(int),Method,,com.alicp.jetcache.anno.field.CreateCacheAnnotationBeanPostProcessor+init() com.alicp.jetcache.anno.method.CacheConfigUtil+parseCacheConfig(Method) com.alicp.jetcache.anno.method.CacheHandlerTest+setup(),,com.alicp.jetcache.anno.support.CachedAnnoConfig+localLimit com.alicp.jetcache.anno.support.CachedAnnoConfig+localLimit,87,3,1296,65,1,,"public void setLocalLimit(int localLimit) {
        this.localLimit = localLimit;
    }",False
24,isCacheNullValue(),Method,,com.alicp.jetcache.anno.method.CacheHandler+canNotCache(CacheInvokeContext),,com.alicp.jetcache.anno.support.CachedAnnoConfig+cacheNullValue,72,3,1389,69,1,,"public boolean isCacheNullValue() {
        return cacheNullValue;
    }",False
25,setCacheNullValue(boolean),Method,,com.alicp.jetcache.anno.method.CacheConfigUtil+parseCacheConfig(Method) com.alicp.jetcache.anno.method.CacheHandlerTest+setup() com.alicp.jetcache.anno.method.CacheHandlerTest+testStaticInvokeNull() com.alicp.jetcache.anno.method.CacheHandlerTest+testStaticInvokeNull() com.alicp.jetcache.anno.method.CacheHandlerTest+testStaticInvokeNull() com.alicp.jetcache.anno.method.CacheHandlerTest+testStaticInvokeUnlessAndNull() com.alicp.jetcache.anno.method.CacheHandlerTest+testStaticInvokeUnlessAndNull(),,com.alicp.jetcache.anno.support.CachedAnnoConfig+cacheNullValue com.alicp.jetcache.anno.support.CachedAnnoConfig+cacheNullValue,107,3,1467,73,1,,"public void setCacheNullValue(boolean cacheNullValue) {
        this.cacheNullValue = cacheNullValue;
    }",False
26,getCondition(),Method,,com.alicp.jetcache.anno.method.ExpressionEvaluator+evalCondition(CacheInvokeContext),,com.alicp.jetcache.anno.support.CachedAnnoConfig+condition,62,3,1580,77,1,,"public String getCondition() {
        return condition;
    }",True
27,setCondition(String),Method,,com.alicp.jetcache.anno.method.CacheConfigUtil+parseCacheConfig(Method) com.alicp.jetcache.anno.method.CacheHandlerTest+setup() com.alicp.jetcache.anno.method.CacheHandlerTest+testStaticInvokeCondition() com.alicp.jetcache.anno.method.ExpressionUtilTest+testCondition1() com.alicp.jetcache.anno.method.ExpressionUtilTest+testCondition2() com.alicp.jetcache.anno.method.ExpressionUtilTest+testCondition3() com.alicp.jetcache.anno.method.ProxyUtilTest+testGetProxy(),,com.alicp.jetcache.anno.support.CachedAnnoConfig+condition com.alicp.jetcache.anno.support.CachedAnnoConfig+condition,86,3,1648,81,1,,"public void setCondition(String condition) {
        this.condition = condition;
    }",True
28,getUnless(),Method,,com.alicp.jetcache.anno.method.ExpressionEvaluator+evalUnless(CacheInvokeContext),,com.alicp.jetcache.anno.support.CachedAnnoConfig+unless,56,3,1740,85,1,,"public String getUnless() {
        return unless;
    }",False
29,setUnless(String),Method,,com.alicp.jetcache.anno.method.CacheConfigUtil+parseCacheConfig(Method) com.alicp.jetcache.anno.method.CacheHandlerTest+setup() com.alicp.jetcache.anno.method.CacheHandlerTest+testStaticInvokeUnless() com.alicp.jetcache.anno.method.CacheHandlerTest+testStaticInvokeUnless() com.alicp.jetcache.anno.method.CacheHandlerTest+testStaticInvokeUnlessAndNull() com.alicp.jetcache.anno.method.CacheHandlerTest+testStaticInvokeUnlessAndNull() com.alicp.jetcache.anno.method.CacheHandlerTest+testStaticInvokeUnlessAndNull() com.alicp.jetcache.anno.method.CacheHandlerTest+testStaticInvokeUnlessAndNull() com.alicp.jetcache.anno.method.ExpressionUtilTest+testUnless1() com.alicp.jetcache.anno.method.ExpressionUtilTest+testUnless2() com.alicp.jetcache.anno.method.ExpressionUtilTest+testUnless3() com.alicp.jetcache.anno.method.ProxyUtilTest+testGetProxy(),,com.alicp.jetcache.anno.support.CachedAnnoConfig+unless com.alicp.jetcache.anno.support.CachedAnnoConfig+unless,74,3,1802,89,1,,"public void setUnless(String unless) {
        this.unless = unless;
    }",False
30,getSerialPolicy(),Method,,"com.alicp.jetcache.anno.support.CacheContext+buildRemote(CachedAnnoConfig,String,String) com.alicp.jetcache.anno.support.CacheContext+buildRemote(CachedAnnoConfig,String,String) com.alicp.jetcache.anno.support.CacheContext+buildRemote(CachedAnnoConfig,String,String)",,com.alicp.jetcache.anno.support.CachedAnnoConfig+serialPolicy,68,3,1882,93,1,,"public String getSerialPolicy() {
        return serialPolicy;
    }",False
31,setSerialPolicy(String),Method,,com.alicp.jetcache.anno.field.CreateCacheAnnotationBeanPostProcessor+init() com.alicp.jetcache.anno.method.CacheConfigUtil+parseCacheConfig(Method) com.alicp.jetcache.anno.method.CacheHandlerTest+setup() com.alicp.jetcache.anno.method.ProxyUtilTest+testGetProxy(),,com.alicp.jetcache.anno.support.CachedAnnoConfig+serialPolicy com.alicp.jetcache.anno.support.CachedAnnoConfig+serialPolicy,98,3,1956,97,1,,"public void setSerialPolicy(String serialPolicy) {
        this.serialPolicy = serialPolicy;
    }",False
32,getName(),Method,,com.alicp.jetcache.anno.field.CreateCacheAnnotationBeanPostProcessor+init() com.alicp.jetcache.anno.support.CacheContext+createCacheInvokeContext(),,com.alicp.jetcache.anno.support.CachedAnnoConfig+name,52,3,2060,101,1,,"public String getName() {
        return name;
    }",True
33,setName(String),Method,,com.alicp.jetcache.anno.field.CreateCacheAnnotationBeanPostProcessor+init() com.alicp.jetcache.anno.method.CacheConfigUtil+parseCacheConfig(Method) com.alicp.jetcache.anno.method.CacheHandlerTest+setup() com.alicp.jetcache.anno.method.ProxyUtilTest+testGetProxy(),,com.alicp.jetcache.anno.support.CachedAnnoConfig+name com.alicp.jetcache.anno.support.CachedAnnoConfig+name,66,3,2118,105,1,,"public void setName(String name) {
        this.name = name;
    }",True
34,getKeyConvertor(),Method,,"com.alicp.jetcache.anno.support.CacheContext+buildRemote(CachedAnnoConfig,String,String) com.alicp.jetcache.anno.support.CacheContext+buildRemote(CachedAnnoConfig,String,String) com.alicp.jetcache.anno.support.CacheContext+buildLocal(CachedAnnoConfig,String) com.alicp.jetcache.anno.support.CacheContext+buildLocal(CachedAnnoConfig,String)",,com.alicp.jetcache.anno.support.CachedAnnoConfig+keyConvertor,68,3,2190,109,1,,"public String getKeyConvertor() {
        return keyConvertor;
    }",False
35,setKeyConvertor(String),Method,,com.alicp.jetcache.anno.field.CreateCacheAnnotationBeanPostProcessor+init() com.alicp.jetcache.anno.method.CacheConfigUtil+parseCacheConfig(Method) com.alicp.jetcache.anno.method.CacheHandlerTest+setup() com.alicp.jetcache.anno.method.ProxyUtilTest+testGetProxy(),,com.alicp.jetcache.anno.support.CachedAnnoConfig+keyConvertor com.alicp.jetcache.anno.support.CachedAnnoConfig+keyConvertor,98,3,2264,113,1,,"public void setKeyConvertor(String keyConvertor) {
        this.keyConvertor = keyConvertor;
    }",False
36,getTimeUnit(),Method,,"com.alicp.jetcache.anno.support.CacheContext+buildRemote(CachedAnnoConfig,String,String) com.alicp.jetcache.anno.support.CacheContext+buildLocal(CachedAnnoConfig,String)",,com.alicp.jetcache.anno.support.CachedAnnoConfig+timeUnit,62,3,2368,117,1,,"public TimeUnit getTimeUnit() {
        return timeUnit;
    }",False
37,setTimeUnit(TimeUnit),Method,,com.alicp.jetcache.anno.field.CreateCacheAnnotationBeanPostProcessor+init() com.alicp.jetcache.anno.method.CacheConfigUtil+parseCacheConfig(Method) com.alicp.jetcache.anno.method.CacheHandlerTest+setup() com.alicp.jetcache.anno.method.ProxyUtilTest+testGetProxy(),,com.alicp.jetcache.anno.support.CachedAnnoConfig+timeUnit com.alicp.jetcache.anno.support.CachedAnnoConfig+timeUnit,84,3,2436,121,1,,"public void setTimeUnit(TimeUnit timeUnit) {
        this.timeUnit = timeUnit;
    }",False
38,getKey(),Method,,com.alicp.jetcache.anno.method.ExpressionEvaluator+evalKey(CacheInvokeContext),,com.alicp.jetcache.anno.support.CachedAnnoConfig+key,50,3,2526,125,1,,"public String getKey() {
        return key;
    }",True
39,setKey(String),Method,,com.alicp.jetcache.anno.method.CacheConfigUtil+parseCacheConfig(Method) com.alicp.jetcache.anno.method.CacheHandlerTest+setup() com.alicp.jetcache.anno.method.ProxyUtilTest+testGetProxy(),,com.alicp.jetcache.anno.support.CachedAnnoConfig+key com.alicp.jetcache.anno.support.CachedAnnoConfig+key,62,3,2582,129,1,,"public void setKey(String key) {
        this.key = key;
    }",True
