index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,IdentityDialect,Field,,,,,63,4,1,"/** 
 * IDENTITY
 */
","/**
     * IDENTITY
     */
    public enum IdentityDialect",False
2,identityRetrievalStatement,Field,IdentityDialect(String),,,,42,1,2,,private String identityRetrievalStatement;,False
3,IdentityDialect(String),Method,,,,com.github.abel533.mapper.MapperHelper+identityRetrievalStatement com.github.abel533.mapper.MapperHelper+identityRetrievalStatement,144,3,2,,"private IdentityDialect(String identityRetrievalStatement) {
            this.identityRetrievalStatement = identityRetrievalStatement;
        }",False
4,getIdentityRetrievalStatement(),Method,,,,com.github.abel533.mapper.MapperHelper+identityRetrievalStatement,104,3,1,,"public String getIdentityRetrievalStatement() {
            return identityRetrievalStatement;
        }",False
5,getDatabaseDialect(String),Method,,,java.lang.String+equalsIgnoreCase(String) java.lang.String+equalsIgnoreCase(String) java.lang.String+equalsIgnoreCase(String) java.lang.String+equalsIgnoreCase(String) java.lang.String+equalsIgnoreCase(String) java.lang.String+equalsIgnoreCase(String) java.lang.String+equalsIgnoreCase(String) java.lang.String+equalsIgnoreCase(String) java.lang.String+equalsIgnoreCase(String) java.lang.String+equalsIgnoreCase(String) java.lang.String+equalsIgnoreCase(String) java.lang.String+equalsIgnoreCase(String) java.lang.String+equalsIgnoreCase(String) java.lang.String+equalsIgnoreCase(String) java.lang.String+equalsIgnoreCase(String) java.lang.String+equalsIgnoreCase(String) java.lang.String+equalsIgnoreCase(String) java.lang.String+equalsIgnoreCase(String),,1072,23,9,,"public static IdentityDialect getDatabaseDialect(String database) {
            IdentityDialect returnValue = null;
            if (""DB2"".equalsIgnoreCase(database)) {
                returnValue = DB2;
            } else if (""MySQL"".equalsIgnoreCase(database)) {
                returnValue = MYSQL;
            } else if (""SqlServer"".equalsIgnoreCase(database)) {
                returnValue = SQLSERVER;
            } else if (""Cloudscape"".equalsIgnoreCase(database)) {
                returnValue = CLOUDSCAPE;
            } else if (""Derby"".equalsIgnoreCase(database)) {
                returnValue = DERBY;
            } else if (""HSQLDB"".equalsIgnoreCase(database)) {
                returnValue = HSQLDB;
            } else if (""SYBASE"".equalsIgnoreCase(database)) {
                returnValue = SYBASE;
            } else if (""DB2_MF"".equalsIgnoreCase(database)) {
                returnValue = DB2_MF;
            } else if (""Informix"".equalsIgnoreCase(database)) {
                returnValue = INFORMIX;
            }
            return returnValue;
        }",False
6,UUID,Field,,,,,25,1,2,,"private String UUID = """";",False
7,IDENTITY,Field,,,,,29,1,2,,"private String IDENTITY = """";",False
8,BEFORE,Field,,,,,31,1,2,,private boolean BEFORE = false;,False
9,cameHumpMap,Field,,,,,36,1,2,,private boolean cameHumpMap = false;,False
10,config,Field,,,,,37,1,2,,private Config config = new Config();,False
