index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,annotation,full text,removed
1,Op,Field,,,,,7,1,3187,73,0,,enum Op,False
2,desc,Field,Op(String),,,,26,1,3442,89,18,,private final String desc;,False
3,Op(String),Method,,,,com.alibaba.nacos.naming.consistency.persistent.impl.PersistentServiceProcessor+desc com.alibaba.nacos.naming.consistency.persistent.impl.PersistentServiceProcessor+desc,57,3,3486,91,0,,"Op(String desc) {
            this.desc = desc;
        }",False
4,protocol,Field,"PersistentServiceProcessor(ProtocolManager,ClusterVersionJudgement) init() init()",,,,34,1,3559,96,18,,private final CPProtocol protocol;,False
5,kvStorage,Field,"PersistentServiceProcessor(ProtocolManager,ClusterVersionJudgement) loadSnapshotOperate()",,,,34,1,3603,98,18,,private final KvStorage kvStorage;,True
6,versionJudgement,Field,"PersistentServiceProcessor(ProtocolManager,ClusterVersionJudgement) init()",,,,55,1,3647,100,18,,private final ClusterVersionJudgement versionJudgement;,True
7,serializer,Field,"PersistentServiceProcessor(ProtocolManager,ClusterVersionJudgement)",,,,36,1,3712,102,18,,private final Serializer serializer;,True
8,lock,Field,,,,,177,4,3758,107,18,"/** 
 * During snapshot processing, the processing of other requests needs to be paused.
 */
","/**
     * During snapshot processing, the processing of other requests needs to be paused.
     */
    private final ReentrantReadWriteLock lock = new ReentrantReadWriteLock();",True
9,readLock,Field,,,,,73,1,3945,109,18,,private final ReentrantReadWriteLock.ReadLock readLock = lock.readLock();,True
10,notifier,Field,"PersistentServiceProcessor(ProtocolManager,ClusterVersionJudgement)",,,,42,1,4028,111,18,,private final PersistentNotifier notifier;,True
11,hasLeader,Field,,,,,100,4,4080,116,66,"/** 
 * Is there a leader node currently.
 */
","/**
     * Is there a leader node currently.
     */
    private volatile boolean hasLeader = false;",False
12,hasError,Field,,,,,106,4,4190,121,66,"/** 
 * Whether an unrecoverable error occurred.
 */
","/**
     * Whether an unrecoverable error occurred.
     */
    private volatile boolean hasError = false;",True
13,startNotify,Field,,,,,135,4,4306,126,66,"/** 
 * If use old raft, should not notify listener even new listener add.
 */
","/**
     * If use old raft, should not notify listener even new listener add.
     */
    private volatile boolean startNotify = false;",True
