index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,annotation,full text,removed
1,log,Field,,,,,83,1,1411,38,10,,private static Logger log = LoggerFactory.getLogger(DefaultAsyncJobExecutor.class);,False
2,corePoolSize,Field,setCorePoolSize(int),,,,126,2,1500,41,4,"/** 
 * The minimal number of threads that are kept alive in the threadpool for job execution 
 */
","/** The minimal number of threads that are kept alive in the threadpool for job execution */
  protected int corePoolSize = 2;",False
3,maxPoolSize,Field,setMaxPoolSize(int),,,,126,2,1632,44,4,"/** 
 * The maximum number of threads that are kept alive in the threadpool for job execution 
 */
","/** The maximum number of threads that are kept alive in the threadpool for job execution */
  protected int maxPoolSize = 10;",False
4,keepAliveTime,Field,setKeepAliveTime(long),,,,325,6,1764,51,4,"/** 
 * The time (in milliseconds) a thread used for job execution must be kept alive before it is destroyed. Default setting is 0. Having a non-default setting of 0 takes resources, but in the case of many job executions it avoids creating new threads all the time. 
 */
","/** 
   * The time (in milliseconds) a thread used for job execution must be kept alive before it is
   * destroyed. Default setting is 0. Having a non-default setting of 0 takes resources,
   * but in the case of many job executions it avoids creating new threads all the time. 
   */
  protected long keepAliveTime = 5000L;",True
5,queueSize,Field,setQueueSize(int),,,,101,2,2093,54,4,"/** 
 * The size of the queue on which jobs to be executed are placed 
 */
","/** The size of the queue on which jobs to be executed are placed */
  protected int queueSize = 100;",False
6,threadPoolQueue,Field,setThreadPoolQueue(BlockingQueue<Runnable>),,,,97,2,2200,57,4,"/** 
 * The queue used for job execution work 
 */
","/** The queue used for job execution work */
  protected BlockingQueue<Runnable> threadPoolQueue;",False
7,executorService,Field,setExecutorService(ExecutorService),,,,95,2,2303,60,4,"/** 
 * The executor service used for job execution 
 */
","/** The executor service used for job execution */
  protected ExecutorService executorService;",False
8,secondsToWaitOnShutdown,Field,setSecondsToWaitOnShutdown(long),,,,153,2,2404,63,4,"/** 
 * The time (in seconds) that is waited to gracefully shut down the threadpool used for job execution 
 */
","/** The time (in seconds) that is waited to gracefully shut down the threadpool used for job execution */
  protected long secondsToWaitOnShutdown = 60L;",False
9,timerJobAcquisitionThread,Field,,,,,43,1,2563,65,4,,protected Thread timerJobAcquisitionThread;,True
10,asyncJobAcquisitionThread,Field,,,,,43,1,2609,66,4,,protected Thread asyncJobAcquisitionThread;,True
11,timerJobRunnable,Field,setTimerJobRunnable(AcquireTimerJobsRunnable),,,,52,1,2655,67,4,,protected AcquireTimerJobsRunnable timerJobRunnable;,True
12,asyncJobsDueRunnable,Field,setAsyncJobsDueRunnable(AcquireAsyncJobsDueRunnable),,,,59,1,2710,68,4,,protected AcquireAsyncJobsDueRunnable asyncJobsDueRunnable;,True
13,executeAsyncRunnableFactory,Field,setExecuteAsyncRunnableFactory(ExecuteAsyncRunnableFactory),,,,66,1,2775,70,4,,protected ExecuteAsyncRunnableFactory executeAsyncRunnableFactory;,True
14,isAutoActivate,Field,setAutoActivate(boolean),,,,41,1,2847,72,4,,protected boolean isAutoActivate = false;,True
15,isActive,Field,,,,,35,1,2891,73,4,,protected boolean isActive = false;,True
16,maxTimerJobsPerAcquisition,Field,setMaxTimerJobsPerAcquisition(int),,,,45,1,2932,75,4,,protected int maxTimerJobsPerAcquisition = 1;,True
17,maxAsyncJobsDuePerAcquisition,Field,setMaxAsyncJobsDuePerAcquisition(int),,,,48,1,2980,76,4,,protected int maxAsyncJobsDuePerAcquisition = 1;,True
18,defaultTimerJobAcquireWaitTimeInMillis,Field,setDefaultTimerJobAcquireWaitTimeInMillis(int),,,,65,1,3031,77,4,,protected int defaultTimerJobAcquireWaitTimeInMillis = 10 * 1000;,True
19,defaultAsyncJobAcquireWaitTimeInMillis,Field,setDefaultAsyncJobAcquireWaitTimeInMillis(int),,,,65,1,3099,78,4,,protected int defaultAsyncJobAcquireWaitTimeInMillis = 10 * 1000;,True
20,defaultQueueSizeFullWaitTime,Field,setDefaultQueueSizeFullWaitTimeInMillis(int),,,,47,1,3167,79,4,,protected int defaultQueueSizeFullWaitTime = 0;,True
21,lockOwner,Field,setLockOwner(String),,,,58,1,3221,81,4,,protected String lockOwner = UUID.randomUUID().toString();,True
22,timerLockTimeInMillis,Field,setTimerLockTimeInMillis(int),,,,52,1,3282,82,4,,protected int timerLockTimeInMillis = 5 * 60 * 1000;,True
23,asyncJobLockTimeInMillis,Field,setAsyncJobLockTimeInMillis(int),,,,55,1,3337,83,4,,protected int asyncJobLockTimeInMillis = 5 * 60 * 1000;,True
24,retryWaitTimeInMillis,Field,setRetryWaitTimeInMillis(int),,,,42,1,3395,84,4,,protected int retryWaitTimeInMillis = 500;,True
25,temporaryJobQueue,Field,,,,,80,1,3576,88,4,,protected LinkedList<JobEntity> temporaryJobQueue = new LinkedList<JobEntity>();,True
26,commandExecutor,Field,setCommandExecutor(CommandExecutor),,,,42,1,3662,90,4,,protected CommandExecutor commandExecutor;,True
27,executeAsyncJob(JobEntity),Method,start(),,org.activiti.engine.impl.asyncexecutor.DefaultAsyncJobExecutor+createRunnableForJob(JobEntity) org.activiti.engine.impl.asyncexecutor.DefaultAsyncJobExecutor+createRunnableForJob(JobEntity) org.activiti.engine.impl.asyncexecutor.DefaultAsyncJobExecutor+executeAsyncJob(Runnable) org.activiti.engine.impl.asyncexecutor.DefaultAsyncJobExecutor+executeAsyncJob(Runnable) org.activiti.engine.impl.asyncexecutor.DefaultAsyncJobExecutor+doUnlockJob(JobEntity) org.activiti.engine.impl.asyncexecutor.DefaultAsyncJobExecutor+doUnlockJob(JobEntity) java.util.LinkedList+add(E) java.util.LinkedList+add(E),org.activiti.engine.impl.asyncexecutor.DefaultAsyncJobExecutor+isActive org.activiti.engine.impl.asyncexecutor.DefaultAsyncJobExecutor+temporaryJobQueue,350,11,3710,92,1,,"public boolean executeAsyncJob(JobEntity job) {
    if (isActive) {
      Runnable runnable = createRunnableForJob(job);
      boolean result = executeAsyncJob(runnable);
      if (!result) doUnlockJob(job);
      return result; // false indicates that the job was rejected.
    } else {
      temporaryJobQueue.add(job);
      return true;
    }
  }",True
28,executeAsyncJob(Runnable),Method,executeAsyncJob(JobEntity),,java.util.concurrent.Executor+execute(Runnable) java.util.concurrent.Executor+execute(Runnable),org.activiti.engine.impl.asyncexecutor.DefaultAsyncJobExecutor+executorService,461,11,4064,104,4,,"protected boolean executeAsyncJob(Runnable runnable) {
    try {
      executorService.execute(runnable);
      return true;
    } catch (RejectedExecutionException e) {
      // When a RejectedExecutionException is caught, this means that the queue for holding the jobs 
      // that are to be executed is full and can't store more.
      // Return false so the job can be unlocked and (if wanted) the acquiring can be throttled.
      return false;
    }
  }",False
