index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,commit,full text,moved,removed
1,createFiles(String),Method,"lsNoAcl() lsMultipleDirs() lsHumanReadable() lsPinned() lsDirectoryAsPlainFileNoAcl() ls() lsrNoAcl() lsr() checkLsWithTimestamp(String,Function<URIStatus,Long>)""","""","alluxio.master.LocalAlluxioCluster+getClient(FileSystemContext) alluxio.master.LocalAlluxioCluster+getClient(FileSystemContext) alluxio.client.file.FileSystemContext+create(Subject,AlluxioConfiguration) alluxio.client.file.FileSystemContext+create(Subject,AlluxioConfiguration) alluxio.security.user.BaseUserState+getSubject() alluxio.security.user.TestUserState+TestUserState(String,AlluxioConfiguration) alluxio.conf.ServerConfiguration+global() alluxio.conf.ServerConfiguration+global() alluxio.security.user.BaseUserState+getSubject() alluxio.conf.ServerConfiguration+global() alluxio.conf.ServerConfiguration+global() alluxio.client.file.FileSystemTestUtils+createByteFile(FileSystem,String,WritePType,int) alluxio.client.file.FileSystemTestUtils+createByteFile(FileSystem,String,WritePType,int) alluxio.client.file.FileSystemTestUtils+createByteFile(FileSystem,String,WritePType,int) alluxio.client.file.FileSystemTestUtils+createByteFile(FileSystem,String,WritePType,int) alluxio.client.file.FileSystemTestUtils+createByteFile(FileSystem,String,WritePType,int) alluxio.client.file.FileSystemTestUtils+createByteFile(FileSystem,String,WritePType,int)""","alluxio.client.cli.fs.AbstractFileSystemShellTest+mFileSystem alluxio.client.cli.fs.AbstractFileSystemShellTest+mLocalAlluxioCluster""",611,12,1707,47,2,,"private void createFiles(String user) throws Exception {
    FileSystem fs = mFileSystem;
    if (user != null) {
      fs = mLocalAlluxioCluster.getClient(FileSystemContext
          .create(new TestUserState(user, ServerConfiguration.global()).getSubject(),
              ServerConfiguration.global()));
    }
    FileSystemTestUtils.createByteFile(fs, ""/testRoot/testFileA"", WritePType.MUST_CACHE, 10);
    FileSystemTestUtils
        .createByteFile(fs, ""/testRoot/testDir/testFileB"", WritePType.MUST_CACHE, 20);
    FileSystemTestUtils.createByteFile(fs, ""/testRoot/testFileC"", WritePType.THROUGH, 30);
  }",False,False
2,lsNoAcl(),Method,"""","""","alluxio.client.cli.fs.command.LsCommandIntegrationTest+createFiles(String) alluxio.client.cli.fs.command.LsCommandIntegrationTest+createFiles(String) alluxio.cli.AbstractShell+run(String[]) alluxio.cli.AbstractShell+run(String[]) alluxio.client.cli.fs.command.LsCommandIntegrationTest+checkOutput(String[]) alluxio.client.cli.fs.command.LsCommandIntegrationTest+checkOutput(String[])""","alluxio.client.cli.fs.AbstractFileSystemShellTest+mFsShell""",610,15,2322,65,1,"/** 
 * Tests ls command when security is not enabled.
 */
","/**
   * Tests ls command when security is not enabled.
   */
  @Test
  @LocalAlluxioClusterResource.Config(
      confParams = {PropertyKey.Name.SECURITY_AUTHORIZATION_PERMISSION_ENABLED, ""false"",
          PropertyKey.Name.SECURITY_AUTHENTICATION_TYPE, ""NOSASL""})
  public void lsNoAcl() throws Exception {
    createFiles(null);
    mFsShell.run(""ls"", ""/testRoot"");
    checkOutput(
        ""              1   NOT_PERSISTED .+ .+  DIR /testRoot/testDir"",
        ""             10   NOT_PERSISTED .+ .+ 100% /testRoot/testFileA"",
        ""             30       PERSISTED .+ .+   0% /testRoot/testFileC"");
  }",False,False
3,lsMultipleDirs(),Method,"""","""","alluxio.client.cli.fs.command.LsCommandIntegrationTest+createFiles(String) alluxio.client.cli.fs.command.LsCommandIntegrationTest+createFiles(String) alluxio.cli.AbstractShell+run(String[]) alluxio.cli.AbstractShell+run(String[]) alluxio.client.cli.fs.command.LsCommandIntegrationTest+checkOutput(String[]) alluxio.client.cli.fs.command.LsCommandIntegrationTest+checkOutput(String[])""","alluxio.client.cli.fs.AbstractFileSystemShellTest+mFsShell""",760,16,2936,81,1,"/** 
 * Tests ls command when arguments are multiple directories and security is not enabled.
 */
","/**
   * Tests ls command when arguments are multiple directories and security is not enabled.
   */
  @Test
  @LocalAlluxioClusterResource.Config(
      confParams = {PropertyKey.Name.SECURITY_AUTHORIZATION_PERMISSION_ENABLED, ""false"",
          PropertyKey.Name.SECURITY_AUTHENTICATION_TYPE, ""NOSASL""})
  public void lsMultipleDirs() throws Exception {
    createFiles(null);
    mFsShell.run(""ls"", ""/testRoot"", ""/testRoot/testDir/"");
    checkOutput(
        ""              1   NOT_PERSISTED .+ .+  DIR /testRoot/testDir"",
        ""             10   NOT_PERSISTED .+ .+ 100% /testRoot/testFileA"",
        ""             30       PERSISTED .+ .+   0% /testRoot/testFileC"",
        ""             20   NOT_PERSISTED .+ .+ 100% /testRoot/testDir/testFileB"");
  }",False,False
4,lsHumanReadable(),Method,"""","""","alluxio.client.cli.fs.command.LsCommandIntegrationTest+createFiles(String) alluxio.client.cli.fs.command.LsCommandIntegrationTest+createFiles(String) alluxio.cli.AbstractShell+run(String[]) alluxio.cli.AbstractShell+run(String[]) alluxio.client.cli.fs.command.LsCommandIntegrationTest+checkOutput(String[]) alluxio.client.cli.fs.command.LsCommandIntegrationTest+checkOutput(String[])""","alluxio.client.cli.fs.AbstractFileSystemShellTest+mFsShell""",627,15,3700,98,1,"/** 
 * Tests ls -h command when security is not enabled.
 */
","/**
   * Tests ls -h command when security is not enabled.
   */
  @Test
  @LocalAlluxioClusterResource.Config(
      confParams = {PropertyKey.Name.SECURITY_AUTHORIZATION_PERMISSION_ENABLED, ""false"",
          PropertyKey.Name.SECURITY_AUTHENTICATION_TYPE, ""NOSASL""})
  public void lsHumanReadable() throws Exception {
    createFiles(null);
    mFsShell.run(""ls"", ""-h"", ""/testRoot"");
    checkOutput(
        ""              1   NOT_PERSISTED .+ .+  DIR /testRoot/testDir"",
        ""            10B   NOT_PERSISTED .+ .+ 100% /testRoot/testFileA"",
        ""            30B       PERSISTED .+ .+   0% /testRoot/testFileC"");
  }",False,False
5,lsPinned(),Method,"""","""","alluxio.client.cli.fs.command.LsCommandIntegrationTest+createFiles(String) alluxio.client.cli.fs.command.LsCommandIntegrationTest+createFiles(String) alluxio.AlluxioURI+AlluxioURI(String) alluxio.AlluxioURI+AlluxioURI(String) alluxio.client.file.FileSystem+setAttribute(AlluxioURI,SetAttributePOptions) alluxio.client.file.FileSystem+setAttribute(AlluxioURI,SetAttributePOptions) alluxio.client.file.FileSystem+setAttribute(AlluxioURI,SetAttributePOptions) alluxio.client.file.FileSystem+setAttribute(AlluxioURI,SetAttributePOptions) alluxio.cli.AbstractShell+run(String[]) alluxio.cli.AbstractShell+run(String[]) alluxio.client.cli.fs.command.LsCommandIntegrationTest+checkOutput(String[]) alluxio.client.cli.fs.command.LsCommandIntegrationTest+checkOutput(String[])""","alluxio.client.cli.fs.AbstractFileSystemShellTest+mFileSystem alluxio.client.cli.fs.AbstractFileSystemShellTest+mFileSystem alluxio.client.cli.fs.AbstractFileSystemShellTest+mFsShell""",910,20,4331,114,1,"/** 
 * Tests ls -p command when security is not enabled.
 */
","/**
   * Tests ls -p command when security is not enabled.
   */
  @Test
  @LocalAlluxioClusterResource.Config(
      confParams = {PropertyKey.Name.SECURITY_AUTHORIZATION_PERMISSION_ENABLED, ""false"",
          PropertyKey.Name.SECURITY_AUTHENTICATION_TYPE, ""NOSASL""})
  public void lsPinned() throws Exception {
    createFiles(null);
    AlluxioURI fileURI1 = new AlluxioURI(""/testRoot/testDir/testFileB"");
    AlluxioURI fileURI2 = new AlluxioURI(""/testRoot/testFileA"");
    mFileSystem.setAttribute(fileURI1,
        SetAttributePOptions.newBuilder().setPinned(true).build());
    mFileSystem.setAttribute(fileURI2,
        SetAttributePOptions.newBuilder().setPinned(true).build());
    mFsShell.run(""ls"", ""-pR"",  ""/testRoot"");
    checkOutput(
        ""             20   NOT_PERSISTED .+ .+ 100% /testRoot/testDir/testFileB"",
        ""             10   NOT_PERSISTED .+ .+ 100% /testRoot/testFileA"");
  }",False,False
6,lsDirectoryAsPlainFileNoAcl(),Method,"""","""","alluxio.client.cli.fs.command.LsCommandIntegrationTest+createFiles(String) alluxio.client.cli.fs.command.LsCommandIntegrationTest+createFiles(String) alluxio.cli.AbstractShell+run(String[]) alluxio.cli.AbstractShell+run(String[]) alluxio.client.cli.fs.command.LsCommandIntegrationTest+checkOutput(String[]) alluxio.client.cli.fs.command.LsCommandIntegrationTest+checkOutput(String[])""","alluxio.client.cli.fs.AbstractFileSystemShellTest+mFsShell""",474,12,5245,135,1,"/** 
 * Tests ls -d command when security is not enabled.
 */
","/**
   * Tests ls -d command when security is not enabled.
   */
  @Test
  @LocalAlluxioClusterResource.Config(
      confParams = {PropertyKey.Name.SECURITY_AUTHORIZATION_PERMISSION_ENABLED, ""false"",
          PropertyKey.Name.SECURITY_AUTHENTICATION_TYPE, ""NOSASL""})
  public void lsDirectoryAsPlainFileNoAcl() throws Exception {
    createFiles(null);
    mFsShell.run(""ls"", ""-d"", ""/testRoot"");
    checkOutput(""              3       PERSISTED .+ .+  DIR /testRoot"");
  }",False,False
7,lsRootNoAcl(),Method,"""","""","alluxio.cli.AbstractShell+run(String[]) alluxio.cli.AbstractShell+run(String[]) alluxio.client.cli.fs.command.LsCommandIntegrationTest+checkOutput(String[]) alluxio.client.cli.fs.command.LsCommandIntegrationTest+checkOutput(String[])""","alluxio.client.cli.fs.AbstractFileSystemShellTest+mFsShell""",441,11,5723,148,1,"/** 
 * Tests ls -d command on root directory when security is not enabled.
 */
","/**
   * Tests ls -d command on root directory when security is not enabled.
   */
  @Test
  @LocalAlluxioClusterResource.Config(
      confParams = {PropertyKey.Name.SECURITY_AUTHORIZATION_PERMISSION_ENABLED, ""false"",
          PropertyKey.Name.SECURITY_AUTHENTICATION_TYPE, ""NOSASL""})
  public void lsRootNoAcl() throws Exception {
    mFsShell.run(""ls"", ""-d"", ""/"");
    checkOutput(""              0       PERSISTED .+ .+  DIR /    "");
  }",False,False
8,ls(),Method,"""","""","alluxio.client.cli.fs.command.LsCommandIntegrationTest+createFiles(String) alluxio.client.cli.fs.command.LsCommandIntegrationTest+createFiles(String) alluxio.cli.AbstractShell+run(String[]) alluxio.cli.AbstractShell+run(String[]) alluxio.client.cli.fs.command.LsCommandIntegrationTest+checkOutput(String[]) alluxio.client.cli.fs.command.LsCommandIntegrationTest+checkOutput(String[])""","alluxio.client.cli.fs.AbstractFileSystemShellTest+mFsShell""",1054,20,6168,160,1,"/** 
 * Tests ls command when security is enabled.
 */
","/**
   * Tests ls command when security is enabled.
   */
  @Test
  @LocalAlluxioClusterResource.Config(
      confParams = {PropertyKey.Name.SECURITY_AUTHORIZATION_PERMISSION_ENABLED, ""true"",
          PropertyKey.Name.SECURITY_AUTHENTICATION_TYPE, ""SIMPLE"",
          PropertyKey.Name.SECURITY_GROUP_MAPPING_CLASS,
          ""alluxio.security.group.provider.IdentityUserGroupsMapping"",
          PropertyKey.Name.SECURITY_AUTHORIZATION_PERMISSION_SUPERGROUP, ""test_user_ls""})
  public void ls() throws Exception {
    createFiles(""test_user_ls"");
    mFsShell.run(""ls"", ""/testRoot"");
    // CHECKSTYLE.OFF: LineLengthExceed - Improve readability
    checkOutput(
        ""drwxr-xr-x  test_user_ls   test_user_ls                 1   NOT_PERSISTED .+ .+  DIR /testRoot/testDir"",
        ""-rw-r--r--  test_user_ls   test_user_ls                10   NOT_PERSISTED .+ .+ 100% /testRoot/testFileA"",
        ""-rw-r--r--  test_user_ls   test_user_ls                30       PERSISTED .+ .+   0% /testRoot/testFileC"");
    // CHECKSTYLE.ON: LineLengthExceed
  }",True,True
9,lsWildcardNoAcl(),Method,"""","""","alluxio.client.cli.fs.FileSystemShellUtilsTest+resetFileHierarchy(FileSystem) alluxio.client.cli.fs.FileSystemShellUtilsTest+resetFileHierarchy(FileSystem) alluxio.cli.AbstractShell+run(String[]) alluxio.cli.AbstractShell+run(String[]) alluxio.client.cli.fs.command.LsCommandIntegrationTest+checkOutput(String[]) alluxio.client.cli.fs.command.LsCommandIntegrationTest+checkOutput(String[]) java.io.ByteArrayOutputStream+reset() java.io.ByteArrayOutputStream+reset() alluxio.cli.AbstractShell+run(String[]) alluxio.cli.AbstractShell+run(String[]) alluxio.client.cli.fs.command.LsCommandIntegrationTest+checkOutput(String[]) alluxio.client.cli.fs.command.LsCommandIntegrationTest+checkOutput(String[])""","alluxio.client.cli.fs.AbstractFileSystemShellTest+mFileSystem alluxio.client.cli.fs.AbstractFileSystemShellTest+mFsShell alluxio.client.cli.fs.AbstractShellIntegrationTest+mOutput alluxio.client.cli.fs.AbstractFileSystemShellTest+mFsShell""",1079,25,7226,181,1,"/** 
 * Tests ls command with wildcard when security is not enabled.
 */
","/**
   * Tests ls command with wildcard when security is not enabled.
   */
  @Test
  @LocalAlluxioClusterResource.Config(
      confParams = {PropertyKey.Name.SECURITY_AUTHORIZATION_PERMISSION_ENABLED, ""false"",
          PropertyKey.Name.SECURITY_AUTHENTICATION_TYPE, ""NOSASL""})
  public void lsWildcardNoAcl() throws Exception {
    String testDir = FileSystemShellUtilsTest.resetFileHierarchy(mFileSystem);

    mFsShell.run(""ls"", testDir + ""/*/foo*"");
    checkOutput(
        ""             30   NOT_PERSISTED .+ .+ 100% /testDir/bar/foobar3"",
        ""             10   NOT_PERSISTED .+ .+ 100% /testDir/foo/foobar1"",
        ""             20   NOT_PERSISTED .+ .+ 100% /testDir/foo/foobar2"");

    mOutput.reset();

    mFsShell.run(""ls"", testDir + ""/*"");
    checkOutput(
        ""             30   NOT_PERSISTED .+ .+ 100% /testDir/bar/foobar3"",
        ""             10   NOT_PERSISTED .+ .+ 100% /testDir/foo/foobar1"",
        ""             20   NOT_PERSISTED .+ .+ 100% /testDir/foo/foobar2"",
        ""             40   NOT_PERSISTED .+ .+ 100% /testDir/foobar4"");
  }",False,False
10,lsWildcard(),Method,"""","""","alluxio.master.LocalAlluxioCluster+getClient(FileSystemContext) alluxio.master.LocalAlluxioCluster+getClient(FileSystemContext) alluxio.client.file.FileSystemContext+create(Subject,AlluxioConfiguration) alluxio.client.file.FileSystemContext+create(Subject,AlluxioConfiguration) alluxio.security.user.BaseUserState+getSubject() alluxio.security.user.TestUserState+TestUserState(String,AlluxioConfiguration) alluxio.conf.ServerConfiguration+global() alluxio.conf.ServerConfiguration+global() alluxio.security.user.BaseUserState+getSubject() alluxio.conf.ServerConfiguration+global() alluxio.conf.ServerConfiguration+global() alluxio.client.cli.fs.FileSystemShellUtilsTest+resetFileHierarchy(FileSystem) alluxio.client.cli.fs.FileSystemShellUtilsTest+resetFileHierarchy(FileSystem) alluxio.cli.AbstractShell+run(String[]) alluxio.cli.AbstractShell+run(String[]) alluxio.client.cli.fs.command.LsCommandIntegrationTest+checkOutput(String[]) alluxio.client.cli.fs.command.LsCommandIntegrationTest+checkOutput(String[]) java.io.ByteArrayOutputStream+reset() java.io.ByteArrayOutputStream+reset() alluxio.cli.AbstractShell+run(String[]) alluxio.cli.AbstractShell+run(String[]) alluxio.client.cli.fs.command.LsCommandIntegrationTest+checkOutput(String[]) alluxio.client.cli.fs.command.LsCommandIntegrationTest+checkOutput(String[])""","alluxio.client.cli.fs.AbstractFileSystemShellTest+mLocalAlluxioCluster alluxio.client.cli.fs.AbstractFileSystemShellTest+mFsShell alluxio.client.cli.fs.AbstractShellIntegrationTest+mOutput alluxio.client.cli.fs.AbstractFileSystemShellTest+mFsShell""",1970,33,8309,207,1,"/** 
 * Tests ls command with wildcard when security is enabled.
 */
","/**
   * Tests ls command with wildcard when security is enabled.
   */
  @Test
  @LocalAlluxioClusterResource.Config(
      confParams = {PropertyKey.Name.SECURITY_AUTHORIZATION_PERMISSION_ENABLED, ""true"",
          PropertyKey.Name.SECURITY_AUTHENTICATION_TYPE, ""SIMPLE"",
          PropertyKey.Name.SECURITY_GROUP_MAPPING_CLASS,
          ""alluxio.security.group.provider.IdentityUserGroupsMapping"",
          PropertyKey.Name.SECURITY_AUTHORIZATION_PERMISSION_SUPERGROUP,
          ""test_user_lsWildcard""})
  public void lsWildcard() throws Exception {
    FileSystem fs = mLocalAlluxioCluster.getClient(FileSystemContext.create(
        new TestUserState(""test_user_lsWildcard"", ServerConfiguration.global()).getSubject(),
        ServerConfiguration.global()));

    String testDir = FileSystemShellUtilsTest.resetFileHierarchy(fs);
    mFsShell.run(""ls"", testDir + ""/*/foo*"");
    // CHECKSTYLE.OFF: LineLengthExceed - Improve readability
    checkOutput(
        ""-rw-r--r--  test_user_lsWildcardtest_user_lsWildcard             30   NOT_PERSISTED .+ .+ 100% /testDir/bar/foobar3"",
        ""-rw-r--r--  test_user_lsWildcardtest_user_lsWildcard             10   NOT_PERSISTED .+ .+ 100% /testDir/foo/foobar1"",
        ""-rw-r--r--  test_user_lsWildcardtest_user_lsWildcard             20   NOT_PERSISTED .+ .+ 100% /testDir/foo/foobar2"");
    mOutput.reset();

    mFsShell.run(""ls"", testDir + ""/*"");
    checkOutput(
        ""-rw-r--r--  test_user_lsWildcardtest_user_lsWildcard             30   NOT_PERSISTED .+ .+ 100% /testDir/bar/foobar3"",
        ""-rw-r--r--  test_user_lsWildcardtest_user_lsWildcard             10   NOT_PERSISTED .+ .+ 100% /testDir/foo/foobar1"",
        ""-rw-r--r--  test_user_lsWildcardtest_user_lsWildcard             20   NOT_PERSISTED .+ .+ 100% /testDir/foo/foobar2"",
        ""-rw-r--r--  test_user_lsWildcardtest_user_lsWildcard             40   NOT_PERSISTED .+ .+ 100% /testDir/foobar4"");
    // CHECKSTYLE.ON: LineLengthExceed
  }",True,True
