index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,commit,full text,moved,removed
1,TEST_USER,Field,"""","""","""","""",47,1,2690,69,26,,"private static final String TEST_USER = ""test"";",False,False
2,CONCURRENCY_FACTOR,Field,"""","""","""","""",49,1,2740,70,26,,private static final int CONCURRENCY_FACTOR = 50;,False,False
3,SLEEP_MS,Field,"""","""","""","""",144,2,2792,72,26,"/** 
 * Duration to sleep during the rename call to show the benefits of concurrency. 
 */
","/** Duration to sleep during the rename call to show the benefits of concurrency. */
  private static final long SLEEP_MS = Constants.SECOND_MS;",False,False
4,LIMIT_MS,Field,"""","""","""","""",158,2,2939,74,26,"/** 
 * Timeout for the concurrent test after which we will mark the test as failed. 
 */
","/** Timeout for the concurrent test after which we will mark the test as failed. */
  private static final long LIMIT_MS = SLEEP_MS * CONCURRENCY_FACTOR / 10;",False,False
5,sCreatePersistedFileOptions,Field,"""","""","""","""",327,6,3100,79,10,"/** 
 * Options to mark a created file as persisted. Note that this does not actually persist the file but flag the file to be treated as persisted, which will invoke ufs operations.
 */
","/**
   * Options to mark a created file as persisted. Note that this does not actually persist the
   * file but flag the file to be treated as persisted, which will invoke ufs operations.
   */
  private static CreateFileOptions sCreatePersistedFileOptions =
      CreateFileOptions.defaults().setWriteType(WriteType.THROUGH);",False,False
6,sCreateDirectoryOptions,Field,"""","""","""","""",123,2,3430,81,10,,"private static CreateDirectoryOptions sCreateDirectoryOptions =
      CreateDirectoryOptions.defaults().setRecursive(true);",False,False
7,sSleepingUfsFactory,Field,"""","""","""","""",66,1,3557,84,10,,private static SleepingUnderFileSystemFactory sSleepingUfsFactory;,False,False
8,mFileSystem,Field,"""","""","""","""",31,1,3627,86,2,,private FileSystem mFileSystem;,False,False
9,mLocalUfsPath,Field,"""","""","""","""",71,1,3662,88,2,,private String mLocalUfsPath = Files.createTempDir().getAbsolutePath();,False,False
10,UnaryOperation,Field,"""","""","""","""",27,1,3737,90,2,,private enum UnaryOperation,False,False
11,mAuthenticatedUser,Field,"""","""","""","""",95,2,3833,98,1,,"@Rule
  public AuthenticatedUserRule mAuthenticatedUser = new AuthenticatedUserRule(TEST_USER);",False,False
12,mLocalAlluxioClusterResource,Field,"""","""","""","""",297,5,3932,101,1,,"@Rule
  public LocalAlluxioClusterResource mLocalAlluxioClusterResource =
      new LocalAlluxioClusterResource.Builder().setProperty(PropertyKey.UNDERFS_ADDRESS,
          ""sleep://"" + mLocalUfsPath).setProperty(PropertyKey
          .USER_FILE_MASTER_CLIENT_THREADS, CONCURRENCY_FACTOR).build();",False,False
