index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,annotation,full text,removed
1,LOG,Field,,,,,79,1,1236,43,18,,private final Logger LOG = LoggerFactory.getLogger(MasterServiceHandler.class);,False
2,ADDRESS,Field,,,,,40,1,1318,44,18,,private final InetSocketAddress ADDRESS;,False
3,START_TIME_NS_PREFIX,Field,,,,,40,1,1361,45,18,,private final long START_TIME_NS_PREFIX;,True
4,START_TIME_MS,Field,,,,,33,1,1404,46,18,,private final long START_TIME_MS;,True
5,mDatasetCounter,Field,,,,,61,1,1441,48,2,,private AtomicInteger mDatasetCounter = new AtomicInteger(0);,False
6,mUserCounter,Field,,,,,58,1,1505,49,2,,private AtomicInteger mUserCounter = new AtomicInteger(0);,True
7,mWorkerCounter,Field,,,,,60,1,1566,50,2,,private AtomicInteger mWorkerCounter = new AtomicInteger(0);,True
8,mFiles,Field,,,,,67,1,1688,53,2,,"private Map<Integer, INode> mFiles = new HashMap<Integer, INode>();",False
9,mFilePathToId,Field,,,,,76,1,1758,54,2,,"private Map<String, Integer> mFilePathToId = new HashMap<String, Integer>();",False
10,mWorkers,Field,,,,,73,1,2061,60,2,,"private Map<Long, WorkerInfo> mWorkers = new HashMap<Long, WorkerInfo>();",True
11,mWorkerAddressToId,Field,,,,,97,1,2137,61,2,,"private Map<InetSocketAddress, Long> mWorkerAddressToId = new HashMap<InetSocketAddress, Long>();",True
12,mLostWorkers,Field,,,,,88,1,2237,62,2,,private BlockingQueue<WorkerInfo> mLostWorkers = new ArrayBlockingQueue<WorkerInfo>(32);,True
13,mMasterLogWriter,Field,,,,,41,1,2353,65,2,,private MasterLogWriter mMasterLogWriter;,True
14,mHeartbeatThread,Field,,,,,32,1,2398,67,2,,private Thread mHeartbeatThread;,True
15,mWhiteList,Field,,,,,30,1,2434,69,2,,private PrefixList mWhiteList;,True
16,mPinList,Field,,,,,28,1,2467,70,2,,private PrefixList mPinList;,True
17,mIdPinList,Field,,,,,33,1,2498,71,2,,private List<Integer> mIdPinList;,True
18,mWebServer,Field,,,,,29,1,2535,73,2,,private WebServer mWebServer;,True
19,MasterHeartbeatExecutor,MemberClass,,,tachyon.MasterServiceHandler.MasterHeartbeatExecutor+MasterHeartbeatExecutor() tachyon.MasterServiceHandler.MasterHeartbeatExecutor+heartbeat() java.util.HashSet+HashSet() java.util.Map+entrySet() java.util.Map+entrySet() tachyon.CommonUtils+getCurrentMs() tachyon.CommonUtils+getCurrentMs() tachyon.WorkerInfo+getLastUpdatedTimeMs() java.util.Map.Entry+getValue() java.util.Map.Entry+getValue() tachyon.WorkerInfo+getLastUpdatedTimeMs() java.util.Map.Entry+getKey() java.util.Map.Entry+getKey() java.util.Map.Entry+getValue() java.util.Map.Entry+getValue() java.util.concurrent.BlockingQueue+add(E) java.util.concurrent.BlockingQueue+add(E) java.util.Map.Entry+getValue() java.util.Map.Entry+getValue() java.util.Set+add(E) java.util.Set+add(E) java.util.Map.Entry+getKey() java.util.Map.Entry+getKey() java.util.Map+remove(Object) java.util.Map+remove(Object) java.util.Collection+size() java.util.Collection+size() java.util.Queue+poll() java.util.Queue+poll() tachyon.WorkerInfo+getFiles() tachyon.WorkerInfo+getFiles() java.util.Map+get(Object) java.util.Map+get(Object) tachyon.WorkerInfo+getId() tachyon.WorkerInfo+getId() tachyon.WorkerInfo+getId() tachyon.WorkerInfo+getId() java.lang.Runtime+exec(String) java.lang.Runtime+getRuntime() java.lang.Runtime+getRuntime() java.lang.Runtime+exec(String) java.lang.Throwable+getMessage() java.lang.Throwable+getMessage(),tachyon.MasterServiceHandler+LOG tachyon.MasterServiceHandler+mWorkers tachyon.MasterServiceHandler+mWorkers tachyon.Config+WORKER_TIMEOUT_MS tachyon.MasterServiceHandler+LOG tachyon.MasterServiceHandler+mLostWorkers tachyon.MasterServiceHandler+mWorkers tachyon.MasterServiceHandler+mLostWorkers tachyon.MasterServiceHandler+mLostWorkers tachyon.MasterServiceHandler+mFiles tachyon.MasterServiceHandler+mFiles tachyon.INode+mLocations tachyon.MasterServiceHandler+LOG tachyon.Config+TACHYON_HOME tachyon.MasterServiceHandler+LOG,1776,61,-1,-1,1,"/** 
 * System periodical status check.
 * @author Haoyuan
 */
","/**
   * System periodical status check.
   * 
   * @author Haoyuan
   */
  public class MasterHeartbeatExecutor implements HeartbeatExecutor {
    public MasterHeartbeatExecutor() {
    }

    @Override
    public void heartbeat() {
      LOG.info(""Periodical system status checking..."");

      Set<Long> lostWorkers = new HashSet<Long>();

      synchronized (mWorkers) {
        for (Entry<Long, WorkerInfo> worker: mWorkers.entrySet()) {
          if (CommonUtils.getCurrentMs() - worker.getValue().getLastUpdatedTimeMs() 
              > Config.WORKER_TIMEOUT_MS) {
            LOG.error(""The worker "" + worker.getKey() + "" ( "" + worker.getValue() + 
                "" ) got timed out!"");
            mLostWorkers.add(worker.getValue());
            lostWorkers.add(worker.getKey());
          }
        }
        for (long workerId: lostWorkers) {
          mWorkers.remove(workerId);
        }
      }

      boolean hadFailedWorker = false;

      while (mLostWorkers.size() != 0) {
        hadFailedWorker = true;
        WorkerInfo worker = mLostWorkers.poll();

        for (int id: worker.getFiles()) {
          synchronized (mFiles) {
            INode tFile = mFiles.get(id);
            if (tFile != null) {
              Map<Long, NetAddress> locations = tFile.mLocations;

              if (locations.containsKey(worker.getId())) {
                locations.remove(worker.getId());
              }
            }
          }
        }
      }

      if (hadFailedWorker) {
        LOG.warn(""Restarting failed workers"");
        try {
          java.lang.Runtime.getRuntime().exec(Config.TACHYON_HOME + 
              ""/bin/restart-failed-tachyon-workers.sh"");
        } catch (IOException e) {
          LOG.error(e.getMessage());
        }
      }
    }
  }",False
