index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,annotation,full text,removed
1,TAG,Field,,,,,49,1,2269,69,25,,"public static final String TAG = ""BeaconService"";",False
2,rangedRegionState,Field,,,,,86,1,2324,71,2,,"private Map<Region, RangeState> rangedRegionState = new HashMap<Region, RangeState>();",False
3,monitoredRegionState,Field,,,,,93,1,2415,72,2,,"private Map<Region, MonitorState> monitoredRegionState = new HashMap<Region, MonitorState>();",False
4,bluetoothAdapter,Field,,,,,42,1,2513,73,2,,private BluetoothAdapter bluetoothAdapter;,False
5,scanning,Field,,,,,25,1,2560,74,2,,private boolean scanning;,False
6,scanningPaused,Field,,,,,31,1,2590,75,2,,private boolean scanningPaused;,False
7,lastBeaconDetectionTime,Field,,,,,50,1,2626,76,2,,private Date lastBeaconDetectionTime = new Date();,False
8,trackedBeacons,Field,,,,,39,1,2681,77,2,,private HashSet<Beacon> trackedBeacons;,False
9,trackedBeaconsPacketCount,Field,,,,,30,1,2725,78,0,,int trackedBeaconsPacketCount;,False
10,handler,Field,,,,,40,1,2760,79,2,,private Handler handler = new Handler();,False
11,bindCount,Field,,,,,26,1,2805,80,2,,private int bindCount = 0;,False
12,bluetoothCrashResolver,Field,,,,,54,1,2836,81,2,,private BluetoothCrashResolver bluetoothCrashResolver;,False
13,scanCyclerStarted,Field,,,,,42,1,2895,82,2,,private boolean scanCyclerStarted = false;,False
14,scanningEnabled,Field,,,,,40,1,2942,83,2,,private boolean scanningEnabled = false;,False
15,defaultDistanceCalculator,Field,,,,,60,1,2987,84,2,,private DistanceCalculator defaultDistanceCalculator = null;,False
16,beaconParsers,Field,ScanProcessor.doInBackground(ScanData),,,,41,1,3052,85,2,,private List<BeaconParser> beaconParsers;,False
17,scanPeriod,Field,"setScanPeriods(long,long)",,,,71,1,4342,109,2,,private long scanPeriod = BeaconManager.DEFAULT_FOREGROUND_SCAN_PERIOD;,False
18,betweenScanPeriod,Field,"setScanPeriods(long,long)",,,,86,1,4418,110,2,,private long betweenScanPeriod = BeaconManager.DEFAULT_FOREGROUND_BETWEEN_SCAN_PERIOD;,False
19,simulatedScanData,Field,onCreate(),,,,46,1,4510,112,2,,private List<Beacon> simulatedScanData = null;,False
20,BeaconBinder,MemberClass,,,org.altbeacon.beacon.service.BeaconService.BeaconBinder+getService(),org.altbeacon.beacon.service.BeaconService+TAG,463,11,-1,-1,1,"/** 
 * Class used for the client Binder.  Because we know this service always runs in the same process as its clients, we don't need to deal with IPC.
 */
","/**
     * Class used for the client Binder.  Because we know this service always
     * runs in the same process as its clients, we don't need to deal with IPC.
     */
    public class BeaconBinder extends Binder {
        public BeaconService getService() {
            Log.i(TAG, ""getService of BeaconBinder called"");
            // Return this instance of LocalService so clients can call public methods
            return BeaconService.this;
        }
    }",False
21,MSG_START_RANGING,Field,,,,,113,4,5032,130,25,"/** 
 * Command to the service to display a message
 */
","/**
     * Command to the service to display a message
     */
    public static final int MSG_START_RANGING = 2;",False
22,MSG_STOP_RANGING,Field,,,,,45,1,5150,131,25,,public static final int MSG_STOP_RANGING = 3;,False
23,MSG_START_MONITORING,Field,,,,,49,1,5200,132,25,,public static final int MSG_START_MONITORING = 4;,False
24,MSG_STOP_MONITORING,Field,,,,,48,1,5254,133,25,,public static final int MSG_STOP_MONITORING = 5;,False
25,MSG_SET_SCAN_PERIODS,Field,,,,,49,1,5307,134,25,,public static final int MSG_SET_SCAN_PERIODS = 6;,False
