index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,annotation,full text,removed
1,intDoubleRow,Field,"ServerIntDoubleRow(int,RowType,int,int,int,IntDoubleVector)",,,,88,4,1514,42,2,"/** 
 * Just a view of ""row"" in ServerRow
 */
","/**
   * Just a view of ""row"" in ServerRow
   */
  private IntDoubleVector intDoubleRow;",False
2,startColInt,Field,"ServerIntDoubleRow(int,RowType,int,int,int,IntDoubleVector)",,,,90,4,1606,47,130,"/** 
 * Just a view of ""startCol"" in ServerRow
 */
","/**
   * Just a view of ""startCol"" in ServerRow
   */
  private transient int startColInt;",False
3,endColInt,Field,"ServerIntDoubleRow(int,RowType,int,int,int,IntDoubleVector)",,,,86,4,1700,52,130,"/** 
 * Just a view of ""endCol"" in ServerRow
 */
","/**
   * Just a view of ""endCol"" in ServerRow
   */
  private transient int endColInt;",False
4,"ServerIntDoubleRow(int,RowType,int,int,int,IntDoubleVector)",Method,,,,com.tencent.angel.ps.storage.vector.ServerIntDoubleRow+startColInt com.tencent.angel.ps.storage.vector.ServerIntDoubleRow+startColInt com.tencent.angel.ps.storage.vector.ServerIntDoubleRow+endColInt com.tencent.angel.ps.storage.vector.ServerIntDoubleRow+endColInt com.tencent.angel.ps.storage.vector.ServerIntDoubleRow+intDoubleRow com.tencent.angel.ps.storage.vector.ServerIntDoubleRow+intDoubleRow com.tencent.angel.ps.storage.vector.ServerRow+row,570,17,1790,64,1,"/** 
 * Create a new ServerIntDoubleRow
 * @param rowId row index
 * @param rowType row type
 * @param startCol start position
 * @param endCol end position
 * @param estElemNum the estimate element number
 * @param innerRow inner row
 */
","/**
   * Create a new ServerIntDoubleRow
   *
   * @param rowId row index
   * @param rowType row type
   * @param startCol start position
   * @param endCol end position
   * @param estElemNum the estimate element number
   * @param innerRow inner row
   */
  public ServerIntDoubleRow(int rowId, RowType rowType, int startCol, int endCol, int estElemNum,
      IntDoubleVector innerRow) {
    super(rowId, rowType, startCol, endCol, estElemNum, innerRow);
    this.startColInt = startCol;
    this.endColInt = endCol;
    this.intDoubleRow = (IntDoubleVector) row;
  }",False
5,"ServerIntDoubleRow(int,RowType,int,int,int)",Method,,,,,393,12,2364,81,1,"/** 
 * Create a new ServerIntDoubleRow
 * @param rowId row index
 * @param rowType row type
 * @param startCol start position
 * @param endCol end position
 * @param estElemNum the estimate element number
 */
","/**
   * Create a new ServerIntDoubleRow
   *
   * @param rowId row index
   * @param rowType row type
   * @param startCol start position
   * @param endCol end position
   * @param estElemNum the estimate element number
   */
  public ServerIntDoubleRow(int rowId, RowType rowType, int startCol, int endCol, int estElemNum) {
    this(rowId, rowType, startCol, endCol, estElemNum, null);
  }",False
6,ServerIntDoubleRow(RowType),Method,,,,,162,8,2761,90,1,"/** 
 * Create a new ServerIntDoubleRow
 * @param rowType row type
 */
","/**
   * Create a new ServerIntDoubleRow
   *
   * @param rowType row type
   */
  public ServerIntDoubleRow(RowType rowType) {
    this(0, rowType, 0, 0, 0);
  }",False
7,get(int),Method,"addTo(int,double) initAndGet(int,InitFunc)","com.tencent.angel.model.output.format.ColumnFormat+saveIntDoubleRows(ServerPartition,ServerRow[],MatrixPartitionMeta,PSMatrixSaveContext,DataOutputStream) com.tencent.angel.model.output.format.ColumnFormat+saveIntDoubleRows(ServerPartition,ServerRow[],MatrixPartitionMeta,PSMatrixSaveContext,DataOutputStream) com.tencent.angel.model.output.format.ColumnFormat+saveIntDoubleRows(ServerPartition,ServerRow[],MatrixPartitionMeta,PSMatrixSaveContext,DataOutputStream) com.tencent.angel.ml.psf.columns.GetColsFunc+doGetLockFree(ServerRow[],long[],InitFunc) com.tencent.angel.ml.psf.columns.UpdateColsFunc+doUpdate(CompIntDoubleVector,int[],long[],ServerIntDoubleRow[],UpdateOp) com.tencent.angel.ml.GBDT.algo.RegTree.GradHistHelper+calGradStats(ServerIntDoubleRow,int,int) com.tencent.angel.ml.GBDT.algo.RegTree.GradHistHelper+calGradStats(ServerIntDoubleRow,int,int) com.tencent.angel.ml.GBDT.algo.RegTree.GradHistHelper+findSplitOfFeature(int,ServerIntDoubleRow,int,GBDTParam) com.tencent.angel.ml.GBDT.algo.RegTree.GradHistHelper+findSplitOfFeature(int,ServerIntDoubleRow,int,GBDTParam) com.tencent.angel.ml.GBDT.psf.GBDTGradHistGetRowFunc+merge(List<PartitionGetResult>) com.tencent.angel.ml.GBDT.psf.GBDTGradHistGetRowFunc+merge(List<PartitionGetResult>) com.tencent.angel.ml.GBDT.psf.GBDTGradHistGetRowFunc+merge(List<PartitionGetResult>) com.tencent.angel.ml.GBDT.psf.GBDTGradHistGetRowFunc+merge(List<PartitionGetResult>) com.tencent.angel.ml.GBDT.psf.GBDTGradHistGetRowFunc+merge(List<PartitionGetResult>) com.tencent.angel.ml.GBDT.psf.GBDTGradHistGetRowFunc+merge(List<PartitionGetResult>) com.tencent.angel.ml.GBDT.psf.GBDTGradHistGetRowFunc+merge(List<PartitionGetResult>)",com.tencent.angel.ml.math2.vector.IntDoubleVector+get(int) com.tencent.angel.ml.math2.vector.IntDoubleVector+get(int),com.tencent.angel.ps.storage.vector.ServerIntDoubleRow+intDoubleRow com.tencent.angel.ps.storage.vector.ServerIntDoubleRow+startColInt,209,9,3266,105,1,"/** 
 * Get a element value with out lock operation
 * @param index element index
 * @return element value
 */
","/**
   * Get a element value with out lock operation
   *
   * @param index element index
   * @return element value
   */
  public double get(int index) {
    return intDoubleRow.get(index - startColInt);
  }",False
8,"set(int,double)",Method,"addTo(int,double) initAndGet(int,InitFunc)","com.tencent.angel.model.output.format.ColumnFormat+loadIntDoubleRows(ServerPartition,ServerRow[],MatrixPartitionMeta,PSMatrixLoadContext,DataInputStream) com.tencent.angel.model.output.format.RowFormat+load(ServerIntDoubleRow,PSMatrixLoadContext,MatrixPartitionMeta,DataInputStream) com.tencent.angel.model.output.format.SnapshotFormat+load(ServerIntDoubleRow,PSMatrixLoadContext,MatrixPartitionMeta,DataInputStream) com.tencent.angel.model.output.format.SnapshotFormat+load(ServerIntDoubleRow,PSMatrixLoadContext,MatrixPartitionMeta,DataInputStream) com.tencent.angel.ml.psf.columns.UpdateColsFunc+doUpdate(CompIntDoubleVector,int[],long[],ServerIntDoubleRow[],UpdateOp) com.tencent.angel.ml.psf.columns.UpdateColsFunc+doUpdate(CompIntDoubleVector,int[],long[],ServerIntDoubleRow[],UpdateOp) com.tencent.angel.ml.GBDT.psf.GBDTGradHistGetRowFunc+partitionGet(PartitionGetParam) com.tencent.angel.ml.GBDT.psf.GBDTGradHistGetRowFunc+partitionGet(PartitionGetParam) com.tencent.angel.ml.GBDT.psf.GBDTGradHistGetRowFunc+partitionGet(PartitionGetParam) com.tencent.angel.ml.GBDT.psf.GBDTGradHistGetRowFunc+partitionGet(PartitionGetParam) com.tencent.angel.ml.GBDT.psf.GBDTGradHistGetRowFunc+partitionGet(PartitionGetParam) com.tencent.angel.ml.GBDT.psf.GBDTGradHistGetRowFunc+partitionGet(PartitionGetParam) com.tencent.angel.ml.GBDT.psf.GBDTGradHistGetRowFunc+partitionGet(PartitionGetParam)","com.tencent.angel.ml.math2.vector.IntDoubleVector+set(int,double) com.tencent.angel.ml.math2.vector.IntDoubleVector+set(int,double)",com.tencent.angel.ps.storage.vector.ServerIntDoubleRow+intDoubleRow com.tencent.angel.ps.storage.vector.ServerIntDoubleRow+startColInt,229,9,3479,115,1,"/** 
 * Set a element value without lock operation
 * @param index element index
 * @param value element new value
 */
","/**
   * Set a element value without lock operation
   *
   * @param index element index
   * @param value element new value
   */
  public void set(int index, double value) {
    intDoubleRow.set(index - startColInt, value);
  }",False
9,get(int[]),Method,"indexGet(IndexType,int,ByteBuf,ByteBuf,InitFunc)",com.tencent.angel.ml.matrix.psf.get.indexed.IndexGet+partitionGet(PartitionGetParam),com.tencent.angel.ml.math2.vector.IntDoubleVector+get(int) com.tencent.angel.ml.math2.vector.IntDoubleVector+get(int),com.tencent.angel.ps.storage.vector.ServerIntDoubleRow+intDoubleRow com.tencent.angel.ps.storage.vector.ServerIntDoubleRow+startColInt,353,13,3712,125,1,"/** 
 * Get a batch elements values without lock
 * @param indices elements indices
 * @return elements values
 */
","/**
   * Get a batch elements values without lock
   *
   * @param indices elements indices
   * @return elements values
   */
  public double[] get(int[] indices) {
    double[] values = new double[indices.length];
    for (int i = 0; i < indices.length; i++) {
      values[i] = intDoubleRow.get(indices[i] - startColInt);
    }
    return values;
  }",False
10,"set(int[],double[])",Method,,,,,346,12,4069,139,1,"/** 
 * Set a batch elements values without lock
 * @param indices elements indices
 * @param values elements values
 */
","/**
   * Set a batch elements values without lock
   *
   * @param indices elements indices
   * @param values elements values
   */
  public void set(int[] indices, double[] values) {
    assert indices.length == values.length;
    for (int i = 0; i < indices.length; i++) {
      intDoubleRow.set(indices[i] - startColInt, values[i]);
    }
  }",False
