index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,commit,full text,moved,removed
1,HTTP,Field,"""","""","""","""",45,1,1752,54,26,,"private static final String HTTP = ""http://"";",False,False
2,servletContext,Field,"""","""","""","""",48,2,1799,56,2,,"@Context
	private ServletContext servletContext;",True,True
3,dataStoreFactory,Field,"setDataStoreFactory(DataStoreFactory)""","""","""","""",42,1,1849,57,2,,private DataStoreFactory dataStoreFactory;,True,True
4,dbStore,Field,"setDataStore(IDataStore) setCameraStore(MapDBStore)""","""","""","""",27,1,1893,58,2,,private IDataStore dbStore;,True,True
5,appCtx,Field,"""","""","""","""",34,1,1922,59,2,,private ApplicationContext appCtx;,True,True
6,scope,Field,"setScope(IScope)""","""","""","""",21,1,1958,60,2,,private IScope scope;,True,True
7,appInstance,Field,"""","""","""","""",47,1,1981,61,2,,private AntMediaApplicationAdapter appInstance;,True,True
8,logger,Field,"""","""","""","""",89,1,2031,63,12,,protected static Logger logger = LoggerFactory.getLogger(StreamsSourceRestService.class);,False,False
9,"addStreamSource(Broadcast,String)",Method,"""","io.antmedia.test.rest.StreamSourceRestServiceUnitTest+testAddIPCamera() io.antmedia.test.rest.StreamSourceRestServiceUnitTest+testAddStreamSource()""","io.antmedia.rest.model.Result+Result(boolean) io.antmedia.rest.StreamsSourceRestService+addIPCamera(Broadcast) io.antmedia.rest.StreamsSourceRestService+addIPCamera(Broadcast) io.antmedia.rest.StreamsSourceRestService+addSource(Broadcast,String) io.antmedia.rest.StreamsSourceRestService+addSource(Broadcast,String) io.antmedia.rest.model.Result+setMessage(String) io.antmedia.rest.model.Result+setMessage(String)""","io.antmedia.rest.StreamsSourceRestService+logger io.antmedia.AntMediaApplicationAdapter+IP_CAMERA io.antmedia.AntMediaApplicationAdapter+STREAM_SOURCE""",839,23,2123,71,1,,"@ApiOperation(value = """", notes = ""Notes here"", response = Result.class)
	@POST
	@Consumes(MediaType.APPLICATION_JSON)
	@Path(""/addStreamSource"")
	@Produces(MediaType.APPLICATION_JSON)

	public Result addStreamSource(@ApiParam(value = ""stream"", required = true) Broadcast stream, @QueryParam(""socialNetworks"") String socialEndpointIds) {
		Result result=new Result(false);

		logger.info(""username {}, ipAddr {}, streamURL {}, name: {}"", stream.getUsername(),  stream.getIpAddr(), stream.getStreamUrl(), stream.getName());

		if (stream.getType().equals(AntMediaApplicationAdapter.IP_CAMERA)) {
			result = addIPCamera(stream);
		}
		else if (stream.getType().equals(AntMediaApplicationAdapter.STREAM_SOURCE) ) {
			result = addSource(stream, socialEndpointIds);

		}else {

			result.setMessage(""No stream added"");
		}
		return result;
	}",False,False
10,getRTSPSteramURI(Broadcast),Method,"addIPCamera(Broadcast) updateCamInfo(Broadcast,String)""","""","io.antmedia.ipcamera.OnvifCamera+OnvifCamera() io.antmedia.ipcamera.OnvifCamera+connect(String,String,String) io.antmedia.ipcamera.OnvifCamera+connect(String,String,String) io.antmedia.ipcamera.OnvifCamera+getRTSPStreamURI() io.antmedia.ipcamera.OnvifCamera+getRTSPStreamURI()""","""",247,10,2967,91,1,,"public String getRTSPSteramURI(Broadcast stream) {
		String uri = null;

		OnvifCamera onvif = new OnvifCamera();
		onvif.connect(stream.getIpAddr(), stream.getUsername(), stream.getPassword());
		uri = onvif.getRTSPStreamURI();

		return uri;

	}",False,False
