index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,commit,full text,moved,removed
1,PREF_NAME,Field,"""","""","""","""",54,1,2475,62,26,,"private static final String PREF_NAME = ""SyncService"";",False,False
2,PREF_LAST_SUBSCRIPTION_SYNC_TIMESTAMP,Field,"""","""","""","""",90,1,2534,63,26,,"private static final String PREF_LAST_SUBSCRIPTION_SYNC_TIMESTAMP = ""last_sync_timestamp"";",False,False
3,PREF_LAST_EPISODE_ACTIONS_SYNC_TIMESTAMP,Field,"""","""","""","""",109,1,2629,64,26,,"private static final String PREF_LAST_EPISODE_ACTIONS_SYNC_TIMESTAMP = ""last_episode_actions_sync_timestamp"";",False,False
4,PREF_QUEUED_FEEDS_ADDED,Field,"""","""","""","""",67,1,2743,65,26,,"private static final String PREF_QUEUED_FEEDS_ADDED = ""sync_added"";",False,False
5,PREF_QUEUED_FEEDS_REMOVED,Field,"""","""","""","""",71,1,2815,66,26,,"private static final String PREF_QUEUED_FEEDS_REMOVED = ""sync_removed"";",False,False
6,PREF_QUEUED_EPISODE_ACTIONS,Field,"""","""","""","""",88,1,2891,67,26,,"private static final String PREF_QUEUED_EPISODE_ACTIONS = ""sync_queued_episode_actions"";",False,False
7,PREF_LAST_SYNC_ATTEMPT_TIMESTAMP,Field,"""","""","""","""",93,1,2984,68,26,,"private static final String PREF_LAST_SYNC_ATTEMPT_TIMESTAMP = ""last_sync_attempt_timestamp"";",False,False
8,PREF_LAST_SYNC_ATTEMPT_SUCCESS,Field,"""","""","""","""",89,1,3082,69,26,,"private static final String PREF_LAST_SYNC_ATTEMPT_SUCCESS = ""last_sync_attempt_success"";",False,False
9,TAG,Field,"""","""","""","""",48,1,3176,70,26,,"private static final String TAG = ""SyncService"";",False,False
10,WORK_ID_SYNC,Field,"""","""","""","""",63,1,3229,71,26,,"private static final String WORK_ID_SYNC = ""SyncServiceWorkId"";",False,False
11,lock,Field,"""","""","""","""",62,1,3297,72,26,,private static final ReentrantLock lock = new ReentrantLock();,False,True
12,syncServiceImpl,Field,"""","""","""","""",37,1,3365,74,2,,private ISyncService syncServiceImpl;,False,False
13,"SyncService(Context,WorkerParameters)",Method,"""","""","""","""",118,3,3408,76,1,,"public SyncService(@NonNull Context context, @NonNull WorkerParameters params) {
        super(context, params);
    }",False,False
