index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,commit,full text,moved,removed
1,TAG,Field,"""","""","""","""",55,1,2905,74,25,,"public static final String TAG = ""AllEpisodesFragment"";",False,False
2,EVENTS,Field,"""","""","""","""",171,3,2966,76,26,,"private static final int EVENTS = EventDistributor.FEED_LIST_UPDATE |
            EventDistributor.UNREAD_ITEMS_UPDATE |
            EventDistributor.PLAYER_STATUS_UPDATE;",True,True
3,EPISODES_PER_PAGE,Field,"""","""","""","""",49,1,3143,80,26,,private static final int EPISODES_PER_PAGE = 150;,False,False
4,VISIBLE_EPISODES_SCROLL_THRESHOLD,Field,"""","""","""","""",63,1,3197,81,26,,private static final int VISIBLE_EPISODES_SCROLL_THRESHOLD = 5;,False,False
5,DEFAULT_PREF_NAME,Field,"""","""","""","""",74,1,3266,83,26,,"private static final String DEFAULT_PREF_NAME = ""PrefAllEpisodesFragment"";",True,True
6,PREF_SCROLL_POSITION,Field,"""","""","""","""",69,1,3345,84,26,,"private static final String PREF_SCROLL_POSITION = ""scroll_position"";",True,True
7,PREF_SCROLL_OFFSET,Field,"""","""","""","""",65,1,3419,85,26,,"private static final String PREF_SCROLL_OFFSET = ""scroll_offset"";",True,True
8,page,Field,"""","""","""","""",28,1,3490,87,10,,private static int page = 1;,False,False
9,recyclerView,Field,"""","""","""","""",26,1,3524,89,0,,RecyclerView recyclerView;,True,True
10,listAdapter,Field,"""","""","""","""",38,1,3555,90,0,,AllEpisodesRecycleAdapter listAdapter;,True,True
11,progLoading,Field,"""","""","""","""",32,1,3598,91,2,,private ProgressBar progLoading;,True,True
12,emptyView,Field,"""","""","""","""",27,1,3635,92,0,,EmptyViewHandler emptyView;,True,True
13,episodes,Field,"""","""","""","""",57,2,3668,95,0,,"@NonNull
    List<FeedItem> episodes = new ArrayList<>();",True,True
14,downloaderList,Field,"""","""","""","""",73,2,3730,97,2,,"@NonNull
    private List<Downloader> downloaderList = new ArrayList<>();",True,True
15,isUpdatingFeeds,Field,"""","""","""","""",32,1,3809,99,2,,private boolean isUpdatingFeeds;,True,True
16,isMenuInvalidationAllowed,Field,"""","de.danoeh.antennapod.fragment.EpisodesFragment+EpisodesPagerAdapter.setPrimaryItem(ViewGroup,int,Object)""","""","""",42,1,3846,100,0,,boolean isMenuInvalidationAllowed = false;,True,True
17,disposable,Field,"""","""","""","""",32,1,3894,102,4,,protected Disposable disposable;,True,True
18,layoutManager,Field,"""","""","""","""",42,1,3931,103,2,,private LinearLayoutManager layoutManager;,True,True
19,txtvInformation,Field,"""","""","""","""",35,1,3978,104,4,,protected TextView txtvInformation;,True,True
20,feedItemFilter,Field,"""","""","""","""",70,1,4018,105,10,,"private static FeedItemFilter feedItemFilter = new FeedItemFilter("""");",False,False
21,showOnlyNewEpisodes(),Method,"onPrepareOptionsMenu(Menu) onPrepareOptionsMenu(Menu)""","""","""","""",59,3,4094,107,0,,"boolean showOnlyNewEpisodes() {
        return false;
    }",False,False
22,getPrefName(),Method,"saveScrollPosition() restoreScrollPosition()""","""","""","de.danoeh.antennapod.fragment.AllEpisodesFragment+DEFAULT_PREF_NAME""",62,3,4159,111,0,,"String getPrefName() {
        return DEFAULT_PREF_NAME;
    }",False,False
23,onStart(),Method,"""","""","de.danoeh.antennapod.core.feed.EventDistributor+register(EventListener) de.danoeh.antennapod.core.feed.EventDistributor+getInstance() de.danoeh.antennapod.core.feed.EventDistributor+getInstance() de.danoeh.antennapod.core.feed.EventDistributor+register(EventListener) de.danoeh.antennapod.fragment.AllEpisodesFragment+loadItems() de.danoeh.antennapod.fragment.AllEpisodesFragment+loadItems()""","de.danoeh.antennapod.fragment.AllEpisodesFragment+contentUpdate""",232,8,4227,116,1,,"@Override
    public void onStart() {
        super.onStart();
        setHasOptionsMenu(true);
        EventDistributor.getInstance().register(contentUpdate);
        EventBus.getDefault().register(this);
        loadItems();
    }",True,True
