index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,annotation,full text,removed
1,TAG,Field,,,,,49,1,2627,69,18,,"private final String TAG = ""MediaplayerActivity"";",False
2,DEFAULT_SEEK_DELTA,Field,,,,,52,1,2679,71,26,,private static final int DEFAULT_SEEK_DELTA = 30000;,False
3,orientation,Field,,,,,60,2,2819,75,2,"/** 
 * Current screen orientation. 
 */
","/** Current screen orientation. */
	private int orientation;",False
4,videoControlsShowing,Field,,,,,98,2,2882,78,2,"/** 
 * True if video controls are currently visible. 
 */
","/** True if video controls are currently visible. */
	private boolean videoControlsShowing = true;",True
5,mediaInfoLoaded,Field,,,,,86,2,2982,80,2,"/** 
 * True if media information was loaded. 
 */
","/** True if media information was loaded. */
	private boolean mediaInfoLoaded = false;",False
6,playbackService,Field,,,,,40,1,3071,82,2,,private PlaybackService playbackService;,False
7,positionObserver,Field,,,,,47,1,3113,83,2,,private MediaPositionObserver positionObserver;,False
8,videoControlsToggler,Field,,,,,48,1,3162,84,2,,private VideoControlsHider videoControlsToggler;,True
9,media,Field,,,,,24,1,3213,86,2,,private FeedMedia media;,False
10,status,Field,,,,,28,1,3239,87,2,,private PlayerStatus status;,False
11,manager,Field,,,,,28,1,3269,88,2,,private FeedManager manager;,False
12,coverFragment,Field,,,,,36,1,3312,91,2,,private CoverFragment coverFragment;,True
13,descriptionFragment,Field,,,,,52,1,3350,92,2,,private ItemDescriptionFragment descriptionFragment;,True
14,viewpager,Field,,,,,28,1,3404,93,2,,private ViewPager viewpager;,True
15,tabs,Field,,,,,30,1,3434,94,2,,private TabPageIndicator tabs;,True
16,pagerAdapter,Field,,,,,45,1,3466,95,2,,private MediaPlayerPagerAdapter pagerAdapter;,True
17,videoview,Field,,,,,28,1,3513,96,2,,private VideoView videoview;,True
18,txtvStatus,Field,,,,,28,1,3543,97,2,,private TextView txtvStatus;,True
19,txtvPosition,Field,,,,,30,1,3573,98,2,,private TextView txtvPosition;,False
20,txtvLength,Field,,,,,28,1,3605,99,2,,private TextView txtvLength;,False
21,sbPosition,Field,,,,,27,1,3635,100,2,,private SeekBar sbPosition;,False
22,butPlay,Field,,,,,28,1,3664,101,2,,private ImageButton butPlay;,False
23,butRev,Field,,,,,27,1,3694,102,2,,private ImageButton butRev;,False
24,butFF,Field,,,,,26,1,3723,103,2,,private ImageButton butFF;,False
25,videoOverlay,Field,,,,,34,1,3751,104,2,,private LinearLayout videoOverlay;,True
