index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,annotation,full text,removed
1,newline,Field,,,,,74,1,3122,82,25,,"public static final String newline = System.getProperty(""line.separator"");",False
2,pathSep,Field,,,,,74,1,3198,83,25,,"public static final String pathSep = System.getProperty(""path.separator"");",False
3,tmpdir,Field,,,,,28,1,3275,85,1,,public String tmpdir = null;,False
4,stderrDuringParse,Field,"rawBuildRecognizerTestFile(String,String,String,String,String,boolean,boolean) runProcess(ProcessBuilder,String,boolean) runProcess(ProcessBuilder,String,boolean) runProcess(ProcessBuilder,String,boolean) runProcess(ProcessBuilder,String,boolean) runProcess(ProcessBuilder,String,boolean) execModule(String) getFirstLineOfException() getFirstLineOfException()",,,,181,4,3306,87,4,"/** 
 * If error during parser execution, store stderr here; can't return stdout and stderr.  This doesn't trap errors from running antlr.
 */
","/** If error during parser execution, store stderr here; can't return
	 *  stdout and stderr.  This doesn't trap errors from running antlr.
	 */
	protected String stderrDuringParse;",False
5,antlrToolErrors,Field,,,,,81,2,3490,93,4,"/** 
 * Errors found while running antlr 
 */
","/** Errors found while running antlr */
	protected StringBuilder antlrToolErrors;",True
6,testWatcher,Field,,,,,200,10,3574,96,17,,"@org.junit.Rule
	public final TestRule testWatcher = new TestWatcher() {

		@Override
		protected void succeeded(Description description) {
			// remove tmpdir if no error.
			eraseTempDir();
		}

	};",True
7,getPropertyPrefix(),Method,testSetUp() shouldEraseTempDir(),,java.lang.String+toLowerCase() org.antlr.v4.test.runtime.cpp.BaseCppTest+getLanguage() org.antlr.v4.test.runtime.cpp.BaseCppTest+getLanguage() java.lang.String+toLowerCase(),,88,3,3777,106,2,,"private String getPropertyPrefix() {
		return ""antlr-"" + getLanguage().toLowerCase();
	}",False
8,testSetUp(),Method,,,"org.antlr.v4.test.runtime.cpp.BaseCppTest+getPropertyPrefix() org.antlr.v4.test.runtime.cpp.BaseCppTest+getPropertyPrefix() java.lang.System+getProperty(String) java.lang.System+getProperty(String) java.lang.String+length() java.lang.String+length() java.io.File+getAbsolutePath() java.io.File+File(String,String) java.lang.System+getProperty(String) java.lang.System+getProperty(String) java.lang.Class+getSimpleName() java.lang.Object+getClass() java.lang.Object+getClass() java.lang.Class+getSimpleName() java.lang.Thread+getName() java.lang.Thread+currentThread() java.lang.Thread+currentThread() java.lang.Thread+getName() java.lang.System+currentTimeMillis() java.lang.System+currentTimeMillis() java.io.File+getAbsolutePath() java.lang.StringBuilder+StringBuilder()",org.antlr.v4.test.runtime.cpp.BaseCppTest+tmpdir org.antlr.v4.test.runtime.cpp.BaseCppTest+tmpdir org.antlr.v4.test.runtime.cpp.BaseCppTest+antlrToolErrors,500,14,3868,111,1,,"@Override
	public void testSetUp() throws Exception {
		// new output dir for each test
		String propName = getPropertyPrefix() + ""-test-dir"";
		String prop = System.getProperty(propName);
		if(prop!=null && prop.length()>0) {
			tmpdir = prop;
		}
		else {
			tmpdir = new File(System.getProperty(""java.io.tmpdir""),
			                  getClass().getSimpleName()+""-""+Thread.currentThread().getName()+""-""+System.currentTimeMillis()).getAbsolutePath();
		}
		antlrToolErrors = new StringBuilder();
	}",True
9,testTearDown(),Method,,,,,59,3,4371,126,1,,"@Override
	public void testTearDown() throws Exception {
	}",True
10,beforeTest(RuntimeTestDescriptor),Method,,,java.io.PrintStream+println(String) java.io.PrintStream+println(String) org.antlr.v4.test.runtime.RuntimeTestDescriptor+getTestName() org.antlr.v4.test.runtime.RuntimeTestDescriptor+getTestName(),java.lang.System+out,120,4,4433,130,1,,"@Override
	public void beforeTest(RuntimeTestDescriptor descriptor) {
		System.out.println(descriptor.getTestName());
	}",True
