index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,annotation,full text,removed
1,newline,Field,,,,,74,1,1941,57,25,,"public static final String newline = System.getProperty(""line.separator"");",False
2,PRESERVE_TEST_DIR,Field,,,,,585,12,2018,70,25,"/** 
 * When the  {@code antlr.preserve-test-dir} runtime property is set to{@code true}, the temporary directories created by the test run will not be removed at the end of the test run, even for tests that completed successfully. <p> The default behavior (used in all other cases) is removing the temporary directories for all tests which completed successfully, and preserving the directories for tests which failed.</p>
 */
","/**
	 * When the {@code antlr.preserve-test-dir} runtime property is set to
	 * {@code true}, the temporary directories created by the test run will not
	 * be removed at the end of the test run, even for tests that completed
	 * successfully.
	 *
	 * <p>
	 * The default behavior (used in all other cases) is removing the temporary
	 * directories for all tests which completed successfully, and preserving
	 * the directories for tests which failed.</p>
	 */
	public static final boolean PRESERVE_TEST_DIR = Boolean.parseBoolean(System.getProperty(""antlr-preserve-csharp-test-dir""));",False
3,BASE_TEST_DIR,Field,,,,,500,12,2606,83,25,"/** 
 * The base test directory is the directory where generated files get placed during unit test execution. <p> The default value for this property is the  {@code java.io.tmpdir} systemproperty, and can be overridden by setting the {@code antlr.java-test-dir} property to a custom location. Note that the{@code antlr.java-test-dir} property directly affects the{@link #CREATE_PER_TEST_DIRECTORIES} value as well.</p>
 */
","/**
	 * The base test directory is the directory where generated files get placed
	 * during unit test execution.
	 *
	 * <p>
	 * The default value for this property is the {@code java.io.tmpdir} system
	 * property, and can be overridden by setting the
	 * {@code antlr.java-test-dir} property to a custom location. Note that the
	 * {@code antlr.java-test-dir} property directly affects the
	 * {@link #CREATE_PER_TEST_DIRECTORIES} value as well.</p>
	 */
	public static final String BASE_TEST_DIR;",False
4,CREATE_PER_TEST_DIRECTORIES,Field,,,,,316,9,3109,93,25,"/** 
 * When  {@code true}, a temporary directory will be created for each test executed during the test run. <p> This value is  {@code true} when the {@code antlr.java-test-dir} systemproperty is set, and otherwise  {@code false}.</p>
 */
","/**
	 * When {@code true}, a temporary directory will be created for each test
	 * executed during the test run.
	 *
	 * <p>
	 * This value is {@code true} when the {@code antlr.java-test-dir} system
	 * property is set, and otherwise {@code false}.</p>
	 */
	public static final boolean CREATE_PER_TEST_DIRECTORIES;",False
5,tmpdir,Field,,,,,28,1,3938,111,1,,public String tmpdir = null;,False
6,stderrDuringParse,Field,"rawExecRecognizer(String,String,String,boolean) runProcess(String[],String,int) execTest()",,,,184,5,3969,117,4,"/** 
 * If error during parser execution, store stderr here; can't return stdout and stderr.  This doesn't trap errors from running antlr.
 */
","/**
	 * If error during parser execution, store stderr here; can't return
	 * stdout and stderr.  This doesn't trap errors from running antlr.
	 */
	protected String stderrDuringParse;",False
7,antlrToolErrors,Field,,,,,87,4,4156,122,4,"/** 
 * Errors found while running antlr
 */
","/**
	 * Errors found while running antlr
	 */
	protected StringBuilder antlrToolErrors;",True
8,testWatcher,Field,,,,,200,10,4246,125,17,,"@org.junit.Rule
	public final TestRule testWatcher = new TestWatcher() {

		@Override
		protected void succeeded(Description description) {
			// remove tmpdir if no error.
			eraseTempDir();
		}

	};",True
9,testSetUp(),Method,,,"java.lang.Class+getSimpleName() java.lang.Object+getClass() java.lang.Object+getClass() java.lang.Class+getSimpleName() java.lang.Thread+getName() java.lang.Thread+currentThread() java.lang.Thread+currentThread() java.lang.Thread+getName() java.lang.System+currentTimeMillis() java.lang.System+currentTimeMillis() java.io.File+getAbsolutePath() java.io.File+File(String,String) java.io.File+getAbsolutePath() java.io.File+getAbsolutePath() java.io.File+File(String) java.io.File+getAbsolutePath() java.io.File+exists() java.io.File+File(String) java.io.File+exists() org.antlr.v4.test.runtime.csharp.BaseCSharpTest+eraseDirectory(File) org.antlr.v4.test.runtime.csharp.BaseCSharpTest+eraseDirectory(File) java.io.File+File(String) java.lang.StringBuilder+StringBuilder()",org.antlr.v4.test.runtime.csharp.BaseCSharpTest+CREATE_PER_TEST_DIRECTORIES org.antlr.v4.test.runtime.csharp.BaseCSharpTest+tmpdir org.antlr.v4.test.runtime.csharp.BaseCSharpTest+BASE_TEST_DIR org.antlr.v4.test.runtime.csharp.BaseCSharpTest+tmpdir org.antlr.v4.test.runtime.csharp.BaseCSharpTest+BASE_TEST_DIR org.antlr.v4.test.runtime.csharp.BaseCSharpTest+PRESERVE_TEST_DIR org.antlr.v4.test.runtime.csharp.BaseCSharpTest+tmpdir org.antlr.v4.test.runtime.csharp.BaseCSharpTest+tmpdir org.antlr.v4.test.runtime.csharp.BaseCSharpTest+antlrToolErrors,540,14,4449,136,1,,"@Override
	public void testSetUp() throws Exception {
		if (CREATE_PER_TEST_DIRECTORIES) {
			// new output dir for each test
			String testDirectory = getClass().getSimpleName() + ""-"" + Thread.currentThread().getName() + ""-"" + System.currentTimeMillis();
			tmpdir = new File(BASE_TEST_DIR, testDirectory).getAbsolutePath();
		} else {
			tmpdir = new File(BASE_TEST_DIR).getAbsolutePath();
			if (!PRESERVE_TEST_DIR && new File(tmpdir).exists()) {
				eraseDirectory(new File(tmpdir));
			}
		}
		antlrToolErrors = new StringBuilder();
	}",True
10,testTearDown(),Method,,,,,59,3,4992,151,1,,"@Override
	public void testTearDown() throws Exception {
	}",True
11,beforeTest(RuntimeTestDescriptor),Method,,,java.io.PrintStream+println(String) java.io.PrintStream+println(String) org.antlr.v4.test.runtime.RuntimeTestDescriptor+getTestName() org.antlr.v4.test.runtime.RuntimeTestDescriptor+getTestName(),java.lang.System+out,120,4,5054,155,1,,"@Override
	public void beforeTest(RuntimeTestDescriptor descriptor) {
		System.out.println(descriptor.getTestName());
	}",True
12,afterTest(RuntimeTestDescriptor),Method,,,,,71,3,5177,160,1,,"@Override
	public void afterTest(RuntimeTestDescriptor descriptor) {
	}",True
13,getTmpDir(),Method,"rawGenerateRecognizer(String,String,String,String,boolean,String)",,,org.antlr.v4.test.runtime.csharp.BaseCSharpTest+tmpdir,58,4,5251,164,1,,"@Override
	public String getTmpDir() {
		return tmpdir;
	}",True
14,getStdout(),Method,,,,,56,4,5312,169,1,,"@Override
	public String getStdout() {
		return null;
	}",False
15,getParseErrors(),Method,,,,org.antlr.v4.test.runtime.csharp.BaseCSharpTest+stderrDuringParse,74,4,5371,174,1,,"@Override
	public String getParseErrors() {
		return stderrDuringParse;
	}",True
16,getANTLRToolErrors(),Method,,,java.lang.StringBuilder+length() java.lang.StringBuilder+length() java.lang.StringBuilder+toString() java.lang.StringBuilder+toString(),org.antlr.v4.test.runtime.csharp.BaseCSharpTest+antlrToolErrors org.antlr.v4.test.runtime.csharp.BaseCSharpTest+antlrToolErrors,146,7,5448,179,1,,"@Override
	public String getANTLRToolErrors() {
		if (antlrToolErrors.length() == 0) {
			return null;
		}
		return antlrToolErrors.toString();
	}",True
