index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,commit,full text,moved,removed
1,USE_ARCH_ARM64,Field,"""","""","""","""",52,1,1085,33,26,,private static final boolean USE_ARCH_ARM64 = false;,False,False
2,VERBOSE,Field,"""","""","""","""",45,1,1139,34,26,,private static final boolean VERBOSE = false;,False,False
3,ANTLR_RUNTIME_PATH,Field,"""","""","""","""",88,4,1187,39,26,"/** 
 * Path of the ANTLR runtime.
 */
","/**
	 * Path of the ANTLR runtime.
	 */
	private static final String ANTLR_RUNTIME_PATH;",False,False
4,SWIFT_CMD,Field,"""","""","""","""",84,4,1278,44,26,"/** 
 * Absolute path to swift command.
 */
","/**
	 * Absolute path to swift command.
	 */
	private static final String SWIFT_CMD;",False,False
5,SWIFT_HOME_ENV_KEY,Field,"""","""","""","""",118,4,1365,49,26,"/** 
 * Environment variable name for swift home.
 */
","/**
	 * Environment variable name for swift home.
	 */
	private static final String SWIFT_HOME_ENV_KEY = ""SWIFT_HOME"";",False,False
6,tmpdir,Field,"""","""","""","""",28,1,2434,84,1,,public String tmpdir = null;,False,False
7,stderrDuringParse,Field,"""","""","""","""",182,5,2465,90,2,"/** 
 * If error during parser execution, store stderr here; can't return stdout and stderr.  This doesn't trap errors from running antlr.
 */
","/**
	 * If error during parser execution, store stderr here; can't return
	 * stdout and stderr.  This doesn't trap errors from running antlr.
	 */
	private String stderrDuringParse;",False,False
8,antlrToolErrors,Field,"""","""","""","""",85,4,2650,95,2,"/** 
 * Errors found while running antlr
 */
","/**
	 * Errors found while running antlr
	 */
	private StringBuilder antlrToolErrors;",True,True
9,sourceFiles,Field,"addSourceFiles(String)""","""","""","""",117,4,2738,100,18,"/** 
 * Source files used in each small swift project.
 */
","/**
	 * Source files used in each small swift project.
	 */
	private final Set<String> sourceFiles = new HashSet<>();",False,False
10,testWatcher,Field,"""","""","""","""",200,10,2858,103,17,,"@org.junit.Rule
	public final TestRule testWatcher = new TestWatcher() {

		@Override
		protected void succeeded(Description description) {
			// remove tmpdir if no error.
			eraseTempDir();
		}

	};",True,True
11,testSetUp(),Method,"""","""","java.lang.System+getProperty(String) java.lang.System+getProperty(String) java.lang.String+length() java.lang.String+length() java.lang.Class+getSimpleName() java.lang.Object+getClass() java.lang.Object+getClass() java.lang.Class+getSimpleName() java.lang.Thread+getName() java.lang.Thread+currentThread() java.lang.Thread+currentThread() java.lang.Thread+getName() java.lang.String+format(Locale,String,Object[]) java.lang.String+format(Locale,String,Object[]) java.lang.System+currentTimeMillis() java.lang.System+currentTimeMillis() java.io.File+getAbsolutePath() java.io.File+File(String,String) java.lang.System+getProperty(String) java.lang.System+getProperty(String) java.io.File+getAbsolutePath() java.lang.StringBuilder+StringBuilder()""","org.antlr.v4.test.runtime.swift.BaseSwiftTest+tmpdir org.antlr.v4.test.runtime.swift.BaseSwiftTest+tmpdir org.antlr.v4.test.runtime.swift.BaseSwiftTest+antlrToolErrors""",607,16,3061,114,1,,"@Override
	public void testSetUp() throws Exception {
		// new output dir for each test
		String propName = ""antlr-swift-test-dir"";
		String prop = System.getProperty(propName);
		if (prop != null && prop.length() > 0) {
			tmpdir = prop;
		}
		else {
			String classSimpleName = getClass().getSimpleName();
			String threadName = Thread.currentThread().getName();
			String childPath = String.format(""%s-%s-%s"", classSimpleName, threadName, System.currentTimeMillis());
			tmpdir = new File(System.getProperty(""java.io.tmpdir""), childPath).getAbsolutePath();
		}
		antlrToolErrors = new StringBuilder();
	}",True,True
12,testTearDown(),Method,"""","""","""","""",59,3,3671,131,1,,"@Override
	public void testTearDown() throws Exception {
	}",True,True
13,beforeTest(RuntimeTestDescriptor),Method,"""","""","java.io.PrintStream+println(String) java.io.PrintStream+println(String) org.antlr.v4.test.runtime.RuntimeTestDescriptor+getTestName() org.antlr.v4.test.runtime.RuntimeTestDescriptor+getTestName()""","java.lang.System+out""",120,4,3733,135,1,,"@Override
	public void beforeTest(RuntimeTestDescriptor descriptor) {
		System.out.println(descriptor.getTestName());
	}",True,True
14,afterTest(RuntimeTestDescriptor),Method,"""","""","""","""",71,3,3856,140,1,,"@Override
	public void afterTest(RuntimeTestDescriptor descriptor) {
	}",True,True
15,eraseTempDir(),Method,"""","""","""","""",42,3,3930,144,1,,"@Override
	public void eraseTempDir() {
	}",True,True
16,getTmpDir(),Method,"execLexer(String,String,String,String,boolean) execParser(String,String,String,String,String,String,String,String,boolean) buildProject(String,String) buildProject(String,String) buildProject(String,String) execParser(String,String,String,boolean,boolean) generateParser(String,String,String,String,String)""","""","""","org.antlr.v4.test.runtime.swift.BaseSwiftTest+tmpdir""",58,4,3975,148,1,,"@Override
	public String getTmpDir() {
		return tmpdir;
	}",True,True
17,getStdout(),Method,"""","""","""","""",56,4,4036,153,1,,"@Override
	public String getStdout() {
		return null;
	}",False,False
18,getParseErrors(),Method,"""","""","""","org.antlr.v4.test.runtime.swift.BaseSwiftTest+stderrDuringParse""",74,4,4095,158,1,,"@Override
	public String getParseErrors() {
		return stderrDuringParse;
	}",True,True
19,getANTLRToolErrors(),Method,"""","""","java.lang.StringBuilder+length() java.lang.StringBuilder+length() java.lang.StringBuilder+toString() java.lang.StringBuilder+toString()""","org.antlr.v4.test.runtime.swift.BaseSwiftTest+antlrToolErrors org.antlr.v4.test.runtime.swift.BaseSwiftTest+antlrToolErrors""",146,7,4172,163,1,,"@Override
	public String getANTLRToolErrors() {
		if (antlrToolErrors.length() == 0) {
			return null;
		}
		return antlrToolErrors.toString();
	}",True,True
20,"execLexer(String,String,String,String,boolean)",Method,"""","""","org.antlr.v4.test.runtime.swift.BaseSwiftTest+generateParser(String,String,String,String,String[]) org.antlr.v4.test.runtime.swift.BaseSwiftTest+generateParser(String,String,String,String,String[]) org.antlr.v4.test.runtime.swift.BaseSwiftTest+writeLexerTestFile(String,boolean) org.antlr.v4.test.runtime.swift.BaseSwiftTest+writeLexerTestFile(String,boolean) org.antlr.v4.test.runtime.swift.BaseSwiftTest+addSourceFiles(String[]) org.antlr.v4.test.runtime.swift.BaseSwiftTest+addSourceFiles(String[]) java.lang.System+currentTimeMillis() java.lang.System+currentTimeMillis() org.antlr.v4.test.runtime.swift.BaseSwiftTest+getTmpDir() org.antlr.v4.test.runtime.swift.BaseSwiftTest+getTmpDir() org.antlr.v4.test.runtime.swift.BaseSwiftTest+buildProject(String,String) org.antlr.v4.test.runtime.swift.BaseSwiftTest+buildProject(String,String) org.antlr.v4.test.runtime.swift.BaseSwiftTest+execTest(String,String) org.antlr.v4.test.runtime.swift.BaseSwiftTest+execTest(String,String) java.lang.Throwable+printStackTrace() java.lang.Throwable+printStackTrace()""","org.antlr.v4.test.runtime.swift.BaseSwiftTest+tmpdir""",631,21,4321,171,1,,"@Override
	public String execLexer(String grammarFileName, String grammarStr, String lexerName, String input, boolean showDFA) {
		generateParser(grammarFileName,
				grammarStr,
				null,
				lexerName);
		writeFile(tmpdir, ""input"", input);
		writeLexerTestFile(lexerName, showDFA);
		addSourceFiles(""main.swift"");

		String projectName = ""testcase-"" + System.currentTimeMillis();
		String projectDir = getTmpDir() + ""/"" + projectName;
		try {
			buildProject(projectDir, projectName);
			return execTest(projectDir, projectName);
		}
		catch (IOException | InterruptedException e) {
			e.printStackTrace();
			return null;
		}
	}",False,False
21,"execParser(String,String,String,String,String,String,String,String,boolean)",Method,"""","""","org.antlr.v4.test.runtime.swift.BaseSwiftTest+generateParser(String,String,String,String,String[]) org.antlr.v4.test.runtime.swift.BaseSwiftTest+generateParser(String,String,String,String,String[]) org.antlr.v4.test.runtime.swift.BaseSwiftTest+getTmpDir() org.antlr.v4.test.runtime.swift.BaseSwiftTest+getTmpDir() org.antlr.v4.test.runtime.swift.BaseSwiftTest+execParser(String,String,String,boolean,boolean) org.antlr.v4.test.runtime.swift.BaseSwiftTest+execParser(String,String,String,boolean,boolean)""","""",466,13,4955,193,1,,"@Override
	public String execParser(String grammarFileName, String grammarStr, String parserName, String lexerName, String listenerName, String visitorName, String startRuleName, String input, boolean showDiagnosticErrors) {
		generateParser(grammarFileName,
				grammarStr,
				parserName,
				lexerName,
				""-visitor"");
		writeFile(getTmpDir(), ""input"", input);
		return execParser(parserName,
				lexerName,
				startRuleName,
				showDiagnosticErrors,false);
	}",False,False
22,"execTest(String,String)",Method,"execLexer(String,String,String,String,boolean) execParser(String,String,String,boolean,boolean)""","""","org.antlr.v4.test.runtime.swift.BaseSwiftTest+runProcess(String,String[]) org.antlr.v4.test.runtime.swift.BaseSwiftTest+runProcess(String,String[]) java.lang.String+length() java.lang.String+length() java.lang.String+length() java.lang.String+length() java.io.PrintStream+println(String) java.io.PrintStream+println(String) java.lang.Throwable+printStackTrace(PrintStream) java.lang.Throwable+printStackTrace(PrintStream)""","org.antlr.v4.runtime.misc.Pair+b org.antlr.v4.test.runtime.swift.BaseSwiftTest+stderrDuringParse org.antlr.v4.runtime.misc.Pair+b org.antlr.v4.runtime.misc.Pair+a java.lang.System+err java.lang.System+err""",458,15,5424,206,2,,"private String execTest(String projectDir, String projectName) {
		try {
			Pair<String, String> output = runProcess(projectDir, ""./.build/debug/"" + projectName, ""input"");
			if (output.b.length() > 0) {
				stderrDuringParse = output.b;
			}
			String stdout = output.a;
			return stdout.length() > 0 ? stdout : null;
		}
		catch (Exception e) {
			System.err.println(""Execution of testcase failed."");
			e.printStackTrace(System.err);
		}
		return null;
	}",False,False
23,addSourceFiles(String),Method,"""","""","java.util.Collections+addAll(Collection,T[]) java.util.Collections+addAll(Collection,T[])""","org.antlr.v4.test.runtime.swift.BaseSwiftTest+sourceFiles org.antlr.v4.test.runtime.swift.BaseSwiftTest+sourceFiles""",96,3,5885,222,2,,"private void addSourceFiles(String... files) {
		Collections.addAll(this.sourceFiles, files);
	}",False,False
