index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,commit,full text,moved,removed
1,newline,Field,"""","""","""","""",74,1,1309,38,25,,"public static final String newline = System.getProperty(""line.separator"");",False,False
2,pathSep,Field,"""","""","""","""",74,1,1385,39,25,,"public static final String pathSep = System.getProperty(""path.separator"");",False,False
3,tmpdir,Field,"""","""","""","""",28,1,1462,41,1,,public String tmpdir = null;,False,False
4,stderrDuringParse,Field,"rawBuildRecognizerTestFile(String,String,String,String,String,boolean) execModule(String)""","""","""","""",183,5,1493,47,4,"/** 
 * If error during parser execution, store stderr here; can't return stdout and stderr. This doesn't trap errors from running antlr.
 */
","/**
	 * If error during parser execution, store stderr here; can't return stdout
	 * and stderr. This doesn't trap errors from running antlr.
	 */
	protected String stderrDuringParse;",False,False
5,antlrToolErrors,Field,"""","""","""","""",81,2,1679,50,4,"/** 
 * Errors found while running antlr 
 */
","/** Errors found while running antlr */
	protected StringBuilder antlrToolErrors;",False,True
6,testWatcher,Field,"""","""","""","""",200,10,1763,53,17,,"@org.junit.Rule
	public final TestRule testWatcher = new TestWatcher() {

		@Override
		protected void succeeded(Description description) {
			// remove tmpdir if no error.
			eraseTempDir();
		}

	};",False,True
7,testSetUp(),Method,"""","""","java.lang.System+getProperty(String) java.lang.System+getProperty(String) java.lang.String+length() java.lang.String+length() java.io.File+getAbsolutePath() java.io.File+File(String,String) java.lang.System+getProperty(String) java.lang.System+getProperty(String) java.lang.Class+getSimpleName() java.lang.Object+getClass() java.lang.Object+getClass() java.lang.Class+getSimpleName() java.lang.Thread+getName() java.lang.Thread+currentThread() java.lang.Thread+currentThread() java.lang.Thread+getName() java.lang.System+currentTimeMillis() java.lang.System+currentTimeMillis() java.io.File+getAbsolutePath() java.io.File+File(String) java.io.File+exists() java.io.File+exists() org.antlr.v4.test.runtime.javascript.BaseNodeTest+eraseFiles(File) org.antlr.v4.test.runtime.javascript.BaseNodeTest+eraseFiles(File) java.lang.StringBuilder+StringBuilder()""","org.antlr.v4.test.runtime.javascript.BaseNodeTest+tmpdir org.antlr.v4.test.runtime.javascript.BaseNodeTest+tmpdir org.antlr.v4.test.runtime.javascript.BaseNodeTest+tmpdir org.antlr.v4.test.runtime.javascript.BaseNodeTest+antlrToolErrors""",534,17,1966,64,1,,"@Override
	public void testSetUp() throws Exception {
		// new output dir for each test
		String prop = System.getProperty(""antlr-javascript-test-dir"");
		if (prop != null && prop.length() > 0) {
			tmpdir = prop;
		}
		else {
			tmpdir = new File(System.getProperty(""java.io.tmpdir""), getClass()
				.getSimpleName()+""-""+Thread.currentThread().getName()+""-""+System.currentTimeMillis())
				.getAbsolutePath();
		}
		File dir = new File(tmpdir);
		if (dir.exists())
			this.eraseFiles(dir);
		antlrToolErrors = new StringBuilder();
	}",False,True
8,testTearDown(),Method,"""","""","""","""",59,3,2503,82,1,,"@Override
	public void testTearDown() throws Exception {
	}",False,True
9,beforeTest(RuntimeTestDescriptor),Method,"""","""","""","""",72,3,2565,86,1,,"@Override
	public void beforeTest(RuntimeTestDescriptor descriptor) {
	}",False,True
10,afterTest(RuntimeTestDescriptor),Method,"""","""","""","""",71,3,2640,90,1,,"@Override
	public void afterTest(RuntimeTestDescriptor descriptor) {
	}",False,True
