index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,commit,full text,moved,removed
1,testQuoteTranslation(),Method,"""","""","org.antlr.v4.test.BaseTest+execLexer(String,String,String,String) org.antlr.v4.test.BaseTest+execLexer(String,String,String,String)""","""",365,10,1823,43,1,,"@Test public void testQuoteTranslation() throws Exception {
   		String grammar =
   			""lexer grammar L;\n""+
   			""QUOTE : '\""' ;\n""; // make sure this compiles
   		String found = execLexer(""L.g4"", grammar, ""L"", ""\"""");
   		String expecting =
   			""[@0,0:0='\""',<1>,1:0]\n"" +
            ""[@1,1:0='<EOF>',<-1>,1:1]\n"";
   		assertEquals(expecting, found);
   	}",False,False
2,testRefToRuleDoesNotSetTokenNorEmitAnother(),Method,"""","""","org.antlr.v4.test.BaseTest+execLexer(String,String,String,String) org.antlr.v4.test.BaseTest+execLexer(String,String,String,String)""","""",534,14,2194,54,1,,"@Test public void testRefToRuleDoesNotSetTokenNorEmitAnother() throws Exception {
   		String grammar =
   			""lexer grammar L;\n""+
   			""A : '-' I ;\n"" +
   			""I : '0'..'9'+ ;\n""+
   			""WS : (' '|'\\n') -> skip ;"";
   		String found = execLexer(""L.g4"", grammar, ""L"", ""34 -21 3"");
   		String expecting =
   			""[@0,0:1='34',<2>,1:0]\n"" +
   			""[@1,3:5='-21',<1>,1:3]\n"" +
   			""[@2,7:7='3',<2>,1:7]\n"" +
   			""[@3,8:7='<EOF>',<-1>,1:8]\n""; // EOF has no length so range is 8:7 not 8:8
   		assertEquals(expecting, found);
   	}",False,False
3,testSlashes(),Method,"""","""","org.antlr.v4.test.BaseTest+execLexer(String,String,String,String) org.antlr.v4.test.BaseTest+execLexer(String,String,String,String)""","""",504,17,2731,69,1,,"@Test public void testSlashes() throws Exception {
		String grammar =
			""lexer grammar L;\n""+
			""Backslash : '\\\\';\n"" +
			""Slash : '/';\n"" +
			""Vee : '\\\\/';\n"" +
			""Wedge : '/\\\\';\n""+
			""WS : [ \\t] -> skip;"";
		String found = execLexer(""L.g4"", grammar, ""L"", ""\\ / \\/ /\\"");
		String expecting =
			""[@0,0:0='\\',<1>,1:0]\n"" +
			""[@1,2:2='/',<2>,1:2]\n"" +
			""[@2,4:5='\\/',<3>,1:4]\n"" +
			""[@3,7:8='/\\',<4>,1:7]\n"" +
			""[@4,9:8='<EOF>',<-1>,1:9]\n"";
		assertEquals(expecting, found);
	}",False,False
4,testParentheses(),Method,"""","""","org.antlr.v4.test.BaseTest+execLexer(String,String,String,String) org.antlr.v4.test.BaseTest+execLexer(String,String,String,String)""","""",722,24,3238,92,1,"/** 
 * This is a regression test for antlr/antlr4#224: ""Parentheses without quantifier in lexer rules have unclear effect"". https://github.com/antlr/antlr4/issues/224
 */
","/**
	 * This is a regression test for antlr/antlr4#224: ""Parentheses without
	 * quantifier in lexer rules have unclear effect"".
	 * https://github.com/antlr/antlr4/issues/224
	 */
	@Test public void testParentheses() {
		String grammar =
			""lexer grammar Demo;\n"" +
			""\n"" +
			""START_BLOCK: '-.-.-';\n"" +
			""\n"" +
			""ID : (LETTER SEPARATOR) (LETTER SEPARATOR)+;\n"" +
			""fragment LETTER: L_A|L_K;\n"" +
			""fragment L_A: '.-';\n"" +
			""fragment L_K: '-.-';\n"" +
			""\n"" +
			""SEPARATOR: '!';\n"";
		String found = execLexer(""Demo.g4"", grammar, ""Demo"", ""-.-.-!"");
		String expecting =
			""[@0,0:4='-.-.-',<1>,1:0]\n"" +
			""[@1,5:5='!',<3>,1:5]\n"" +
			""[@2,6:5='<EOF>',<-1>,1:6]\n"";
		assertEquals(expecting, found);
	}",False,False
5,testNonGreedyTermination(),Method,"""","""","org.antlr.v4.test.BaseTest+execLexer(String,String,String,String) org.antlr.v4.test.BaseTest+execLexer(String,String,String,String)""","org.antlr.v4.test.BaseTest+stderrDuringParse""",383,13,3963,113,1,,"@Test
	public void testNonGreedyTermination() throws Exception {
		String grammar =
			""lexer grammar L;\n""
			+ ""STRING : '\""' ('\""\""' | .)*? '\""';"";

		String found = execLexer(""L.g4"", grammar, ""L"", ""\""hi\""\""mom\"""");
		assertEquals(
			""[@0,0:3='\""hi\""',<1>,1:0]\n"" +
			""[@1,4:8='\""mom\""',<1>,1:4]\n"" +
			""[@2,9:8='<EOF>',<-1>,1:9]\n"", found);
		assertNull(stderrDuringParse);
	}",False,False
6,testNonGreedyTermination2(),Method,"""","""","org.antlr.v4.test.BaseTest+execLexer(String,String,String,String) org.antlr.v4.test.BaseTest+execLexer(String,String,String,String)""","org.antlr.v4.test.BaseTest+stderrDuringParse""",351,12,4349,127,1,,"@Test
	public void testNonGreedyTermination2() throws Exception {
		String grammar =
			""lexer grammar L;\n""
			+ ""STRING : '\""' ('\""\""' | .)+? '\""';"";

		String found = execLexer(""L.g4"", grammar, ""L"", ""\""\""\""mom\"""");
		assertEquals(
			""[@0,0:6='\""\""\""mom\""',<1>,1:0]\n"" +
			""[@1,7:6='<EOF>',<-1>,1:7]\n"", found);
		assertNull(stderrDuringParse);
	}",False,False
7,testGreedyOptional(),Method,"""","""","org.antlr.v4.test.BaseTest+execLexer(String,String,String,String) org.antlr.v4.test.BaseTest+execLexer(String,String,String,String)""","org.antlr.v4.test.BaseTest+stderrDuringParse""",380,13,4703,140,1,,"@Test
	public void testGreedyOptional() throws Exception {
		String grammar =
			""lexer grammar L;\n""
			+ ""CMT : '//' .*? '\\n' CMT?;\n""
			+ ""WS : (' '|'\\t')+;"";

		String found = execLexer(""L.g4"", grammar, ""L"", ""//blah\n//blah\n"");
		assertEquals(
			""[@0,0:13='//blah\\n//blah\\n',<1>,1:0]\n"" +
			""[@1,14:13='<EOF>',<-1>,3:14]\n"", found);
		assertNull(stderrDuringParse);
	}",False,False
8,testNonGreedyOptional(),Method,"""","""","org.antlr.v4.test.BaseTest+execLexer(String,String,String,String) org.antlr.v4.test.BaseTest+execLexer(String,String,String,String)""","org.antlr.v4.test.BaseTest+stderrDuringParse""",412,14,5086,154,1,,"@Test
	public void testNonGreedyOptional() throws Exception {
		String grammar =
			""lexer grammar L;\n""
			+ ""CMT : '//' .*? '\\n' CMT??;\n""
			+ ""WS : (' '|'\\t')+;"";

		String found = execLexer(""L.g4"", grammar, ""L"", ""//blah\n//blah\n"");
		assertEquals(
			""[@0,0:6='//blah\\n',<1>,1:0]\n"" +
			""[@1,7:13='//blah\\n',<1>,2:0]\n"" +
			""[@2,14:13='<EOF>',<-1>,3:7]\n"", found);
		assertNull(stderrDuringParse);
	}",False,False
9,testGreedyClosure(),Method,"""","""","org.antlr.v4.test.BaseTest+execLexer(String,String,String,String) org.antlr.v4.test.BaseTest+execLexer(String,String,String,String)""","org.antlr.v4.test.BaseTest+stderrDuringParse""",379,13,5501,169,1,,"@Test
	public void testGreedyClosure() throws Exception {
		String grammar =
			""lexer grammar L;\n""
			+ ""CMT : '//' .*? '\\n' CMT*;\n""
			+ ""WS : (' '|'\\t')+;"";

		String found = execLexer(""L.g4"", grammar, ""L"", ""//blah\n//blah\n"");
		assertEquals(
			""[@0,0:13='//blah\\n//blah\\n',<1>,1:0]\n"" +
			""[@1,14:13='<EOF>',<-1>,3:14]\n"", found);
		assertNull(stderrDuringParse);
	}",False,False
10,testNonGreedyClosure(),Method,"""","""","org.antlr.v4.test.BaseTest+execLexer(String,String,String,String) org.antlr.v4.test.BaseTest+execLexer(String,String,String,String)""","org.antlr.v4.test.BaseTest+stderrDuringParse""",411,14,5883,183,1,,"@Test
	public void testNonGreedyClosure() throws Exception {
		String grammar =
			""lexer grammar L;\n""
			+ ""CMT : '//' .*? '\\n' CMT*?;\n""
			+ ""WS : (' '|'\\t')+;"";

		String found = execLexer(""L.g4"", grammar, ""L"", ""//blah\n//blah\n"");
		assertEquals(
			""[@0,0:6='//blah\\n',<1>,1:0]\n"" +
			""[@1,7:13='//blah\\n',<1>,2:0]\n"" +
			""[@2,14:13='<EOF>',<-1>,3:7]\n"", found);
		assertNull(stderrDuringParse);
	}",False,False
11,testGreedyPositiveClosure(),Method,"""","""","org.antlr.v4.test.BaseTest+execLexer(String,String,String,String) org.antlr.v4.test.BaseTest+execLexer(String,String,String,String)""","org.antlr.v4.test.BaseTest+stderrDuringParse""",385,13,6297,198,1,,"@Test
	public void testGreedyPositiveClosure() throws Exception {
		String grammar =
			""lexer grammar L;\n""
			+ ""CMT : ('//' .*? '\\n')+;\n""
			+ ""WS : (' '|'\\t')+;"";

		String found = execLexer(""L.g4"", grammar, ""L"", ""//blah\n//blah\n"");
		assertEquals(
			""[@0,0:13='//blah\\n//blah\\n',<1>,1:0]\n"" +
			""[@1,14:13='<EOF>',<-1>,3:14]\n"", found);
		assertNull(stderrDuringParse);
	}",False,False
