index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,commit,full text,moved,removed
1,g,Field,"DefaultOutputModelFactory(CodeGenerator)""","""","""","""",17,1,1940,45,1,,public Grammar g;,False,False
2,gen,Field,"DefaultOutputModelFactory(CodeGenerator)""","""","""","""",25,1,1959,46,1,,public CodeGenerator gen;,False,False
3,controller,Field,"setController(OutputModelController)""","""","""","""",40,1,1986,47,1,,public OutputModelController controller;,False,False
4,root,Field,"setRoot(OutputModelObject)""","""","""","""",30,1,2046,50,1,,public OutputModelObject root;,False,False
5,currentRule,Field,"""","""","""","""",67,1,2117,51,1,,public Stack<RuleFunction> currentRule = new Stack<RuleFunction>();,False,False
6,currentAlt,Field,"setCurrentAlt(Alternative)""","""","""","""",30,1,2186,52,1,,public Alternative currentAlt;,False,False
7,DefaultOutputModelFactory(CodeGenerator),Method,"""","""","""","org.antlr.v4.codegen.DefaultOutputModelFactory+gen org.antlr.v4.codegen.DefaultOutputModelFactory+gen org.antlr.v4.codegen.DefaultOutputModelFactory+g org.antlr.v4.codegen.DefaultOutputModelFactory+g org.antlr.v4.codegen.CodeGenerator+g""",95,4,2219,54,4,,"protected DefaultOutputModelFactory(CodeGenerator gen) {
		this.gen = gen;
		this.g = gen.g;
	}",False,False
8,getGrammar(),Method,"""","""","""","org.antlr.v4.codegen.DefaultOutputModelFactory+g""",41,1,2317,59,1,,public Grammar getGrammar() { return g; },False,False
9,getGenerator(),Method,"""","""","""","org.antlr.v4.codegen.DefaultOutputModelFactory+gen""",51,1,2361,61,1,,public CodeGenerator getGenerator() { return gen; },False,False
10,parserFile(String),Method,"""","""","""","""",62,1,2415,63,1,,public ParserFile parserFile(String fileName) { return null; },True,True
11,parser(ParserFile),Method,"""","""","""","""",54,1,2480,65,1,,public Parser parser(ParserFile file) { return null; },True,True
12,rule(Rule),Method,"""","""","""","""",49,1,2537,67,1,,public RuleFunction rule(Rule r) { return null; },True,True
13,"rulePostamble(RuleFunction,Rule)",Method,"""","""","""","""",80,1,2589,69,1,,"public List<SrcOp> rulePostamble(RuleFunction function, Rule r) { return null; }",True,True
14,lexerFile(String),Method,"""","""","""","""",60,1,2672,71,1,,public LexerFile lexerFile(String fileName) { return null; },True,True
15,lexer(LexerFile),Method,"""","""","""","""",51,1,2735,73,1,,public Lexer lexer(LexerFile file) { return null; },True,True
16,alternative(List<SrcOp>),Method,"""","""","""","""",66,1,2818,77,1,,public List<SrcOp> alternative(List<SrcOp> elems) { return null; },True,True
17,"ruleRef(GrammarAST,GrammarAST,GrammarAST)",Method,"""","""","""","""",93,1,2887,79,1,,"public List<SrcOp> ruleRef(GrammarAST ID, GrammarAST label, GrammarAST args) { return null; }",True,True
18,"tokenRef(GrammarAST,GrammarAST,GrammarAST)",Method,"""","""","""","""",94,1,2983,81,1,,"public List<SrcOp> tokenRef(GrammarAST ID, GrammarAST label, GrammarAST args) { return null; }",True,True
19,"stringRef(GrammarAST,GrammarAST)",Method,"""","""","""","""",78,1,3080,83,1,,"public List<SrcOp> stringRef(GrammarAST ID, GrammarAST label) { return null; }",True,True
20,epsilon(),Method,"""","""","""","""",45,1,3161,85,1,,public List<SrcOp> epsilon() { return null; },True,True
21,action(GrammarAST),Method,"""","""","""","""",58,1,3222,89,1,,public List<SrcOp> action(GrammarAST ast) { return null; },True,True
22,forcedAction(GrammarAST),Method,"""","""","""","""",64,1,3283,91,1,,public List<SrcOp> forcedAction(GrammarAST ast) { return null; },True,True
23,sempred(GrammarAST),Method,"""","""","""","""",59,1,3350,93,1,,public List<SrcOp> sempred(GrammarAST ast) { return null; },True,True
24,rootToken(List<SrcOp>),Method,"""","""","""","""",61,1,3425,97,1,,public List<SrcOp> rootToken(List<SrcOp> ops) { return ops; },True,True
25,rootRule(List<SrcOp>),Method,"""","""","""","""",60,1,3489,99,1,,public List<SrcOp> rootRule(List<SrcOp> ops) { return ops; },True,True
26,rewrite_ruleRef(GrammarAST),Method,"""","""","""","""",66,1,3570,103,1,,public List<SrcOp> rewrite_ruleRef(GrammarAST ID) { return null; },True,True
27,rewrite_tokenRef(GrammarAST),Method,"""","""","""","""",67,1,3639,105,1,,public List<SrcOp> rewrite_tokenRef(GrammarAST ID) { return null; },True,True
28,"getChoiceBlock(BlockAST,List<SrcOp>)",Method,"""","""","""","""",85,1,3721,109,1,,"public List<SrcOp> getChoiceBlock(BlockAST blkAST, List<SrcOp> alts) { return null; }",True,True
29,"getEBNFBlock(GrammarAST,List<SrcOp>)",Method,"""","""","""","""",87,1,3809,111,1,,"public List<SrcOp> getEBNFBlock(GrammarAST ebnfRoot, List<SrcOp> alts) { return null; }",True,True
30,"getLL1ChoiceBlock(BlockAST,List<SrcOp>)",Method,"""","""","""","""",88,1,3899,113,1,,"public List<SrcOp> getLL1ChoiceBlock(BlockAST blkAST, List<SrcOp> alts) { return null; }",True,True
31,"getLLStarChoiceBlock(BlockAST,List<SrcOp>)",Method,"""","""","""","""",91,1,3990,115,1,,"public List<SrcOp> getLLStarChoiceBlock(BlockAST blkAST, List<SrcOp> alts) { return null; }",True,True
32,"getLL1EBNFBlock(GrammarAST,List<SrcOp>)",Method,"""","""","""","""",90,1,4084,117,1,,"public List<SrcOp> getLL1EBNFBlock(GrammarAST ebnfRoot, List<SrcOp> alts) { return null; }",True,True
33,"getLLStarEBNFBlock(GrammarAST,List<SrcOp>)",Method,"""","""","""","""",93,1,4177,119,1,,"public List<SrcOp> getLLStarEBNFBlock(GrammarAST ebnfRoot, List<SrcOp> alts) { return null; }",True,True
34,"getLL1Test(IntervalSet,GrammarAST)",Method,"""","""","""","""",83,1,4273,121,1,,"public List<SrcOp> getLL1Test(IntervalSet look, GrammarAST blkAST) { return null; }",True,True
35,"needsImplicitLabel(GrammarAST,LabeledOp)",Method,"""","""","""","""",80,1,4359,123,1,,"public boolean needsImplicitLabel(GrammarAST ID, LabeledOp op) { return false; }",True,True
36,getRoot(),Method,"""","""","""","org.antlr.v4.codegen.DefaultOutputModelFactory+root""",51,1,4460,128,1,,public OutputModelObject getRoot() { return root; },False,False
37,setRoot(OutputModelObject),Method,"""","""","""","org.antlr.v4.codegen.DefaultOutputModelFactory+root org.antlr.v4.codegen.DefaultOutputModelFactory+root""",65,1,4514,130,1,,public void setRoot(OutputModelObject root) { this.root = root;	},False,False
38,getCurrentRule(),Method,"""","org.antlr.v4.codegen.ParserFactory+defineImplicitLabel(GrammarAST,LabeledOp)""","java.util.Vector+size() java.util.Vector+size() java.util.Stack+peek() java.util.Stack+peek()""","org.antlr.v4.codegen.DefaultOutputModelFactory+currentRule org.antlr.v4.codegen.DefaultOutputModelFactory+currentRule""",113,4,4582,132,1,,"public RuleFunction getCurrentRule() {
		if ( currentRule.size()>0 )	return currentRule.peek();
		return null;
	}",False,False
39,pushCurrentRule(RuleFunction),Method,"""","""","java.util.Stack+push(E) java.util.Stack+push(E)""","org.antlr.v4.codegen.DefaultOutputModelFactory+currentRule""",68,1,4698,137,1,,public void pushCurrentRule(RuleFunction r) { currentRule.push(r); },False,False
40,popCurrentRule(),Method,"""","""","java.util.Vector+size() java.util.Vector+size() java.util.Stack+pop() java.util.Stack+pop()""","org.antlr.v4.codegen.DefaultOutputModelFactory+currentRule org.antlr.v4.codegen.DefaultOutputModelFactory+currentRule""",112,4,4769,139,1,,"public RuleFunction popCurrentRule() {
		if ( currentRule.size()>0 ) return currentRule.pop();
		return null;
	}",False,False
41,getCurrentAlt(),Method,"""","org.antlr.v4.codegen.ParserFactory+needsImplicitLabel(GrammarAST,LabeledOp) org.antlr.v4.codegen.ParserFactory+needsImplicitLabel(GrammarAST,LabeledOp)""","""","org.antlr.v4.codegen.DefaultOutputModelFactory+currentAlt""",57,1,4884,144,1,,public Alternative getCurrentAlt() { return currentAlt; },False,False
42,setCurrentAlt(Alternative),Method,"""","""","""","org.antlr.v4.codegen.DefaultOutputModelFactory+currentAlt org.antlr.v4.codegen.DefaultOutputModelFactory+currentAlt""",83,1,4944,146,1,,public void setCurrentAlt(Alternative currentAlt) { this.currentAlt = currentAlt; },False,False
43,setController(OutputModelController),Method,"""","""","""","org.antlr.v4.codegen.DefaultOutputModelFactory+controller org.antlr.v4.codegen.DefaultOutputModelFactory+controller""",96,3,5030,148,1,,"public void setController(OutputModelController controller) {
		this.controller = controller;
	}",False,False
