index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,commit,full text,moved,removed
1,dataTimeout,Field,"""","""","""","""",49,1,841,35,26,,private static final float dataTimeout = 60 * 20;,False,False
2,playerSyncTime,Field,"""","""","""","""",46,1,895,36,26,,private static final float playerSyncTime = 5;,False,False
3,dataReads,Field,"""","""","""","""",55,1,946,37,26,,private static final Reads dataReads = new Reads(null);,False,False
4,ping,Field,"""","""","""","""",18,1,1007,39,2,,private long ping;,False,False
5,timer,Field,"""","""","""","""",41,1,1030,40,2,,private Interval timer = new Interval(5);,False,False
6,connecting,Field,"""","""","""","""",90,2,1076,42,2,"/** 
 * Whether the client is currently connecting. 
 */
","/** Whether the client is currently connecting. */
    private boolean connecting = false;",False,False
7,quiet,Field,"""","""","""","""",90,2,1171,44,2,"/** 
 * If true, no message will be shown on disconnect. 
 */
","/** If true, no message will be shown on disconnect. */
    private boolean quiet = false;",False,False
8,quietReset,Field,"""","""","""","""",95,2,1266,46,2,"/** 
 * Whether to suppress disconnect events completely.
 */
","/** Whether to suppress disconnect events completely.*/
    private boolean quietReset = false;",False,False
9,timeoutTime,Field,"""","""","""","""",68,2,1366,48,2,"/** 
 * Counter for data timeout. 
 */
","/** Counter for data timeout. */
    private float timeoutTime = 0f;",False,False
10,lastSent,Field,"""","""","""","""",62,2,1439,50,2,"/** 
 * Last sent client snapshot ID. 
 */
","/** Last sent client snapshot ID. */
    private int lastSent;",False,False
11,removed,Field,"""","""","""","""",122,2,1507,53,2,"/** 
 * List of entities that were removed, and need not be added while syncing. 
 */
","/** List of entities that were removed, and need not be added while syncing. */
    private IntSet removed = new IntSet();",False,False
12,byteStream,Field,"""","""","""","""",118,2,1634,55,2,"/** 
 * Byte stream for reading in snapshots. 
 */
","/** Byte stream for reading in snapshots. */
    private ReusableByteInStream byteStream = new ReusableByteInStream();",False,False
13,dataStream,Field,"""","""","""","""",69,1,1757,56,2,,private DataInputStream dataStream = new DataInputStream(byteStream);,False,False
14,customPacketHandlers,Field,"""","""","""","""",143,2,1831,58,2,"/** 
 * Packet handlers for custom types of messages. 
 */
","/** Packet handlers for custom types of messages. */
    private ObjectMap<String, Seq<Cons<String>>> customPacketHandlers = new ObjectMap<>();",False,False
15,NetClient(),Method,"""","""","""","""",2426,80,1980,60,1,,"public NetClient(){

        net.handleClient(Connect.class, packet -> {
            Log.info(""Connecting to server: @"", packet.addressTCP);

            player.admin = false;

            reset();

            //connection after reset
            if(!net.client()){
                Log.info(""Connection canceled."");
                disconnectQuietly();
                return;
            }

            ui.loadfrag.hide();
            ui.loadfrag.show(""@connecting.data"");

            ui.loadfrag.setButton(() -> {
                ui.loadfrag.hide();
                disconnectQuietly();
            });

            String locale = Core.settings.getString(""locale"");
            if(locale.equals(""default"")){
                locale = Locale.getDefault().toString();
            }

            var c = new ConnectPacket();
            c.name = player.name;
            c.locale = locale;
            c.mods = mods.getModStrings();
            c.mobile = mobile;
            c.versionType = Version.type;
            c.color = player.color.rgba();
            c.usid = getUsid(packet.addressTCP);
            c.uuid = platform.getUUID();

            if(c.uuid == null){
                ui.showErrorMessage(""@invalidid"");
                ui.loadfrag.hide();
                disconnectQuietly();
                return;
            }

            net.send(c, true);
        });

        net.handleClient(Disconnect.class, packet -> {
            if(quietReset) return;

            connecting = false;
            logic.reset();
            platform.updateRPC();
            player.name = Core.settings.getString(""name"");
            player.color.set(Core.settings.getInt(""color-0""));

            if(quiet) return;

            Time.runTask(3f, ui.loadfrag::hide);

            if(packet.reason != null){
                ui.showSmall(switch(packet.reason){
                    case ""closed"" -> ""@disconnect.closed"";
                    case ""timeout"" -> ""@disconnect.timeout"";
                    default -> ""@disconnect.error"";
                }, ""@disconnect.closed"");
            }else{
                ui.showErrorMessage(""@disconnect"");
            }
        });

        net.handleClient(WorldStream.class, data -> {
            Log.info(""Received world data: @ bytes."", data.stream.available());
            NetworkIO.loadWorld(new InflaterInputStream(data.stream));

            finishConnecting();
        });
    }",False,False
16,"addPacketHandler(String,Cons<String>)",Method,"""","""","""","mindustry.core.NetClient+customPacketHandlers""",133,3,4412,141,1,,"public void addPacketHandler(String type, Cons<String> handler){
        customPacketHandlers.get(type, Seq::new).add(handler);
    }",False,False
17,getPacketHandlers(String),Method,"""","""","""","mindustry.core.NetClient+customPacketHandlers""",119,3,4551,145,1,,"public Seq<Cons<String>> getPacketHandlers(String type){
        return customPacketHandlers.get(type, Seq::new);
    }",False,False
18,"clientPacketReliable(String,String)",Method,"clientPacketUnreliable(String,String)""","""","""","""",330,8,4676,150,9,,"@Remote(targets = Loc.server, variants = Variant.both)
    public static void clientPacketReliable(String type, String contents){
        if(netClient.customPacketHandlers.containsKey(type)){
            for(Cons<String> c : netClient.customPacketHandlers.get(type)){
                c.get(contents);
            }
        }
    }",False,False
