index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,annotation,full text,removed
1,pipeline,Field,,,,,69,1,3525,77,129,,@Rule public transient TestPipeline pipeline = TestPipeline.create();,False
2,thrown,Field,,,,,65,1,3597,78,1,,@Rule public ExpectedException thrown = ExpectedException.none();,False
3,setUp(),Method,,,org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLTestBase+initializeBeamTableProvider() org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLTestBase+initializeBeamTableProvider() org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLTestBase+initializeCalciteEnvironment() org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLTestBase+initializeCalciteEnvironment(),,106,5,3666,81,1,,"@Before
  public void setUp() {
    initializeBeamTableProvider();
    initializeCalciteEnvironment();
  }",False
4,testSimpleSelect(),Method,,,"org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLQueryPlanner+ZetaSQLQueryPlanner(FrameworkConfig) org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLQueryPlanner+convertToBeamRel(String) org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLQueryPlanner+convertToBeamRel(String) org.apache.beam.sdk.extensions.sql.impl.rel.BeamSqlRelUtils+toPCollection(Pipeline,BeamRelNode) org.apache.beam.sdk.extensions.sql.impl.rel.BeamSqlRelUtils+toPCollection(Pipeline,BeamRelNode) org.apache.beam.sdk.schemas.Schema.Builder+build() org.apache.beam.sdk.schemas.Schema.Builder+addStringField(String) org.apache.beam.sdk.schemas.Schema.Builder+addDateTimeField(String) org.apache.beam.sdk.schemas.Schema.Builder+addInt64Field(String) org.apache.beam.sdk.schemas.Schema+builder() org.apache.beam.sdk.schemas.Schema+builder() org.apache.beam.sdk.schemas.Schema.Builder+addInt64Field(String) org.apache.beam.sdk.schemas.Schema.Builder+addDateTimeField(String) org.apache.beam.sdk.schemas.Schema.Builder+addStringField(String) org.apache.beam.sdk.schemas.Schema.Builder+build() org.apache.beam.sdk.testing.PAssert.IterableAssert+containsInAnyOrder(T[]) org.apache.beam.sdk.testing.PAssert+that(PCollection<T>) org.apache.beam.sdk.testing.PAssert+that(PCollection<T>) org.apache.beam.sdk.testing.PAssert.IterableAssert+containsInAnyOrder(T[]) org.apache.beam.sdk.values.Row.Builder+addValues(List<Object>) org.apache.beam.sdk.values.Row+withSchema(Schema) org.apache.beam.sdk.values.Row+withSchema(Schema) org.apache.beam.sdk.values.Row.Builder+addValues(List<Object>) java.lang.Object+Object() org.apache.beam.sdk.PipelineResult+waitUntilFinish(Duration) org.apache.beam.sdk.testing.TestPipeline+run() org.apache.beam.sdk.testing.TestPipeline+run() org.apache.beam.sdk.PipelineResult+waitUntilFinish(Duration)",org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLTestBase+config org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLDialectSpecTest+pipeline org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLDialectSpecTest+pipeline org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLTestBase+PIPELINE_EXECUTION_WAITTIME_MINUTES,1033,28,3776,87,1,,"@Test
  public void testSimpleSelect() {
    String sql =
        ""SELECT CAST (1243 as INT64), ""
            + ""CAST ('2018-09-15 12:59:59.000000+00' as TIMESTAMP), ""
            + ""CAST ('string' as STRING);"";

    ZetaSQLQueryPlanner zetaSQLQueryPlanner = new ZetaSQLQueryPlanner(config);
    BeamRelNode beamRelNode = zetaSQLQueryPlanner.convertToBeamRel(sql);
    PCollection<Row> stream = BeamSqlRelUtils.toPCollection(pipeline, beamRelNode);
    final Schema schema =
        Schema.builder()
            .addInt64Field(""field1"")
            .addDateTimeField(""field2"")
            .addStringField(""field3"")
            .build();

    PAssert.that(stream)
        .containsInAnyOrder(
            Row.withSchema(schema)
                .addValues(
                    1243L,
                    new DateTime(2018, 9, 15, 12, 59, 59, ISOChronology.getInstanceUTC()),
                    ""string"")
                .build());

    pipeline.run().waitUntilFinish(Duration.standardMinutes(PIPELINE_EXECUTION_WAITTIME_MINUTES));
  }",False
5,testWithQueryPlannerClass(),Method,,,"org.apache.beam.sdk.Pipeline+apply(PTransform<? super PBegin,OutputT>) org.apache.beam.sdk.Pipeline+apply(PTransform<? super PBegin,OutputT>) org.apache.beam.sdk.extensions.sql.SqlTransform+withQueryPlannerClass(Class<? extends QueryPlanner>) org.apache.beam.sdk.extensions.sql.SqlTransform+query(String) org.apache.beam.sdk.extensions.sql.SqlTransform+query(String) org.apache.beam.sdk.extensions.sql.SqlTransform+withQueryPlannerClass(Class<? extends QueryPlanner>) org.apache.beam.sdk.schemas.Schema.Builder+build() org.apache.beam.sdk.schemas.Schema.Builder+addStringField(String) org.apache.beam.sdk.schemas.Schema.Builder+addDateTimeField(String) org.apache.beam.sdk.schemas.Schema.Builder+addInt64Field(String) org.apache.beam.sdk.schemas.Schema+builder() org.apache.beam.sdk.schemas.Schema+builder() org.apache.beam.sdk.schemas.Schema.Builder+addInt64Field(String) org.apache.beam.sdk.schemas.Schema.Builder+addDateTimeField(String) org.apache.beam.sdk.schemas.Schema.Builder+addStringField(String) org.apache.beam.sdk.schemas.Schema.Builder+build() org.apache.beam.sdk.testing.PAssert.IterableAssert+containsInAnyOrder(T[]) org.apache.beam.sdk.testing.PAssert+that(PCollection<T>) org.apache.beam.sdk.testing.PAssert+that(PCollection<T>) org.apache.beam.sdk.testing.PAssert.IterableAssert+containsInAnyOrder(T[]) org.apache.beam.sdk.values.Row.Builder+addValues(List<Object>) org.apache.beam.sdk.values.Row+withSchema(Schema) org.apache.beam.sdk.values.Row+withSchema(Schema) org.apache.beam.sdk.values.Row.Builder+addValues(List<Object>) java.lang.Object+Object() org.apache.beam.sdk.PipelineResult+waitUntilFinish(Duration) org.apache.beam.sdk.testing.TestPipeline+run() org.apache.beam.sdk.testing.TestPipeline+run() org.apache.beam.sdk.PipelineResult+waitUntilFinish(Duration)",org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLDialectSpecTest+pipeline org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLDialectSpecTest+pipeline org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLTestBase+PIPELINE_EXECUTION_WAITTIME_MINUTES,934,27,4885,117,1,,"@Test
  public void testWithQueryPlannerClass() {
    String sql =
        ""SELECT CAST (1243 as INT64), ""
            + ""CAST ('2018-09-15 12:59:59.000000+00' as TIMESTAMP), ""
            + ""CAST ('string' as STRING);"";

    PCollection<Row> stream =
        pipeline.apply(SqlTransform.query(sql).withQueryPlannerClass(ZetaSQLQueryPlanner.class));
    final Schema schema =
        Schema.builder()
            .addInt64Field(""field1"")
            .addDateTimeField(""field2"")
            .addStringField(""field3"")
            .build();

    PAssert.that(stream)
        .containsInAnyOrder(
            Row.withSchema(schema)
                .addValues(
                    1243L,
                    new DateTime(2018, 9, 15, 12, 59, 59, ISOChronology.getInstanceUTC()),
                    ""string"")
                .build());

    pipeline.run().waitUntilFinish(Duration.standardMinutes(PIPELINE_EXECUTION_WAITTIME_MINUTES));
  }",False
6,testPlannerNamePipelineOption(),Method,,,"org.apache.beam.sdk.options.PipelineOptions+as(Class<T>) org.apache.beam.sdk.testing.TestPipeline+getOptions() org.apache.beam.sdk.testing.TestPipeline+getOptions() org.apache.beam.sdk.options.PipelineOptions+as(Class<T>) org.apache.beam.sdk.Pipeline+apply(PTransform<? super PBegin,OutputT>) org.apache.beam.sdk.Pipeline+apply(PTransform<? super PBegin,OutputT>) org.apache.beam.sdk.extensions.sql.SqlTransform+query(String) org.apache.beam.sdk.extensions.sql.SqlTransform+query(String) org.apache.beam.sdk.schemas.Schema.Builder+build() org.apache.beam.sdk.schemas.Schema.Builder+addStringField(String) org.apache.beam.sdk.schemas.Schema.Builder+addDateTimeField(String) org.apache.beam.sdk.schemas.Schema.Builder+addInt64Field(String) org.apache.beam.sdk.schemas.Schema+builder() org.apache.beam.sdk.schemas.Schema+builder() org.apache.beam.sdk.schemas.Schema.Builder+addInt64Field(String) org.apache.beam.sdk.schemas.Schema.Builder+addDateTimeField(String) org.apache.beam.sdk.schemas.Schema.Builder+addStringField(String) org.apache.beam.sdk.schemas.Schema.Builder+build() org.apache.beam.sdk.testing.PAssert.IterableAssert+containsInAnyOrder(T[]) org.apache.beam.sdk.testing.PAssert+that(PCollection<T>) org.apache.beam.sdk.testing.PAssert+that(PCollection<T>) org.apache.beam.sdk.testing.PAssert.IterableAssert+containsInAnyOrder(T[]) org.apache.beam.sdk.values.Row.Builder+addValues(List<Object>) org.apache.beam.sdk.values.Row+withSchema(Schema) org.apache.beam.sdk.values.Row+withSchema(Schema) org.apache.beam.sdk.values.Row.Builder+addValues(List<Object>) java.lang.Object+Object() org.apache.beam.sdk.PipelineResult+waitUntilFinish(Duration) org.apache.beam.sdk.testing.TestPipeline+run() org.apache.beam.sdk.testing.TestPipeline+run() org.apache.beam.sdk.PipelineResult+waitUntilFinish(Duration)",org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLDialectSpecTest+pipeline org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLDialectSpecTest+pipeline org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLDialectSpecTest+pipeline org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLTestBase+PIPELINE_EXECUTION_WAITTIME_MINUTES,1050,31,5890,146,1,,"@Test
  public void testPlannerNamePipelineOption() {
    pipeline
        .getOptions()
        .as(BeamSqlPipelineOptions.class)
        .setPlannerName(""org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLQueryPlanner"");

    String sql =
        ""SELECT CAST (1243 as INT64), ""
            + ""CAST ('2018-09-15 12:59:59.000000+00' as TIMESTAMP), ""
            + ""CAST ('string' as STRING);"";

    PCollection<Row> stream = pipeline.apply(SqlTransform.query(sql));
    final Schema schema =
        Schema.builder()
            .addInt64Field(""field1"")
            .addDateTimeField(""field2"")
            .addStringField(""field3"")
            .build();

    PAssert.that(stream)
        .containsInAnyOrder(
            Row.withSchema(schema)
                .addValues(
                    1243L,
                    new DateTime(2018, 9, 15, 12, 59, 59, ISOChronology.getInstanceUTC()),
                    ""string"")
                .build());

    pipeline.run().waitUntilFinish(Duration.standardMinutes(PIPELINE_EXECUTION_WAITTIME_MINUTES));
  }",False
7,testByteLiterals(),Method,,,"org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLQueryPlanner+ZetaSQLQueryPlanner(FrameworkConfig) org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLQueryPlanner+convertToBeamRel(String) org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLQueryPlanner+convertToBeamRel(String) org.apache.beam.sdk.extensions.sql.impl.rel.BeamSqlRelUtils+toPCollection(Pipeline,BeamRelNode) org.apache.beam.sdk.extensions.sql.impl.rel.BeamSqlRelUtils+toPCollection(Pipeline,BeamRelNode) org.apache.beam.sdk.schemas.Schema.Builder+addNullableField(String,FieldType) org.apache.beam.sdk.schemas.Schema+builder() org.apache.beam.sdk.schemas.Schema+builder() org.apache.beam.sdk.schemas.Schema.Builder+addNullableField(String,FieldType) org.apache.beam.sdk.testing.PAssert.IterableAssert+containsInAnyOrder(T[]) org.apache.beam.sdk.testing.PAssert+that(PCollection<T>) org.apache.beam.sdk.testing.PAssert+that(PCollection<T>) org.apache.beam.sdk.testing.PAssert.IterableAssert+containsInAnyOrder(T[]) org.apache.beam.sdk.values.Row.Builder+addValues(List<Object>) org.apache.beam.sdk.values.Row+withSchema(Schema) org.apache.beam.sdk.values.Row+withSchema(Schema) org.apache.beam.sdk.values.Row.Builder+addValues(List<Object>) org.apache.beam.sdk.PipelineResult+waitUntilFinish(Duration) org.apache.beam.sdk.testing.TestPipeline+run() org.apache.beam.sdk.testing.TestPipeline+run() org.apache.beam.sdk.PipelineResult+waitUntilFinish(Duration)",org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLTestBase+config org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLDialectSpecTest+pipeline org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLDialectSpecTest+pipeline org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLTestBase+PIPELINE_EXECUTION_WAITTIME_MINUTES,663,16,6944,178,1,,"@Test
  public void testByteLiterals() {
    String sql = ""SELECT b'abc'"";

    byte[] byteString = new byte[] {'a', 'b', 'c'};

    ZetaSQLQueryPlanner zetaSQLQueryPlanner = new ZetaSQLQueryPlanner(config);
    BeamRelNode beamRelNode = zetaSQLQueryPlanner.convertToBeamRel(sql);
    PCollection<Row> stream = BeamSqlRelUtils.toPCollection(pipeline, beamRelNode);

    final Schema schema = Schema.builder().addNullableField(""ColA"", FieldType.BYTES).build();

    PAssert.that(stream).containsInAnyOrder(Row.withSchema(schema).addValues(byteString).build());

    pipeline.run().waitUntilFinish(Duration.standardMinutes(PIPELINE_EXECUTION_WAITTIME_MINUTES));
  }",False
8,testByteString(),Method,,,"org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLQueryPlanner+ZetaSQLQueryPlanner(FrameworkConfig) org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLQueryPlanner+convertToBeamRel(String,Map<String,Value>) org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLQueryPlanner+convertToBeamRel(String,Map<String,Value>) org.apache.beam.sdk.extensions.sql.impl.rel.BeamSqlRelUtils+toPCollection(Pipeline,BeamRelNode) org.apache.beam.sdk.extensions.sql.impl.rel.BeamSqlRelUtils+toPCollection(Pipeline,BeamRelNode) org.apache.beam.sdk.schemas.Schema.Builder+addNullableField(String,FieldType) org.apache.beam.sdk.schemas.Schema+builder() org.apache.beam.sdk.schemas.Schema+builder() org.apache.beam.sdk.schemas.Schema.Builder+addNullableField(String,FieldType) org.apache.beam.sdk.testing.PAssert.IterableAssert+containsInAnyOrder(T[]) org.apache.beam.sdk.testing.PAssert+that(PCollection<T>) org.apache.beam.sdk.testing.PAssert+that(PCollection<T>) org.apache.beam.sdk.testing.PAssert.IterableAssert+containsInAnyOrder(T[]) org.apache.beam.sdk.values.Row.Builder+addValues(List<Object>) org.apache.beam.sdk.values.Row+withSchema(Schema) org.apache.beam.sdk.values.Row+withSchema(Schema) org.apache.beam.sdk.values.Row.Builder+addValues(List<Object>) org.apache.beam.sdk.PipelineResult+waitUntilFinish(Duration) org.apache.beam.sdk.testing.TestPipeline+run() org.apache.beam.sdk.testing.TestPipeline+run() org.apache.beam.sdk.PipelineResult+waitUntilFinish(Duration)",org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLTestBase+config org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLDialectSpecTest+pipeline org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLDialectSpecTest+pipeline org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLTestBase+PIPELINE_EXECUTION_WAITTIME_MINUTES,838,19,7611,195,1,,"@Test
  public void testByteString() {
    String sql = ""SELECT @p0 IS NULL AS ColA"";

    ByteString byteString = ByteString.copyFrom(new byte[] {0x62});

    ImmutableMap<String, Value> params =
        ImmutableMap.<String, Value>builder().put(""p0"", Value.createBytesValue(byteString)).build();

    ZetaSQLQueryPlanner zetaSQLQueryPlanner = new ZetaSQLQueryPlanner(config);
    BeamRelNode beamRelNode = zetaSQLQueryPlanner.convertToBeamRel(sql, params);
    PCollection<Row> stream = BeamSqlRelUtils.toPCollection(pipeline, beamRelNode);

    final Schema schema = Schema.builder().addNullableField(""ColA"", FieldType.BOOLEAN).build();

    PAssert.that(stream).containsInAnyOrder(Row.withSchema(schema).addValues(false).build());

    pipeline.run().waitUntilFinish(Duration.standardMinutes(PIPELINE_EXECUTION_WAITTIME_MINUTES));
  }",False
9,testFloat(),Method,,,"org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLQueryPlanner+ZetaSQLQueryPlanner(FrameworkConfig) org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLQueryPlanner+convertToBeamRel(String) org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLQueryPlanner+convertToBeamRel(String) org.apache.beam.sdk.extensions.sql.impl.rel.BeamSqlRelUtils+toPCollection(Pipeline,BeamRelNode) org.apache.beam.sdk.extensions.sql.impl.rel.BeamSqlRelUtils+toPCollection(Pipeline,BeamRelNode) org.apache.beam.sdk.schemas.Schema.Builder+addNullableField(String,FieldType) org.apache.beam.sdk.schemas.Schema+builder() org.apache.beam.sdk.schemas.Schema+builder() org.apache.beam.sdk.schemas.Schema.Builder+addNullableField(String,FieldType) org.apache.beam.sdk.testing.PAssert.IterableAssert+containsInAnyOrder(T[]) org.apache.beam.sdk.testing.PAssert+that(PCollection<T>) org.apache.beam.sdk.testing.PAssert+that(PCollection<T>) org.apache.beam.sdk.testing.PAssert.IterableAssert+containsInAnyOrder(T[]) org.apache.beam.sdk.values.Row.Builder+addValues(List<Object>) org.apache.beam.sdk.values.Row+withSchema(Schema) org.apache.beam.sdk.values.Row+withSchema(Schema) org.apache.beam.sdk.values.Row.Builder+addValues(List<Object>) org.apache.beam.sdk.PipelineResult+waitUntilFinish(Duration) org.apache.beam.sdk.testing.TestPipeline+run() org.apache.beam.sdk.testing.TestPipeline+run() org.apache.beam.sdk.PipelineResult+waitUntilFinish(Duration)",org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLTestBase+config org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLDialectSpecTest+pipeline org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLDialectSpecTest+pipeline org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLTestBase+PIPELINE_EXECUTION_WAITTIME_MINUTES,594,14,8453,215,1,,"@Test
  public void testFloat() {
    String sql = ""SELECT 3.0"";

    ZetaSQLQueryPlanner zetaSQLQueryPlanner = new ZetaSQLQueryPlanner(config);
    BeamRelNode beamRelNode = zetaSQLQueryPlanner.convertToBeamRel(sql);
    PCollection<Row> stream = BeamSqlRelUtils.toPCollection(pipeline, beamRelNode);

    final Schema schema = Schema.builder().addNullableField(""ColA"", FieldType.DOUBLE).build();

    PAssert.that(stream).containsInAnyOrder(Row.withSchema(schema).addValues(3.0).build());

    pipeline.run().waitUntilFinish(Duration.standardMinutes(PIPELINE_EXECUTION_WAITTIME_MINUTES));
  }",False
10,testStringLiterals(),Method,,,"org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLQueryPlanner+ZetaSQLQueryPlanner(FrameworkConfig) org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLQueryPlanner+convertToBeamRel(String) org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLQueryPlanner+convertToBeamRel(String) org.apache.beam.sdk.extensions.sql.impl.rel.BeamSqlRelUtils+toPCollection(Pipeline,BeamRelNode) org.apache.beam.sdk.extensions.sql.impl.rel.BeamSqlRelUtils+toPCollection(Pipeline,BeamRelNode) org.apache.beam.sdk.schemas.Schema.Builder+addNullableField(String,FieldType) org.apache.beam.sdk.schemas.Schema+builder() org.apache.beam.sdk.schemas.Schema+builder() org.apache.beam.sdk.schemas.Schema.Builder+addNullableField(String,FieldType) org.apache.beam.sdk.testing.PAssert.IterableAssert+containsInAnyOrder(T[]) org.apache.beam.sdk.testing.PAssert+that(PCollection<T>) org.apache.beam.sdk.testing.PAssert+that(PCollection<T>) org.apache.beam.sdk.testing.PAssert.IterableAssert+containsInAnyOrder(T[]) org.apache.beam.sdk.values.Row.Builder+addValues(List<Object>) org.apache.beam.sdk.values.Row+withSchema(Schema) org.apache.beam.sdk.values.Row+withSchema(Schema) org.apache.beam.sdk.values.Row.Builder+addValues(List<Object>) org.apache.beam.sdk.PipelineResult+waitUntilFinish(Duration) org.apache.beam.sdk.testing.TestPipeline+run() org.apache.beam.sdk.testing.TestPipeline+run() org.apache.beam.sdk.PipelineResult+waitUntilFinish(Duration)",org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLTestBase+config org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLDialectSpecTest+pipeline org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLDialectSpecTest+pipeline org.apache.beam.sdk.extensions.sql.zetasql.ZetaSQLTestBase+PIPELINE_EXECUTION_WAITTIME_MINUTES,661,15,9051,230,1,,"@Test
  public void testStringLiterals() {
    String sql = ""SELECT '\""America/Los_Angeles\""\\n'"";

    ZetaSQLQueryPlanner zetaSQLQueryPlanner = new ZetaSQLQueryPlanner(config);
    BeamRelNode beamRelNode = zetaSQLQueryPlanner.convertToBeamRel(sql);
    PCollection<Row> stream = BeamSqlRelUtils.toPCollection(pipeline, beamRelNode);

    final Schema schema = Schema.builder().addNullableField(""ColA"", FieldType.STRING).build();

    PAssert.that(stream)
        .containsInAnyOrder(Row.withSchema(schema).addValues(""\""America/Los_Angeles\""\n"").build());

    pipeline.run().waitUntilFinish(Duration.standardMinutes(PIPELINE_EXECUTION_WAITTIME_MINUTES));
  }",False
