index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,annotation,full text,removed
1,CONFIG,Field,,,,,87,1,2060,47,26,,private static final NexmarkConfiguration CONFIG = NexmarkConfiguration.DEFAULT.copy();,False
2,p,Field,,,,,52,1,2329,55,1,,@Rule public TestPipeline p = TestPipeline.create();,False
3,"queryMatchesModel(String,NexmarkQueryTransform<T>,NexmarkQueryModel<T>,boolean)",Method,query0MatchesModelBatch() query0MatchesModelStreaming() query1MatchesModelBatch() query1MatchesModelStreaming() sqlQuery1MatchesModelBatch() sqlQuery1MatchesModelStreaming() query2MatchesModelBatch() query2MatchesModelStreaming() sqlQuery2MatchesModelBatch() sqlQuery2MatchesModelStreaming() query3MatchesModelBatch() query3MatchesModelStreaming() sqlQuery3MatchesModelBatch() sqlQuery3MatchesModelStreaming() query4MatchesModelBatch() query4MatchesModelStreaming() query5MatchesModelBatch() query5MatchesModelStreaming() sqlQuery5MatchesModelBatch() sqlQuery5MatchesModelStreaming() query6MatchesModelBatch() query6MatchesModelStreaming() query7MatchesModelBatch() query7MatchesModelStreaming() sqlQuery7MatchesModelBatch() sqlQuery7MatchesModelStreaming() query8MatchesModelBatch() query8MatchesModelStreaming() query9MatchesModelBatch() query9MatchesModelStreaming(),,"org.apache.beam.sdk.nexmark.NexmarkUtils+setupPipeline(CoderStrategy,Pipeline) org.apache.beam.sdk.nexmark.NexmarkUtils+setupPipeline(CoderStrategy,Pipeline) org.apache.beam.sdk.Pipeline+apply(String,PTransform<? super PBegin,OutputT>) org.apache.beam.sdk.Pipeline+apply(String,PTransform<? super PBegin,OutputT>) org.apache.beam.sdk.nexmark.NexmarkUtils+streamEventsSource(NexmarkConfiguration) org.apache.beam.sdk.nexmark.NexmarkUtils+streamEventsSource(NexmarkConfiguration) org.apache.beam.sdk.nexmark.NexmarkUtils+batchEventsSource(NexmarkConfiguration) org.apache.beam.sdk.nexmark.NexmarkUtils+batchEventsSource(NexmarkConfiguration) org.apache.beam.sdk.values.PCollection+apply(PTransform<? super PCollection<T>,OutputT>) org.apache.beam.sdk.values.PCollection+apply(PTransform<? super PCollection<T>,OutputT>) org.apache.beam.sdk.testing.PAssert.IterableAssert+satisfies(SerializableFunction<Iterable<T>,Void>) org.apache.beam.sdk.testing.PAssert+that(PCollection<T>) org.apache.beam.sdk.testing.PAssert+that(PCollection<T>) org.apache.beam.sdk.testing.PAssert.IterableAssert+satisfies(SerializableFunction<Iterable<T>,Void>) org.apache.beam.sdk.nexmark.queries.NexmarkQueryModel+assertionFor() org.apache.beam.sdk.nexmark.queries.NexmarkQueryModel+assertionFor() org.apache.beam.sdk.testing.TestPipeline+run() org.apache.beam.sdk.testing.TestPipeline+run() org.apache.beam.sdk.PipelineResult+waitUntilFinish() org.apache.beam.sdk.PipelineResult+waitUntilFinish()",org.apache.beam.sdk.nexmark.queries.QueryTest+p org.apache.beam.sdk.nexmark.queries.QueryTest+p org.apache.beam.sdk.nexmark.queries.QueryTest+CONFIG org.apache.beam.sdk.nexmark.queries.QueryTest+CONFIG org.apache.beam.sdk.nexmark.queries.QueryTest+CONFIG org.apache.beam.sdk.nexmark.queries.QueryTest+p,784,20,2385,58,2,"/** 
 * Test  {@code query} matches {@code model}. 
 */
","/** Test {@code query} matches {@code model}. */
  private <T extends KnownSize> void queryMatchesModel(
      String name,
      NexmarkQueryTransform<T> query,
      NexmarkQueryModel<T> model,
      boolean streamingMode) {
    NexmarkUtils.setupPipeline(NexmarkUtils.CoderStrategy.HAND, p);

    PCollection<Event> events =
        p.apply(
            name + "".Read"",
            streamingMode
                ? NexmarkUtils.streamEventsSource(CONFIG)
                : NexmarkUtils.batchEventsSource(CONFIG));
    PCollection<TimestampedValue<T>> results =
        (PCollection<TimestampedValue<T>>) events.apply(new NexmarkQuery<>(CONFIG, query));
    PAssert.that(results).satisfies(model.assertionFor());
    PipelineResult result = p.run();
    result.waitUntilFinish();
  }",False
4,query0MatchesModelBatch(),Method,,,"org.apache.beam.sdk.nexmark.queries.QueryTest+queryMatchesModel(String,NexmarkQueryTransform<T>,NexmarkQueryModel<T>,boolean) org.apache.beam.sdk.nexmark.queries.QueryTest+queryMatchesModel(String,NexmarkQueryTransform<T>,NexmarkQueryModel<T>,boolean) org.apache.beam.sdk.nexmark.queries.Query0+Query0() org.apache.beam.sdk.nexmark.queries.Query0Model+Query0Model(NexmarkConfiguration)",org.apache.beam.sdk.nexmark.queries.QueryTest+CONFIG,170,5,3173,80,1,,"@Test
  @Category(NeedsRunner.class)
  public void query0MatchesModelBatch() {
    queryMatchesModel(""Query0TestBatch"", new Query0(), new Query0Model(CONFIG), false);
  }",False
5,query0MatchesModelStreaming(),Method,,,"org.apache.beam.sdk.nexmark.queries.QueryTest+queryMatchesModel(String,NexmarkQueryTransform<T>,NexmarkQueryModel<T>,boolean) org.apache.beam.sdk.nexmark.queries.QueryTest+queryMatchesModel(String,NexmarkQueryTransform<T>,NexmarkQueryModel<T>,boolean) org.apache.beam.sdk.nexmark.queries.Query0+Query0() org.apache.beam.sdk.nexmark.queries.Query0Model+Query0Model(NexmarkConfiguration)",org.apache.beam.sdk.nexmark.queries.QueryTest+CONFIG,177,5,3347,86,1,,"@Test
  @Category(NeedsRunner.class)
  public void query0MatchesModelStreaming() {
    queryMatchesModel(""Query0TestStreaming"", new Query0(), new Query0Model(CONFIG), true);
  }",False
6,query1MatchesModelBatch(),Method,,,"org.apache.beam.sdk.nexmark.queries.QueryTest+queryMatchesModel(String,NexmarkQueryTransform<T>,NexmarkQueryModel<T>,boolean) org.apache.beam.sdk.nexmark.queries.QueryTest+queryMatchesModel(String,NexmarkQueryTransform<T>,NexmarkQueryModel<T>,boolean) org.apache.beam.sdk.nexmark.queries.Query1+Query1(NexmarkConfiguration) org.apache.beam.sdk.nexmark.queries.Query1Model+Query1Model(NexmarkConfiguration)",org.apache.beam.sdk.nexmark.queries.QueryTest+CONFIG org.apache.beam.sdk.nexmark.queries.QueryTest+CONFIG,176,5,3528,92,1,,"@Test
  @Category(NeedsRunner.class)
  public void query1MatchesModelBatch() {
    queryMatchesModel(""Query1TestBatch"", new Query1(CONFIG), new Query1Model(CONFIG), false);
  }",False
7,query1MatchesModelStreaming(),Method,,,"org.apache.beam.sdk.nexmark.queries.QueryTest+queryMatchesModel(String,NexmarkQueryTransform<T>,NexmarkQueryModel<T>,boolean) org.apache.beam.sdk.nexmark.queries.QueryTest+queryMatchesModel(String,NexmarkQueryTransform<T>,NexmarkQueryModel<T>,boolean) org.apache.beam.sdk.nexmark.queries.Query1+Query1(NexmarkConfiguration) org.apache.beam.sdk.nexmark.queries.Query1Model+Query1Model(NexmarkConfiguration)",org.apache.beam.sdk.nexmark.queries.QueryTest+CONFIG org.apache.beam.sdk.nexmark.queries.QueryTest+CONFIG,183,5,3708,98,1,,"@Test
  @Category(NeedsRunner.class)
  public void query1MatchesModelStreaming() {
    queryMatchesModel(""Query1TestStreaming"", new Query1(CONFIG), new Query1Model(CONFIG), true);
  }",False
8,sqlQuery1MatchesModelBatch(),Method,,,"org.apache.beam.sdk.nexmark.queries.QueryTest+queryMatchesModel(String,NexmarkQueryTransform<T>,NexmarkQueryModel<T>,boolean) org.apache.beam.sdk.nexmark.queries.QueryTest+queryMatchesModel(String,NexmarkQueryTransform<T>,NexmarkQueryModel<T>,boolean) org.apache.beam.sdk.nexmark.queries.sql.SqlQuery1+SqlQuery1() org.apache.beam.sdk.nexmark.queries.Query1Model+Query1Model(NexmarkConfiguration)",org.apache.beam.sdk.nexmark.queries.QueryTest+CONFIG,179,5,3895,104,1,,"@Test
  @Category(NeedsRunner.class)
  public void sqlQuery1MatchesModelBatch() {
    queryMatchesModel(""SqlQuery1TestBatch"", new SqlQuery1(), new Query1Model(CONFIG), false);
  }",True
9,sqlQuery1MatchesModelStreaming(),Method,,,"org.apache.beam.sdk.nexmark.queries.QueryTest+queryMatchesModel(String,NexmarkQueryTransform<T>,NexmarkQueryModel<T>,boolean) org.apache.beam.sdk.nexmark.queries.QueryTest+queryMatchesModel(String,NexmarkQueryTransform<T>,NexmarkQueryModel<T>,boolean) org.apache.beam.sdk.nexmark.queries.sql.SqlQuery1+SqlQuery1() org.apache.beam.sdk.nexmark.queries.Query1Model+Query1Model(NexmarkConfiguration)",org.apache.beam.sdk.nexmark.queries.QueryTest+CONFIG,186,5,4078,110,1,,"@Test
  @Category(NeedsRunner.class)
  public void sqlQuery1MatchesModelStreaming() {
    queryMatchesModel(""SqlQuery1TestStreaming"", new SqlQuery1(), new Query1Model(CONFIG), true);
  }",True
10,query2MatchesModelBatch(),Method,,,"org.apache.beam.sdk.nexmark.queries.QueryTest+queryMatchesModel(String,NexmarkQueryTransform<T>,NexmarkQueryModel<T>,boolean) org.apache.beam.sdk.nexmark.queries.QueryTest+queryMatchesModel(String,NexmarkQueryTransform<T>,NexmarkQueryModel<T>,boolean) org.apache.beam.sdk.nexmark.queries.Query2+Query2(NexmarkConfiguration) org.apache.beam.sdk.nexmark.queries.Query2Model+Query2Model(NexmarkConfiguration)",org.apache.beam.sdk.nexmark.queries.QueryTest+CONFIG org.apache.beam.sdk.nexmark.queries.QueryTest+CONFIG,176,5,4268,116,1,,"@Test
  @Category(NeedsRunner.class)
  public void query2MatchesModelBatch() {
    queryMatchesModel(""Query2TestBatch"", new Query2(CONFIG), new Query2Model(CONFIG), false);
  }",False
11,query2MatchesModelStreaming(),Method,,,"org.apache.beam.sdk.nexmark.queries.QueryTest+queryMatchesModel(String,NexmarkQueryTransform<T>,NexmarkQueryModel<T>,boolean) org.apache.beam.sdk.nexmark.queries.QueryTest+queryMatchesModel(String,NexmarkQueryTransform<T>,NexmarkQueryModel<T>,boolean) org.apache.beam.sdk.nexmark.queries.Query2+Query2(NexmarkConfiguration) org.apache.beam.sdk.nexmark.queries.Query2Model+Query2Model(NexmarkConfiguration)",org.apache.beam.sdk.nexmark.queries.QueryTest+CONFIG org.apache.beam.sdk.nexmark.queries.QueryTest+CONFIG,183,5,4448,122,1,,"@Test
  @Category(NeedsRunner.class)
  public void query2MatchesModelStreaming() {
    queryMatchesModel(""Query2TestStreaming"", new Query2(CONFIG), new Query2Model(CONFIG), true);
  }",False
