index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,commit,full text,moved,removed
1,provider,Field,"JaninoRelMetadataProvider(RelMetadataProvider) equals(Object)""","""","""","""",43,1,2463,59,18,,private final RelMetadataProvider provider;,False,False
2,DEFAULT,Field,"""","""","""","""",128,2,2544,63,25,,"public static final JaninoRelMetadataProvider DEFAULT =
      JaninoRelMetadataProvider.of(DefaultRelMetadataProvider.INSTANCE);",False,False
3,HANDLERS,Field,"""","""","""","""",538,10,2677,70,26,"/** 
 * Cache of pre-generated handlers by provider and kind of metadata. For the cache to be effective, providers should implement identity correctly. 
 */
","/** Cache of pre-generated handlers by provider and kind of metadata.
   * For the cache to be effective, providers should implement identity
   * correctly. */
  private static final LoadingCache<Key, MetadataHandler<?>> HANDLERS =
      maxSize(CacheBuilder.newBuilder(),
          CalciteSystemProperty.METADATA_HANDLER_CACHE_MAXIMUM_SIZE.value())
          .build(
              CacheLoader.from(key ->
                  generateCompileAndInstantiate(key.handlerClass,
                      key.provider.handlers(key.handlerClass))));",False,False
4,JaninoRelMetadataProvider(RelMetadataProvider),Method,"""","""","""","org.apache.calcite.rel.metadata.JaninoRelMetadataProvider+provider org.apache.calcite.rel.metadata.JaninoRelMetadataProvider+provider""",146,4,3219,78,2,"/** 
 * Private constructor; use  {@link #of}. 
 */
","/** Private constructor; use {@link #of}. */
  private JaninoRelMetadataProvider(RelMetadataProvider provider) {
    this.provider = provider;
  }",False,False
5,of(RelMetadataProvider),Method,"""","org.apache.calcite.plan.RelOptCluster+setMetadataProvider(RelMetadataProvider)""","org.apache.calcite.rel.metadata.JaninoRelMetadataProvider+JaninoRelMetadataProvider(RelMetadataProvider)""","""",339,10,3369,87,9,"/** 
 * Creates a JaninoRelMetadataProvider.
 * @param provider Underlying provider
 */
","/** Creates a JaninoRelMetadataProvider.
   *
   * @param provider Underlying provider
   */
  public static JaninoRelMetadataProvider of(RelMetadataProvider provider) {
    if (provider instanceof JaninoRelMetadataProvider) {
      return (JaninoRelMetadataProvider) provider;
    }
    return new JaninoRelMetadataProvider(provider);
  }",False,False
6,"maxSize(CacheBuilder<K,V>,int)",Method,"""","""","""","""",178,7,3743,95,10,,"private static <K, V> CacheBuilder<K, V> maxSize(CacheBuilder<K, V> builder,
      int size) {
    if (size >= 0) {
      builder.maximumSize(size);
    }
    return builder;
  }",False,False
7,equals(Object),Method,"""","""","java.lang.Object+equals(Object) java.lang.Object+equals(Object)""","org.apache.calcite.rel.metadata.JaninoRelMetadataProvider+provider org.apache.calcite.rel.metadata.JaninoRelMetadataProvider+provider org.apache.calcite.rel.metadata.JaninoRelMetadataProvider+provider""",206,5,3925,103,1,,"@Override public boolean equals(@Nullable Object obj) {
    return obj == this
        || obj instanceof JaninoRelMetadataProvider
        && ((JaninoRelMetadataProvider) obj).provider.equals(provider);
  }",False,False
8,hashCode(),Method,"""","""","java.lang.Object+hashCode() java.lang.Object+hashCode()""","org.apache.calcite.rel.metadata.JaninoRelMetadataProvider+provider""",75,3,4135,109,1,,"@Override public int hashCode() {
    return 109 + provider.hashCode();
  }",False,False
9,"apply(Class<? extends RelNode>,Class<? extends M>)",Method,"""","""","java.lang.UnsupportedOperationException+UnsupportedOperationException()""","""",253,5,4214,114,1,,"@Deprecated // to be removed before 2.0
  @Override public <@Nullable M extends @Nullable Metadata> UnboundMetadata<M> apply(
      Class<? extends RelNode> relClass, Class<? extends M> metadataClass) {
    throw new UnsupportedOperationException();
  }",False,False
10,handlers(MetadataDef<M>),Method,"""","""","org.apache.calcite.rel.metadata.RelMetadataProvider+handlers(MetadataDef<M>) org.apache.calcite.rel.metadata.RelMetadataProvider+handlers(MetadataDef<M>)""","org.apache.calcite.rel.metadata.JaninoRelMetadataProvider+provider""",192,5,4471,120,1,,"@Deprecated // to be removed before 2.0
  @Override public <M extends Metadata> Multimap<Method, MetadataHandler<M>>
      handlers(MetadataDef<M> def) {
    return provider.handlers(def);
  }",False,False
