index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,commit,full text,moved,removed
1,Expected1806,Field,"""","""","""","""",25,1,1782,48,2,,private enum Expected1806,False,False
2,"Expected1806(TimeZone,String,String,String,boolean)",Method,"""","""","""","""",312,7,2116,59,0,,"Expected1806(final TimeZone zone, final String one, final String two, final String three, final boolean hasHalfHourOffset) {
            this.zone = zone;
            this.one = one;
            this.two = two;
            this.three = three;
            this.offset = hasHalfHourOffset ?30*60*1000 :0;
        }",False,False
3,SHORT_FORMAT_NOERA,Field,"""","""","""","""",67,1,2439,67,26,,"private static final String SHORT_FORMAT_NOERA = ""y/M/d/h/a/m/s/E"";",False,False
4,LONG_FORMAT_NOERA,Field,"""","""","""","""",88,1,2511,68,26,,"private static final String LONG_FORMAT_NOERA = ""yyyy/MMMM/dddd/hhhh/mmmm/ss/aaaa/EEEE"";",False,False
5,SHORT_FORMAT,Field,"""","""","""","""",69,1,2604,69,26,,"private static final String SHORT_FORMAT = ""G/"" + SHORT_FORMAT_NOERA;",False,False
6,LONG_FORMAT,Field,"""","""","""","""",70,1,2679,71,26,,"private static final String LONG_FORMAT = ""GGGG/"" + LONG_FORMAT_NOERA;",False,False
7,yMdHmsSZ,Field,"""","""","""","""",69,1,2754,72,26,,"private static final String yMdHmsSZ = ""yyyy-MM-dd'T'HH:mm:ss.SSS Z"";",False,False
8,DMY_DOT,Field,"""","""","""","""",51,1,2828,73,26,,"private static final String DMY_DOT = ""dd.MM.yyyy"";",False,False
9,YMD_SLASH,Field,"""","""","""","""",53,1,2884,74,26,,"private static final String YMD_SLASH = ""yyyy/MM/dd"";",False,False
10,MDY_DASH,Field,"""","""","""","""",52,1,2942,75,26,,"private static final String MDY_DASH = ""MM-DD-yyyy"";",False,False
11,MDY_SLASH,Field,"""","""","""","""",53,1,3000,77,26,,"private static final String MDY_SLASH = ""MM/DD/yyyy"";",False,False
12,REYKJAVIK,Field,"""","""","""","""",85,1,3058,78,26,,"private static final TimeZone REYKJAVIK = TimeZone.getTimeZone(""Atlantic/Reykjavik"");",False,False
13,NEW_YORK,Field,"""","""","""","""",82,1,3148,79,26,,"private static final TimeZone NEW_YORK = TimeZone.getTimeZone(""America/New_York"");",False,False
14,GMT,Field,"""","""","""","""",64,1,3235,80,26,,"private static final TimeZone GMT = TimeZone.getTimeZone(""GMT"");",False,False
15,INDIA,Field,"""","""","""","""",76,1,3305,82,26,,"private static final TimeZone INDIA = TimeZone.getTimeZone(""Asia/Calcutta"");",False,False
16,SWEDEN,Field,"""","""","""","""",60,1,3387,84,26,,"private static final Locale SWEDEN = new Locale(""sv"", ""SE"");",False,False
17,initializeCalendar(TimeZone),Method,"test1806()""","""","java.util.Calendar+getInstance(TimeZone) java.util.Calendar+getInstance(TimeZone) java.util.Calendar+set(int,int) java.util.Calendar+set(int,int) java.util.Calendar+set(int,int) java.util.Calendar+set(int,int) java.util.Calendar+set(int,int) java.util.Calendar+set(int,int) java.util.Calendar+set(int,int) java.util.Calendar+set(int,int) java.util.Calendar+set(int,int) java.util.Calendar+set(int,int) java.util.Calendar+set(int,int) java.util.Calendar+set(int,int) java.util.Calendar+set(int,int) java.util.Calendar+set(int,int)""","java.util.Calendar+YEAR java.util.Calendar+MONTH java.util.Calendar+DAY_OF_MONTH java.util.Calendar+HOUR_OF_DAY java.util.Calendar+MINUTE java.util.Calendar+SECOND java.util.Calendar+MILLISECOND""",447,11,3453,86,10,,"private static Calendar initializeCalendar(final TimeZone tz) {
        final Calendar cal = Calendar.getInstance(tz);
        cal.set(Calendar.YEAR, 2001);
        cal.set(Calendar.MONTH, 1); // not daylight savings
        cal.set(Calendar.DAY_OF_MONTH, 4);
        cal.set(Calendar.HOUR_OF_DAY, 12);
        cal.set(Calendar.MINUTE, 8);
        cal.set(Calendar.SECOND, 56);
        cal.set(Calendar.MILLISECOND, 235);
        return cal;
    }",False,False
18,"checkParse(Locale,Calendar,SimpleDateFormat,DateParser)",Method,"testJpLocales() testLocales(String,boolean)""","""","java.text.DateFormat+format(Date) java.text.DateFormat+format(Date) java.util.Calendar+getTime() java.util.Calendar+getTime() org.apache.commons.lang3.time.FastDateParserTest+checkParse(Locale,SimpleDateFormat,DateParser,String) org.apache.commons.lang3.time.FastDateParserTest+checkParse(Locale,SimpleDateFormat,DateParser,String) org.apache.commons.lang3.time.FastDateParserTest+checkParse(Locale,SimpleDateFormat,DateParser,String) org.apache.commons.lang3.time.FastDateParserTest+checkParse(Locale,SimpleDateFormat,DateParser,String) java.lang.String+toLowerCase(Locale) java.lang.String+toLowerCase(Locale) org.apache.commons.lang3.time.FastDateParserTest+checkParse(Locale,SimpleDateFormat,DateParser,String) org.apache.commons.lang3.time.FastDateParserTest+checkParse(Locale,SimpleDateFormat,DateParser,String) java.lang.String+toUpperCase(Locale) java.lang.String+toUpperCase(Locale)""","""",406,6,3906,98,2,,"private void checkParse(final Locale locale, final Calendar cal, final SimpleDateFormat sdf, final DateParser fdf) throws ParseException {
        final String formattedDate= sdf.format(cal.getTime());
        checkParse(locale, sdf, fdf, formattedDate);
        checkParse(locale, sdf, fdf, formattedDate.toLowerCase(locale));
        checkParse(locale, sdf, fdf, formattedDate.toUpperCase(locale));
    }",False,False
19,"checkParse(Locale,SimpleDateFormat,DateParser,String)",Method,"checkParse(Locale,Calendar,SimpleDateFormat,DateParser) checkParse(Locale,Calendar,SimpleDateFormat,DateParser) checkParse(Locale,Calendar,SimpleDateFormat,DateParser)""","""","java.text.DateFormat+parse(String) java.text.DateFormat+parse(String) org.apache.commons.lang3.time.DateParser+parse(String) org.apache.commons.lang3.time.DateParser+parse(String)""","""",559,9,4318,105,2,,"private void checkParse(final Locale locale, final SimpleDateFormat sdf, final DateParser fdf, final String formattedDate) throws ParseException {
        try {
            final Date expectedTime = sdf.parse(formattedDate);
            final Date actualTime = fdf.parse(formattedDate);
            assertEquals(expectedTime, actualTime, ""locale : "" + locale + "" formattedDate : "" + formattedDate + ""\n"");
        } catch (Exception e) {
            fail(""locale : "" + locale + "" formattedDate : "" + formattedDate + "" error : "" + e + ""\n"", e);
        }
    }",False,False
