index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,commit,full text,moved,removed
1,defaults,Field,"""","""","""","""",76,2,1368,38,1,,"@Rule
    public SystemDefaultsSwitch defaults = new SystemDefaultsSwitch();",False,False
2,BAR,Field,"""","""","""","""",40,1,1450,40,26,,"private static final String BAR = ""bar"";",False,False
3,CharU20000,Field,"""","""","""","""",198,5,1495,45,26,"/** 
 * Supplementary character U+20000 See http://www.oracle.com/technetwork/articles/javase/supplementary-142654.html
 */
","/**
     * Supplementary character U+20000
     * See http://www.oracle.com/technetwork/articles/javase/supplementary-142654.html
     */
    private static final String CharU20000 = ""\uD840\uDC00"";",False,False
4,CharU20001,Field,"""","""","""","""",198,5,1698,50,26,"/** 
 * Supplementary character U+20001 See http://www.oracle.com/technetwork/articles/javase/supplementary-142654.html
 */
","/**
     * Supplementary character U+20001
     * See http://www.oracle.com/technetwork/articles/javase/supplementary-142654.html
     */
    private static final String CharU20001 = ""\uD840\uDC01"";",False,False
5,CharUSuppCharHigh,Field,"""","""","""","""",232,5,1901,55,26,"/** 
 * Incomplete supplementary character U+20000, high surrogate only. See http://www.oracle.com/technetwork/articles/javase/supplementary-142654.html
 */
","/**
     * Incomplete supplementary character U+20000, high surrogate only.
     * See http://www.oracle.com/technetwork/articles/javase/supplementary-142654.html
     */
    private static final String CharUSuppCharHigh = ""\uDC00"";",True,True
6,CharUSuppCharLow,Field,"""","""","""","""",230,5,2139,61,26,"/** 
 * Incomplete supplementary character U+20000, low surrogate only. See http://www.oracle.com/technetwork/articles/javase/supplementary-142654.html
 */
","/**
     * Incomplete supplementary character U+20000, low surrogate only.
     * See http://www.oracle.com/technetwork/articles/javase/supplementary-142654.html
     */
    private static final String CharUSuppCharLow = ""\uD840"";",True,True
7,FOO,Field,"""","""","""","""",40,1,2375,63,26,,"private static final String FOO = ""foo"";",False,False
8,FOOBAR,Field,"""","""","""","""",46,1,2421,65,26,,"private static final String FOOBAR = ""foobar"";",False,False
9,FOOBAR_SUB_ARRAY,Field,"""","""","""","""",75,1,2473,67,26,,"private static final String[] FOOBAR_SUB_ARRAY = new String[] {""ob"", ""ba""};",False,False
10,testContains_Char(),Method,"""","""","org.apache.commons.lang3.StringUtils+contains(CharSequence,int) org.apache.commons.lang3.StringUtils+contains(CharSequence,int) org.apache.commons.lang3.StringUtils+contains(CharSequence,int) org.apache.commons.lang3.StringUtils+contains(CharSequence,int) org.apache.commons.lang3.StringUtils+contains(CharSequence,CharSequence) org.apache.commons.lang3.StringUtils+contains(CharSequence,CharSequence) org.apache.commons.lang3.StringUtils+contains(CharSequence,CharSequence) org.apache.commons.lang3.StringUtils+contains(CharSequence,CharSequence) org.apache.commons.lang3.StringUtils+contains(CharSequence,int) org.apache.commons.lang3.StringUtils+contains(CharSequence,int) org.apache.commons.lang3.StringUtils+contains(CharSequence,int) org.apache.commons.lang3.StringUtils+contains(CharSequence,int) org.apache.commons.lang3.StringUtils+contains(CharSequence,int) org.apache.commons.lang3.StringUtils+contains(CharSequence,int) org.apache.commons.lang3.StringUtils+contains(CharSequence,int) org.apache.commons.lang3.StringUtils+contains(CharSequence,int)""","""",480,11,2554,70,1,,"@Test
    public void testContains_Char() {
        assertFalse(StringUtils.contains(null, ' '));
        assertFalse(StringUtils.contains("""", ' '));
        assertFalse(StringUtils.contains("""", null));
        assertFalse(StringUtils.contains(null, null));
        assertTrue(StringUtils.contains(""abc"", 'a'));
        assertTrue(StringUtils.contains(""abc"", 'b'));
        assertTrue(StringUtils.contains(""abc"", 'c'));
        assertFalse(StringUtils.contains(""abc"", 'z'));
    }",True,True
11,testContains_String(),Method,"""","""","org.apache.commons.lang3.StringUtils+contains(CharSequence,CharSequence) org.apache.commons.lang3.StringUtils+contains(CharSequence,CharSequence) org.apache.commons.lang3.StringUtils+contains(CharSequence,CharSequence) org.apache.commons.lang3.StringUtils+contains(CharSequence,CharSequence) org.apache.commons.lang3.StringUtils+contains(CharSequence,CharSequence) org.apache.commons.lang3.StringUtils+contains(CharSequence,CharSequence) org.apache.commons.lang3.StringUtils+contains(CharSequence,CharSequence) org.apache.commons.lang3.StringUtils+contains(CharSequence,CharSequence) org.apache.commons.lang3.StringUtils+contains(CharSequence,CharSequence) org.apache.commons.lang3.StringUtils+contains(CharSequence,CharSequence) org.apache.commons.lang3.StringUtils+contains(CharSequence,CharSequence) org.apache.commons.lang3.StringUtils+contains(CharSequence,CharSequence) org.apache.commons.lang3.StringUtils+contains(CharSequence,CharSequence) org.apache.commons.lang3.StringUtils+contains(CharSequence,CharSequence) org.apache.commons.lang3.StringUtils+contains(CharSequence,CharSequence) org.apache.commons.lang3.StringUtils+contains(CharSequence,CharSequence) org.apache.commons.lang3.StringUtils+contains(CharSequence,CharSequence) org.apache.commons.lang3.StringUtils+contains(CharSequence,CharSequence) org.apache.commons.lang3.StringUtils+contains(CharSequence,CharSequence) org.apache.commons.lang3.StringUtils+contains(CharSequence,CharSequence) org.apache.commons.lang3.StringUtils+contains(CharSequence,CharSequence) org.apache.commons.lang3.StringUtils+contains(CharSequence,CharSequence)""","""",641,14,3040,82,1,,"@Test
    public void testContains_String() {
        assertFalse(StringUtils.contains(null, null));
        assertFalse(StringUtils.contains(null, """"));
        assertFalse(StringUtils.contains(null, ""a""));
        assertFalse(StringUtils.contains("""", null));
        assertTrue(StringUtils.contains("""", """"));
        assertFalse(StringUtils.contains("""", ""a""));
        assertTrue(StringUtils.contains(""abc"", ""a""));
        assertTrue(StringUtils.contains(""abc"", ""b""));
        assertTrue(StringUtils.contains(""abc"", ""c""));
        assertTrue(StringUtils.contains(""abc"", ""abc""));
        assertFalse(StringUtils.contains(""abc"", ""z""));
    }",True,True
