index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,annotation,full text,removed
1,initialCreateLatch,Field,,,,,126,1,2316,58,18,,private final AtomicReference<CountDownLatch> initialCreateLatch = new AtomicReference<CountDownLatch>(new CountDownLatch(1));,True
2,log,Field,,,,,63,1,2447,59,18,,private final Logger log = LoggerFactory.getLogger(getClass());,True
3,client,Field,"PersistentEphemeralNode(CuratorFramework,Mode,String,byte[])",,,,38,1,2515,60,18,,private final CuratorFramework client;,True
4,createMethod,Field,,,,,80,1,2558,61,18,,private final CreateModable<ACLBackgroundPathAndBytesable<String>> createMethod;,True
5,nodePath,Field,,,,,83,1,2643,62,18,,private final AtomicReference<String> nodePath = new AtomicReference<String>(null);,True
6,basePath,Field,"PersistentEphemeralNode(CuratorFramework,Mode,String,byte[])",,,,30,1,2731,63,18,,private final String basePath;,True
7,mode,Field,"PersistentEphemeralNode(CuratorFramework,Mode,String,byte[])",,,,24,1,2766,64,18,,private final Mode mode;,True
8,data,Field,setData(byte[]) getData(),,,,75,1,2795,65,18,,private final AtomicReference<byte[]> data = new AtomicReference<byte[]>();,True
9,state,Field,,,,,86,1,2875,66,18,,private final AtomicReference<State> state = new AtomicReference<State>(State.LATENT);,True
10,authFailure,Field,,,,,67,1,2966,67,18,,private final AtomicBoolean authFailure = new AtomicBoolean(false);,True
11,backgroundCallback,Field,,,,,52,1,3038,68,18,,private final BackgroundCallback backgroundCallback;,True
12,watcher,Field,,,,,420,15,3095,69,18,,"private final CuratorWatcher watcher = new CuratorWatcher()
    {
        @Override
        public void process(WatchedEvent event) throws Exception
        {
            if ( event.getType() == EventType.NodeDeleted )
            {
                createNode();
            }
            else if ( event.getType() == EventType.NodeDataChanged )
            {
                watchNode();
            }
        }
    };
",True
13,checkExistsCallback,Field,,,,,368,11,3519,84,18,,"private final BackgroundCallback checkExistsCallback = new BackgroundCallback()
    {
        @Override
        public void processResult(CuratorFramework client, CuratorEvent event) throws Exception
        {
            if ( event.getResultCode() == KeeperException.Code.NONODE.intValue() )
            {
                createNode();
            }
        }
    };
",True
14,setDataCallback,Field,,,,,747,17,3891,95,18,,"private final BackgroundCallback setDataCallback = new BackgroundCallback()
    {

        @Override
        public void processResult(CuratorFramework client, CuratorEvent event)
            throws Exception
        {
            //If the result is ok then initialisation is complete (if we're still initialising)
            //Don't retry on other errors as the only recoverable cases will be connection loss
            //and the node not existing, both of which are already handled by other watches.
            if ( event.getResultCode() == KeeperException.Code.OK.intValue() )
            {
                //Update is ok, mark initialisation as complete if required.
                initialisationComplete();
            }
        }
    };
",True
15,connectionStateListener,Field,,,,,347,11,4642,112,18,,"private final ConnectionStateListener connectionStateListener = new ConnectionStateListener()
    {
        @Override
        public void stateChanged(CuratorFramework client, ConnectionState newState)
        {
            if ( newState == ConnectionState.RECONNECTED )
            {
                createNode();
            }
        }
    };

",True
16,State,Field,,,,,18,1,4993,124,2,,private enum State,False
17,Mode,Field,,,,,66,4,5077,134,1,"/** 
 * The mode for node creation
 */
","/**
     * The mode for node creation
     */
    public enum Mode",False
18,EPHEMERAL(),Method,,,,,97,5,5158,139,0,"/** 
 * Same as  {@link CreateMode#EPHEMERAL}
 */
","/**
         * Same as {@link CreateMode#EPHEMERAL}
         */
        EPHEMERAL()
            {",False
19,getCreateMode(boolean),Method,,,,,164,5,5272,142,4,,"@Override
                protected CreateMode getCreateMode(boolean pathIsSet)
                {
                    return CreateMode.EPHEMERAL;
                }",False
20,isProtected(),Method,,,,,127,5,5454,148,4,,"@Override
                protected boolean isProtected()
                {
                    return false;
                }",False
21,EPHEMERAL_SEQUENTIAL(),Method,,,,,119,5,5606,157,0,"/** 
 * Same as  {@link CreateMode#EPHEMERAL_SEQUENTIAL}
 */
","/**
         * Same as {@link CreateMode#EPHEMERAL_SEQUENTIAL}
         */
        EPHEMERAL_SEQUENTIAL()
            {",False
22,getCreateMode(boolean),Method,,,,,210,5,5742,160,4,,"@Override
                protected CreateMode getCreateMode(boolean pathIsSet)
                {
                    return pathIsSet ? CreateMode.EPHEMERAL : CreateMode.EPHEMERAL_SEQUENTIAL;
                }",False
23,isProtected(),Method,,,,,127,5,5970,166,4,,"@Override
                protected boolean isProtected()
                {
                    return false;
                }",False
24,PROTECTED_EPHEMERAL(),Method,,,,,123,5,6122,175,0,"/** 
 * Same as  {@link CreateMode#EPHEMERAL} with protection
 */
","/**
         * Same as {@link CreateMode#EPHEMERAL} with protection
         */
        PROTECTED_EPHEMERAL()
            {",False
25,getCreateMode(boolean),Method,,,,,164,5,6262,178,4,,"@Override
                protected CreateMode getCreateMode(boolean pathIsSet)
                {
                    return CreateMode.EPHEMERAL;
                }",False
26,isProtected(),Method,,,,,126,5,6444,184,4,,"@Override
                protected boolean isProtected()
                {
                    return true;
                }",False
27,PROTECTED_EPHEMERAL_SEQUENTIAL(),Method,,,,,145,5,6595,193,0,"/** 
 * Same as  {@link CreateMode#EPHEMERAL_SEQUENTIAL} with protection
 */
","/**
         * Same as {@link CreateMode#EPHEMERAL_SEQUENTIAL} with protection
         */
        PROTECTED_EPHEMERAL_SEQUENTIAL()
            {",False
28,getCreateMode(boolean),Method,,,,,210,5,6757,196,4,,"@Override
                protected CreateMode getCreateMode(boolean pathIsSet)
                {
                    return pathIsSet ? CreateMode.EPHEMERAL : CreateMode.EPHEMERAL_SEQUENTIAL;
                }",False
29,isProtected(),Method,,,,,126,5,6985,202,4,,"@Override
                protected boolean isProtected()
                {
                    return true;
                }",False
30,getCreateMode(boolean),Method,,,,,63,1,7136,208,1028,,protected abstract CreateMode getCreateMode(boolean pathIsSet);,False
31,isProtected(),Method,,,,,41,1,7209,210,1028,,protected abstract boolean isProtected();,False
32,"PersistentEphemeralNode(CuratorFramework,Mode,String,byte[])",Method,,,"org.apache.curator.utils.PathUtils+validatePath(String) org.apache.curator.utils.PathUtils+validatePath(String) +() +processResult(CuratorFramework,CuratorEvent)",org.apache.curator.framework.recipes.nodes.PersistentEphemeralNode+client org.apache.curator.framework.recipes.nodes.PersistentEphemeralNode+client org.apache.curator.framework.recipes.nodes.PersistentEphemeralNode+basePath org.apache.curator.framework.recipes.nodes.PersistentEphemeralNode+basePath org.apache.curator.framework.recipes.nodes.PersistentEphemeralNode+mode org.apache.curator.framework.recipes.nodes.PersistentEphemeralNode+mode org.apache.curator.framework.recipes.nodes.PersistentEphemeralNode+backgroundCallback,2434,60,7262,219,1,"/** 
 * @param client   client instance
 * @param mode     creation/protection mode
 * @param basePath the base path for the node
 * @param initData     data for the node
 */
","/**
     * @param client   client instance
     * @param mode     creation/protection mode
     * @param basePath the base path for the node
     * @param initData     data for the node
     */
    public PersistentEphemeralNode(CuratorFramework client, Mode mode, String basePath, byte[] initData)
    {
        this.client = Preconditions.checkNotNull(client, ""client cannot be null"");
        this.basePath = PathUtils.validatePath(basePath);
        this.mode = Preconditions.checkNotNull(mode, ""mode cannot be null"");
        final byte[] data = Preconditions.checkNotNull(initData, ""data cannot be null"");

        backgroundCallback = new BackgroundCallback()
        {
            @Override
            public void processResult(CuratorFramework client, CuratorEvent event) throws Exception
            {
                String path = null;
                boolean nodeExists = false;
                if ( event.getResultCode() == KeeperException.Code.NODEEXISTS.intValue() )
                {
                    path = event.getPath();
                    nodeExists = true;
                }
                else if ( event.getResultCode() == KeeperException.Code.OK.intValue() )
                {
                    path = event.getName();
                }
                else if ( event.getResultCode() == KeeperException.Code.NOAUTH.intValue() )
                {
                    log.warn(""Client does not have authorisation to write ephemeral node at path {}"", event.getPath());
                    authFailure.set(true);
                    return;
                }
                if ( path != null )
                {
                    authFailure.set(false);
                    nodePath.set(path);
                    watchNode();

                    if ( nodeExists )
                    {
                        client.setData().inBackground(setDataCallback).forPath(getActualPath(), getData());
                    }
                    else
                    {
                        initialisationComplete();
                    }
                }
                else
                {
                    createNode();
                }
            }
        };

        createMethod = mode.isProtected() ? client.create().creatingParentContainersIfNeeded().withProtection() : client.create().creatingParentContainersIfNeeded();
        this.data.set(Arrays.copyOf(data, data.length));
    }",False
