index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,annotation,full text,removed
1,timing,Field,,,,,43,1,1791,45,18,,private final Timing timing = new Timing();,True
2,client,Field,,,,,32,1,1839,46,2,,private CuratorFramework client;,True
3,cache,Field,,,,,24,1,1876,47,2,,private TreeCache cache;,True
4,exceptions,Field,,,,,35,1,1905,48,2,,private List<Throwable> exceptions;,True
5,events,Field,,,,,45,1,1945,49,2,,private BlockingQueue<TreeCacheEvent> events;,True
6,eventListener,Field,,,,,40,1,1995,50,2,,private TreeCacheListener eventListener;,True
7,TreeCache,MemberClass,,,"org.apache.curator.framework.recipes.cache.TestTreeCache.TreeCache+TreeCache(CuratorFramework,String,boolean) org.apache.curator.framework.recipes.cache.TestTreeCache.TreeCache+handleException(Throwable) java.util.List+add(E) java.util.List+add(E)",org.apache.curator.framework.recipes.cache.TestTreeCache+exceptions,406,16,-1,-1,0,"/** 
 * A TreeCache that records exceptions.
 */
","/**
     * A TreeCache that records exceptions.
     */
    class TreeCache extends org.apache.curator.framework.recipes.cache.TreeCache {

        TreeCache(CuratorFramework client, String path, boolean cacheData)
        {
            super(client, path, cacheData);
        }

        @Override
        protected void handleException(Throwable e)
        {
            exceptions.add(e);
        }
    }",False
8,setup(),Method,,,"org.apache.curator.test.BaseClassForTests+setup() java.util.ArrayList+ArrayList() java.util.concurrent.LinkedBlockingQueue+LinkedBlockingQueue() +() +childEvent(CuratorFramework,TreeCacheEvent)",org.apache.curator.framework.recipes.cache.TestTreeCache+exceptions org.apache.curator.framework.recipes.cache.TestTreeCache+events org.apache.curator.framework.recipes.cache.TestTreeCache+eventListener,1237,35,2453,71,1,,"@Override
    @BeforeMethod
    public void setup() throws Exception
    {
        super.setup();

        exceptions = new ArrayList<Throwable>();
        events = new LinkedBlockingQueue<TreeCacheEvent>();
        eventListener = new TreeCacheListener()
        {
            @Override
            public void childEvent(CuratorFramework client, TreeCacheEvent event) throws Exception
            {
                if (event.getData() != null && event.getData().getPath().startsWith(""/zookeeper""))
                {
                    // Suppress any events related to /zookeeper paths
                    return;
                }
                events.add(event);
            }
        };

        client = CuratorFrameworkFactory.newClient(server.getConnectString(), timing.session(), timing.connection(), new RetryOneTime(1));
        client.start();
        client.getUnhandledErrorListenable().addListener(new UnhandledErrorListener()
        {
            @Override
            public void unhandledError(String message, Throwable e)
            {
                exceptions.add(e);
            }
        });
        cache = new TreeCache(client, ""/test"", true);
        cache.getListenable().addListener(eventListener);
    }",True
9,teardown(),Method,,,java.util.List+size() java.util.List+size() java.util.List+get(int) java.util.List+get(int) java.util.List+size() java.util.List+size() java.lang.AssertionError+AssertionError(Object) java.lang.Throwable+addSuppressed(Throwable) java.lang.Throwable+addSuppressed(Throwable) org.apache.curator.utils.CloseableUtils+closeQuietly(Closeable) org.apache.curator.utils.CloseableUtils+closeQuietly(Closeable) org.apache.curator.utils.CloseableUtils+closeQuietly(Closeable) org.apache.curator.utils.CloseableUtils+closeQuietly(Closeable) org.apache.curator.test.BaseClassForTests+teardown(),org.apache.curator.framework.recipes.cache.TestTreeCache+exceptions org.apache.curator.framework.recipes.cache.TestTreeCache+exceptions org.apache.curator.framework.recipes.cache.TestTreeCache+exceptions org.apache.curator.framework.recipes.cache.TestTreeCache+exceptions org.apache.curator.framework.recipes.cache.TestTreeCache+cache org.apache.curator.framework.recipes.cache.TestTreeCache+client,913,33,3696,107,1,,"@Override
    @AfterMethod
    public void teardown() throws Exception
    {
        try
        {
            try
            {
                if ( exceptions.size() == 1 )
                {
                    Assert.fail(""Exception was thrown"", exceptions.get(0));
                }
                else if ( exceptions.size() > 1 )
                {
                    AssertionError error = new AssertionError(""Multiple exceptions were thrown"");
                    for ( Throwable exception : exceptions )
                    {
                        error.addSuppressed(exception);
                    }
                    throw error;
                }
            }
            finally
            {
                CloseableUtils.closeQuietly(cache);
                CloseableUtils.closeQuietly(client);
            }
        }
        finally
        {
            super.teardown();
        }
    }",True
10,testStartup(),Method,,,"org.apache.curator.framework.api.PathAndBytesable+forPath(String) org.apache.curator.framework.CuratorFramework+create() org.apache.curator.framework.CuratorFramework+create() org.apache.curator.framework.api.PathAndBytesable+forPath(String) org.apache.curator.framework.api.PathAndBytesable+forPath(String,byte[]) org.apache.curator.framework.CuratorFramework+create() org.apache.curator.framework.CuratorFramework+create() org.apache.curator.framework.api.PathAndBytesable+forPath(String,byte[]) java.lang.String+getBytes() java.lang.String+getBytes() org.apache.curator.framework.api.PathAndBytesable+forPath(String,byte[]) org.apache.curator.framework.CuratorFramework+create() org.apache.curator.framework.CuratorFramework+create() org.apache.curator.framework.api.PathAndBytesable+forPath(String,byte[]) java.lang.String+getBytes() java.lang.String+getBytes() org.apache.curator.framework.api.PathAndBytesable+forPath(String,byte[]) org.apache.curator.framework.CuratorFramework+create() org.apache.curator.framework.CuratorFramework+create() org.apache.curator.framework.api.PathAndBytesable+forPath(String,byte[]) java.lang.String+getBytes() java.lang.String+getBytes() org.apache.curator.framework.api.PathAndBytesable+forPath(String,byte[]) org.apache.curator.framework.CuratorFramework+create() org.apache.curator.framework.CuratorFramework+create() org.apache.curator.framework.api.PathAndBytesable+forPath(String,byte[]) java.lang.String+getBytes() java.lang.String+getBytes() org.apache.curator.framework.recipes.cache.TreeCache+start() org.apache.curator.framework.recipes.cache.TreeCache+start() java.lang.String+getBytes() java.lang.String+getBytes() java.lang.String+getBytes() java.lang.String+getBytes() java.lang.String+getBytes() java.lang.String+getBytes() java.lang.String+getBytes() java.lang.String+getBytes() org.apache.curator.framework.recipes.cache.TestTreeCache+assertNoMoreEvents() org.apache.curator.framework.recipes.cache.TestTreeCache+assertNoMoreEvents() org.apache.curator.framework.recipes.cache.TreeCache+getCurrentChildren(String) org.apache.curator.framework.recipes.cache.TreeCache+getCurrentChildren(String) org.apache.curator.framework.recipes.cache.TreeCache+getCurrentChildren(String) org.apache.curator.framework.recipes.cache.TreeCache+getCurrentChildren(String) org.apache.curator.framework.recipes.cache.TreeCache+getCurrentChildren(String) org.apache.curator.framework.recipes.cache.TreeCache+getCurrentChildren(String) org.apache.curator.framework.recipes.cache.TreeCache+getCurrentChildren(String) org.apache.curator.framework.recipes.cache.TreeCache+getCurrentChildren(String)",org.apache.curator.framework.recipes.cache.TestTreeCache+client org.apache.curator.framework.recipes.cache.TestTreeCache+client org.apache.curator.framework.recipes.cache.TestTreeCache+client org.apache.curator.framework.recipes.cache.TestTreeCache+client org.apache.curator.framework.recipes.cache.TestTreeCache+client org.apache.curator.framework.recipes.cache.TestTreeCache+cache org.apache.curator.framework.recipes.cache.TestTreeCache+cache org.apache.curator.framework.recipes.cache.TestTreeCache+cache org.apache.curator.framework.recipes.cache.TestTreeCache+cache org.apache.curator.framework.recipes.cache.TestTreeCache+cache,1234,23,4615,140,1,,"@Test
    public void testStartup() throws Exception
    {
        client.create().forPath(""/test"");
        client.create().forPath(""/test/1"", ""one"".getBytes());
        client.create().forPath(""/test/2"", ""two"".getBytes());
        client.create().forPath(""/test/3"", ""three"".getBytes());
        client.create().forPath(""/test/2/sub"", ""two-sub"".getBytes());

        cache.start();
        assertEvent(TreeCacheEvent.Type.NODE_ADDED, ""/test"");
        assertEvent(TreeCacheEvent.Type.NODE_ADDED, ""/test/1"", ""one"".getBytes());
        assertEvent(TreeCacheEvent.Type.NODE_ADDED, ""/test/2"", ""two"".getBytes());
        assertEvent(TreeCacheEvent.Type.NODE_ADDED, ""/test/3"", ""three"".getBytes());
        assertEvent(TreeCacheEvent.Type.NODE_ADDED, ""/test/2/sub"", ""two-sub"".getBytes());
        assertEvent(TreeCacheEvent.Type.INITIALIZED);
        assertNoMoreEvents();

        Assert.assertEquals(cache.getCurrentChildren(""/test""), ImmutableSortedSet.of(""1"", ""2"", ""3""));
        Assert.assertEquals(cache.getCurrentChildren(""/test/1""), ImmutableSortedSet.of());
        Assert.assertEquals(cache.getCurrentChildren(""/test/2""), ImmutableSortedSet.of(""sub""));
        Assert.assertNull(cache.getCurrentChildren(""/test/non_exist""));
    }",False
11,testStartEmpty(),Method,,,org.apache.curator.framework.recipes.cache.TreeCache+start() org.apache.curator.framework.recipes.cache.TreeCache+start() org.apache.curator.framework.api.PathAndBytesable+forPath(String) org.apache.curator.framework.CuratorFramework+create() org.apache.curator.framework.CuratorFramework+create() org.apache.curator.framework.api.PathAndBytesable+forPath(String) org.apache.curator.framework.recipes.cache.TestTreeCache+assertNoMoreEvents() org.apache.curator.framework.recipes.cache.TestTreeCache+assertNoMoreEvents(),org.apache.curator.framework.recipes.cache.TestTreeCache+cache org.apache.curator.framework.recipes.cache.TestTreeCache+client,279,10,5855,164,1,,"@Test
    public void testStartEmpty() throws Exception
    {
        cache.start();
        assertEvent(TreeCacheEvent.Type.INITIALIZED);

        client.create().forPath(""/test"");
        assertEvent(TreeCacheEvent.Type.NODE_ADDED, ""/test"");
        assertNoMoreEvents();
    }",False
12,testAsyncInitialPopulation(),Method,,,"org.apache.curator.framework.api.PathAndBytesable+forPath(String) org.apache.curator.framework.CuratorFramework+create() org.apache.curator.framework.CuratorFramework+create() org.apache.curator.framework.api.PathAndBytesable+forPath(String) org.apache.curator.framework.api.PathAndBytesable+forPath(String,byte[]) org.apache.curator.framework.CuratorFramework+create() org.apache.curator.framework.CuratorFramework+create() org.apache.curator.framework.api.PathAndBytesable+forPath(String,byte[]) java.lang.String+getBytes() java.lang.String+getBytes() org.apache.curator.framework.recipes.cache.TreeCache+start() org.apache.curator.framework.recipes.cache.TreeCache+start() org.apache.curator.framework.recipes.cache.TestTreeCache+assertNoMoreEvents() org.apache.curator.framework.recipes.cache.TestTreeCache+assertNoMoreEvents()",org.apache.curator.framework.recipes.cache.TestTreeCache+client org.apache.curator.framework.recipes.cache.TestTreeCache+client org.apache.curator.framework.recipes.cache.TestTreeCache+cache,426,11,6140,175,1,,"@Test
    public void testAsyncInitialPopulation() throws Exception
    {
        client.create().forPath(""/test"");
        client.create().forPath(""/test/one"", ""hey there"".getBytes());
        cache.start();
        assertEvent(TreeCacheEvent.Type.NODE_ADDED, ""/test"");
        assertEvent(TreeCacheEvent.Type.NODE_ADDED, ""/test/one"");
        assertEvent(TreeCacheEvent.Type.INITIALIZED);
        assertNoMoreEvents();
    }",False
13,testFromRoot(),Method,,,"org.apache.curator.framework.api.PathAndBytesable+forPath(String) org.apache.curator.framework.CuratorFramework+create() org.apache.curator.framework.CuratorFramework+create() org.apache.curator.framework.api.PathAndBytesable+forPath(String) org.apache.curator.framework.api.PathAndBytesable+forPath(String,byte[]) org.apache.curator.framework.CuratorFramework+create() org.apache.curator.framework.CuratorFramework+create() org.apache.curator.framework.api.PathAndBytesable+forPath(String,byte[]) java.lang.String+getBytes() java.lang.String+getBytes() org.apache.curator.framework.recipes.cache.TestTreeCache.TreeCache+TreeCache(CuratorFramework,String,boolean) org.apache.curator.framework.listen.ListenerContainer+addListener(T) org.apache.curator.framework.recipes.cache.TreeCache+getListenable() org.apache.curator.framework.recipes.cache.TreeCache+getListenable() org.apache.curator.framework.listen.ListenerContainer+addListener(T) org.apache.curator.framework.recipes.cache.TreeCache+start() org.apache.curator.framework.recipes.cache.TreeCache+start() org.apache.curator.framework.recipes.cache.TestTreeCache+assertNoMoreEvents() org.apache.curator.framework.recipes.cache.TestTreeCache+assertNoMoreEvents()",org.apache.curator.framework.recipes.cache.TestTreeCache+client org.apache.curator.framework.recipes.cache.TestTreeCache+client org.apache.curator.framework.recipes.cache.TestTreeCache+cache org.apache.curator.framework.recipes.cache.TestTreeCache+client org.apache.curator.framework.recipes.cache.TestTreeCache+cache org.apache.curator.framework.recipes.cache.TestTreeCache+eventListener org.apache.curator.framework.recipes.cache.TestTreeCache+cache,578,14,6572,187,1,,"@Test
    public void testFromRoot() throws Exception
    {
        client.create().forPath(""/test"");
        client.create().forPath(""/test/one"", ""hey there"".getBytes());
        cache = new TreeCache(client, ""/"", true);
        cache.getListenable().addListener(eventListener);
        cache.start();
        assertEvent(TreeCacheEvent.Type.NODE_ADDED, ""/"");
        assertEvent(TreeCacheEvent.Type.NODE_ADDED, ""/test"");
        assertEvent(TreeCacheEvent.Type.NODE_ADDED, ""/test/one"");
        assertEvent(TreeCacheEvent.Type.INITIALIZED);
        assertNoMoreEvents();
    }",False
14,testWithNamespace(),Method,,,"org.apache.curator.framework.api.PathAndBytesable+forPath(String) org.apache.curator.framework.CuratorFramework+create() org.apache.curator.framework.CuratorFramework+create() org.apache.curator.framework.api.PathAndBytesable+forPath(String) org.apache.curator.framework.api.PathAndBytesable+forPath(String) org.apache.curator.framework.CuratorFramework+create() org.apache.curator.framework.CuratorFramework+create() org.apache.curator.framework.api.PathAndBytesable+forPath(String) org.apache.curator.framework.api.PathAndBytesable+forPath(String) org.apache.curator.framework.CuratorFramework+create() org.apache.curator.framework.CuratorFramework+create() org.apache.curator.framework.api.PathAndBytesable+forPath(String) org.apache.curator.framework.api.PathAndBytesable+forPath(String,byte[]) org.apache.curator.framework.CuratorFramework+create() org.apache.curator.framework.CuratorFramework+create() org.apache.curator.framework.api.PathAndBytesable+forPath(String,byte[]) java.lang.String+getBytes() java.lang.String+getBytes() org.apache.curator.framework.recipes.cache.TestTreeCache.TreeCache+TreeCache(CuratorFramework,String,boolean) org.apache.curator.framework.CuratorFramework+usingNamespace(String) org.apache.curator.framework.CuratorFramework+usingNamespace(String) org.apache.curator.framework.listen.ListenerContainer+addListener(T) org.apache.curator.framework.recipes.cache.TreeCache+getListenable() org.apache.curator.framework.recipes.cache.TreeCache+getListenable() org.apache.curator.framework.listen.ListenerContainer+addListener(T) org.apache.curator.framework.recipes.cache.TreeCache+start() org.apache.curator.framework.recipes.cache.TreeCache+start() org.apache.curator.framework.recipes.cache.TestTreeCache+assertNoMoreEvents() org.apache.curator.framework.recipes.cache.TestTreeCache+assertNoMoreEvents()",org.apache.curator.framework.recipes.cache.TestTreeCache+client org.apache.curator.framework.recipes.cache.TestTreeCache+client org.apache.curator.framework.recipes.cache.TestTreeCache+client org.apache.curator.framework.recipes.cache.TestTreeCache+client org.apache.curator.framework.recipes.cache.TestTreeCache+cache org.apache.curator.framework.recipes.cache.TestTreeCache+client org.apache.curator.framework.recipes.cache.TestTreeCache+cache org.apache.curator.framework.recipes.cache.TestTreeCache+eventListener org.apache.curator.framework.recipes.cache.TestTreeCache+cache,655,15,7156,202,1,,"@Test
    public void testWithNamespace() throws Exception
    {
        client.create().forPath(""/outer"");
        client.create().forPath(""/outer/foo"");
        client.create().forPath(""/outer/test"");
        client.create().forPath(""/outer/test/one"", ""hey there"".getBytes());
        cache = new TreeCache(client.usingNamespace(""outer""), ""/test"", true);
        cache.getListenable().addListener(eventListener);
        cache.start();
        assertEvent(TreeCacheEvent.Type.NODE_ADDED, ""/test"");
        assertEvent(TreeCacheEvent.Type.NODE_ADDED, ""/test/one"");
        assertEvent(TreeCacheEvent.Type.INITIALIZED);
        assertNoMoreEvents();
    }",False
