index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,annotation,full text,removed
1,assignee,Field,setAssignee(String),,,,16,1,850,28,0,,String assignee;,False
2,createTime,Field,setCreateTime(String),,,,18,1,869,29,0,,String createTime;,True
3,delegationState,Field,setDelegationState(DelegationState),,,,32,1,890,30,0,,DelegationState delegationState;,True
4,description,Field,setDescription(String),,,,19,1,925,31,0,,String description;,False
5,dueDate,Field,setDueDate(String),,,,15,1,947,32,0,,String dueDate;,True
6,executionId,Field,setExecutionId(String),,,,19,1,965,33,0,,String executionId;,True
7,id,Field,setId(String),,,,10,1,987,34,0,,String id;,False
8,name,Field,setName(String),,,,12,1,1000,35,0,,String name;,False
9,owner,Field,setOwner(String),,,,13,1,1015,36,0,,String owner;,False
10,parentTaskId,Field,setParentTaskId(String),,,,20,1,1031,37,0,,String parentTaskId;,True
11,priority,Field,setPriority(int),,,,13,1,1054,38,0,,int priority;,False
12,processDefinitionId,Field,setProcessDefinitionId(String),,,,27,1,1070,39,0,,String processDefinitionId;,True
13,processInstanceId,Field,setProcessInstanceId(String),,,,25,1,1100,40,0,,String processInstanceId;,True
14,taskDefinitionKey,Field,setTaskDefinitionKey(String),,,,25,1,1128,41,0,,String taskDefinitionKey;,False
15,formResourceKey,Field,setFormResourceKey(String),,,,23,1,1156,42,0,,String formResourceKey;,True
16,subTaskList,Field,setSubTaskList(List<SubTaskResponse>) addSubTask(SubTaskResponse),,,,69,1,1182,43,0,,List<SubTaskResponse> subTaskList = new ArrayList<SubTaskResponse>();,True
17,identityLinkList,Field,setIdentityLinkList(List<IdentityLinkResponse>) addIdentityLink(IdentityLinkResponse),,,,84,1,1254,44,0,,List<IdentityLinkResponse> identityLinkList = new ArrayList<IdentityLinkResponse>();,True
18,attachmentList,Field,setAttachmentList(List<AttachmentResponse>) addAttachment(AttachmentResponse),,,,78,1,1341,45,0,,List<AttachmentResponse> attachmentList = new ArrayList<AttachmentResponse>();,True
19,TaskResponse(Task),Method,,,org.activiti.rest.api.task.TaskResponse+setAssignee(String) org.activiti.rest.api.task.TaskResponse+setAssignee(String) org.activiti.engine.task.Task+getAssignee() org.activiti.engine.task.Task+getAssignee() org.activiti.rest.api.task.TaskResponse+setCreateTime(String) org.activiti.rest.api.task.TaskResponse+setCreateTime(String) org.activiti.rest.api.RequestUtil+dateToString(Date) org.activiti.rest.api.RequestUtil+dateToString(Date) org.activiti.engine.task.Task+getCreateTime() org.activiti.engine.task.Task+getCreateTime() org.activiti.rest.api.task.TaskResponse+setDelegationState(DelegationState) org.activiti.rest.api.task.TaskResponse+setDelegationState(DelegationState) org.activiti.engine.task.Task+getDelegationState() org.activiti.engine.task.Task+getDelegationState() org.activiti.rest.api.task.TaskResponse+setDescription(String) org.activiti.rest.api.task.TaskResponse+setDescription(String) org.activiti.engine.task.Task+getDescription() org.activiti.engine.task.Task+getDescription() org.activiti.rest.api.task.TaskResponse+setDueDate(String) org.activiti.rest.api.task.TaskResponse+setDueDate(String) org.activiti.rest.api.RequestUtil+dateToString(Date) org.activiti.rest.api.RequestUtil+dateToString(Date) org.activiti.engine.task.Task+getDueDate() org.activiti.engine.task.Task+getDueDate() org.activiti.rest.api.task.TaskResponse+setExecutionId(String) org.activiti.rest.api.task.TaskResponse+setExecutionId(String) org.activiti.engine.task.Task+getExecutionId() org.activiti.engine.task.Task+getExecutionId() org.activiti.rest.api.task.TaskResponse+setId(String) org.activiti.rest.api.task.TaskResponse+setId(String) org.activiti.engine.task.Task+getId() org.activiti.engine.task.Task+getId() org.activiti.rest.api.task.TaskResponse+setName(String) org.activiti.rest.api.task.TaskResponse+setName(String) org.activiti.engine.task.Task+getName() org.activiti.engine.task.Task+getName() org.activiti.rest.api.task.TaskResponse+setOwner(String) org.activiti.rest.api.task.TaskResponse+setOwner(String) org.activiti.engine.task.Task+getOwner() org.activiti.engine.task.Task+getOwner() org.activiti.rest.api.task.TaskResponse+setParentTaskId(String) org.activiti.rest.api.task.TaskResponse+setParentTaskId(String) org.activiti.engine.task.Task+getParentTaskId() org.activiti.engine.task.Task+getParentTaskId() org.activiti.rest.api.task.TaskResponse+setPriority(int) org.activiti.rest.api.task.TaskResponse+setPriority(int) org.activiti.engine.task.Task+getPriority() org.activiti.engine.task.Task+getPriority() org.activiti.rest.api.task.TaskResponse+setProcessDefinitionId(String) org.activiti.rest.api.task.TaskResponse+setProcessDefinitionId(String) org.activiti.engine.task.Task+getProcessDefinitionId() org.activiti.engine.task.Task+getProcessDefinitionId() org.activiti.rest.api.task.TaskResponse+setProcessInstanceId(String) org.activiti.rest.api.task.TaskResponse+setProcessInstanceId(String) org.activiti.engine.task.Task+getProcessInstanceId() org.activiti.engine.task.Task+getProcessInstanceId() org.activiti.rest.api.task.TaskResponse+setTaskDefinitionKey(String) org.activiti.rest.api.task.TaskResponse+setTaskDefinitionKey(String) org.activiti.engine.task.Task+getTaskDefinitionKey() org.activiti.engine.task.Task+getTaskDefinitionKey(),,674,16,1425,47,1,,"public TaskResponse(Task task) {
    setAssignee(task.getAssignee());
    setCreateTime(RequestUtil.dateToString(task.getCreateTime()));
    setDelegationState(task.getDelegationState());
    setDescription(task.getDescription());
    setDueDate(RequestUtil.dateToString(task.getDueDate()));
    setExecutionId(task.getExecutionId());
    setId(task.getId());
    setName(task.getName());
    setOwner(task.getOwner());
    setParentTaskId(task.getParentTaskId());
    setPriority(task.getPriority());
    setProcessDefinitionId(task.getProcessDefinitionId());
    setProcessInstanceId(task.getProcessInstanceId());
    setTaskDefinitionKey(task.getTaskDefinitionKey());
  }",False
20,getAssignee(),Method,,,,org.activiti.rest.api.task.TaskResponse+assignee,54,3,2103,64,1,,"public String getAssignee() {
    return assignee;
  }",False
21,setAssignee(String),Method,TaskResponse(Task),,,org.activiti.rest.api.task.TaskResponse+assignee org.activiti.rest.api.task.TaskResponse+assignee,76,3,2161,68,1,,"public void setAssignee(String assignee) {
    this.assignee = assignee;
  }",False
22,getCreateTime(),Method,,,,org.activiti.rest.api.task.TaskResponse+createTime,58,3,2241,72,1,,"public String getCreateTime() {
    return createTime;
  }",False
23,setCreateTime(String),Method,TaskResponse(Task),,,org.activiti.rest.api.task.TaskResponse+createTime org.activiti.rest.api.task.TaskResponse+createTime,84,3,2303,76,1,,"public void setCreateTime(String createTime) {
    this.createTime = createTime;
  }",False
24,getDelegationState(),Method,,,,org.activiti.rest.api.task.TaskResponse+delegationState,77,3,2391,80,1,,"public DelegationState getDelegationState() {
    return delegationState;
  }",False
25,setDelegationState(DelegationState),Method,TaskResponse(Task),,,org.activiti.rest.api.task.TaskResponse+delegationState org.activiti.rest.api.task.TaskResponse+delegationState,113,3,2472,84,1,,"public void setDelegationState(DelegationState delegationState) {
    this.delegationState = delegationState;
  }",False
26,getDescription(),Method,,,,org.activiti.rest.api.task.TaskResponse+description,60,3,2589,88,1,,"public String getDescription() {
    return description;
  }",False
27,setDescription(String),Method,TaskResponse(Task),,,org.activiti.rest.api.task.TaskResponse+description org.activiti.rest.api.task.TaskResponse+description,88,3,2653,92,1,,"public void setDescription(String description) {
    this.description = description;
  }",False
28,getDueDate(),Method,,,,org.activiti.rest.api.task.TaskResponse+dueDate,52,3,2745,96,1,,"public String getDueDate() {
    return dueDate;
  }",False
29,setDueDate(String),Method,TaskResponse(Task),,,org.activiti.rest.api.task.TaskResponse+dueDate org.activiti.rest.api.task.TaskResponse+dueDate,72,3,2801,100,1,,"public void setDueDate(String dueDate) {
    this.dueDate = dueDate;
  }",False
30,getExecutionId(),Method,,,,org.activiti.rest.api.task.TaskResponse+executionId,60,3,2877,104,1,,"public String getExecutionId() {
    return executionId;
  }",False
31,setExecutionId(String),Method,TaskResponse(Task),,,org.activiti.rest.api.task.TaskResponse+executionId org.activiti.rest.api.task.TaskResponse+executionId,88,3,2941,108,1,,"public void setExecutionId(String executionId) {
    this.executionId = executionId;
  }",False
32,getId(),Method,,org.activiti.rest.api.task.TasksPaginateList+processList(List),,org.activiti.rest.api.task.TaskResponse+id,42,3,3033,112,1,,"public String getId() {
    return id;
  }",False
33,setId(String),Method,TaskResponse(Task),,,org.activiti.rest.api.task.TaskResponse+id org.activiti.rest.api.task.TaskResponse+id,52,3,3079,116,1,,"public void setId(String id) {
    this.id = id;
  }",False
34,getName(),Method,,,,org.activiti.rest.api.task.TaskResponse+name,46,3,3135,120,1,,"public String getName() {
    return name;
  }",False
35,setName(String),Method,TaskResponse(Task),,,org.activiti.rest.api.task.TaskResponse+name org.activiti.rest.api.task.TaskResponse+name,60,3,3185,124,1,,"public void setName(String name) {
    this.name = name;
  }",False
36,getOwner(),Method,,,,org.activiti.rest.api.task.TaskResponse+owner,48,3,3249,128,1,,"public String getOwner() {
    return owner;
  }",False
37,setOwner(String),Method,TaskResponse(Task),,,org.activiti.rest.api.task.TaskResponse+owner org.activiti.rest.api.task.TaskResponse+owner,64,3,3301,132,1,,"public void setOwner(String owner) {
    this.owner = owner;
  }",False
38,getParentTaskId(),Method,,,,org.activiti.rest.api.task.TaskResponse+parentTaskId,62,3,3369,136,1,,"public String getParentTaskId() {
    return parentTaskId;
  }",False
39,setParentTaskId(String),Method,TaskResponse(Task),,,org.activiti.rest.api.task.TaskResponse+parentTaskId org.activiti.rest.api.task.TaskResponse+parentTaskId,92,3,3435,140,1,,"public void setParentTaskId(String parentTaskId) {
    this.parentTaskId = parentTaskId;
  }",False
40,getPriority(),Method,,,,org.activiti.rest.api.task.TaskResponse+priority,51,3,3531,144,1,,"public int getPriority() {
    return priority;
  }",False
41,setPriority(int),Method,TaskResponse(Task),,,org.activiti.rest.api.task.TaskResponse+priority org.activiti.rest.api.task.TaskResponse+priority,73,3,3586,148,1,,"public void setPriority(int priority) {
    this.priority = priority;
  }",False
