index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,annotation,full text,removed
1,emptyToNullIfNeeded(Object),Method,"processRowValsToUnsortedEncodedKeyComponent(Object,boolean) processRowValsToUnsortedEncodedKeyComponent(Object,boolean) processRowValsToUnsortedEncodedKeyComponent(Object,boolean)",,org.apache.druid.common.config.NullHandling+emptyToNullIfNeeded(String) org.apache.druid.common.config.NullHandling+emptyToNullIfNeeded(String) java.lang.Object+toString() java.lang.Object+toString(),,159,5,3010,68,10,,"@Nullable
  private static String emptyToNullIfNeeded(@Nullable Object o)
  {
    return o != null ? NullHandling.emptyToNullIfNeeded(o.toString()) : null;
  }",False
2,ABSENT_VALUE_ID,Field,,,,,46,1,3173,73,26,,private static final int ABSENT_VALUE_ID = -1;,True
3,DimensionDictionary,MemberClass,,,"org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+DimensionDictionary() java.util.concurrent.locks.ReentrantReadWriteLock+ReentrantReadWriteLock() org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+getId(String) java.util.concurrent.locks.ReentrantReadWriteLock.ReadLock+lock() java.util.concurrent.locks.ReentrantReadWriteLock+readLock() java.util.concurrent.locks.ReentrantReadWriteLock+readLock() java.util.concurrent.locks.ReentrantReadWriteLock.ReadLock+lock() java.util.concurrent.locks.ReentrantReadWriteLock.ReadLock+unlock() java.util.concurrent.locks.ReentrantReadWriteLock+readLock() java.util.concurrent.locks.ReentrantReadWriteLock+readLock() java.util.concurrent.locks.ReentrantReadWriteLock.ReadLock+unlock() org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+getValue(int) java.util.concurrent.locks.ReentrantReadWriteLock.ReadLock+lock() java.util.concurrent.locks.ReentrantReadWriteLock+readLock() java.util.concurrent.locks.ReentrantReadWriteLock+readLock() java.util.concurrent.locks.ReentrantReadWriteLock.ReadLock+lock() java.util.List+get(int) java.util.List+get(int) java.util.concurrent.locks.ReentrantReadWriteLock.ReadLock+unlock() java.util.concurrent.locks.ReentrantReadWriteLock+readLock() java.util.concurrent.locks.ReentrantReadWriteLock+readLock() java.util.concurrent.locks.ReentrantReadWriteLock.ReadLock+unlock() org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+size() java.util.concurrent.locks.ReentrantReadWriteLock.ReadLock+lock() java.util.concurrent.locks.ReentrantReadWriteLock+readLock() java.util.concurrent.locks.ReentrantReadWriteLock+readLock() java.util.concurrent.locks.ReentrantReadWriteLock.ReadLock+lock() java.util.List+size() java.util.List+size() java.util.concurrent.locks.ReentrantReadWriteLock.ReadLock+unlock() java.util.concurrent.locks.ReentrantReadWriteLock+readLock() java.util.concurrent.locks.ReentrantReadWriteLock+readLock() java.util.concurrent.locks.ReentrantReadWriteLock.ReadLock+unlock() org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+add(String) java.util.concurrent.locks.ReentrantReadWriteLock.WriteLock+lock() java.util.concurrent.locks.ReentrantReadWriteLock+writeLock() java.util.concurrent.locks.ReentrantReadWriteLock+writeLock() java.util.concurrent.locks.ReentrantReadWriteLock.WriteLock+lock() java.util.List+size() java.util.List+size() java.util.List+add(E) java.util.List+add(E) java.util.List+size() java.util.List+size() java.util.List+add(E) java.util.List+add(E) java.lang.String+compareTo(String) java.lang.String+compareTo(String) java.lang.String+compareTo(String) java.lang.String+compareTo(String) java.util.concurrent.locks.ReentrantReadWriteLock.WriteLock+unlock() java.util.concurrent.locks.ReentrantReadWriteLock+writeLock() java.util.concurrent.locks.ReentrantReadWriteLock+writeLock() java.util.concurrent.locks.ReentrantReadWriteLock.WriteLock+unlock() org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+getMinValue() java.util.concurrent.locks.ReentrantReadWriteLock.ReadLock+lock() java.util.concurrent.locks.ReentrantReadWriteLock+readLock() java.util.concurrent.locks.ReentrantReadWriteLock+readLock() java.util.concurrent.locks.ReentrantReadWriteLock.ReadLock+lock() java.util.concurrent.locks.ReentrantReadWriteLock.ReadLock+unlock() java.util.concurrent.locks.ReentrantReadWriteLock+readLock() java.util.concurrent.locks.ReentrantReadWriteLock+readLock() java.util.concurrent.locks.ReentrantReadWriteLock.ReadLock+unlock() org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+getMaxValue() java.util.concurrent.locks.ReentrantReadWriteLock.ReadLock+lock() java.util.concurrent.locks.ReentrantReadWriteLock+readLock() java.util.concurrent.locks.ReentrantReadWriteLock+readLock() java.util.concurrent.locks.ReentrantReadWriteLock.ReadLock+lock() java.util.concurrent.locks.ReentrantReadWriteLock.ReadLock+unlock() java.util.concurrent.locks.ReentrantReadWriteLock+readLock() java.util.concurrent.locks.ReentrantReadWriteLock+readLock() java.util.concurrent.locks.ReentrantReadWriteLock.ReadLock+unlock() org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+sort() java.util.concurrent.locks.ReentrantReadWriteLock.ReadLock+lock() java.util.concurrent.locks.ReentrantReadWriteLock+readLock() java.util.concurrent.locks.ReentrantReadWriteLock+readLock() java.util.concurrent.locks.ReentrantReadWriteLock.ReadLock+lock() org.apache.druid.segment.StringDimensionIndexer.SortedDimensionDictionary+SortedDimensionDictionary(List<String>,int) java.util.List+size() java.util.List+size() java.util.concurrent.locks.ReentrantReadWriteLock.ReadLock+unlock() java.util.concurrent.locks.ReentrantReadWriteLock+readLock() java.util.concurrent.locks.ReentrantReadWriteLock+readLock() java.util.concurrent.locks.ReentrantReadWriteLock.ReadLock+unlock()",org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+minValue org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+maxValue org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+idForNull org.apache.druid.segment.StringDimensionIndexer+ABSENT_VALUE_ID org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+valueToId org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+idToValue org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+lock org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+lock org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+valueToId org.apache.druid.segment.StringDimensionIndexer+ABSENT_VALUE_ID org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+lock org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+idForNull org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+valueToId org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+lock org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+lock org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+idForNull org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+idToValue org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+lock org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+lock org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+idToValue org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+lock org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+lock org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+idForNull org.apache.druid.segment.StringDimensionIndexer+ABSENT_VALUE_ID org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+idForNull org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+idToValue org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+idToValue org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+idForNull org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+valueToId org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+idToValue org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+valueToId org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+idToValue org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+minValue org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+minValue org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+minValue org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+minValue org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+maxValue org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+maxValue org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+maxValue org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+maxValue org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+lock org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+lock org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+minValue org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+lock org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+lock org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+maxValue org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+lock org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+lock org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+idToValue org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+idToValue org.apache.druid.segment.StringDimensionIndexer.DimensionDictionary+lock,2824,120,-1,-1,10,,"private static class DimensionDictionary
  {
    @Nullable
    private String minValue = null;
    @Nullable
    private String maxValue = null;
    private volatile int idForNull = ABSENT_VALUE_ID;

    private final Object2IntMap<String> valueToId = new Object2IntOpenHashMap<>();

    private final List<String> idToValue = new ArrayList<>();
    private final ReentrantReadWriteLock lock;

    public DimensionDictionary()
    {
      this.lock = new ReentrantReadWriteLock();
      valueToId.defaultReturnValue(ABSENT_VALUE_ID);
    }

    public int getId(@Nullable String value)
    {
      lock.readLock().lock();
      try {
        if (value == null) {
          return idForNull;
        }
        return valueToId.getInt(value);
      }
      finally {
        lock.readLock().unlock();
      }
    }

    @Nullable
    public String getValue(int id)
    {
      lock.readLock().lock();
      try {
        if (id == idForNull) {
          return null;
        }
        return idToValue.get(id);
      }
      finally {
        lock.readLock().unlock();
      }
    }

    public int size()
    {
      lock.readLock().lock();
      try {
        // using idToValue rather than valueToId because the valueToId doesn't account null value, if it is present.
        return idToValue.size();
      }
      finally {
        lock.readLock().unlock();
      }
    }

    public int add(@Nullable String originalValue)
    {
      lock.writeLock().lock();
      try {
        if (originalValue == null) {
          if (idForNull == ABSENT_VALUE_ID) {
            idForNull = idToValue.size();
            idToValue.add(null);
          }
          return idForNull;
        }
        int prev = valueToId.getInt(originalValue);
        if (prev >= 0) {
          return prev;
        }
        final int index = idToValue.size();
        valueToId.put(originalValue, index);
        idToValue.add(originalValue);
        minValue = minValue == null || minValue.compareTo(originalValue) > 0 ? originalValue : minValue;
        maxValue = maxValue == null || maxValue.compareTo(originalValue) < 0 ? originalValue : maxValue;
        return index;
      }
      finally {
        lock.writeLock().unlock();
      }
    }

    public String getMinValue()
    {
      lock.readLock().lock();
      try {
        return minValue;
      }
      finally {
        lock.readLock().unlock();
      }
    }

    public String getMaxValue()
    {
      lock.readLock().lock();
      try {
        return maxValue;
      }
      finally {
        lock.readLock().unlock();
      }
    }

    public SortedDimensionDictionary sort()
    {
      lock.readLock().lock();
      try {
        return new SortedDimensionDictionary(idToValue, idToValue.size());
      }
      finally {
        lock.readLock().unlock();
      }
    }
  }",False
4,SortedDimensionDictionary,MemberClass,,,"org.apache.druid.segment.StringDimensionIndexer.SortedDimensionDictionary+SortedDimensionDictionary(List<String>,int) java.lang.Object+Object() org.apache.druid.java.util.common.guava.Comparators+naturalNullsFirst() org.apache.druid.java.util.common.guava.Comparators+naturalNullsFirst() java.util.List+get(int) java.util.List+get(int) org.apache.druid.segment.StringDimensionIndexer.SortedDimensionDictionary+getUnsortedIdFromSortedId(int) org.apache.druid.segment.StringDimensionIndexer.SortedDimensionDictionary+getSortedIdFromUnsortedId(int) org.apache.druid.segment.StringDimensionIndexer.SortedDimensionDictionary+getValueFromSortedId(int) java.util.List+get(int) java.util.List+get(int)",org.apache.druid.segment.StringDimensionIndexer.SortedDimensionDictionary+sortedVals org.apache.druid.segment.StringDimensionIndexer.SortedDimensionDictionary+idToIndex org.apache.druid.segment.StringDimensionIndexer.SortedDimensionDictionary+indexToId org.apache.druid.segment.StringDimensionIndexer.SortedDimensionDictionary+sortedVals org.apache.druid.segment.StringDimensionIndexer.SortedDimensionDictionary+idToIndex org.apache.druid.segment.StringDimensionIndexer.SortedDimensionDictionary+indexToId org.apache.druid.segment.StringDimensionIndexer.SortedDimensionDictionary+idToIndex org.apache.druid.segment.StringDimensionIndexer.SortedDimensionDictionary+indexToId org.apache.druid.segment.StringDimensionIndexer.SortedDimensionDictionary+indexToId org.apache.druid.segment.StringDimensionIndexer.SortedDimensionDictionary+idToIndex org.apache.druid.segment.StringDimensionIndexer.SortedDimensionDictionary+sortedVals,1150,40,-1,-1,10,,"private static class SortedDimensionDictionary
  {
    private final List<String> sortedVals;
    private final int[] idToIndex;
    private final int[] indexToId;

    public SortedDimensionDictionary(List<String> idToValue, int length)
    {
      Object2IntSortedMap<String> sortedMap = new Object2IntRBTreeMap<>(Comparators.naturalNullsFirst());
      for (int id = 0; id < length; id++) {
        String value = idToValue.get(id);
        sortedMap.put(value, id);
      }
      this.sortedVals = Lists.newArrayList(sortedMap.keySet());
      this.idToIndex = new int[length];
      this.indexToId = new int[length];
      int index = 0;
      for (IntIterator iterator = sortedMap.values().iterator(); iterator.hasNext(); ) {
        int id = iterator.nextInt();
        idToIndex[id] = index;
        indexToId[index] = id;
        index++;
      }
    }

    public int getUnsortedIdFromSortedId(int index)
    {
      return indexToId[index];
    }

    public int getSortedIdFromUnsortedId(int id)
    {
      return idToIndex[id];
    }

    public String getValueFromSortedId(int index)
    {
      return sortedVals.get(index);
    }
  }",False
5,dimLookup,Field,"StringDimensionIndexer(MultiValueHandling,boolean,boolean)",,,,44,1,7205,237,18,,private final DimensionDictionary dimLookup;,True
6,multiValueHandling,Field,"StringDimensionIndexer(MultiValueHandling,boolean,boolean)",,,,52,1,7252,238,18,,private final MultiValueHandling multiValueHandling;,False
7,hasBitmapIndexes,Field,"StringDimensionIndexer(MultiValueHandling,boolean,boolean)",,,,39,1,7307,239,18,,private final boolean hasBitmapIndexes;,False
8,hasSpatialIndexes,Field,"StringDimensionIndexer(MultiValueHandling,boolean,boolean)",,,,40,1,7349,240,18,,private final boolean hasSpatialIndexes;,False
9,hasMultipleValues,Field,,,,,51,1,7392,241,66,,private volatile boolean hasMultipleValues = false;,False
10,isSparse,Field,,,,,42,1,7446,242,66,,private volatile boolean isSparse = false;,True
