index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,annotation,full text,removed
1,TASK_MANAGER_LOCATION_INFO,Field,,,,,76,1,4848,97,26,,"private static final String TASK_MANAGER_LOCATION_INFO = ""Unknown location"";",False
2,TestScaleType,Field,,,,,26,1,4930,99,2,,private enum TestScaleType,False
3,"acknowledgeCheckpoint(CheckpointCoordinator,ExecutionGraph,ExecutionJobVertex,long)",Method,testSuccessfulCheckpointsArePersistedToCompletedCheckpointStore(List<TestingVertex>),,"org.apache.flink.runtime.checkpoint.StateAssignmentOperation+createKeyGroupPartitions(int,int) org.apache.flink.runtime.checkpoint.StateAssignmentOperation+createKeyGroupPartitions(int,int) org.apache.flink.runtime.executiongraph.ExecutionJobVertex+getMaxParallelism() org.apache.flink.runtime.executiongraph.ExecutionJobVertex+getMaxParallelism() org.apache.flink.runtime.executiongraph.ExecutionJobVertex+getParallelism() org.apache.flink.runtime.executiongraph.ExecutionJobVertex+getParallelism() java.util.List+size() java.util.List+size() org.apache.flink.runtime.executiongraph.ExecutionJobVertex+getJobVertexId() org.apache.flink.runtime.executiongraph.ExecutionJobVertex+getJobVertexId() java.util.List+get(int) java.util.List+get(int) org.apache.flink.runtime.messages.checkpoint.AcknowledgeCheckpoint+AcknowledgeCheckpoint(JobID,ExecutionAttemptID,long,CheckpointMetrics,TaskStateSnapshot) org.apache.flink.runtime.executiongraph.AccessExecutionGraph+getJobID() org.apache.flink.runtime.executiongraph.AccessExecutionGraph+getJobID() org.apache.flink.runtime.executiongraph.Execution+getAttemptId() org.apache.flink.runtime.executiongraph.ExecutionVertex+getCurrentExecutionAttempt() org.apache.flink.runtime.executiongraph.ExecutionJobVertex+getTaskVertices() org.apache.flink.runtime.executiongraph.ExecutionJobVertex+getTaskVertices() org.apache.flink.runtime.executiongraph.ExecutionVertex+getCurrentExecutionAttempt() org.apache.flink.runtime.executiongraph.Execution+getAttemptId() org.apache.flink.runtime.checkpoint.CheckpointMetrics+CheckpointMetrics() org.apache.flink.runtime.checkpoint.CheckpointCoordinator+receiveAcknowledgeMessage(AcknowledgeCheckpoint,String) org.apache.flink.runtime.checkpoint.CheckpointCoordinator+receiveAcknowledgeMessage(AcknowledgeCheckpoint,String)",org.apache.flink.runtime.checkpoint.CheckpointCoordinatorRestoringTest+TASK_MANAGER_LOCATION_INFO,1374,27,5056,105,10,,"private static void acknowledgeCheckpoint(
            CheckpointCoordinator coordinator,
            ExecutionGraph executionGraph,
            ExecutionJobVertex jobVertex,
            long checkpointId)
            throws Exception {
        final List<KeyGroupRange> partitions =
                StateAssignmentOperation.createKeyGroupPartitions(
                        jobVertex.getMaxParallelism(), jobVertex.getParallelism());
        for (int partitionIdx = 0; partitionIdx < partitions.size(); partitionIdx++) {
            TaskStateSnapshot subtaskState =
                    mockSubtaskState(
                            jobVertex.getJobVertexId(), partitionIdx, partitions.get(partitionIdx));
            final AcknowledgeCheckpoint acknowledgeCheckpoint =
                    new AcknowledgeCheckpoint(
                            executionGraph.getJobID(),
                            jobVertex
                                    .getTaskVertices()[partitionIdx]
                                    .getCurrentExecutionAttempt()
                                    .getAttemptId(),
                            checkpointId,
                            new CheckpointMetrics(),
                            subtaskState);
            coordinator.receiveAcknowledgeMessage(
                    acknowledgeCheckpoint, TASK_MANAGER_LOCATION_INFO);
        }
    }",False
4,createExecutionGraph(List<TestingVertex>),Method,"testSuccessfulCheckpointsArePersistedToCompletedCheckpointStore(List<TestingVertex>) testRestoreLatestCheckpointedState(List<TestingVertex>,Collection<CompletedCheckpoint>)",,"org.apache.flink.runtime.checkpoint.CheckpointCoordinatorTestingUtils.CheckpointExecutionGraphBuilder+CheckpointExecutionGraphBuilder() org.apache.flink.runtime.checkpoint.CheckpointCoordinatorTestingUtils.CheckpointExecutionGraphBuilder+addJobVertex(JobVertexID,int,int) org.apache.flink.runtime.checkpoint.CheckpointCoordinatorTestingUtils.CheckpointExecutionGraphBuilder+addJobVertex(JobVertexID,int,int) org.apache.flink.runtime.checkpoint.CheckpointCoordinatorRestoringTest.TestingVertex+getId() org.apache.flink.runtime.checkpoint.CheckpointCoordinatorRestoringTest.TestingVertex+getId() org.apache.flink.runtime.checkpoint.CheckpointCoordinatorRestoringTest.TestingVertex+getParallelism() org.apache.flink.runtime.checkpoint.CheckpointCoordinatorRestoringTest.TestingVertex+getParallelism() org.apache.flink.runtime.checkpoint.CheckpointCoordinatorRestoringTest.TestingVertex+getMaxParallelism() org.apache.flink.runtime.checkpoint.CheckpointCoordinatorRestoringTest.TestingVertex+getMaxParallelism() org.apache.flink.runtime.checkpoint.CheckpointCoordinatorTestingUtils.CheckpointExecutionGraphBuilder+build() org.apache.flink.runtime.checkpoint.CheckpointCoordinatorTestingUtils.CheckpointExecutionGraphBuilder+build()",,510,10,6436,133,10,,"private static ExecutionGraph createExecutionGraph(List<TestingVertex> vertices)
            throws Exception {
        final CheckpointCoordinatorTestingUtils.CheckpointExecutionGraphBuilder builder =
                new CheckpointCoordinatorTestingUtils.CheckpointExecutionGraphBuilder();
        for (TestingVertex vertex : vertices) {
            builder.addJobVertex(
                    vertex.getId(), vertex.getParallelism(), vertex.getMaxParallelism());
        }
        return builder.build();
    }",False
5,TestingVertex,MemberClass,,,"org.apache.flink.runtime.checkpoint.CheckpointCoordinatorRestoringTest.TestingVertex+TestingVertex(JobVertexID,int,int) org.apache.flink.runtime.checkpoint.CheckpointCoordinatorRestoringTest.TestingVertex+getId() org.apache.flink.runtime.checkpoint.CheckpointCoordinatorRestoringTest.TestingVertex+getParallelism() org.apache.flink.runtime.checkpoint.CheckpointCoordinatorRestoringTest.TestingVertex+getMaxParallelism()",org.apache.flink.runtime.checkpoint.CheckpointCoordinatorRestoringTest.TestingVertex+id org.apache.flink.runtime.checkpoint.CheckpointCoordinatorRestoringTest.TestingVertex+parallelism org.apache.flink.runtime.checkpoint.CheckpointCoordinatorRestoringTest.TestingVertex+maxParallelism org.apache.flink.runtime.checkpoint.CheckpointCoordinatorRestoringTest.TestingVertex+id org.apache.flink.runtime.checkpoint.CheckpointCoordinatorRestoringTest.TestingVertex+parallelism org.apache.flink.runtime.checkpoint.CheckpointCoordinatorRestoringTest.TestingVertex+maxParallelism org.apache.flink.runtime.checkpoint.CheckpointCoordinatorRestoringTest.TestingVertex+id org.apache.flink.runtime.checkpoint.CheckpointCoordinatorRestoringTest.TestingVertex+parallelism org.apache.flink.runtime.checkpoint.CheckpointCoordinatorRestoringTest.TestingVertex+maxParallelism,617,24,-1,-1,10,,"private static class TestingVertex {

        private final JobVertexID id;
        private final int parallelism;
        private final int maxParallelism;

        private TestingVertex(JobVertexID id, int parallelism, int maxParallelism) {
            this.id = id;
            this.parallelism = parallelism;
            this.maxParallelism = maxParallelism;
        }

        public JobVertexID getId() {
            return id;
        }

        public int getParallelism() {
            return parallelism;
        }

        public int getMaxParallelism() {
            return maxParallelism;
        }
    }",False
6,manuallyTriggeredScheduledExecutor,Field,,,,,78,1,7575,169,2,,private ManuallyTriggeredScheduledExecutor manuallyTriggeredScheduledExecutor;,False
7,tmpFolder,Field,,,,,63,1,7659,171,1,,@Rule public TemporaryFolder tmpFolder = new TemporaryFolder();,False
8,thrown,Field,,,,,65,1,7728,173,1,,@Rule public ExpectedException thrown = ExpectedException.none();,False
9,setUp(),Method,,,org.apache.flink.util.concurrent.ManuallyTriggeredScheduledExecutor+ManuallyTriggeredScheduledExecutor(),org.apache.flink.runtime.checkpoint.CheckpointCoordinatorRestoringTest+manuallyTriggeredScheduledExecutor,143,4,7799,176,1,,"@Before
    public void setUp() throws Exception {
        manuallyTriggeredScheduledExecutor = new ManuallyTriggeredScheduledExecutor();
    }",False
10,testRestoreLatestCheckpointedState(),Method,,,"java.util.Arrays+asList(T[]) java.util.Arrays+asList(T[]) org.apache.flink.runtime.checkpoint.CheckpointCoordinatorRestoringTest.TestingVertex+TestingVertex(JobVertexID,int,int) org.apache.flink.runtime.jobgraph.JobVertexID+JobVertexID() org.apache.flink.runtime.checkpoint.CheckpointCoordinatorRestoringTest.TestingVertex+TestingVertex(JobVertexID,int,int) org.apache.flink.runtime.jobgraph.JobVertexID+JobVertexID() org.apache.flink.runtime.checkpoint.CheckpointCoordinatorRestoringTest+testRestoreLatestCheckpointedState(List<TestingVertex>,Collection<CompletedCheckpoint>) org.apache.flink.runtime.checkpoint.CheckpointCoordinatorRestoringTest+testRestoreLatestCheckpointedState(List<TestingVertex>,Collection<CompletedCheckpoint>) org.apache.flink.runtime.checkpoint.CheckpointCoordinatorRestoringTest+testSuccessfulCheckpointsArePersistedToCompletedCheckpointStore(List<TestingVertex>) org.apache.flink.runtime.checkpoint.CheckpointCoordinatorRestoringTest+testSuccessfulCheckpointsArePersistedToCompletedCheckpointStore(List<TestingVertex>)",,617,14,7948,185,1,"/** 
 * Tests that the checkpointed partitioned and non-partitioned state is assigned properly to the {@link Execution} upon recovery.
 */
","/**
     * Tests that the checkpointed partitioned and non-partitioned state is assigned properly to the
     * {@link Execution} upon recovery.
     */
    @Test
    public void testRestoreLatestCheckpointedState() throws Exception {
        final List<TestingVertex> vertices =
                Arrays.asList(
                        new TestingVertex(new JobVertexID(), 3, 42),
                        new TestingVertex(new JobVertexID(), 2, 13));
        testRestoreLatestCheckpointedState(
                vertices,
                testSuccessfulCheckpointsArePersistedToCompletedCheckpointStore(vertices));
    }",False
