index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,annotation,full text,removed
1,log,Field,,,,,74,1,1337,37,10,,private static Logger log = Logger.getLogger(JobExecutor.class.getName());,False
2,commandExecutor,Field,setCommandExecutor(CommandExecutor),,,,42,1,1415,39,4,,protected CommandExecutor commandExecutor;,False
3,isAutoActivate,Field,setAutoActivate(boolean),,,,41,1,1460,40,4,,protected boolean isAutoActivate = false;,False
4,maxJobsPerAcquisition,Field,setMaxJobsPerAcquisition(int),,,,40,1,1505,42,4,,protected int maxJobsPerAcquisition = 3;,False
5,waitTimeInMillis,Field,setWaitTimeInMillis(int),,,,42,1,1548,43,4,,protected int waitTimeInMillis = 5 * 1000;,False
6,lockOwner,Field,setLockOwner(String),,,,58,1,1593,44,4,,protected String lockOwner = UUID.randomUUID().toString();,False
7,lockTimeInMillis,Field,setLockTimeInMillis(int),,,,47,1,1654,45,4,,protected int lockTimeInMillis = 5 * 60 * 1000;,False
8,queueSize,Field,setQueueSize(int),,,,28,1,1704,46,4,,protected int queueSize = 5;,True
9,corePoolSize,Field,setCorePoolSize(int),,,,31,1,1735,47,4,,protected int corePoolSize = 3;,True
10,maxPoolSize,Field,setMaxPoolSize(int),,,,29,1,1769,48,2,,private int maxPoolSize = 10;,True
11,jobAcquisitionThread,Field,setJobAcquisitionThread(JobAcquisitionThread),,,,52,1,1802,50,4,,protected JobAcquisitionThread jobAcquisitionThread;,True
12,threadPoolQueue,Field,setThreadPoolQueue(BlockingQueue<Runnable>),,,,50,1,1857,51,4,,protected BlockingQueue<Runnable> threadPoolQueue;,True
13,threadPoolExecutor,Field,setThreadPoolExecutor(ThreadPoolExecutor),,,,48,1,1910,52,4,,protected ThreadPoolExecutor threadPoolExecutor;,True
14,isActive,Field,,,,,35,1,1961,53,4,,protected boolean isActive = false;,False
