index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,annotation,full text,removed
1,PluginDefaultGroovyMethods(),Method,,,,,44,2,2838,79,2,,"private PluginDefaultGroovyMethods() {
    }",False
2,asBoolean(Optional<?>),Method,,,java.util.Optional+isPresent() java.util.Optional+isPresent(),,474,15,2888,94,9,"/** 
 * Coerce an  {@code Optional} instance to a {@code boolean} value.<pre class=""groovyTestCase""> assert !Optional.empty().asBoolean() assert Optional.of(1234).asBoolean() </pre>
 * @param optional the Optional
 * @return {@code true} if a value is present, otherwise {@code false}
 * @since 2.5.0
 */
","/**
     * Coerce an {@code Optional} instance to a {@code boolean} value.
     * <pre class=""groovyTestCase"">
     * assert !Optional.empty().asBoolean()
     * assert Optional.of(1234).asBoolean()
     * </pre>
     *
     * @param optional the Optional
     * @return {@code true} if a value is present, otherwise {@code false}
     *
     * @since 2.5.0
     */
    public static boolean asBoolean(final Optional<?> optional) {
        return optional.isPresent();
    }",False
3,get(OptionalInt),Method,,,java.util.OptionalInt+getAsInt() java.util.OptionalInt+getAsInt(),,359,12,3368,107,9,"/** 
 * If a value is present in the  {@code OptionalInt}, returns the value, otherwise throws  {@code NoSuchElementException}. <pre class=""groovyTestCase""> assert OptionalInt.of(1234).get() == 1234 </pre>
 * @since 3.0.0
 */
","/**
     * If a value is present in the {@code OptionalInt}, returns the value,
     * otherwise throws {@code NoSuchElementException}.
     * <pre class=""groovyTestCase"">
     * assert OptionalInt.of(1234).get() == 1234
     * </pre>
     *
     * @since 3.0.0
     */
    public static int get(final OptionalInt self) {
        return self.getAsInt();
    }",False
4,get(OptionalLong),Method,,,java.util.OptionalLong+getAsLong() java.util.OptionalLong+getAsLong(),,366,12,3733,120,9,"/** 
 * If a value is present in the  {@code OptionalLong}, returns the value, otherwise throws  {@code NoSuchElementException}. <pre class=""groovyTestCase""> assert OptionalLong.of(1234L).get() == 1234L </pre>
 * @since 3.0.0
 */
","/**
     * If a value is present in the {@code OptionalLong}, returns the value,
     * otherwise throws {@code NoSuchElementException}.
     * <pre class=""groovyTestCase"">
     * assert OptionalLong.of(1234L).get() == 1234L
     * </pre>
     *
     * @since 3.0.0
     */
    public static long get(final OptionalLong self) {
        return self.getAsLong();
    }",False
5,get(OptionalDouble),Method,,,java.util.OptionalDouble+getAsDouble() java.util.OptionalDouble+getAsDouble(),,380,12,4105,133,9,"/** 
 * If a value is present in the  {@code OptionalDouble}, returns the value, otherwise throws  {@code NoSuchElementException}. <pre class=""groovyTestCase""> assert OptionalDouble.of(Math.PI).get() == Math.PI </pre>
 * @since 3.0.0
 */
","/**
     * If a value is present in the {@code OptionalDouble}, returns the value,
     * otherwise throws {@code NoSuchElementException}.
     * <pre class=""groovyTestCase"">
     * assert OptionalDouble.of(Math.PI).get() == Math.PI
     * </pre>
     *
     * @since 3.0.0
     */
    public static double get(final OptionalDouble self) {
        return self.getAsDouble();
    }",False
6,"filter(Optional<?>,Class<T>)",Method,,,java.util.Optional+map(Function) java.util.Optional+filter(Predicate) java.util.Optional+filter(Predicate) java.lang.Class+isInstance(Object) java.util.Optional+map(Function) java.lang.Class+cast(Object),,675,15,4491,149,9,"/** 
 * Tests given value against specified type and changes generics of result. This is equivalent to: <code>self.filter(it -&gt; it instanceof Type).map(it -&gt; (Type) it)</code> <pre class=""groovyTestCase""> assert !Optional.empty().filter(Number).isPresent() assert !Optional.of('x').filter(Number).isPresent() assert Optional.of(1234).filter(Number).isPresent() assert Optional.of(1234).filter(Number).get().equals(1234) </pre>
 * @since 3.0.0
 */
","/**
     * Tests given value against specified type and changes generics of result.
     * This is equivalent to: <code>self.filter(it -&gt; it instanceof Type).map(it -&gt; (Type) it)</code>
     * <pre class=""groovyTestCase"">
     * assert !Optional.empty().filter(Number).isPresent()
     * assert !Optional.of('x').filter(Number).isPresent()
     * assert Optional.of(1234).filter(Number).isPresent()
     * assert Optional.of(1234).filter(Number).get().equals(1234)
     * </pre>
     *
     * @since 3.0.0
     */
    public static <T> Optional<T> filter(final Optional<?> self, final Class<T> type) {
        return self.filter(type::isInstance).map(type::cast);
    }",False
7,"filter(OptionalInt,IntPredicate)",Method,,,java.util.OptionalInt+isPresent() java.util.OptionalInt+isPresent() java.util.function.IntPredicate+test(int) java.util.function.IntPredicate+test(int) java.util.OptionalInt+getAsInt() java.util.OptionalInt+getAsInt() java.util.OptionalInt+empty() java.util.OptionalInt+empty(),,778,19,5172,166,9,"/** 
 * If a value is present in the  {@code OptionalInt}, tests the value using the given predicate and returns the optional if the test returns true or else empty. <pre class=""groovyTestCase""> assert !OptionalInt.empty().filter(i -&gt; true).isPresent() assert  OptionalInt.of(1234).filter(i -&gt; true).isPresent() assert !OptionalInt.of(1234).filter(i -&gt; false).isPresent() assert  OptionalInt.of(1234).filter(i -&gt; true).getAsInt() == 1234 </pre>
 * @since 3.0.0
 */
","/**
     * If a value is present in the {@code OptionalInt}, tests the value using
     * the given predicate and returns the optional if the test returns true or
     * else empty.
     * <pre class=""groovyTestCase"">
     * assert !OptionalInt.empty().filter(i -&gt; true).isPresent()
     * assert  OptionalInt.of(1234).filter(i -&gt; true).isPresent()
     * assert !OptionalInt.of(1234).filter(i -&gt; false).isPresent()
     * assert  OptionalInt.of(1234).filter(i -&gt; true).getAsInt() == 1234
     * </pre>
     *
     * @since 3.0.0
     */
    public static OptionalInt filter(final OptionalInt self, final IntPredicate test) {
        if (!self.isPresent() || !test.test(self.getAsInt())) {
            return OptionalInt.empty();
        }
        return self;
    }",False
8,"filter(OptionalLong,LongPredicate)",Method,,,java.util.OptionalLong+isPresent() java.util.OptionalLong+isPresent() java.util.function.LongPredicate+test(long) java.util.function.LongPredicate+test(long) java.util.OptionalLong+getAsLong() java.util.OptionalLong+getAsLong() java.util.OptionalLong+empty() java.util.OptionalLong+empty(),,789,19,5956,186,9,"/** 
 * If a value is present in the  {@code OptionalLong}, tests the value using the given predicate and returns the optional if the test returns true or else empty. <pre class=""groovyTestCase""> assert !OptionalLong.empty().filter(n -&gt; true).isPresent() assert  OptionalLong.of(123L).filter(n -&gt; true).isPresent() assert !OptionalLong.of(123L).filter(n -&gt; false).isPresent() assert  OptionalLong.of(123L).filter(n -&gt; true).getAsLong() == 123L </pre>
 * @since 3.0.0
 */
","/**
     * If a value is present in the {@code OptionalLong}, tests the value using
     * the given predicate and returns the optional if the test returns true or
     * else empty.
     * <pre class=""groovyTestCase"">
     * assert !OptionalLong.empty().filter(n -&gt; true).isPresent()
     * assert  OptionalLong.of(123L).filter(n -&gt; true).isPresent()
     * assert !OptionalLong.of(123L).filter(n -&gt; false).isPresent()
     * assert  OptionalLong.of(123L).filter(n -&gt; true).getAsLong() == 123L
     * </pre>
     *
     * @since 3.0.0
     */
    public static OptionalLong filter(final OptionalLong self, final LongPredicate test) {
        if (!self.isPresent() || !test.test(self.getAsLong())) {
            return OptionalLong.empty();
        }
        return self;
    }",False
9,"filter(OptionalDouble,DoublePredicate)",Method,,,java.util.OptionalDouble+isPresent() java.util.OptionalDouble+isPresent() java.util.function.DoublePredicate+test(double) java.util.function.DoublePredicate+test(double) java.util.OptionalDouble+getAsDouble() java.util.OptionalDouble+getAsDouble() java.util.OptionalDouble+empty() java.util.OptionalDouble+empty(),,828,19,6751,206,9,"/** 
 * If a value is present in the  {@code OptionalDouble}, tests the value using the given predicate and returns the optional if the test returns true or empty otherwise. <pre class=""groovyTestCase""> assert !OptionalDouble.empty().filter(n -&gt; true).isPresent() assert  OptionalDouble.of(Math.PI).filter(n -&gt; true).isPresent() assert !OptionalDouble.of(Math.PI).filter(n -&gt; false).isPresent() assert  OptionalDouble.of(Math.PI).filter(n -&gt; true).getAsDouble() == Math.PI </pre>
 * @since 3.0.0
 */
","/**
     * If a value is present in the {@code OptionalDouble}, tests the value using
     * the given predicate and returns the optional if the test returns true or
     * empty otherwise.
     * <pre class=""groovyTestCase"">
     * assert !OptionalDouble.empty().filter(n -&gt; true).isPresent()
     * assert  OptionalDouble.of(Math.PI).filter(n -&gt; true).isPresent()
     * assert !OptionalDouble.of(Math.PI).filter(n -&gt; false).isPresent()
     * assert  OptionalDouble.of(Math.PI).filter(n -&gt; true).getAsDouble() == Math.PI
     * </pre>
     *
     * @since 3.0.0
     */
    public static OptionalDouble filter(final OptionalDouble self, final DoublePredicate test) {
        if (!self.isPresent() || !test.test(self.getAsDouble())) {
            return OptionalDouble.empty();
        }
        return self;
    }",False
10,"mapToObj(OptionalInt,IntFunction<? extends T>)",Method,,,java.util.OptionalInt+isPresent() java.util.OptionalInt+isPresent() java.util.Optional+empty() java.util.Optional+empty() java.util.Optional+ofNullable(T) java.util.Optional+ofNullable(T) java.util.function.IntFunction+apply(int) java.util.function.IntFunction+apply(int) java.util.OptionalInt+getAsInt() java.util.OptionalInt+getAsInt(),,833,18,7585,225,9,"/** 
 * If a value is present in the  {@code OptionalInt}, returns an  {@code Optional}consisting of the result of applying the given function to the value or else empty. <pre class=""groovyTestCase""> assert !OptionalInt.empty().mapToObj(x -&gt; new Object()).isPresent() assert  OptionalInt.of(1234).mapToObj(x -&gt; new Object()).isPresent() assert !OptionalInt.of(1234).mapToObj(x -&gt; null).isPresent() assert  OptionalInt.of(1234).mapToObj(Integer::toString).get() == '1234' </pre>
 * @since 3.0.0
 */
","/**
     * If a value is present in the {@code OptionalInt}, returns an {@code Optional}
     * consisting of the result of applying the given function to the value or else empty.
     * <pre class=""groovyTestCase"">
     * assert !OptionalInt.empty().mapToObj(x -&gt; new Object()).isPresent()
     * assert  OptionalInt.of(1234).mapToObj(x -&gt; new Object()).isPresent()
     * assert !OptionalInt.of(1234).mapToObj(x -&gt; null).isPresent()
     * assert  OptionalInt.of(1234).mapToObj(Integer::toString).get() == '1234'
     * </pre>
     *
     * @since 3.0.0
     */
    public static <T> Optional<T> mapToObj(final OptionalInt self, final IntFunction<? extends T> mapper) {
        if (!self.isPresent()) {
            return Optional.empty();
        }
        return Optional.ofNullable(mapper.apply(self.getAsInt()));
    }",False
