index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,annotation,full text,removed
1,CLASS_RULE,Field,,,,,125,3,3947,95,25,,"@ClassRule
  public static final HBaseClassTestRule CLASS_RULE =
      HBaseClassTestRule.forClass(TestWALEntryStream.class);",False
2,TEST_TIMEOUT_MS,Field,,,,,49,1,4076,98,26,,private static final long TEST_TIMEOUT_MS = 5000;,True
3,TEST_UTIL,Field,,,,,47,1,4128,99,12,,protected static HBaseTestingUtility TEST_UTIL;,True
4,CONF,Field,,,,,36,1,4178,100,12,,protected static Configuration CONF;,True
5,fs,Field,,,,,31,1,4217,101,12,,protected static FileSystem fs;,True
6,cluster,Field,,,,,40,1,4251,102,12,,protected static MiniDFSCluster cluster;,True
7,tableName,Field,,,,,74,1,4294,103,26,,"private static final TableName tableName = TableName.valueOf(""tablename"");",True
8,family,Field,,,,,61,1,4371,104,26,,"private static final byte[] family = Bytes.toBytes(""column"");",True
9,qualifier,Field,,,,,67,1,4435,105,26,,"private static final byte[] qualifier = Bytes.toBytes(""qualifier"");",True
10,info,Field,,,,,165,2,4505,106,26,,"private static final RegionInfo info = RegionInfoBuilder.newBuilder(tableName)
      .setStartKey(HConstants.EMPTY_START_ROW).setEndKey(HConstants.LAST_ROW).build();",True
11,scopes,Field,,,,,72,1,4673,108,26,,"private static final NavigableMap<byte[], Integer> scopes = getScopes();",True
12,fakeWalGroupId,Field,,,,,58,1,4748,109,18,,"private final String fakeWalGroupId = ""fake-wal-group-id"";",True
