index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,commit,full text,moved,removed
1,LOG,Field,"""","""","""","""",83,1,4924,110,26,,private static final Logger LOG = LoggerFactory.getLogger(MetaTableAccessor.class);,False,False
2,METALOG,Field,"""","""","""","""",94,1,5010,111,26,,"private static final Logger METALOG = LoggerFactory.getLogger(""org.apache.hadoop.hbase.META"");",False,False
3,MetaTableAccessor(),Method,"""","""","""","""",33,2,5108,113,2,,"private MetaTableAccessor() {
  }",False,False
4,REPLICATION_PARENT_QUALIFIER,Field,"""","""","""","""",103,2,5145,117,25,,"@VisibleForTesting
  public static final byte[] REPLICATION_PARENT_QUALIFIER = Bytes.toBytes(""parent"");",True,True
5,ESCAPE_BYTE,Field,"""","""","""","""",52,1,5252,119,26,,private static final byte ESCAPE_BYTE = (byte) 0xFF;,True,True
6,SEPARATED_BYTE,Field,"""","""","""","""",48,1,5308,121,26,,private static final byte SEPARATED_BYTE = 0x00;,True,True
7,"fullScanRegions(Connection,ClientMetaTableAccessor.Visitor)",Method,"""","""","org.apache.hadoop.hbase.MetaTableAccessor+scanMeta(Connection,byte[],byte[],QueryType,Visitor) org.apache.hadoop.hbase.MetaTableAccessor+scanMeta(Connection,byte[],byte[],QueryType,Visitor)""","""",394,9,5442,132,9,"/** 
 * Performs a full scan of <code>hbase:meta</code> for regions.
 * @param connection connection we're using
 * @param visitor Visitor invoked against each row in regions family.
 */
","/**
   * Performs a full scan of <code>hbase:meta</code> for regions.
   * @param connection connection we're using
   * @param visitor Visitor invoked against each row in regions family.
   */
  public static void fullScanRegions(Connection connection,
    final ClientMetaTableAccessor.Visitor visitor) throws IOException {
    scanMeta(connection, null, null, QueryType.REGION, visitor);
  }",False,False
8,fullScanRegions(Connection),Method,"""","org.apache.hadoop.hbase.master.TestMasterOperationsForRegionReplicas+testCreateTableWithMultipleReplicas() org.apache.hadoop.hbase.util.hbck.OfflineMetaRebuildTestCore+scanMeta()""","org.apache.hadoop.hbase.MetaTableAccessor+fullScan(Connection,QueryType) org.apache.hadoop.hbase.MetaTableAccessor+fullScan(Connection,QueryType)""","""",265,7,5840,141,9,"/** 
 * Performs a full scan of <code>hbase:meta</code> for regions.
 * @param connection connection we're using
 */
","/**
   * Performs a full scan of <code>hbase:meta</code> for regions.
   * @param connection connection we're using
   */
  public static List<Result> fullScanRegions(Connection connection) throws IOException {
    return fullScan(connection, QueryType.REGION);
  }",False,False
9,"fullScanTables(Connection,ClientMetaTableAccessor.Visitor)",Method,"""","""","org.apache.hadoop.hbase.MetaTableAccessor+scanMeta(Connection,byte[],byte[],QueryType,Visitor) org.apache.hadoop.hbase.MetaTableAccessor+scanMeta(Connection,byte[],byte[],QueryType,Visitor)""","""",390,9,6109,150,9,"/** 
 * Performs a full scan of <code>hbase:meta</code> for tables.
 * @param connection connection we're using
 * @param visitor Visitor invoked against each row in tables family.
 */
","/**
   * Performs a full scan of <code>hbase:meta</code> for tables.
   * @param connection connection we're using
   * @param visitor Visitor invoked against each row in tables family.
   */
  public static void fullScanTables(Connection connection,
    final ClientMetaTableAccessor.Visitor visitor) throws IOException {
    scanMeta(connection, null, null, QueryType.TABLE, visitor);
  }",False,False
10,"fullScan(Connection,QueryType)",Method,"fullScanRegions(Connection)""","""","org.apache.hadoop.hbase.ClientMetaTableAccessor.CollectAllVisitor+CollectAllVisitor() org.apache.hadoop.hbase.MetaTableAccessor+scanMeta(Connection,byte[],byte[],QueryType,Visitor) org.apache.hadoop.hbase.MetaTableAccessor+scanMeta(Connection,byte[],byte[],QueryType,Visitor) org.apache.hadoop.hbase.ClientMetaTableAccessor.CollectingVisitor+getResults() org.apache.hadoop.hbase.ClientMetaTableAccessor.CollectingVisitor+getResults()""","""",459,11,6503,161,10,"/** 
 * Performs a full scan of <code>hbase:meta</code>.
 * @param connection connection we're using
 * @param type scanned part of meta
 * @return List of {@link Result}
 */
","/**
   * Performs a full scan of <code>hbase:meta</code>.
   * @param connection connection we're using
   * @param type scanned part of meta
   * @return List of {@link Result}
   */
  private static List<Result> fullScan(Connection connection, QueryType type) throws IOException {
    ClientMetaTableAccessor.CollectAllVisitor v = new ClientMetaTableAccessor.CollectAllVisitor();
    scanMeta(connection, null, null, type, v);
    return v.getResults();
  }",False,False
