index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,commit,full text,moved,removed
1,sql,Field,"Query(String) setSql(String)""","""","""","""",11,1,1059,30,0,,String sql;,False,False
2,sqlExpr,Field,"setExprCtx(ParserRuleContext)""","""","""","""",26,1,1073,31,0,,ParserRuleContext sqlExpr;,True,True
3,sqlSelect,Field,"setSelectCtx(ParserRuleContext)""","""","""","""",28,1,1102,32,0,,ParserRuleContext sqlSelect;,True,True
4,conn,Field,"set(Connection,Statement,ResultSet) set(Connection,PreparedStatement)""","""","""","""",16,1,1138,34,0,,Connection conn;,False,False
5,stmt,Field,"set(Connection,Statement,ResultSet)""","""","""","""",15,1,1157,35,0,,Statement stmt;,False,False
6,pstmt,Field,"set(Connection,PreparedStatement)""","""","""","""",24,1,1175,36,0,,PreparedStatement pstmt;,False,False
7,rs,Field,"set(Connection,Statement,ResultSet)""","""","""","""",13,1,1202,37,0,,ResultSet rs;,False,False
8,exception,Field,"""","""","""","""",20,1,1218,38,0,,Exception exception;,False,False
9,State,Field,"""","""","""","""",17,1,1242,40,1,,public enum State,False,False
10,state,Field,"""","""","""","""",26,1,1307,41,0,,State state = State.CLOSE;,True,True
11,withReturn,Field,"setWithReturn(boolean)""","""","""","""",27,1,1339,43,0,,boolean withReturn = false;,True,True
12,Query(),Method,"""","""","""","""",13,2,1372,45,0,,"Query() {
  }",False,False
13,Query(String),Method,"""","""","""","org.apache.hive.hplsql.Query+sql org.apache.hive.hplsql.Query+sql""",43,3,1391,48,0,,"Query(String sql) {
    this.sql = sql;
  }",False,False
14,"set(Connection,Statement,ResultSet)",Method,"""","org.apache.hive.hplsql.Conn+executeQuery(Query,String) org.apache.hive.hplsql.Conn+executeSql(String,String)""","""","org.apache.hive.hplsql.Query+conn org.apache.hive.hplsql.Query+conn org.apache.hive.hplsql.Query+stmt org.apache.hive.hplsql.Query+stmt org.apache.hive.hplsql.Query+rs org.apache.hive.hplsql.Query+rs org.apache.hive.hplsql.Query+state org.apache.hive.hplsql.Query+State""",220,11,1441,55,1,"/** 
 * Set query objects
 */
","/** 
   * Set query objects
   */
  public void set(Connection conn, Statement stmt, ResultSet rs) {
    this.conn = conn;
    this.stmt = stmt;
    this.rs = rs;
    if (rs != null) {
      state = State.OPEN;
    }
  }",False,False
