index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,commit,full text,moved,removed
1,TokenToTypeName,Field,"""","""","""","""",91,1,4425,93,26,,"private static final Map<Integer, String> TokenToTypeName = new HashMap<Integer, String>();",False,False
2,ddlDescWithWriteId,Field,"setAcidDdlDesc(DDLDescWithWriteId) setAcidDdlDesc(DDLDescWithWriteId) setAcidDdlDesc(DDLDescWithWriteId)""","""","""","""",46,1,4591,96,2,,private DDLDescWithWriteId ddlDescWithWriteId;,False,False
3,getTypeName(ASTNode),Method,"""","org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer+getTypeStringFromAST(ASTNode)""","org.apache.hadoop.hive.ql.parse.SemanticException+SemanticException(String) org.apache.hadoop.hive.ql.parse.ParseUtils+getCharTypeInfo(ASTNode) org.apache.hadoop.hive.ql.parse.ParseUtils+getCharTypeInfo(ASTNode) org.apache.hadoop.hive.serde2.typeinfo.BaseCharTypeInfo+getQualifiedName() org.apache.hadoop.hive.serde2.typeinfo.BaseCharTypeInfo+getQualifiedName() org.apache.hadoop.hive.ql.parse.ParseUtils+getVarcharTypeInfo(ASTNode) org.apache.hadoop.hive.ql.parse.ParseUtils+getVarcharTypeInfo(ASTNode) org.apache.hadoop.hive.serde2.typeinfo.BaseCharTypeInfo+getQualifiedName() org.apache.hadoop.hive.serde2.typeinfo.BaseCharTypeInfo+getQualifiedName() org.apache.hadoop.hive.serde2.typeinfo.TypeInfoFactory+getTimestampTZTypeInfo(ZoneId) org.apache.hadoop.hive.serde2.typeinfo.TypeInfoFactory+getTimestampTZTypeInfo(ZoneId) org.apache.hadoop.hive.serde2.typeinfo.TimestampLocalTZTypeInfo+getQualifiedName() org.apache.hadoop.hive.serde2.typeinfo.TimestampLocalTZTypeInfo+getQualifiedName() org.apache.hadoop.hive.ql.parse.ParseUtils+getDecimalTypeTypeInfo(ASTNode) org.apache.hadoop.hive.ql.parse.ParseUtils+getDecimalTypeTypeInfo(ASTNode) org.apache.hadoop.hive.serde2.typeinfo.DecimalTypeInfo+getQualifiedName() org.apache.hadoop.hive.serde2.typeinfo.DecimalTypeInfo+getQualifiedName() java.util.Map+get(Object) java.util.Map+get(Object)""","org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer+TokenToTypeName""",1146,32,6189,119,9,,"public static String getTypeName(ASTNode node) throws SemanticException {
    int token = node.getType();
    String typeName;

    // datetime type isn't currently supported
    if (token == HiveParser.TOK_DATETIME) {
      throw new SemanticException(ErrorMsg.UNSUPPORTED_TYPE.getMsg());
    }

    switch (token) {
    case HiveParser.TOK_CHAR:
      CharTypeInfo charTypeInfo = ParseUtils.getCharTypeInfo(node);
      typeName = charTypeInfo.getQualifiedName();
      break;
    case HiveParser.TOK_VARCHAR:
      VarcharTypeInfo varcharTypeInfo = ParseUtils.getVarcharTypeInfo(node);
      typeName = varcharTypeInfo.getQualifiedName();
      break;
    case HiveParser.TOK_TIMESTAMPLOCALTZ:
      TimestampLocalTZTypeInfo timestampLocalTZTypeInfo =
          TypeInfoFactory.getTimestampTZTypeInfo(null);
      typeName = timestampLocalTZTypeInfo.getQualifiedName();
      break;
    case HiveParser.TOK_DECIMAL:
      DecimalTypeInfo decTypeInfo = ParseUtils.getDecimalTypeTypeInfo(node);
      typeName = decTypeInfo.getQualifiedName();
      break;
    default:
      typeName = TokenToTypeName.get(token);
    }
    return typeName;
  }",False,True
4,DDLSemanticAnalyzer(QueryState),Method,"""","""","org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer+createHiveDB(HiveConf) org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer+createHiveDB(HiveConf) org.apache.hadoop.hive.ql.QueryState+getConf() org.apache.hadoop.hive.ql.QueryState+getConf()""","""",138,3,7339,152,1,,"public DDLSemanticAnalyzer(QueryState queryState) throws SemanticException {
    this(queryState, createHiveDB(queryState.getConf()));
  }",False,False
5,"DDLSemanticAnalyzer(QueryState,Hive)",Method,"""","""","""","""",116,3,7481,156,1,,"public DDLSemanticAnalyzer(QueryState queryState, Hive db) throws SemanticException {
    super(queryState, db);
  }",False,False
6,analyzeInternal(ASTNode),Method,"""","""","org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer+getQualifiedTableName(ASTNode,String) org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer+getQualifiedTableName(ASTNode,String) org.apache.hadoop.hive.metastore.utils.MetaStoreUtils+getDefaultCatalog(Configuration) org.apache.hadoop.hive.metastore.utils.MetaStoreUtils+getDefaultCatalog(Configuration) org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer+getPartSpec(ASTNode) org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer+getPartSpec(ASTNode) org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer+getValidatedPartSpec(Table,ASTNode,HiveConf,boolean) org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer+getValidatedPartSpec(Table,ASTNode,HiveConf,boolean) org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer+getTable(TableName) org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer+getTable(TableName) org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer+analyzeAlterTableRename(TableName,ASTNode,boolean) org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer+analyzeAlterTableRename(TableName,ASTNode,boolean) org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer+analyzeAlterTableTouch(TableName,CommonTree) org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer+analyzeAlterTableTouch(TableName,CommonTree) org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer+analyzeAlterTableProps(TableName,Map<String,String>,ASTNode,boolean,boolean) org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer+analyzeAlterTableProps(TableName,Map<String,String>,ASTNode,boolean,boolean) org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer+analyzeAlterTableProps(TableName,Map<String,String>,ASTNode,boolean,boolean) org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer+analyzeAlterTableProps(TableName,Map<String,String>,ASTNode,boolean,boolean) org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer+analyzeAlterTableProps(TableName,Map<String,String>,ASTNode,boolean,boolean) org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer+analyzeAlterTableProps(TableName,Map<String,String>,ASTNode,boolean,boolean) org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer+analyzeAlterTableUpdateStats(ASTNode,TableName,Map<String,String>) org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer+analyzeAlterTableUpdateStats(ASTNode,TableName,Map<String,String>) org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer+analyzeAlterTableOwner(ASTNode,TableName) org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer+analyzeAlterTableOwner(ASTNode,TableName) org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer+analyzeTruncateTable(ASTNode) org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer+analyzeTruncateTable(ASTNode) org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer+getQualifiedTableName(ASTNode) org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer+getQualifiedTableName(ASTNode) org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer+analyzeAlterTableProps(TableName,Map<String,String>,ASTNode,boolean,boolean) org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer+analyzeAlterTableProps(TableName,Map<String,String>,ASTNode,boolean,boolean) org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer+analyzeAlterTableProps(TableName,Map<String,String>,ASTNode,boolean,boolean) org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer+analyzeAlterTableProps(TableName,Map<String,String>,ASTNode,boolean,boolean) org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer+analyzeAlterTableRename(TableName,ASTNode,boolean) org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer+analyzeAlterTableRename(TableName,ASTNode,boolean) org.apache.hadoop.hive.ql.parse.SemanticException+SemanticException(String) java.util.List+isEmpty() java.util.List+isEmpty() org.apache.hadoop.hive.ql.exec.Task+setFetchSource(boolean) java.util.List+get(int) java.util.List+get(int) java.util.List+size() java.util.List+size() org.apache.hadoop.hive.ql.exec.Task+setFetchSource(boolean)""","org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer+conf org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer+conf org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer+fetchTask org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer+rootTasks org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer+rootTasks org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer+rootTasks""",3050,65,7601,161,1,,"@Override
  public void analyzeInternal(ASTNode input) throws SemanticException {

    ASTNode ast = input;
    switch (ast.getType()) {
    case HiveParser.TOK_ALTERTABLE: {
      ast = (ASTNode) input.getChild(1);
      final TableName tName =
          getQualifiedTableName((ASTNode) input.getChild(0), MetaStoreUtils.getDefaultCatalog(conf));
      // TODO CAT - for now always use the default catalog.  Eventually will want to see if
      // the user specified a catalog
      Map<String, String> partSpec = null;
      ASTNode partSpecNode = (ASTNode)input.getChild(2);
      if (partSpecNode != null) {
        //  We can use alter table partition rename to convert/normalize the legacy partition
        //  column values. In so, we should not enable the validation to the old partition spec
        //  passed in this command.
        if (ast.getType() == HiveParser.TOK_ALTERTABLE_RENAMEPART) {
          partSpec = getPartSpec(partSpecNode);
        } else {
          partSpec = getValidatedPartSpec(getTable(tName), partSpecNode, conf, false);
        }
      }

      if (ast.getType() == HiveParser.TOK_ALTERTABLE_RENAME) {
        analyzeAlterTableRename(tName, ast, false);
      } else if (ast.getType() == HiveParser.TOK_ALTERTABLE_TOUCH) {
        analyzeAlterTableTouch(tName, ast);
      } else if (ast.getType() == HiveParser.TOK_ALTERTABLE_PROPERTIES) {
        analyzeAlterTableProps(tName, null, ast, false, false);
      } else if (ast.getType() == HiveParser.TOK_ALTERTABLE_DROPPROPERTIES) {
        analyzeAlterTableProps(tName, null, ast, false, true);
      } else if (ast.getType() == HiveParser.TOK_ALTERTABLE_UPDATESTATS ||
          ast.getType() == HiveParser.TOK_ALTERPARTITION_UPDATESTATS) {
        analyzeAlterTableProps(tName, partSpec, ast, false, false);
      } else if(ast.getToken().getType() == HiveParser.TOK_ALTERTABLE_UPDATECOLSTATS ||
          ast.getToken().getType() == HiveParser.TOK_ALTERPARTITION_UPDATECOLSTATS){
        analyzeAlterTableUpdateStats(ast, tName, partSpec);
      } else if (ast.getToken().getType() == HiveParser.TOK_ALTERTABLE_OWNER) {
        analyzeAlterTableOwner(ast, tName);
      }
      break;
    }
    case HiveParser.TOK_TRUNCATETABLE:
      analyzeTruncateTable(ast);
      break;
    case HiveParser.TOK_ALTERVIEW: {
      final TableName tName = getQualifiedTableName((ASTNode) ast.getChild(0));
      ast = (ASTNode) ast.getChild(1);
      if (ast.getType() == HiveParser.TOK_ALTERVIEW_PROPERTIES) {
        analyzeAlterTableProps(tName, null, ast, true, false);
      } else if (ast.getType() == HiveParser.TOK_ALTERVIEW_DROPPROPERTIES) {
        analyzeAlterTableProps(tName, null, ast, true, true);
      } else if (ast.getType() == HiveParser.TOK_ALTERVIEW_RENAME) {
        analyzeAlterTableRename(tName, ast, true);
      }
      break;
    }
   default:
      throw new SemanticException(""Unsupported command: "" + ast);
    }
    if (fetchTask != null && !rootTasks.isEmpty()) {
      rootTasks.get(rootTasks.size() - 1).setFetchSource(true);
    }
  }",True,True
7,"analyzeAlterTableUpdateStats(ASTNode,TableName,Map<String,String>)",Method,"analyzeInternal(ASTNode)""","""","org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer+getUnescapedName(ASTNode) org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer+getUnescapedName(ASTNode) org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer+getProps(ASTNode) org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer+getProps(ASTNode) org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer+getTable(TableName) org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer+getTable(TableName) org.apache.hadoop.hive.metastore.Warehouse+makePartName(Map<String,String>,boolean) org.apache.hadoop.hive.metastore.Warehouse+makePartName(Map<String,String>,boolean) org.apache.hadoop.hive.ql.parse.SemanticException+SemanticException(String) java.lang.Object+toString() java.lang.Object+toString() org.apache.hadoop.hive.ql.metadata.Table+getCols() org.apache.hadoop.hive.ql.metadata.Table+getCols() java.lang.String+equalsIgnoreCase(String) java.lang.String+equalsIgnoreCase(String) org.apache.hadoop.hive.metastore.api.FieldSchema+getName() org.apache.hadoop.hive.metastore.api.FieldSchema+getName() org.apache.hadoop.hive.metastore.api.FieldSchema+getType() org.apache.hadoop.hive.metastore.api.FieldSchema+getType() org.apache.hadoop.hive.ql.parse.SemanticException+SemanticException(String) org.apache.hadoop.hive.ql.plan.ColumnStatsUpdateWork+ColumnStatsUpdateWork(String,Map<String,String>,String,String,String,String) org.apache.hadoop.hive.ql.metadata.Table+getDbName() org.apache.hadoop.hive.ql.metadata.Table+getDbName() org.apache.hadoop.hive.ql.metadata.Table+getTableName() org.apache.hadoop.hive.ql.metadata.Table+getTableName() org.apache.hadoop.hive.ql.exec.TaskFactory+get(T) org.apache.hadoop.hive.ql.exec.TaskFactory+get(T) org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer+addInputsOutputsAlterTable(TableName,Map<String,String>,AbstractAlterTableDesc,AlterTableType,boolean) org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer+addInputsOutputsAlterTable(TableName,Map<String,String>,AbstractAlterTableDesc,AlterTableType,boolean) org.apache.hadoop.hive.ql.io.AcidUtils+isTransactionalTable(Table) org.apache.hadoop.hive.ql.io.AcidUtils+isTransactionalTable(Table) org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer+setAcidDdlDesc(DDLDescWithWriteId) org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer+setAcidDdlDesc(DDLDescWithWriteId) java.util.List+add(E) java.util.List+add(E)""","org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer+rootTasks""",1525,40,10655,226,2,,"private void analyzeAlterTableUpdateStats(ASTNode ast, TableName tblName, Map<String, String> partSpec)
      throws SemanticException {
    String colName = getUnescapedName((ASTNode) ast.getChild(0));
    Map<String, String> mapProp = getProps((ASTNode) (ast.getChild(1)).getChild(0));

    Table tbl = getTable(tblName);
    String partName = null;
    if (partSpec != null) {
      try {
        partName = Warehouse.makePartName(partSpec, false);
      } catch (MetaException e) {
        throw new SemanticException(""partition "" + partSpec.toString()
            + "" not found"");
      }
    }

    String colType = null;
    List<FieldSchema> cols = tbl.getCols();
    for (FieldSchema col : cols) {
      if (colName.equalsIgnoreCase(col.getName())) {
        colType = col.getType();
        break;
      }
    }

    if (colType == null) {
      throw new SemanticException(""column type not found"");
    }

    ColumnStatsUpdateWork columnStatsUpdateWork =
        new ColumnStatsUpdateWork(partName, mapProp, tbl.getDbName(), tbl.getTableName(), colName, colType);
    ColumnStatsUpdateTask cStatsUpdateTask = (ColumnStatsUpdateTask) TaskFactory
        .get(columnStatsUpdateWork);
    // TODO: doesn't look like this path is actually ever exercised. Maybe this needs to be removed.
    addInputsOutputsAlterTable(tblName, partSpec, null, AlterTableType.UPDATESTATS, false);
    if (AcidUtils.isTransactionalTable(tbl)) {
      setAcidDdlDesc(columnStatsUpdateWork);
    }
    rootTasks.add(cStatsUpdateTask);
  }",False,False
8,analyzeTruncateTable(ASTNode),Method,"analyzeInternal(ASTNode)""","""","org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer+getUnescapedName(ASTNode) org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer+getUnescapedName(ASTNode) org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer+getTable(String,boolean) org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer+getTable(String,boolean) org.apache.hadoop.hive.ql.parse.HiveTableName+of(Table) org.apache.hadoop.hive.ql.parse.HiveTableName+of(Table) org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer+checkTruncateEligibility(ASTNode,ASTNode,String,Table) org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer+checkTruncateEligibility(ASTNode,ASTNode,String,Table) org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer+getPartSpec(ASTNode) org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer+getPartSpec(ASTNode) org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer+addTruncateTableOutputs(ASTNode,Table,Map<String,String>) org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer+addTruncateTableOutputs(ASTNode,Table,Map<String,String>) org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer+getTruncateTaskWithoutColumnNames(TableName,Map<String,String>,Table) org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer+getTruncateTaskWithoutColumnNames(TableName,Map<String,String>,Table) org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer+getTruncateTaskWithColumnNames(ASTNode,TableName,Table,Map<String,String>,ASTNode) org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer+getTruncateTaskWithColumnNames(ASTNode,TableName,Table,Map<String,String>,ASTNode) java.util.List+add(E) java.util.List+add(E)""","org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer+rootTasks""",937,23,12184,267,2,,"private void analyzeTruncateTable(ASTNode ast) throws SemanticException {
    ASTNode root = (ASTNode) ast.getChild(0); // TOK_TABLE_PARTITION
    final String tableName = getUnescapedName((ASTNode) root.getChild(0));

    Table table = getTable(tableName, true);
    final TableName tName = HiveTableName.of(table);
    checkTruncateEligibility(ast, root, tableName, table);

    Map<String, String> partSpec = getPartSpec((ASTNode) root.getChild(1));
    addTruncateTableOutputs(root, table, partSpec);

    Task<?> truncateTask = null;

    // Is this a truncate column command
    ASTNode colNamesNode = (ASTNode) ast.getFirstChildWithType(HiveParser.TOK_TABCOLNAME);
    if (colNamesNode == null) {
      truncateTask = getTruncateTaskWithoutColumnNames(tName, partSpec, table);
    } else {
      truncateTask = getTruncateTaskWithColumnNames(root, tName, table, partSpec, colNamesNode);
    }

    rootTasks.add(truncateTask);
  }",True,True
9,"checkTruncateEligibility(ASTNode,ASTNode,String,Table)",Method,"analyzeTruncateTable(ASTNode)""","""","org.apache.hadoop.hive.ql.metadata.Table+getTableType() org.apache.hadoop.hive.ql.metadata.Table+getTableType() java.lang.String+equalsIgnoreCase(String) java.util.Map+getOrDefault(Object,V) org.apache.hadoop.hive.ql.metadata.Table+getParameters() org.apache.hadoop.hive.ql.metadata.Table+getParameters() java.util.Map+getOrDefault(Object,V) java.lang.String+equalsIgnoreCase(String) org.apache.hadoop.hive.ql.parse.SemanticException+SemanticException(String) org.apache.hadoop.hive.ql.metadata.Table+isNonNative() org.apache.hadoop.hive.ql.metadata.Table+isNonNative() org.apache.hadoop.hive.ql.parse.SemanticException+SemanticException(String) org.apache.hadoop.hive.ql.metadata.Table+isPartitioned() org.apache.hadoop.hive.ql.metadata.Table+isPartitioned() org.apache.hadoop.hive.ql.parse.SemanticException+SemanticException(String)""","org.apache.hadoop.hive.metastore.utils.MetaStoreUtils+EXTERNAL_TABLE_PURGE""",842,17,13125,291,2,,"private void checkTruncateEligibility(ASTNode ast, ASTNode root, String tableName, Table table)
      throws SemanticException {
    boolean isForce = ast.getFirstChildWithType(HiveParser.TOK_FORCE) != null;
    if (!isForce) {
      if (table.getTableType() != TableType.MANAGED_TABLE &&
          (table.getParameters().getOrDefault(MetaStoreUtils.EXTERNAL_TABLE_PURGE, ""FALSE""))
              .equalsIgnoreCase(""FALSE"")) {
        throw new SemanticException(ErrorMsg.TRUNCATE_FOR_NON_MANAGED_TABLE.format(tableName));
      }
    }
    if (table.isNonNative()) {
      throw new SemanticException(ErrorMsg.TRUNCATE_FOR_NON_NATIVE_TABLE.format(tableName)); //TODO
    }
    if (!table.isPartitioned() && root.getChildCount() > 1) {
      throw new SemanticException(ErrorMsg.PARTSPEC_FOR_NON_PARTITIONED_TABLE.format(tableName));
    }
  }",True,True
10,"addTruncateTableOutputs(ASTNode,Table,Map<String,String>)",Method,"analyzeTruncateTable(ASTNode)""","""","org.apache.hadoop.hive.ql.metadata.Table+isPartitioned() org.apache.hadoop.hive.ql.metadata.Table+isPartitioned() java.util.Set+add(E) java.util.Set+add(E) org.apache.hadoop.hive.ql.hooks.WriteEntity+WriteEntity(Table,WriteType) org.apache.hadoop.hive.ql.ddl.table.partition.PartitionUtils+getPartitions(Hive,Table,Map<String,String>,boolean) org.apache.hadoop.hive.ql.ddl.table.partition.PartitionUtils+getPartitions(Hive,Table,Map<String,String>,boolean) java.util.Set+add(E) java.util.Set+add(E) org.apache.hadoop.hive.ql.hooks.WriteEntity+WriteEntity(Partition,WriteType) org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer+isFullSpec(Table,Map<String,String>) org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer+isFullSpec(Table,Map<String,String>) org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer+validatePartSpec(Table,Map<String,String>,ASTNode,HiveConf,boolean) org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer+validatePartSpec(Table,Map<String,String>,ASTNode,HiveConf,boolean) org.apache.hadoop.hive.ql.ddl.table.partition.PartitionUtils+getPartition(Hive,Table,Map<String,String>,boolean) org.apache.hadoop.hive.ql.ddl.table.partition.PartitionUtils+getPartition(Hive,Table,Map<String,String>,boolean) java.util.Set+add(E) java.util.Set+add(E) org.apache.hadoop.hive.ql.hooks.WriteEntity+WriteEntity(Partition,WriteType) org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer+validatePartSpec(Table,Map<String,String>,ASTNode,HiveConf,boolean) org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer+validatePartSpec(Table,Map<String,String>,ASTNode,HiveConf,boolean) org.apache.hadoop.hive.ql.ddl.table.partition.PartitionUtils+getPartitions(Hive,Table,Map<String,String>,boolean) org.apache.hadoop.hive.ql.ddl.table.partition.PartitionUtils+getPartitions(Hive,Table,Map<String,String>,boolean) java.util.Set+add(E) java.util.Set+add(E) org.apache.hadoop.hive.ql.hooks.WriteEntity+WriteEntity(Partition,WriteType)""","org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer+outputs org.apache.hadoop.hive.ql.hooks.WriteEntity+WriteType org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer+db org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer+outputs org.apache.hadoop.hive.ql.hooks.WriteEntity+WriteType org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer+conf org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer+db org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer+outputs org.apache.hadoop.hive.ql.hooks.WriteEntity+WriteType org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer+conf org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer+db org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer+outputs org.apache.hadoop.hive.ql.hooks.WriteEntity+WriteType""",1103,23,13971,309,2,,"private void addTruncateTableOutputs(ASTNode root, Table table, Map<String, String> partSpec)
      throws SemanticException {
    if (partSpec == null) {
      if (!table.isPartitioned()) {
        outputs.add(new WriteEntity(table, WriteEntity.WriteType.DDL_EXCLUSIVE));
      } else {
        for (Partition partition : PartitionUtils.getPartitions(db, table, null, false)) {
          outputs.add(new WriteEntity(partition, WriteEntity.WriteType.DDL_EXCLUSIVE));
        }
      }
    } else {
      if (isFullSpec(table, partSpec)) {
        validatePartSpec(table, partSpec, (ASTNode) root.getChild(1), conf, true);
        Partition partition = PartitionUtils.getPartition(db, table, partSpec, true);
        outputs.add(new WriteEntity(partition, WriteEntity.WriteType.DDL_EXCLUSIVE));
      } else {
        validatePartSpec(table, partSpec, (ASTNode) root.getChild(1), conf, false);
        for (Partition partition : PartitionUtils.getPartitions(db, table, partSpec, false)) {
          outputs.add(new WriteEntity(partition, WriteEntity.WriteType.DDL_EXCLUSIVE));
        }
      }
    }
  }",True,True
