index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,annotation,full text,removed
1,CLASS_NAME,Field,,,,,69,1,5109,115,26,,static final private String CLASS_NAME = CompactorMR.class.getName();,False
2,LOG,Field,,,,,70,1,5181,116,26,,static final private Logger LOG = LoggerFactory.getLogger(CLASS_NAME);,False
3,INPUT_FORMAT_CLASS_NAME,Field,,,,,95,1,5255,118,26,,"static final private String INPUT_FORMAT_CLASS_NAME = ""hive.compactor.input.format.class.name"";",False
4,OUTPUT_FORMAT_CLASS_NAME,Field,,,,,97,1,5353,119,26,,"static final private String OUTPUT_FORMAT_CLASS_NAME = ""hive.compactor.output.format.class.name"";",False
5,TMP_LOCATION,Field,,,,,74,1,5453,120,26,,"static final private String TMP_LOCATION = ""hive.compactor.input.tmp.dir"";",False
6,FINAL_LOCATION,Field,,,,,72,1,5530,121,26,,"static final private String FINAL_LOCATION = ""hive.compactor.input.dir"";",False
7,MIN_TXN,Field,,,,,63,1,5605,122,26,,"static final private String MIN_TXN = ""hive.compactor.txn.min"";",False
8,MAX_TXN,Field,,,,,63,1,5671,123,26,,"static final private String MAX_TXN = ""hive.compactor.txn.max"";",False
9,IS_MAJOR,Field,,,,,65,1,5737,124,26,,"static final private String IS_MAJOR = ""hive.compactor.is.major"";",False
10,IS_COMPRESSED,Field,,,,,75,1,5805,125,26,,"static final private String IS_COMPRESSED = ""hive.compactor.is.compressed"";",False
11,TABLE_PROPS,Field,,,,,71,1,5883,126,26,,"static final private String TABLE_PROPS = ""hive.compactor.table.props"";",False
12,NUM_BUCKETS,Field,,,,,79,1,5957,127,26,,static final private String NUM_BUCKETS = hive_metastoreConstants.BUCKET_COUNT;,False
13,BASE_DIR,Field,,,,,65,1,6039,128,26,,"static final private String BASE_DIR = ""hive.compactor.base.dir"";",False
14,DELTA_DIRS,Field,,,,,69,1,6107,129,26,,"static final private String DELTA_DIRS = ""hive.compactor.delta.dirs"";",False
15,DIRS_TO_SEARCH,Field,,,,,77,1,6179,130,26,,"static final private String DIRS_TO_SEARCH = ""hive.compactor.dirs.to.search"";",False
16,TMPDIR,Field,,,,,44,1,6259,131,26,,"static final private String TMPDIR = ""_tmp"";",False
17,TBLPROPS_PREFIX,Field,,,,,58,1,6306,132,26,,"static final private String TBLPROPS_PREFIX = ""tblprops."";",False
18,COMPACTOR_PREFIX,Field,,,,,60,1,6367,133,26,,"static final private String COMPACTOR_PREFIX = ""compactor."";",False
19,mrJob,Field,,,,,22,1,6431,135,2,,private JobConf mrJob;,False
20,CompactorMR(),Method,,,,,26,2,6487,137,1,,"public CompactorMR() {
  }",False
