index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,annotation,full text,removed
1,processEngineConfiguration,Field,,,,,99,1,2286,56,4,,protected ProcessEngineConfiguration processEngineConfiguration = new ProcessEngineConfiguration();,False
2,transactionManager,Field,setTransactionManager(PlatformTransactionManager),,,,56,1,2388,57,4,,protected PlatformTransactionManager transactionManager;,True
3,applicationContext,Field,setApplicationContext(ApplicationContext),,,,48,1,2447,58,4,,protected ApplicationContext applicationContext;,False
4,deploymentName,Field,setDeploymentName(String),,,,57,1,2498,59,4,,"protected String deploymentName = ""SpringAutoDeployment"";",True
5,deploymentResources,Field,setDeploymentResources(Resource[]),,,,59,1,2558,60,4,,protected Resource[] deploymentResources = new Resource[0];,True
6,processEngine,Field,,,,,42,1,2620,61,4,,protected ProcessEngineImpl processEngine;,False
7,jpaEntityManagerFactory,Field,setJpaEntityManagerFactory(Object),,,,41,1,2668,63,4,,protected Object jpaEntityManagerFactory;,True
8,jpaHandleTransaction,Field,setJpaHandleTransaction(boolean),,,,46,1,2712,64,4,,protected boolean jpaHandleTransaction = true;,True
9,jpaCloseEntityManager,Field,setJpaCloseEntityManager(boolean),,,,47,1,2761,65,4,,protected boolean jpaCloseEntityManager = true;,True
10,destroy(),Method,,,org.activiti.engine.impl.ProcessEngineImpl+close() org.activiti.engine.impl.ProcessEngineImpl+close(),org.activiti.spring.ProcessEngineFactoryBean+processEngine org.activiti.spring.ProcessEngineFactoryBean+processEngine,112,5,2815,68,1,,"public void destroy() throws Exception {
    if (processEngine != null) {
      processEngine.close();
    }
  }",False
11,setApplicationContext(ApplicationContext),Method,,,,org.activiti.spring.ProcessEngineFactoryBean+applicationContext org.activiti.spring.ProcessEngineFactoryBean+applicationContext,150,3,2931,74,1,,"public void setApplicationContext(ApplicationContext applicationContext) throws BeansException {
    this.applicationContext = applicationContext;
  }",False
