index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,annotation,full text,removed
1,config,Field,setConfig(Config),,,,66,4,1722,49,4,"/** 
 * The activiti config bean
 */
","/**
   * The activiti config bean
   */
  protected Config config;",False
2,setConfig(Config),Method,,,,org.activiti.rest.util.ActivitiWebScript+config org.activiti.rest.util.ActivitiWebScript+config,185,9,1792,57,1,"/** 
 * Setter for the activiti config bean
 * @param config The activiti config bean
 */
","/**
   * Setter for the activiti config bean
   * 
   * @param config
   *          The activiti config bean
   */
  public void setConfig(Config config) {
    this.config = config;
  }",False
3,"executeImpl(WebScriptRequest,Status,Cache)",Method,,,"java.util.HashMap+HashMap() org.activiti.rest.util.ActivitiWebScript+executeWebScript(WebScriptRequest,Status,Cache,Map<String,Object>) org.activiti.rest.util.ActivitiWebScript+executeWebScript(WebScriptRequest,Status,Cache,Map<String,Object>)",,844,28,1981,76,4,"/** 
 * The entry point for the webscript. Will create a model and call the executeWebScript() so extending activiti webscripts may implement custom logic.
 * @param req The webscript request
 * @param status The webscripts status
 * @param cache The webscript cache
 * @return The webscript template model
 */
","/**
   * The entry point for the webscript.
   * 
   * Will create a model and call the executeWebScript() so extending activiti
   * webscripts may implement custom logic.
   * 
   * @param req
   *          The webscript request
   * @param status
   *          The webscripts status
   * @param cache
   *          The webscript cache
   * @return The webscript template model
   */
  @Override
  protected Map<String, Object> executeImpl(WebScriptRequest req, Status status, Cache cache) {
    // Prepare model with process engine info
    Map<String, Object> model = new HashMap<String, Object>();

    // todo: set the current user context when the core api implements security
    // checks

    // Let implementing webscript do something useful
    executeWebScript(req, status, cache, model);

    // Return model
    return model;
  }",False
4,"executeWebScript(WebScriptRequest,Status,Cache,Map<String,Object>)",Method,"executeImpl(WebScriptRequest,Status,Cache)",,,,360,13,2829,100,4,"/** 
 * Override this class to implement custom logic.
 * @param req The webscript request
 * @param status The webscript
 * @param cache
 * @param model
 */
","/**
   * Override this class to implement custom logic.
   * 
   * @param req
   *          The webscript request
   * @param status
   *          The webscript
   * @param cache
   * @param model
   */
  protected void executeWebScript(WebScriptRequest req, Status status, Cache cache, Map<String, Object> model) {
    // Override to make something useful
  }",False
5,getProcessEngineInfo(),Method,,"org.activiti.rest.api.engine.ProcessEngineGet+executeWebScript(WebScriptRequest,Status,Cache,Map<String,Object>)",org.activiti.engine.ProcessEngines+getProcessEngineInfo(String) org.activiti.engine.ProcessEngines+getProcessEngineInfo(String) org.activiti.rest.Config+getEngine() org.activiti.rest.Config+getEngine(),org.activiti.rest.util.ActivitiWebScript+config,217,8,3193,109,4,"/** 
 * Returns the process engine info.
 * @return The process engine info
 */
","/**
   * Returns the process engine info.
   * 
   * @return The process engine info
   */
  protected ProcessEngineInfo getProcessEngineInfo() {
    return ProcessEngines.getProcessEngineInfo(config.getEngine());
  }",False
6,getProcessEngine(),Method,getIdentityService() getManagementService() getRuntimeService() getRepositoryService() getTaskService(),,org.activiti.engine.ProcessEngines+getProcessEngine(String) org.activiti.engine.ProcessEngines+getProcessEngine(String) org.activiti.rest.Config+getEngine() org.activiti.rest.Config+getEngine(),org.activiti.rest.util.ActivitiWebScript+config,195,8,3414,118,4,"/** 
 * Returns the process engine.
 * @return The process engine
 */
","/**
   * Returns the process engine.
   * 
   * @return The process engine
   */
  protected ProcessEngine getProcessEngine() {
    return ProcessEngines.getProcessEngine(config.getEngine());
  }",False
7,getIdentityService(),Method,"isUserInGroup(WebScriptRequest,String,String)","org.activiti.rest.api.identity.GroupGet+executeWebScript(WebScriptRequest,Status,Cache,Map<String,Object>) org.activiti.rest.api.identity.GroupUsersGet+executeWebScript(WebScriptRequest,Status,Cache,Map<String,Object>) org.activiti.rest.api.identity.UserGet+executeWebScript(WebScriptRequest,Status,Cache,Map<String,Object>) org.activiti.rest.api.identity.UserGroupsGet+executeWebScript(WebScriptRequest,Status,Cache,Map<String,Object>) org.activiti.rest.api.identity.UserGroupsGet+executeWebScript(WebScriptRequest,Status,Cache,Map<String,Object>) org.activiti.rest.api.tasks.TasksSummaryGet+executeWebScript(WebScriptRequest,Status,Cache,Map<String,Object>)",org.activiti.engine.ProcessEngine+getIdentityService() org.activiti.rest.util.ActivitiWebScript+getProcessEngine() org.activiti.rest.util.ActivitiWebScript+getProcessEngine() org.activiti.engine.ProcessEngine+getIdentityService(),,191,8,3613,127,4,"/** 
 * Returns the identity service.
 * @return The identity service
 */
","/**
   * Returns the identity service.
   * 
   * @return The identity service
   */
  protected IdentityService getIdentityService() {
    return getProcessEngine().getIdentityService();
  }",False
8,getManagementService(),Method,,"org.activiti.rest.api.management.TableDataGet+executeWebScript(WebScriptRequest,Status,Cache,Map<String,Object>) org.activiti.rest.api.management.TableGet+executeWebScript(WebScriptRequest,Status,Cache,Map<String,Object>) org.activiti.rest.api.management.TablesGet+executeWebScript(WebScriptRequest,Status,Cache,Map<String,Object>)",org.activiti.engine.ProcessEngine+getManagementService() org.activiti.rest.util.ActivitiWebScript+getProcessEngine() org.activiti.rest.util.ActivitiWebScript+getProcessEngine() org.activiti.engine.ProcessEngine+getManagementService(),,202,8,3808,136,4,"/** 
 * Returns the management service.
 * @return The management service.
 */
","/**
   * Returns the management service.
   * 
   * @return The management service.
   */
  protected ManagementService getManagementService() {
    return getProcessEngine().getManagementService();
  }",False
9,getRuntimeService(),Method,,"org.activiti.rest.api.process.ProcessInstancePost+executeWebScript(WebScriptRequest,Status,Cache,Map<String,Object>)",org.activiti.engine.ProcessEngine+getRuntimeService() org.activiti.rest.util.ActivitiWebScript+getProcessEngine() org.activiti.rest.util.ActivitiWebScript+getProcessEngine() org.activiti.engine.ProcessEngine+getRuntimeService(),,186,8,4014,145,4,"/** 
 * Returns The process service.
 * @return The process service
 */
","/**
   * Returns The process service.
   * 
   * @return The process service
   */
  protected RuntimeService getRuntimeService() {
    return getProcessEngine().getRuntimeService();
  }",False
10,getRepositoryService(),Method,,"org.activiti.rest.api.process.ProcessDefinitionFormGet+executeWebScript(WebScriptRequest,Status,Cache,Map<String,Object>) org.activiti.rest.api.process.ProcessDefinitionGet+executeWebScript(WebScriptRequest,Status,Cache,Map<String,Object>) org.activiti.rest.api.process.ProcessDefinitionsGet+executeWebScript(WebScriptRequest,Status,Cache,Map<String,Object>)",org.activiti.engine.ProcessEngine+getRepositoryService() org.activiti.rest.util.ActivitiWebScript+getProcessEngine() org.activiti.rest.util.ActivitiWebScript+getProcessEngine() org.activiti.engine.ProcessEngine+getRepositoryService(),,200,8,4204,154,4,"/** 
 * Returns The repository service.
 * @return The repository service
 */
","/**
   * Returns The repository service.
   *
   * @return The repository service
   */
  protected RepositoryService getRepositoryService() {
    return getProcessEngine().getRepositoryService();
  }",False
