index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,commit,full text,moved,removed
1,processEngineName,Field,"setProcessEngineName(String)""","""","""","""",33,1,2677,59,2,,private String processEngineName;,False,False
2,processService,Field,"""","""","""","""",44,1,2714,61,18,,private final ProcessService processService;,False,False
3,identityService,Field,"""","""","""","""",46,1,2761,62,18,,private final IdentityService identityService;,False,False
4,taskService,Field,"""","""","""","""",38,1,2810,63,18,,private final TaskService taskService;,False,False
5,managementService,Field,"""","""","""","""",50,1,2851,64,18,,private final ManagementService managementService;,False,False
6,deployerManager,Field,"""","""","""","""",46,1,2905,66,18,,private final DeployerManager deployerManager;,False,False
7,variableTypes,Field,"""","""","""","""",42,1,2954,67,18,,private final VariableTypes variableTypes;,False,False
8,jobExecutor,Field,"""","""","""","""",38,1,2999,68,18,,private final JobExecutor jobExecutor;,False,False
9,jobHandlers,Field,"""","""","""","""",38,1,3040,69,18,,private final JobHandlers jobHandlers;,False,False
10,idGenerator,Field,"""","""","""","""",38,1,3081,70,18,,private final IdGenerator idGenerator;,False,False
11,commandExecutor,Field,"""","""","""","""",46,1,3122,71,18,,private final CommandExecutor commandExecutor;,False,False
12,jobExecutorAutoActivate,Field,"setJobExecutorAutoActivate(boolean)""","""","""","""",40,1,3172,73,2,,private boolean jobExecutorAutoActivate;,True,True
13,dbSchemaStrategy,Field,"setDbSchemaStrategy(DbSchemaStrategy)""","""","""","""",42,1,3215,74,2,,private DbSchemaStrategy dbSchemaStrategy;,False,False
14,commandContextFactory,Field,"ProcessEngineConfiguration() ProcessEngineConfiguration()""","""","""","""",59,1,3261,76,2,,private DefaultCommandContextFactory commandContextFactory;,True,True
15,persistenceSessionFactory,Field,"setPersistenceSessionFactory(PersistenceSessionFactory)""","""","""","""",60,1,3323,77,2,,private PersistenceSessionFactory persistenceSessionFactory;,False,False
