index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,annotation,full text,removed
1,EXTRA_CHAT_PEER,Field,,,,,57,1,4628,115,25,,"public static final String EXTRA_CHAT_PEER = ""chat_peer"";",False
2,STATE_FILE_NAME,Field,,,,,65,1,4790,120,25,,"public static final String STATE_FILE_NAME = ""pending_file_name"";",False
3,REQUEST_GALLERY,Field,,,,,45,1,4860,121,26,,private static final int REQUEST_GALLERY = 0;,True
4,REQUEST_PHOTO,Field,,,,,43,1,4910,122,26,,private static final int REQUEST_PHOTO = 1;,True
5,REQUEST_VIDEO,Field,,,,,43,1,4958,123,26,,private static final int REQUEST_VIDEO = 2;,True
6,REQUEST_DOC,Field,,,,,41,1,5006,124,26,,private static final int REQUEST_DOC = 3;,True
7,REQUEST_LOCATION,Field,,,,,46,1,5052,125,26,,private static final int REQUEST_LOCATION = 4;,True
8,REQUEST_CONTACT,Field,,,,,45,1,5103,126,26,,private static final int REQUEST_CONTACT = 5;,True
9,PERMISSIONS_REQUEST_CAMERA,Field,,,,,56,1,5153,127,26,,private static final int PERMISSIONS_REQUEST_CAMERA = 6;,True
10,PERMISSION_REQUEST_RECORD_AUDIO,Field,,,,,61,1,5214,128,26,,private static final int PERMISSION_REQUEST_RECORD_AUDIO = 7;,True
11,PERMISSION_REQ_MEDIA,Field,,,,,51,1,5280,129,26,,private static final int PERMISSION_REQ_MEDIA = 11;,True
12,peer,Field,,,,,18,1,5365,132,2,,private Peer peer;,False
13,isAutocompleteVisible,Field,,,,,46,1,5489,138,2,,private boolean isAutocompleteVisible = false;,False
14,audioContainer,Field,,,,,28,1,5641,143,2,,private View audioContainer;,True
15,recordPoint,Field,,,,,25,1,5674,144,2,,private View recordPoint;,True
16,messageContainer,Field,,,,,30,1,5704,145,2,,private View messageContainer;,False
17,audioSlide,Field,,,,,24,1,5739,146,2,,private View audioSlide;,True
18,slideStart,Field,,,,,23,1,5768,147,2,,private int slideStart;,True
19,audioTimer,Field,,,,,28,1,5796,148,2,,private TextView audioTimer;,True
20,isAudioVisible,Field,,,,,31,1,5829,149,2,,private boolean isAudioVisible;,True
21,isShareVisible,Field,,,,,31,1,5865,150,2,,private boolean isShareVisible;,False
22,SLIDE_LIMIT,Field,,,,,24,1,5901,151,2,,private int SLIDE_LIMIT;,True
23,voiceRecordActor,Field,,,,,26,1,5930,152,0,,ActorRef voiceRecordActor;,True
24,audioFile,Field,,,,,25,1,5961,153,2,,private String audioFile;,True
25,audioButton,Field,,,,,30,1,5991,154,2,,private ImageView audioButton;,True
26,autocompleteAdapter,Field,,,,,42,1,6121,159,2,,private HolderAdapter autocompleteAdapter;,False
27,commandsAdapter,Field,,,,,40,1,6168,160,2,,private CommandsAdapter commandsAdapter;,False
28,autocompleteList,Field,,,,,42,1,6213,161,2,,private RecyclerListView autocompleteList;,False
29,autocompleteString,Field,,,,,39,1,6260,162,2,,"private String autocompleteString = """";",False
30,autocompleteTriggerStart,Field,,,,,37,1,6304,163,2,,private int autocompleteTriggerStart;,False
31,quoteText,Field,,,,,27,1,6438,168,2,,private TextView quoteText;,True
32,quoteContainer,Field,,,,,35,1,6470,169,2,,private FrameLayout quoteContainer;,True
33,currentQuote,Field,,,,,33,1,6510,170,2,,"private String currentQuote = """";",True
34,forwardText,Field,,,,,27,1,6645,175,2,,private String forwardText;,False
35,forwardTextRaw,Field,,,,,30,1,6677,176,2,,private String forwardTextRaw;,False
36,sendText,Field,,,,,24,1,6712,177,2,,private String sendText;,False
37,forwardContent,Field,,,,,34,1,6741,178,2,,private AbsContent forwardContent;,False
38,pending_fileName,Field,,,,,32,1,6817,180,2,,private String pending_fileName;,False
39,shareContainer,Field,,,,,28,1,6950,185,2,,private View shareContainer;,False
40,shareMenuCaontainer,Field,,,,,33,1,6983,186,2,,private View shareMenuCaontainer;,False
41,shareMenuMaxHeight,Field,,,,,35,1,7021,187,2,,private int shareMenuMaxHeight = 0;,False
42,fastShareAdapter,Field,,,,,42,1,7061,188,2,,private FastShareAdapter fastShareAdapter;,False
43,isTypingDisabled,Field,,,,,41,1,7262,195,2,,private boolean isTypingDisabled = false;,True
44,isCompose,Field,,,,,34,1,7347,197,2,,private boolean isCompose = false;,False
45,intent,Field,onNewIntent(Intent),,,,22,1,7386,198,2,,private Intent intent;,False
46,textEditing,Field,,,,,36,1,7413,199,2,,private boolean textEditing = false;,False
47,currentEditRid,Field,,,,,28,1,7454,200,2,,private long currentEditRid;,False
48,animationListener,Field,,,,,54,1,7487,201,2,,private Animation.AnimationListener animationListener;,False
49,isBot,Field,,,,,30,1,7546,202,2,,private boolean isBot = false;,False
50,emptyBotSend,Field,,,,,26,1,7581,203,2,,private View emptyBotSend;,False
51,emptyBotHint,Field,,,,,30,1,7612,204,2,,private TextView emptyBotHint;,False
52,menuIconToChange,Field,,,,,35,1,7647,205,2,,private ImageView menuIconToChange;,True
53,menuTitleToChange,Field,,,,,35,1,7687,206,2,,private TextView menuTitleToChange;,True
54,shareSendOcl,Field,,,,,42,1,7727,207,2,,private View.OnClickListener shareSendOcl;,False
55,defaultSendOcl,Field,,,,,44,1,7774,208,2,,private View.OnClickListener defaultSendOcl;,False
56,"build(Peer,Context)",Method,,,java.lang.Object+Object() im.actor.core.entity.Peer+getUnuqueId() im.actor.core.entity.Peer+getUnuqueId(),im.actor.sdk.controllers.conversation.ChatActivity+EXTRA_CHAT_PEER,218,5,7824,210,9,,"public static Intent build(Peer peer, Context context) {
        final Intent intent = new Intent(context, ChatActivity.class);
        intent.putExtra(EXTRA_CHAT_PEER, peer.getUnuqueId());
        return intent;
    }",False
