index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,commit,full text,moved,removed
1,primitiveReturnPrimitiveParam(int),Method,"""","""","""","""",70,4,1196,34,1,,"public int primitiveReturnPrimitiveParam(int foo)
	{
		return 1337;
	}",True,True
2,voidReturnPrimitiveParam(int),Method,"""","""","""","""",51,3,1269,39,1,,"public void voidReturnPrimitiveParam(int foo)
	{
	}",True,True
3,voidReturnNoParams(),Method,"""","""","""","""",38,3,1323,43,1,,"public void voidReturnNoParams()
	{
	}",True,True
4,objectReturnObjectParam(String),Method,"""","""","""","""",100,4,1364,47,1,,"public String objectReturnObjectParam(String foo)
	{
		return ""When the daylight weighs a tonne"";
	}",True,True
5,arrayReturnArrayParam(int[]),Method,"""","""","""","""",111,4,1467,52,1,,"public String[] arrayReturnArrayParam(int[] foo)
	{
		return new String[] { ""and all my friends are gone"" };
	}",True,True
6,"genericReturnAndParams(T,java.lang.String)",Method,"""","""","""","""",123,4,1581,57,9,,"public static <T extends java.lang.Object> T genericReturnAndParams(T object, java.lang.String string)
	{
		return null;
	}",False,False
7,genericReturnDeclaredOnClass(),Method,"""","""","""","""",60,4,1707,62,1,,"public K genericReturnDeclaredOnClass()
	{
		return null;
	}",True,True
8,genericParamTypeWildcard(Class<?>[]),Method,"""","""","""","""",65,3,1771,67,1,,"public void genericParamTypeWildcard(Class<?>[] fooClasses)
	{
	}",True,True
9,genericReturnTypeWildcard(),Method,"""","""","""","""",66,4,1840,71,1,,"public Class<?>[] genericReturnTypeWildcard()
	{
		return null;
	}",True,True
10,TestMetaClass(),Method,"""","""","""","""",29,4,1930,77,1,,"public TestMetaClass()
	{

	}",False,False
11,testGetMemberFromSignature1(),Method,"""","""","java.lang.Class+getName() java.lang.Object+getClass() java.lang.Object+getClass() java.lang.Class+getName() org.adoptopenjdk.jitwatch.model.MetaPackage+MetaPackage(String) org.adoptopenjdk.jitwatch.util.StringUtil+getPackageName(String) org.adoptopenjdk.jitwatch.util.StringUtil+getPackageName(String) org.adoptopenjdk.jitwatch.model.MetaClass+MetaClass(MetaPackage,String) org.adoptopenjdk.jitwatch.util.StringUtil+getUnqualifiedClassName(String) org.adoptopenjdk.jitwatch.util.StringUtil+getUnqualifiedClassName(String) java.lang.Class+getDeclaredMethod(String,Class[]) java.lang.Object+getClass() java.lang.Object+getClass() java.lang.Class+getDeclaredMethod(String,Class[]) org.adoptopenjdk.jitwatch.model.MetaMethod+MetaMethod(Method,MetaClass) org.adoptopenjdk.jitwatch.model.MetaClass+addMember(IMetaMember) org.adoptopenjdk.jitwatch.model.MetaClass+addMember(IMetaMember) java.util.List+add(E) java.util.List+add(E) org.adoptopenjdk.jitwatch.model.MetaClass+getMemberForSignature(MemberSignatureParts) org.adoptopenjdk.jitwatch.model.MetaClass+getMemberForSignature(MemberSignatureParts) org.adoptopenjdk.jitwatch.model.MemberSignatureParts+fromParts(String,String,String,List<String>) org.adoptopenjdk.jitwatch.model.MemberSignatureParts+fromParts(String,String,String,List<String>) org.adoptopenjdk.jitwatch.model.MetaClass+getFullyQualifiedName() org.adoptopenjdk.jitwatch.model.MetaClass+getFullyQualifiedName() org.adoptopenjdk.jitwatch.model.MetaMethod+toString() org.adoptopenjdk.jitwatch.model.MetaMethod+toString() java.lang.Object+toString() java.lang.Object+toString()""","""",945,28,1962,83,1,,"@Test
	public void testGetMemberFromSignature1() throws NoSuchMethodException, SecurityException
	{
		String thisClassName = getClass().getName();

		MetaPackage metaPackage = new MetaPackage(StringUtil.getPackageName(thisClassName));

		MetaClass metaClass = new MetaClass(metaPackage, StringUtil.getUnqualifiedClassName(thisClassName));

		String testMethodName = ""primitiveReturnPrimitiveParam"";

		Method method = getClass().getDeclaredMethod(testMethodName, new Class[] { int.class });

		MetaMethod testMethod = new MetaMethod(method, metaClass);

		metaClass.addMember(testMethod);

		String testRetType = ""int"";

		List<String> paramList = new ArrayList<>();
		paramList.add(""int"");

		IMetaMember result = metaClass.getMemberForSignature(MemberSignatureParts.fromParts(metaClass.getFullyQualifiedName(),
				testMethodName, testRetType, paramList));

		assertNotNull(result);
		assertEquals(testMethod.toString(), result.toString());
	}",False,False
