index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,commit,full text,moved,removed
1,testSimpleModel(),Method,"""","""","com.airbnb.epoxy.EpoxyProcessor+EpoxyProcessor()""","""",430,14,523,20,1,,"@Test
  public void testSimpleModel() {
    JavaFileObject model = JavaFileObjects
        .forResource(""BasicModelWithAttribute.java"");

    JavaFileObject generatedModel = JavaFileObjects.forResource(""BasicModelWithAttribute_.java"");

    assert_().about(javaSource())
        .that(model)
        .processedWith(new EpoxyProcessor())
        .compilesWithoutError()
        .and()
        .generatesSources(generatedModel);
  }",False,False
2,testModelWithAllFieldTypes(),Method,"""","""","com.airbnb.epoxy.EpoxyProcessor+EpoxyProcessor()""","""",439,14,957,35,1,,"@Test
  public void testModelWithAllFieldTypes() {
    JavaFileObject model = JavaFileObjects
        .forResource(""ModelWithAllFieldTypes.java"");

    JavaFileObject generatedModel = JavaFileObjects.forResource(""ModelWithAllFieldTypes_.java"");

    assert_().about(javaSource())
        .that(model)
        .processedWith(new EpoxyProcessor())
        .compilesWithoutError()
        .and()
        .generatesSources(generatedModel);
  }",False,False
3,testModelWithConstructors(),Method,"""","""","com.airbnb.epoxy.EpoxyProcessor+EpoxyProcessor()""","""",436,14,1400,50,1,,"@Test
  public void testModelWithConstructors() {
    JavaFileObject model = JavaFileObjects
        .forResource(""ModelWithConstructors.java"");

    JavaFileObject generatedModel = JavaFileObjects.forResource(""ModelWithConstructors_.java"");

    assert_().about(javaSource())
        .that(model)
        .processedWith(new EpoxyProcessor())
        .compilesWithoutError()
        .and()
        .generatesSources(generatedModel);
  }",False,False
4,testModelWithSuper(),Method,"""","""","com.airbnb.epoxy.EpoxyProcessor+EpoxyProcessor()""","""",415,14,1840,65,1,,"@Test
  public void testModelWithSuper() {
    JavaFileObject model = JavaFileObjects
        .forResource(""ModelWithSuper.java"");

    JavaFileObject generatedModel = JavaFileObjects.forResource(""ModelWithSuper_.java"");

    assert_().about(javaSource())
        .that(model)
        .processedWith(new EpoxyProcessor())
        .compilesWithoutError()
        .and()
        .generatesSources(generatedModel);
  }",False,False
5,testModelWithFieldAnnotation(),Method,"""","""","com.airbnb.epoxy.EpoxyProcessor+EpoxyProcessor()""","""",445,14,2259,80,1,,"@Test
  public void testModelWithFieldAnnotation() {
    JavaFileObject model = JavaFileObjects
        .forResource(""ModelWithFieldAnnotation.java"");

    JavaFileObject generatedModel = JavaFileObjects.forResource(""ModelWithFieldAnnotation_.java"");

    assert_().about(javaSource())
        .that(model)
        .processedWith(new EpoxyProcessor())
        .compilesWithoutError()
        .and()
        .generatesSources(generatedModel);
  }",False,False
6,testModelWithSuperClass(),Method,"""","""","com.airbnb.epoxy.EpoxyProcessor+EpoxyProcessor()""","""",607,16,2708,95,1,,"@Test
  public void testModelWithSuperClass() {
    JavaFileObject model = JavaFileObjects
        .forResource(""ModelWithSuperAttributes.java"");

    JavaFileObject generatedModel = JavaFileObjects.forResource(""ModelWithSuperAttributes_.java"");
    JavaFileObject generatedSubClassModel =
        JavaFileObjects.forResource(""ModelWithSuperAttributes$SubModelWithSuperAttributes_.java"");

    assert_().about(javaSource())
        .that(model)
        .processedWith(new EpoxyProcessor())
        .compilesWithoutError()
        .and()
        .generatesSources(generatedModel, generatedSubClassModel);
  }",False,False
7,testModelWithType(),Method,"""","""","com.airbnb.epoxy.EpoxyProcessor+EpoxyProcessor()""","""",412,14,3319,112,1,,"@Test
  public void testModelWithType() {
    JavaFileObject model = JavaFileObjects
        .forResource(""ModelWithType.java"");

    JavaFileObject generatedModel = JavaFileObjects.forResource(""ModelWithType_.java"");

    assert_().about(javaSource())
        .that(model)
        .processedWith(new EpoxyProcessor())
        .compilesWithoutError()
        .and()
        .generatesSources(generatedModel);
  }",False,False
8,testModelWithoutHash(),Method,"""","""","com.airbnb.epoxy.EpoxyProcessor+EpoxyProcessor()""","""",421,14,3735,127,1,,"@Test
  public void testModelWithoutHash() {
    JavaFileObject model = JavaFileObjects
        .forResource(""ModelWithoutHash.java"");

    JavaFileObject generatedModel = JavaFileObjects.forResource(""ModelWithoutHash_.java"");

    assert_().about(javaSource())
        .that(model)
        .processedWith(new EpoxyProcessor())
        .compilesWithoutError()
        .and()
        .generatesSources(generatedModel);
  }",False,False
9,testModelWithFinalAttribute(),Method,"""","""","com.airbnb.epoxy.EpoxyProcessor+EpoxyProcessor()""","""",434,14,4160,142,1,,"@Test
  public void testModelWithFinalAttribute() {
    JavaFileObject model = JavaFileObjects
        .forResource(""ModelWithFinalField.java"");

    JavaFileObject generatedModel = JavaFileObjects.forResource(""ModelWithFinalField_.java"");

    assert_().about(javaSource())
        .that(model)
        .processedWith(new EpoxyProcessor())
        .compilesWithoutError()
        .and()
        .generatesSources(generatedModel);
  }",False,False
10,testModelWithPrivateAttributeFails(),Method,"""","""","com.airbnb.epoxy.EpoxyProcessor+EpoxyProcessor()""","""",325,11,4598,157,1,,"@Test
  public void testModelWithPrivateAttributeFails() {
    JavaFileObject model = JavaFileObjects
        .forResource(""ModelWithPrivateField.java"");

    assert_().about(javaSource())
        .that(model)
        .processedWith(new EpoxyProcessor())
        .failsToCompile()
        .withErrorContaining(""private"");
  }",False,False
