index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,commit,full text,moved,removed
1,httpClient,Field,"BaseOAuthFlow(ConfigRepository,HttpClient,Supplier<String>)""","""","""","""",36,1,991,31,18,,private final HttpClient httpClient;,False,False
2,configRepository,Field,"BaseOAuthFlow(ConfigRepository,HttpClient,Supplier<String>)""","""","""","""",48,1,1030,32,18,,private final ConfigRepository configRepository;,True,True
3,stateSupplier,Field,"BaseOAuthFlow(ConfigRepository,HttpClient,Supplier<String>)""","""","""","""",45,1,1081,33,18,,private final Supplier<String> stateSupplier;,False,False
4,BaseOAuthFlow(ConfigRepository),Method,"""","""","java.net.http.HttpClient.Builder+build() java.net.http.HttpClient.Builder+version(Version) java.net.http.HttpClient+newBuilder() java.net.http.HttpClient+newBuilder() java.net.http.HttpClient.Builder+version(Version) java.net.http.HttpClient.Builder+build() io.airbyte.oauth.BaseOAuthFlow+generateRandomState()""","java.net.http.HttpClient.Version+HTTP_1_1""",184,3,1130,35,1,,"public BaseOAuthFlow(ConfigRepository configRepository) {
    this(configRepository, HttpClient.newBuilder().version(Version.HTTP_1_1).build(), BaseOAuthFlow::generateRandomState);
  }",False,False
5,"BaseOAuthFlow(ConfigRepository,HttpClient,Supplier<String>)",Method,"""","""","""","io.airbyte.oauth.BaseOAuthFlow+configRepository io.airbyte.oauth.BaseOAuthFlow+configRepository io.airbyte.oauth.BaseOAuthFlow+httpClient io.airbyte.oauth.BaseOAuthFlow+httpClient io.airbyte.oauth.BaseOAuthFlow+stateSupplier io.airbyte.oauth.BaseOAuthFlow+stateSupplier""",236,5,1318,39,1,,"public BaseOAuthFlow(ConfigRepository configRepository, HttpClient httpClient, Supplier<String> stateSupplier) {
    this.configRepository = configRepository;
    this.httpClient = httpClient;
    this.stateSupplier = stateSupplier;
  }",False,False
6,"getSourceConsentUrl(UUID,UUID,String)",Method,"""","io.airbyte.oauth.flows.google.GoogleAnalyticsOAuthFlowTest+testGetSourceConsentUrl() io.airbyte.oauth.flows.google.GoogleAdsOAuthFlowIntegrationTest+testFullGoogleOAuthFlow() io.airbyte.oauth.flows.google.GoogleAnalyticsOAuthFlowIntegrationTest+testFullGoogleOAuthFlow() io.airbyte.oauth.flows.google.GoogleSearchConsoleOAuthFlowIntegrationTest+testFullGoogleOAuthFlow() io.airbyte.oauth.flows.FacebookMarketingOAuthFlowIntegrationTest+testFullGoogleOAuthFlow()""","io.airbyte.oauth.BaseOAuthFlow+getSourceOAuthParamConfig(UUID,UUID) io.airbyte.oauth.BaseOAuthFlow+getSourceOAuthParamConfig(UUID,UUID) io.airbyte.oauth.BaseOAuthFlow+formatConsentUrl(UUID,String,String) io.airbyte.oauth.BaseOAuthFlow+formatConsentUrl(UUID,String,String) io.airbyte.oauth.BaseOAuthFlow+getClientIdUnsafe(JsonNode) io.airbyte.oauth.BaseOAuthFlow+getClientIdUnsafe(JsonNode)""","""",355,5,1558,46,1,,"@Override
  public String getSourceConsentUrl(UUID workspaceId, UUID sourceDefinitionId, String redirectUrl) throws IOException, ConfigNotFoundException {
    final JsonNode oAuthParamConfig = getSourceOAuthParamConfig(workspaceId, sourceDefinitionId);
    return formatConsentUrl(sourceDefinitionId, getClientIdUnsafe(oAuthParamConfig), redirectUrl);
  }",False,False
7,"getDestinationConsentUrl(UUID,UUID,String)",Method,"""","io.airbyte.oauth.flows.google.GoogleAnalyticsOAuthFlowTest+testGetDestinationConsentUrl()""","io.airbyte.oauth.BaseOAuthFlow+getDestinationOAuthParamConfig(UUID,UUID) io.airbyte.oauth.BaseOAuthFlow+getDestinationOAuthParamConfig(UUID,UUID) io.airbyte.oauth.BaseOAuthFlow+formatConsentUrl(UUID,String,String) io.airbyte.oauth.BaseOAuthFlow+formatConsentUrl(UUID,String,String) io.airbyte.oauth.BaseOAuthFlow+getClientIdUnsafe(JsonNode) io.airbyte.oauth.BaseOAuthFlow+getClientIdUnsafe(JsonNode)""","""",386,6,1917,52,1,,"@Override
  public String getDestinationConsentUrl(UUID workspaceId, UUID destinationDefinitionId, String redirectUrl)
      throws IOException, ConfigNotFoundException {
    final JsonNode oAuthParamConfig = getDestinationOAuthParamConfig(workspaceId, destinationDefinitionId);
    return formatConsentUrl(destinationDefinitionId, getClientIdUnsafe(oAuthParamConfig), redirectUrl);
  }",False,False
8,"formatConsentUrl(UUID,String,String)",Method,"getSourceConsentUrl(UUID,UUID,String) getDestinationConsentUrl(UUID,UUID,String)""","""","""","""",344,6,2307,63,1028,"/** 
 * Depending on the OAuth flow implementation, the URL to grant user's consent may differ, especially in the query parameters to be provided. This function should generate such consent URL accordingly.
 */
","/**
   * Depending on the OAuth flow implementation, the URL to grant user's consent may differ,
   * especially in the query parameters to be provided. This function should generate such consent URL
   * accordingly.
   */
  protected abstract String formatConsentUrl(UUID definitionId, String clientId, String redirectUrl) throws IOException;",False,False
9,generateRandomState(),Method,"""","""","""","""",101,3,2655,65,10,,"private static String generateRandomState() {
    return RandomStringUtils.randomAlphanumeric(7);
  }",False,False
10,getState(),Method,"""","io.airbyte.oauth.flows.FacebookMarketingOAuthFlow+formatConsentUrl(UUID,String,String) io.airbyte.oauth.flows.google.GoogleOAuthFlow+formatConsentUrl(UUID,String,String)""","java.util.function.Supplier+get() java.util.function.Supplier+get()""","io.airbyte.oauth.BaseOAuthFlow+stateSupplier""",138,6,2760,72,4,"/** 
 * Generate a string to use as state in the OAuth process.
 */
","/**
   * Generate a string to use as state in the OAuth process.
   */
  protected String getState() {
    return stateSupplier.get();
  }",False,False
