index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,commit,full text,moved,removed
1,LOGGER,Field,"""","""","""","""",87,1,3863,86,26,,private static final Logger LOGGER = LoggerFactory.getLogger(CdcMySqlSourceTest.class);,True,True
2,MODELS_SCHEMA,Field,"""","""","""","""",60,1,3954,88,26,,"private static final String MODELS_SCHEMA = ""models_schema"";",True,True
3,MODELS_STREAM_NAME,Field,"""","""","""","""",58,1,4017,89,26,,"private static final String MODELS_STREAM_NAME = ""models"";",True,True
4,STREAM_NAMES,Field,"""","""","""","""",91,2,4078,90,26,,"private static final Set<String> STREAM_NAMES = Sets
      .newHashSet(MODELS_STREAM_NAME);",True,True
5,COL_ID,Field,"""","""","""","""",42,1,4172,92,26,,"private static final String COL_ID = ""id"";",True,True
6,COL_MAKE_ID,Field,"""","""","""","""",52,1,4217,93,26,,"private static final String COL_MAKE_ID = ""make_id"";",True,True
7,COL_MODEL,Field,"""","""","""","""",48,1,4272,94,26,,"private static final String COL_MODEL = ""model"";",True,True
8,DB_NAME,Field,"""","""","""","""",52,1,4323,95,26,,private static final String DB_NAME = MODELS_SCHEMA;,True,True
9,CATALOG,Field,"""","""","""","""",527,9,4379,97,26,,"private static final AirbyteCatalog CATALOG = new AirbyteCatalog().withStreams(List.of(
      CatalogHelpers.createAirbyteStream(
          MODELS_STREAM_NAME,
          MODELS_SCHEMA,
          Field.of(COL_ID, JsonSchemaPrimitive.NUMBER),
          Field.of(COL_MAKE_ID, JsonSchemaPrimitive.NUMBER),
          Field.of(COL_MODEL, JsonSchemaPrimitive.STRING))
          .withSupportedSyncModes(Lists.newArrayList(SyncMode.FULL_REFRESH, SyncMode.INCREMENTAL))
          .withSourceDefinedPrimaryKey(List.of(List.of(COL_ID)))));",True,True
10,CONFIGURED_CATALOG,Field,"""","""","""","""",125,2,4909,106,26,,"private static final ConfiguredAirbyteCatalog CONFIGURED_CATALOG = CatalogHelpers
      .toDefaultConfiguredCatalog(CATALOG);",True,True
11,MODEL_RECORDS,Field,"""","""","""","""",592,7,5178,114,26,,"private static final List<JsonNode> MODEL_RECORDS = ImmutableList.of(
      Jsons.jsonNode(ImmutableMap.of(COL_ID, 11, COL_MAKE_ID, 1, COL_MODEL, ""Fiesta"")),
      Jsons.jsonNode(ImmutableMap.of(COL_ID, 12, COL_MAKE_ID, 1, COL_MODEL, ""Focus"")),
      Jsons.jsonNode(ImmutableMap.of(COL_ID, 13, COL_MAKE_ID, 1, COL_MODEL, ""Ranger"")),
      Jsons.jsonNode(ImmutableMap.of(COL_ID, 14, COL_MAKE_ID, 2, COL_MODEL, ""GLA"")),
      Jsons.jsonNode(ImmutableMap.of(COL_ID, 15, COL_MAKE_ID, 2, COL_MODEL, ""A 220"")),
      Jsons.jsonNode(ImmutableMap.of(COL_ID, 16, COL_MAKE_ID, 2, COL_MODEL, ""E 350"")));",True,True
12,container,Field,"""","""","""","""",36,1,5774,122,2,,private MySQLContainer<?> container;,False,False
13,database,Field,"""","""","""","""",26,1,5813,123,2,,private Database database;,False,False
14,source,Field,"""","""","""","""",27,1,5842,124,2,,private MySqlSource source;,False,False
15,config,Field,"""","""","""","""",24,1,5872,125,2,,private JsonNode config;,False,False
16,setup(),Method,"""","""","io.airbyte.integrations.source.mysql.CdcMySqlSourceTest+init() io.airbyte.integrations.source.mysql.CdcMySqlSourceTest+init() io.airbyte.integrations.source.mysql.CdcMySqlSourceTest+revokeAllPermissions() io.airbyte.integrations.source.mysql.CdcMySqlSourceTest+revokeAllPermissions() io.airbyte.integrations.source.mysql.CdcMySqlSourceTest+grantCorrectPermissions() io.airbyte.integrations.source.mysql.CdcMySqlSourceTest+grantCorrectPermissions() io.airbyte.integrations.source.mysql.CdcMySqlSourceTest+createAndPopulateTables() io.airbyte.integrations.source.mysql.CdcMySqlSourceTest+createAndPopulateTables()""","""",141,7,5900,128,1,,"@BeforeEach
  public void setup() {
    init();
    revokeAllPermissions();
    grantCorrectPermissions();
    createAndPopulateTables();
  }",False,False
17,init(),Method,"setup()""","""","io.airbyte.integrations.source.mysql.MySqlSource+MySqlSource() io.airbyte.db.Databases+createDatabase(String,String,String,String,SQLDialect) io.airbyte.db.Databases+createDatabase(String,String,String,String,SQLDialect) java.lang.String+format(String,Object[]) java.lang.String+format(String,Object[]) io.airbyte.commons.json.Jsons+jsonNode(T) io.airbyte.commons.json.Jsons+jsonNode(T)""","io.airbyte.integrations.source.mysql.CdcMySqlSourceTest+container io.airbyte.integrations.source.mysql.CdcMySqlSourceTest+container io.airbyte.integrations.source.mysql.CdcMySqlSourceTest+source io.airbyte.integrations.source.mysql.CdcMySqlSourceTest+database io.airbyte.integrations.source.mysql.CdcMySqlSourceTest+container io.airbyte.integrations.source.mysql.CdcMySqlSourceTest+container io.airbyte.integrations.source.mysql.CdcMySqlSourceTest+config io.airbyte.integrations.source.mysql.CdcMySqlSourceTest+container io.airbyte.integrations.source.mysql.CdcMySqlSourceTest+container io.airbyte.integrations.source.mysql.CdcMySqlSourceTest+DB_NAME io.airbyte.integrations.source.mysql.CdcMySqlSourceTest+container io.airbyte.integrations.source.mysql.CdcMySqlSourceTest+container""",736,22,6045,135,2,,"private void init() {
    container = new MySQLContainer<>(""mysql:8.0"");
    container.start();
    source = new MySqlSource();
    database = Databases.createDatabase(
        ""root"",
        ""test"",
        String.format(""jdbc:mysql://%s:%s"",
            container.getHost(),
            container.getFirstMappedPort()),
        DRIVER_CLASS,
        SQLDialect.MYSQL);

    config = Jsons.jsonNode(ImmutableMap.builder()
        .put(""host"", container.getHost())
        .put(""port"", container.getFirstMappedPort())
        .put(""database"", CdcMySqlSourceTest.DB_NAME)
        .put(""username"", container.getUsername())
        .put(""password"", container.getPassword())
        .put(""replication_method"", ""CDC"")
        .build());
  }",False,False
18,revokeAllPermissions(),Method,"setup()""","""","io.airbyte.integrations.source.mysql.CdcMySqlSourceTest+executeQuery(String) io.airbyte.integrations.source.mysql.CdcMySqlSourceTest+executeQuery(String)""","io.airbyte.integrations.source.mysql.CdcMySqlSourceTest+container""",140,3,6785,158,2,,"private void revokeAllPermissions() {
    executeQuery(""REVOKE ALL PRIVILEGES, GRANT OPTION FROM "" + container.getUsername() + ""@'%';"");
  }",False,False
19,grantCorrectPermissions(),Method,"setup()""","""","io.airbyte.integrations.source.mysql.CdcMySqlSourceTest+executeQuery(String) io.airbyte.integrations.source.mysql.CdcMySqlSourceTest+executeQuery(String)""","io.airbyte.integrations.source.mysql.CdcMySqlSourceTest+container""",209,5,6929,162,2,,"private void grantCorrectPermissions() {
    executeQuery(
        ""GRANT SELECT, RELOAD, SHOW DATABASES, REPLICATION SLAVE, REPLICATION CLIENT ON *.* TO ""
            + container.getUsername() + ""@'%';"");
  }",False,False
20,executeQuery(String),Method,"revokeAllPermissions() grantCorrectPermissions() createAndPopulateActualTable() createAndPopulateActualTable() createAndPopulateRandomTable() createAndPopulateRandomTable() writeRecords(JsonNode,String,String,String,String,String) setupForComparisonBetweenFullRefreshAndCDCSnapshot(ImmutableList<JsonNode>) setupForComparisonBetweenFullRefreshAndCDCSnapshot(ImmutableList<JsonNode>) setupForComparisonBetweenFullRefreshAndCDCSnapshot(ImmutableList<JsonNode>) setupForComparisonBetweenFullRefreshAndCDCSnapshot(ImmutableList<JsonNode>) testDelete() testUpdate() testCdcAndFullRefreshInSameSync() testNoData() testDiscover()""","""","io.airbyte.db.Database+query(ContextQueryFunction<T>) io.airbyte.db.Database+query(ContextQueryFunction<T>) java.lang.RuntimeException+RuntimeException(Throwable)""","io.airbyte.integrations.source.mysql.CdcMySqlSourceTest+database""",204,9,7142,168,2,,"private void executeQuery(String query) {
    try {
      database.query(
          ctx -> ctx
              .execute(query));
    } catch (SQLException e) {
      throw new RuntimeException(e);
    }
  }",True,True
21,createAndPopulateTables(),Method,"setup()""","""","io.airbyte.integrations.source.mysql.CdcMySqlSourceTest+createAndPopulateActualTable() io.airbyte.integrations.source.mysql.CdcMySqlSourceTest+createAndPopulateActualTable() io.airbyte.integrations.source.mysql.CdcMySqlSourceTest+createAndPopulateRandomTable() io.airbyte.integrations.source.mysql.CdcMySqlSourceTest+createAndPopulateRandomTable()""","""",116,4,7350,178,2,,"private void createAndPopulateTables() {
    createAndPopulateActualTable();
    createAndPopulateRandomTable();
  }",True,True
