index,name,type,inner invocations,external invocations,calls,visits,length,lines,start location,definition line,modifier,annotation,full text,removed
1,CDC_LSN,Field,,,,,51,1,3518,79,25,,"public static final String CDC_LSN = ""_ab_cdc_lsn"";",False
2,CDC_UPDATED_AT,Field,,,,,65,1,3572,80,25,,"public static final String CDC_UPDATED_AT = ""_ab_cdc_updated_at"";",False
3,CDC_DELETED_AT,Field,,,,,65,1,3640,81,25,,"public static final String CDC_DELETED_AT = ""_ab_cdc_deleted_at"";",False
4,CDC_LOG_FILE,Field,,,,,61,1,3708,82,25,,"public static final String CDC_LOG_FILE = ""_ab_cdc_log_file"";",False
5,CDC_LOG_POS,Field,,,,,59,1,3772,83,25,,"public static final String CDC_LOG_POS = ""_ab_cdc_log_pos"";",False
6,JOB_ID,Field,,,,,38,1,3835,85,26,,private static final long JOB_ID = 0L;,True
7,JOB_ATTEMPT,Field,,,,,41,1,3876,86,26,,private static final int JOB_ATTEMPT = 0;,True
8,LOGGER,Field,,,,,89,1,3921,88,26,,private static final Logger LOGGER = LoggerFactory.getLogger(SourceAcceptanceTest.class);,False
9,testEnv,Field,,,,,35,1,4014,90,2,,private TestDestinationEnv testEnv;,False
10,jobRoot,Field,,,,,21,1,4053,92,2,,private Path jobRoot;,True
11,localRoot,Field,,,,,25,1,4077,93,4,,protected Path localRoot;,True
12,processFactory,Field,,,,,38,1,4105,94,2,,private ProcessFactory processFactory;,True
13,IMAGES_TO_SKIP_SECOND_INCREMENTAL_READ,Field,,,,,1487,29,4147,105,2,"/** 
 * TODO hack: Various Singer integrations use cursor fields inclusively i.e: they output records whose cursor field >= the provided cursor value. This leads to the last record in a sync to always be the first record in the next sync. This is a fine assumption from a product POV since we offer at-least-once delivery. But for simplicity, the incremental test suite currently assumes that the second incremental read should output no records when provided the state from the first sync. This works for many integrations but not some Singer ones, so we hardcode the list of integrations to skip over when performing those tests.
 */
","/**
   * TODO hack: Various Singer integrations use cursor fields inclusively i.e: they output records
   * whose cursor field >= the provided cursor value. This leads to the last record in a sync to
   * always be the first record in the next sync. This is a fine assumption from a product POV since
   * we offer at-least-once delivery. But for simplicity, the incremental test suite currently assumes
   * that the second incremental read should output no records when provided the state from the first
   * sync. This works for many integrations but not some Singer ones, so we hardcode the list of
   * integrations to skip over when performing those tests.
   */
  private Set<String> IMAGES_TO_SKIP_SECOND_INCREMENTAL_READ = Sets.newHashSet(
      ""airbyte/source-intercom-singer"",
      ""airbyte/source-exchangeratesapi-singer"",
      ""airbyte/source-hubspot"",
      ""airbyte/source-iterable"",
      ""airbyte/source-marketo-singer"",
      ""airbyte/source-twilio-singer"",
      ""airbyte/source-mixpanel-singer"",
      ""airbyte/source-twilio-singer"",
      ""airbyte/source-braintree-singer"",
      ""airbyte/source-salesforce-singer"",
      ""airbyte/source-stripe-singer"",
      ""airbyte/source-exchange-rates"",
      ""airbyte/source-stripe"",
      ""airbyte/source-github-singer"",
      ""airbyte/source-gitlab-singer"",
      ""airbyte/source-google-workspace-admin-reports"",
      ""airbyte/source-zendesk-talk"",
      ""airbyte/source-quickbooks-singer"",
      ""airbyte/source-jira"");",False
14,IMAGES_TO_SKIP_IDENTICAL_FULL_REFRESHES,Field,,,,,244,5,5638,129,2,"/** 
 * FIXME: Some sources can't guarantee that there will be no events between two sequential sync
 */
","/**
   * FIXME: Some sources can't guarantee that there will be no events between two sequential sync
   */
  private Set<String> IMAGES_TO_SKIP_IDENTICAL_FULL_REFRESHES = Sets.newHashSet(
      ""airbyte/source-google-workspace-admin-reports"");",False
15,getImageName(),Method,testIdenticalFullRefreshes() testIncrementalSyncWithState() runSpec(),,,,152,6,5886,137,1028,"/** 
 * Name of the docker image that the tests will run against.
 * @return docker image name
 */
","/**
   * Name of the docker image that the tests will run against.
   *
   * @return docker image name
   */
  protected abstract String getImageName();",False
16,getSpec(),Method,testGetSpec(),,,,254,7,6042,145,1028,"/** 
 * Specification for integration. Will be passed to integration where appropriate in each test. Should be valid.
 * @return integration-specific configuration
 */
","/**
   * Specification for integration. Will be passed to integration where appropriate in each test.
   * Should be valid.
   *
   * @return integration-specific configuration
   */
  protected abstract ConnectorSpecification getSpec() throws Exception;",False
17,getConfig(),Method,"runCheck() runDiscover() runRead(ConfiguredAirbyteCatalog,JsonNode)",,,,254,7,6300,153,1028,"/** 
 * Configuration specific to the integration. Will be passed to integration where appropriate in each test. Should be valid.
 * @return integration-specific configuration
 */
","/**
   * Configuration specific to the integration. Will be passed to integration where appropriate in
   * each test. Should be valid.
   *
   * @return integration-specific configuration
   */
  protected abstract JsonNode getConfig() throws Exception;",False
